"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
0.000000000E0;-1.659898224E0;4.189487915E0;6.708300018E0
9.978999995E-3;-1.732796631E0;4.303401031E0;7.084168396E0
1.995799999E-2;-1.860032043E0;4.949008484E0;7.303612061E0
3.994700000E-2;-2.154020691E0;5.232818298E0;7.969277802E0
4.995700000E-2;-2.175426178E0;5.398823090E0;8.163274384E0
5.993599999E-2;-2.182910614E0;5.681734772E0;8.463849335E0
6.994599999E-2;-2.161954193E0;5.839806061E0;8.741970978E0
7.995600000E-2;-2.194436646E0;5.902974701E0;8.904233551E0
8.993500000E-2;-2.274370422E0;6.038742371E0;9.226213989E0
9.994499999E-2;-2.418969727E0;6.184838562E0;9.584419098E0
1.099540000E-1;-2.587070160E0;6.297703857E0;9.927505646E0
1.199340000E-1;-2.634820862E0;6.392756195E0;1.060574524E1
1.299430000E-1;-2.565065918E0;6.377188568E0;1.125000549E1
1.399530000E-1;-2.604883118E0;6.259084167E0;1.131467102E1
1.499630000E-1;-2.643802185E0;6.201753387E0;1.119087845E1
1.599420000E-1;-2.627037048E0;6.315965881E0;1.095107712E1
1.699520000E-1;-2.645149384E0;6.434818726E0;1.070274353E1
1.799620000E-1;-2.464175720E0;6.323450317E0;1.082264420E1
1.899410000E-1;-2.329904938E0;6.169869690E0;1.099194214E1
1.999510000E-1;-2.039059753E0;6.054908752E0;1.115091156E1
2.099600000E-1;-1.670825500E0;5.648204498E0;1.158530823E1
2.199400000E-1;-1.489851837E0;5.023254089E0;1.192525131E1
2.299490000E-1;-1.240769806E0;4.283492432E0;1.178948364E1
2.399590000E-1;-1.054257660E0;3.690425720E0;1.142798538E1
2.499690000E-1;-1.186582489E0;3.225791931E0;1.091081085E1
2.599480000E-1;-1.281634827E0;2.972668304E0;1.032148636E1
2.699580000E-1;-1.219813385E0;2.718646545E0;9.717941437E0
2.799680000E-1;-1.050066376E0;2.472558289E0;9.249864807E0
2.899470000E-1;-6.231541443E-1;2.723586273E0;9.086554413E0
2.999570000E-1;-3.876937866E-1;2.775977325E0;9.051676941E0
3.099670000E-1;-3.350033569E-1;2.640059967E0;8.980724487E0
3.199460000E-1;-3.598516846E-1;2.717449036E0;8.904981995E0
3.299560000E-1;-4.956193542E-1;2.997816010E0;8.762777710E0
3.399650000E-1;-3.864962769E-1;3.588787079E0;8.821455688E0
3.499750000E-1;-5.409750366E-1;3.691174164E0;8.880133667E0
3.599540000E-1;-6.021977234E-1;2.992726593E0;8.138126678E0
3.699640000E-1;-1.998344421E-1;2.699935455E0;7.644303589E0
3.799740000E-1;-3.115022278E-1;2.856659546E0;7.236252136E0
3.899530000E-1;-4.800517273E-1;3.099304962E0;7.120093689E0
