"Time (s)";"X (hPa)"
-5.290143750E-1;9.916820526E2
4.905416250E-1;9.916754150E2
1.510034625E0;9.916687775E2
2.529440625E0;9.916687775E2
3.548961625E0;9.916937256E2
4.568582625E0;9.916995239E2
4.725159625E0;9.916995239E2
5.669110625E0;9.917034149E2
6.613157625E0;9.917053986E2
7.557091625E0;9.917079163E2
8.501040625E0;9.917149353E2
9.445010625E0;9.917339325E2
1.038896162E1;9.917491913E2
1.133307762E1;9.917530060E2
1.227720962E1;9.917568207E2
1.322145462E1;9.917708588E2
1.416564962E1;9.917751312E2
1.510978162E1;9.917884827E2
1.605398162E1;9.918217468E2
1.699819162E1;9.918257141E2
1.794245762E1;9.918296814E2
1.888672862E1;9.918399811E2
1.983102562E1;9.918520355E2
2.077516462E1;9.918629456E2
2.171923862E1;9.918804932E2
2.266337662E1;9.919063568E2
2.360745362E1;9.919063568E2
2.455159562E1;9.919063568E2
2.549594962E1;9.919242859E2
2.644028562E1;9.919251251E2
2.738468362E1;9.919344330E2
2.832900862E1;9.919669342E2
2.927339362E1;9.919712067E2
3.021782462E1;9.919719696E2
3.116223862E1;9.919857788E2
3.210675262E1;9.919951630E2
3.305097962E1;9.920016479E2
3.399506662E1;9.920260620E2
3.493932462E1;9.920412445E2
3.588357962E1;9.920439148E2
3.682780762E1;9.920465088E2
3.777200262E1;9.920481873E2
3.871613862E1;9.920514679E2
3.966044462E1;9.920646667E2
4.060481962E1;9.920787811E2
4.154905662E1;9.920833588E2
4.249333162E1;9.920846558E2
4.343756962E1;9.920915985E2
4.438170962E1;9.920948792E2
4.532584562E1;9.921119690E2
4.627011462E1;9.921305847E2
4.721426362E1;9.921346283E2
4.815840462E1;9.921408844E2
4.910263662E1;9.921490479E2
5.004689962E1;9.921521759E2
5.099118462E1;9.921671295E2
5.193552762E1;9.921797180E2
5.287992262E1;9.921866608E2
5.382424662E1;9.921886444E2
5.476856162E1;9.922028351E2
5.571295962E1;9.922046661E2
5.665727462E1;9.922360229E2
5.760156362E1;9.922554016E2
5.854584462E1;9.922579193E2
5.949008962E1;9.922628021E2
6.043444062E1;9.922756195E2
6.137874062E1;9.922775269E2
6.232300462E1;9.923015594E2
6.326728062E1;9.923185730E2
6.421160562E1;9.923210907E2
6.515589562E1;9.923246002E2
6.610024662E1;9.923278809E2
6.704465862E1;9.923337555E2
6.798910262E1;9.923513031E2
6.893354362E1;9.923526764E2
6.987803662E1;9.923648071E2
7.082244762E1;9.923648071E2
7.176695162E1;9.923690033E2
7.271145762E1;9.923738861E2
7.365601062E1;9.923986053E2
7.460053462E1;9.923992920E2
7.554514862E1;9.924076080E2
7.648969862E1;9.924122620E2
7.743422962E1;9.924148560E2
7.837881462E1;9.924246979E2
7.932325362E1;9.924355316E2
8.026769162E1;9.924396515E2
8.121201862E1;9.924398804E2
8.215661562E1;9.924409485E2
8.310112962E1;9.924425507E2
8.404564862E1;9.924652863E2
8.499031062E1;9.924846649E2
8.593494362E1;9.924865723E2
8.687956962E1;9.924991608E2
8.782416162E1;9.925065613E2
8.876875762E1;9.925206757E2
8.971341762E1;9.925206757E2
9.065810062E1;9.925181580E2
9.160280662E1;9.925129700E2
9.254744862E1;9.925181580E2
9.349213062E1;9.925194550E2
9.443681562E1;9.925194550E2
9.538156962E1;9.925230408E2
9.632622662E1;9.925230408E2
9.727092462E1;9.925230408E2
9.821560462E1;9.925251770E2
9.916036462E1;9.925272369E2
1.001051026E2;9.925272369E2
1.010498176E2;9.925257111E2
1.019945456E2;9.925241852E2
1.029393506E2;9.925241852E2
