Time (s);Latitude (°);Longitude (°);Height (m);Velocity (m/s);Direction (°);Horizontal Accuracy (m);Vertical Accuracy (m)
0.00E+00;5,11e+10;7,40e+09;2,77e+11;-1,00e+09;-1,00e+09;1,06e+11;1,06e+11
1,51e+09;5,11e+10;7,40e+09;2,72e+11;1,17e+09;-1,00e+09;3,20e+10;3,20e+10
2,51e+09;5,11e+10;7,40e+09;2,54e+11;1,21e+09;-1,00e+09;3,20e+10;3,20e+10
3,51e+09;5,11e+10;7,40e+09;2,47e+11;1,21e+09;-1,00e+09;4,80e+10;4,80e+10
4,51e+09;5,11e+10;7,40e+09;2,47e+11;1,35e+09;-1,00e+09;3,20e+10;3,20e+10
5,51e+09;5,11e+10;7,40e+09;2,47e+11;9,85e+08;-1,00e+09;2,40e+10;2,40e+10
6,51e+09;5,11e+10;7,40e+09;2,79e+11;9,85e+08;-1,00e+09;2,40e+10;2,40e+10
7,52e+09;5,11e+10;7,40e+09;2,75e+11;9,85e+08;3,83e+10;2,40e+10;2,40e+10
8,61e+09;5,11e+10;7,40e+09;2,78e+11;1,15e+09;3,35e+10;1,60e+10;1,60e+10
9,56e+09;5,11e+10;7,40e+09;2,78e+11;1,55e+09;5,09e+10;1,60e+10;1,60e+10
1,06e+10;5,11e+10;7,40e+09;2,79e+11;1,55e+09;6,06e+10;1,20e+10;1,20e+10
1,16e+10;5,11e+10;7,40e+09;2,79e+11;1,48e+09;5,69e+10;1,20e+10;1,20e+10
1,26e+10;5,11e+10;7,40e+09;2,79e+11;9,15e+08;4,58e+10;1,20e+10;1,20e+10
1,36e+10;5,11e+10;7,40e+09;2,79e+11;1,18e+09;4,98e+10;1,20e+10;1,20e+10
1,46e+10;5,11e+10;7,40e+09;2,79e+11;1,18e+09;6,14e+10;8,00e+09;8,00e+09
1,56e+10;5,11e+10;7,40e+09;2,79e+11;8,55e+08;6,01e+10;8,00e+09;8,00e+09
1,66e+10;5,11e+10;7,40e+09;2,79e+11;8,55e+08;4,96e+10;8,00e+09;8,00e+09
1,85e+10;5,11e+10;7,40e+09;2,79e+11;1,57e+09;4,94e+10;8,00e+09;8,00e+09
1,95e+10;5,11e+10;7,40e+09;2,79e+11;1,57e+09;4,87e+10;8,00e+09;8,00e+09
2,05e+10;5,11e+10;7,40e+09;2,79e+11;1,37e+09;4,51e+10;8,00e+09;8,00e+09
2,15e+10;5,11e+10;7,40e+09;2,79e+11;1,28e+09;4,06e+10;8,00e+09;8,00e+09
2,25e+10;5,11e+10;7,40e+09;2,79e+11;1,52e+09;4,69e+10;8,00e+09;8,00e+09
2,35e+10;5,11e+10;7,40e+09;2,79e+11;1,52e+09;5,18e+10;8,00e+09;8,00e+09
2,45e+10;5,11e+10;7,40e+09;2,79e+11;1,26e+09;5,27e+10;8,00e+09;8,00e+09
2,55e+10;5,11e+10;7,40e+09;2,79e+11;1,26e+09;5,13e+10;8,00e+09;8,00e+09
2,65e+10;5,11e+10;7,40e+09;2,79e+11;1,41e+09;5,08e+10;8,00e+09;8,00e+09
2,75e+10;5,11e+10;7,40e+09;2,80e+11;1,54e+09;5,17e+10;8,00e+09;8,00e+09
2,85e+10;5,11e+10;7,40e+09;2,80e+11;1,41e+09;5,03e+10;8,00e+09;8,00e+09
