"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.619560000E-1;1.002986729E-2;2.495259494E-1;-8.024236560E-2
1.719360000E-1;1.140438840E-1;5.737302080E-2;-2.878582478E-2
1.819450000E-1;1.519335508E-1;-1.511531472E-1;-4.970449954E-3
1.919550000E-1;1.518073082E-1;-2.755779028E-1;3.829966299E-3
2.019650000E-1;8.493418992E-2;-3.063579202E-1;-9.788656607E-4
2.119440000E-1;-4.372072220E-2;-2.548699677E-1;-3.822077811E-2
2.219540000E-1;-1.621118039E-1;-3.192609176E-2;-8.768127114E-2
2.319640000E-1;-2.139438540E-1;2.901842892E-1;-1.258928329E-1
2.419430000E-1;-2.101899683E-1;5.577021837E-1;-1.537562162E-1
2.519530000E-1;-1.762727499E-1;6.514286995E-1;-1.369335502E-1
2.619620000E-1;-1.144689843E-1;5.873891115E-1;-8.150462806E-2
2.719720000E-1;-3.498959914E-2;4.343607426E-1;-7.608033717E-3
2.819510000E-1;2.806361020E-2;2.043422461E-1;1.117618158E-1
2.919610000E-1;7.223400474E-2;-4.459088296E-2;1.970892251E-1
3.019710000E-1;6.617967039E-2;-2.987784445E-1;1.892554313E-1
3.119500000E-1;1.732774079E-3;-4.675003290E-1;1.291939616E-1
3.219600000E-1;-9.771419317E-2;-5.293771029E-1;9.187823534E-2
3.319700000E-1;-2.527639568E-1;-5.281088948E-1;1.080790386E-1
3.419490000E-1;-4.878306985E-1;-5.599046350E-1;1.386178434E-1
3.519590000E-1;-6.653327942E-1;-4.380311966E-1;1.150968075E-1
3.619690000E-1;-8.097236156E-1;-3.282252848E-1;1.191970930E-1
3.719780000E-1;-9.303458929E-1;-2.403300554E-1;1.858056784E-1
3.819580000E-1;-1.038558125E0;-4.263174534E-1;2.811937034E-1
3.919670000E-1;-1.149826288E0;-7.150450945E-1;3.676801026E-1
4.019770000E-1;-1.190699697E0;-8.354088068E-1;4.804852307E-1
4.119560000E-1;-1.139712691E0;-7.456245422E-1;5.815268755E-1
4.219660000E-1;-1.078028083E0;-5.920364261E-1;6.132540107E-1
4.319760000E-1;-1.047489882E0;-3.922477067E-1;5.778691173E-1
4.419550000E-1;-9.962127209E-1;-2.331510931E-1;5.308753252E-1
4.519650000E-1;-8.859826326E-1;-2.219461203E-1;5.247915983E-1
4.619750000E-1;-7.035816312E-1;-3.181277514E-1;5.645158291E-1
4.719840000E-1;-4.544026852E-1;-3.651016653E-1;6.378446221E-1
4.819640000E-1;-1.847031713E-1;-3.238297105E-1;7.132545114E-1
4.919730000E-1;1.002244353E-1;-2.357219607E-1;7.704200745E-1
5.019830000E-1;3.791466057E-1;-4.225979373E-2;7.842366695E-1
5.119620000E-1;6.190052629E-1;1.788531542E-1;7.540966272E-1
5.219720000E-1;7.311921716E-1;2.932479084E-1;6.451193690E-1
5.319820000E-1;7.049363256E-1;2.552033365E-1;4.836129844E-1
5.419920000E-1;6.071513891E-1;6.961949170E-2;2.773246765E-1
5.519710000E-1;4.948485494E-1;-2.670389712E-1;5.554541200E-2
5.619810000E-1;3.869091868E-1;-6.680573821E-1;-1.380957216E-1
5.719910000E-1;3.138930500E-1;-9.504930973E-1;-2.524228096E-1
5.819700000E-1;3.018825948E-1;-9.828361273E-1;-2.664441168E-1
5.919800000E-1;3.699575067E-1;-7.890653014E-1;-2.077578753E-1
6.019890000E-1;4.871530533E-1;-5.071892142E-1;-1.343740225E-1
6.119690000E-1;6.334317327E-1;-1.768530905E-1;-9.308703989E-2
6.219780000E-1;7.169301510E-1;5.600396916E-2;-8.085402846E-2
6.319880000E-1;7.285287380E-1;5.340232700E-2;-1.062565893E-1
6.419980000E-1;6.796979904E-1;-1.042232960E-1;-9.401533008E-2
6.519770000E-1;5.452975631E-1;-2.618424892E-1;-7.173958421E-2
6.619870000E-1;3.432863951E-1;-3.318670690E-1;-1.134898234E-2
6.719970000E-1;1.104288995E-1;-3.451690078E-1;1.244229600E-1
6.819760000E-1;-1.314924955E-1;-3.371257782E-1;2.732381225E-1
6.919860000E-1;-3.684531152E-1;-3.915174007E-1;3.537540138E-1
7.019950000E-1;-5.632256866E-1;-5.149061680E-1;3.693826497E-1
7.119750000E-1;-7.374256849E-1;-6.739490628E-1;2.744441628E-1
7.219840000E-1;-9.604172111E-1;-8.122951984E-1;9.360836446E-2
7.319940000E-1;-1.238782287E0;-8.643315434E-1;-7.178405672E-2
7.420040000E-1;-1.558816195E0;-7.954828739E-1;-9.425656497E-2
7.519830000E-1;-1.878254890E0;-7.078281045E-1;2.733165771E-2
7.619930000E-1;-2.105622292E0;-6.582196951E-1;2.354465574E-1
7.720030000E-1;-2.209019661E0;-7.053046823E-1;4.084055722E-1
7.819820000E-1;-2.198005915E0;-8.689408302E-1;4.150632024E-1
7.919920000E-1;-2.033669472E0;-9.298947453E-1;2.921809554E-1
8.020010000E-1;-1.742693782E0;-9.314005971E-1;1.180557311E-1
8.120110000E-1;-1.375075340E0;-9.730575085E-1;-1.570313610E-2
8.219910000E-1;-9.497025609E-1;-9.274215698E-1;-4.050660133E-2
8.320000000E-1;-5.268769860E-1;-8.918358684E-1;3.071831167E-2
8.420100000E-1;-2.888749912E-2;-9.049627781E-1;1.572733372E-1
8.519890000E-1;5.167796016E-1;-9.205393195E-1;2.774319649E-1
8.619990000E-1;1.016903639E0;-9.377270341E-1;3.552809358E-1
8.720090000E-1;1.347059131E0;-1.111897588E0;3.838396072E-1
8.819880000E-1;1.453440905E0;-1.138479948E0;3.761074543E-1
8.920329167E-1;1.368148446E0;-1.122593164E0;3.810548186E-1
9.020429167E-1;1.107810020E0;-1.115153670E0;4.148849845E-1
9.120519167E-1;7.428235412E-1;-1.060607314E0;4.803534746E-1
9.220319167E-1;3.545346260E-1;-9.522290826E-1;5.458725691E-1
