"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.619560000E-1;-5.844423607E-1;1.251633348E0;2.752146413E0
1.719360000E-1;-5.812386712E-1;1.341802676E0;2.574050165E0
1.819450000E-1;-3.729041317E-1;1.163041014E0;2.746568170E0
1.919550000E-1;-2.566854581E-1;1.048228596E0;2.898087069E0
2.019650000E-1;3.889830977E-2;8.507108206E-1;3.095860367E0
2.119440000E-1;3.752593902E-1;4.176046336E-1;3.566713255E0
2.219540000E-1;5.121272135E-1;-2.559127486E-1;3.799754620E0
2.319640000E-1;8.201361685E-1;-9.460128343E-1;3.594397482E0
2.419430000E-1;9.662789914E-1;-1.503451876E0;3.196125498E0
2.519530000E-1;8.785999927E-1;-1.902859975E0;2.662883404E0
2.619620000E-1;8.687322316E-1;-2.122298377E0;2.067701170E0
2.719720000E-1;9.835116130E-1;-2.395703655E0;1.483326344E0
2.819510000E-1;1.263630373E0;-2.553712964E0;1.083862113E0
2.919610000E-1;1.639984069E0;-2.286436152E0;9.630329096E-1
3.019710000E-1;1.839562111E0;-2.318769500E0;9.360632122E-1
3.119500000E-1;1.807379913E0;-2.436456994E0;8.423680133E-1
3.219600000E-1;1.735563826E0;-2.309668894E0;7.604993927E-1
3.319700000E-1;1.533057645E0;-1.987179163E0;5.737416637E-1
3.419490000E-1;1.664311702E0;-1.299298096E0;7.165938199E-1
3.519590000E-1;1.332966071E0;-1.439331894E0;5.392869455E-1
3.619690000E-1;1.417159398E0;-2.014599096E0;-2.535551512E-1
3.719780000E-1;1.703086197E0;-2.175856533E0;-7.522355229E-1
3.819580000E-1;1.491271249E0;-1.852510478E0;-1.169620301E0
3.919670000E-1;1.285915135E0;-1.591175898E0;-1.335774781E0
4.019770000E-1;9.956029241E-1;-1.677980154E0;-1.793480789E0
4.119560000E-1;8.652923146E-1;-1.701600566E0;-2.481380568E0
4.219660000E-1;8.485134369E-1;-1.626028812E0;-2.916671859E0
4.319760000E-1;8.164502299E-1;-1.658018636E0;-2.989629323E0
4.419550000E-1;8.129226047E-1;-1.713782947E0;-3.035039384E0
4.519650000E-1;8.436994243E-1;-1.843099969E0;-3.012435803E0
4.619750000E-1;7.858116969E-1;-1.997305371E0;-2.710077451E0
4.719840000E-1;7.837827131E-1;-1.971499854E0;-2.422316088E0
4.819640000E-1;8.438374186E-1;-1.749577847E0;-2.516665590E0
4.919730000E-1;8.119960403E-1;-1.573462051E0;-2.836381402E0
5.019830000E-1;7.386601885E-1;-1.493575344E0;-3.015444780E0
5.119620000E-1;8.163291194E-1;-1.432805524E0;-3.106825651E0
5.219720000E-1;9.942901511E-1;-1.358402629E0;-2.873628750E0
5.319820000E-1;1.132892332E0;-1.203499361E0;-2.361414998E0
5.419920000E-1;1.296754557E0;-9.768522191E-1;-1.917746401E0
5.519710000E-1;1.477742546E0;-1.935280446E0;-9.767317665E-1
5.619810000E-1;1.203717901E0;-1.986961062E0;-6.415132320E-1
5.719910000E-1;9.487224340E-1;-1.892327970E0;-3.415808898E-1
5.819700000E-1;8.226536871E-1;-1.689255924E0;-2.159511226E-1
5.919800000E-1;1.161659902E0;-1.981048942E0;1.441332811E-1
6.019890000E-1;1.415610763E0;-1.709656275E0;-7.486365616E-2
6.119690000E-1;1.643791776E0;-1.764077480E0;-2.345961392E-1
6.219780000E-1;1.760217149E0;-1.873834981E0;-4.231629968E-3
6.319880000E-1;1.986135435E0;-2.037419025E0;1.295047170E0
6.419980000E-1;1.853428783E0;-1.620234806E0;2.096668861E0
6.519770000E-1;1.908916082E0;-1.495681511E0;2.543307259E0
6.619870000E-1;1.776044100E0;-1.540223846E0;2.708005782E0
6.719970000E-1;1.819447981E0;-1.809502160E0;3.251926062E0
6.819760000E-1;2.050603473E0;-1.752119924E0;3.520030839E0
6.919860000E-1;2.226586538E0;-1.828179336E0;3.806834428E0
7.019950000E-1;2.232992455E0;-1.670674058E0;4.070051519E0
7.119750000E-1;2.151490893E0;-1.740511447E0;4.599968886E0
7.219840000E-1;2.020534020E0;-1.872200099E0;5.015152772E0
7.319940000E-1;1.845619534E0;-2.365260712E0;5.613577287E0
7.420040000E-1;1.676399944E0;-2.634642522E0;5.905861471E0
7.519830000E-1;1.503664422E0;-2.721954315E0;6.116802700E0
7.619930000E-1;1.432629084E0;-3.107201042E0;6.393357289E0
7.720030000E-1;1.758127500E0;-3.923264771E0;6.285068024E0
7.819820000E-1;2.355595118E0;-5.100478851E0;6.266415406E0
7.919920000E-1;2.665559090E0;-6.067632294E0;6.324954221E0
8.020010000E-1;2.545100600E0;-6.657859012E0;6.001957537E0
8.120110000E-1;1.946966399E0;-6.902696550E0;6.067699537E0
8.219910000E-1;1.235893082E0;-6.829776508E0;6.024219056E0
8.320000000E-1;6.927972601E-1;-6.948162745E0;5.661977615E0
8.420100000E-1;3.221924729E-1;-7.107437391E0;5.111653465E0
8.519890000E-1;1.823832078E-1;-7.005686483E0;3.862387655E0
8.619990000E-1;-2.270473838E-3;-6.900451219E0;2.497119518E0
8.720090000E-1;-1.042250841E-1;-6.709464784E0;1.553352014E0
8.819880000E-1;1.705428153E-2;-6.604566904E0;1.275116935E0
8.920329167E-1;-4.423703693E-2;-6.199188214E0;6.400561059E-1
9.020429167E-1;-1.594879963E-1;-5.679964235E0;5.319703245E-1
9.120519167E-1;-3.351385007E-1;-5.193423268E0;7.180749196E-1
9.220319167E-1;-4.197068172E-1;-4.569923553E0;7.324169701E-1
