"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
0.000000000E0;-2.339784393E0;5.723198547E0;7.982450409E0
9.978999995E-3;-2.230661316E0;5.669160919E0;7.850125580E0
1.998899999E-2;-2.186652832E0;5.538482666E0;7.723488922E0
2.999800000E-2;-2.114353180E0;5.460045776E0;7.618407440E0
4.000800000E-2;-2.065404968E0;5.488935699E0;7.524552612E0
4.998699999E-2;-2.038610687E0;5.479056244E0;7.483687592E0
5.999699999E-2;-2.022444305E0;5.388195190E0;7.548802185E0
7.000700000E-2;-2.048639832E0;5.335355072E0;7.668403473E0
8.001700000E-2;-2.087109833E0;5.349874878E0;7.816295929E0
8.999600000E-2;-2.113305359E0;5.389991455E0;7.918084259E0
1.000060000E-1;-2.115251312E0;5.418432312E0;7.946225739E0
1.100150000E-1;-2.103575592E0;5.439388733E0;7.909701691E0
1.200250000E-1;-1.966311035E0;5.517526245E0;7.801626434E0
1.300040000E-1;-1.873354340E0;5.551655273E0;7.683821411E0
1.400140000E-1;-1.839375000E0;5.546715546E0;7.637417908E0
1.500240000E-1;-1.879491577E0;5.519172821E0;7.696245575E0
1.600340000E-1;-1.946701813E0;5.525459747E0;7.745792542E0
1.700130000E-1;-1.975292358E0;5.576353912E0;7.718848572E0
1.800230000E-1;-1.985620880E0;5.611081696E0;7.662266235E0
1.900320000E-1;-1.996548157E0;5.591921539E0;7.635022888E0
2.000420000E-1;-1.947749634E0;5.616919556E0;7.577542419E0
2.100520000E-1;-1.919608154E0;5.598358154E0;7.530390472E0
2.200310000E-1;-1.893562317E0;5.561684418E0;7.538773041E0
2.300410000E-1;-1.830393677E0;5.521867218E0;7.597900085E0
2.400510000E-1;-1.755549316E0;5.495372314E0;7.714058533E0
2.500610000E-1;-1.761387177E0;5.447920990E0;7.813152466E0
2.600400000E-1;-1.834884338E0;5.389692078E0;7.872578888E0
2.700500000E-1;-1.888023834E0;5.351820831E0;7.892487488E0
2.800590000E-1;-1.929936676E0;5.343138885E0;7.799530792E0
2.900690000E-1;-1.986668701E0;5.271288300E0;7.625442810E0
3.000480000E-1;-2.076332245E0;5.181774445E0;7.483687592E0
