"Time (s)";"X (hPa)"
-5.203792500E-1;9.929053497E2
5.092337500E-1;9.929041290E2
1.538944750E0;9.929029846E2
2.568597750E0;9.929029846E2
3.598228750E0;9.929164124E2
4.627783750E0;9.929315948E2
4.770172750E0;9.929315948E2
5.723438750E0;9.929315948E2
6.676669750E0;9.929310608E2
7.629883750E0;9.929310608E2
8.582985750E0;9.929210663E2
9.536180750E0;9.929176331E2
1.048920775E1;9.929120636E2
1.144229975E1;9.929069519E2
1.239532175E1;9.929069519E2
1.334828375E1;9.929124451E2
1.430126975E1;9.929191589E2
1.525423875E1;9.929214478E2
1.620719575E1;9.929253387E2
1.716020375E1;9.929253387E2
1.811313975E1;9.929253387E2
1.906611475E1;9.929267120E2
2.001905675E1;9.929267120E2
2.097208475E1;9.929218292E2
2.192507575E1;9.929206848E2
2.287804475E1;9.929130554E2
2.383106775E1;9.928989410E2
2.478411575E1;9.928873444E2
2.573716875E1;9.928837585E2
2.669025375E1;9.928736115E2
2.764330975E1;9.928654480E2
2.859642875E1;9.928654480E2
2.954951475E1;9.928691864E2
3.050259175E1;9.928698730E2
3.145560775E1;9.928698730E2
3.240871875E1;9.928681183E2
3.336159875E1;9.928655243E2
3.431465475E1;9.928558350E2
3.526770075E1;9.928509521E2
3.622072875E1;9.928485870E2
3.717382775E1;9.928402710E2
3.812695575E1;9.928352356E2
3.907995875E1;9.928350830E2
4.003301175E1;9.928279877E2
4.098606075E1;9.928274536E2
4.193915075E1;9.928244019E2
4.289220675E1;9.928191376E2
4.384532575E1;9.928164673E2
4.479850575E1;9.928132629E2
4.575154475E1;9.928132629E2
4.670470875E1;9.928123474E2
4.765786975E1;9.928123474E2
4.861104175E1;9.928123474E2
4.956428975E1;9.928113556E2
5.051754275E1;9.928092194E2
5.147088675E1;9.927995300E2
5.242439675E1;9.927953339E2
5.337797075E1;9.927892303E2
5.433166575E1;9.927852631E2
5.528537675E1;9.927852631E2
5.623902375E1;9.927901459E2
5.719250275E1;9.927901459E2
5.814606975E1;9.927893066E2
5.909947575E1;9.927883148E2
6.005278475E1;9.927865601E2
6.100617875E1;9.927712250E2
6.195960275E1;9.927642059E2
6.291304675E1;9.927597046E2
6.386658375E1;9.927508545E2
6.482059775E1;9.927387238E2
6.577458075E1;9.927382660E2
6.672869675E1;9.927331543E2
6.768283075E1;9.927217102E2
6.863685975E1;9.927129364E2
6.959093375E1;9.927122498E2
7.054473475E1;9.927071381E2
7.149820875E1;9.927068329E2
7.245176975E1;9.927061462E2
7.340544475E1;9.927010345E2
7.435902775E1;9.926955414E2
7.531264575E1;9.926931763E2
7.626620175E1;9.926923370E2
7.721980775E1;9.926876831E2
7.817347475E1;9.926876831E2
7.912715575E1;9.926884460E2
8.008086075E1;9.926884460E2
8.103460875E1;9.926860046E2
8.198837275E1;9.926856995E2
8.294208875E1;9.926824188E2
8.389583575E1;9.926818085E2
8.484961375E1;9.926809692E2
8.580339575E1;9.926792145E2
8.675723675E1;9.926792145E2
8.771105875E1;9.926712036E2
8.866499675E1;9.926676941E2
8.961882975E1;9.926647949E2
9.057264175E1;9.926617432E2
9.152654975E1;9.926530457E2
9.248042575E1;9.926463318E2
9.343426475E1;9.926445007E2
9.438822775E1;9.926393127E2
9.534219975E1;9.926331329E2
9.629617375E1;9.926239777E2
9.725012175E1;9.926205444E2
9.820420475E1;9.926123810E2
9.915823475E1;9.926015472E2
1.001123057E2;9.926015472E2
1.010664727E2;9.926015472E2
1.020206567E2;9.925972748E2
1.029749777E2;9.925965118E2
1.039291707E2;9.925965118E2
1.048834287E2;9.925952148E2
1.058377137E2;9.925952148E2
1.067920347E2;9.925952148E2
1.077463917E2;9.925912476E2
1.087007837E2;9.925817871E2
1.096551877E2;9.925800323E2
1.106095797E2;9.925798798E2
1.115641497E2;9.925718689E2
1.125188617E2;9.925691986E2
1.134735917E2;9.925691986E2
1.144281567E2;9.925691986E2
1.153827257E2;9.925666809E2
1.163373187E2;9.925666809E2
1.172918647E2;9.925666809E2
1.182465377E2;9.925562286E2
1.192011457E2;9.925525665E2
1.201557017E2;9.925463104E2
1.211102607E2;9.925300598E2
1.220648867E2;9.925184631E2
1.230195217E2;9.925102997E2
1.239741827E2;9.924994659E2
1.249288117E2;9.924940491E2
1.258835677E2;9.924883270E2
1.268382917E2;9.924874115E2
1.277930547E2;9.924858093E2
1.287477097E2;9.924856567E2
1.297024617E2;9.924848938E2
1.306572137E2;9.924813080E2
1.316119097E2;9.924811554E2
1.325666827E2;9.924727631E2
1.335214627E2;9.924681854E2
1.344762967E2;9.924629974E2
1.354311107E2;9.924574280E2
1.363859817E2;9.924501801E2
1.373409487E2;9.924482727E2
1.382959297E2;9.924468231E2
1.392508717E2;9.924397278E2
1.402057757E2;9.924365997E2
1.411609197E2;9.924337006E2
1.421161197E2;9.924324799E2
1.430714207E2;9.924324799E2
1.440268437E2;9.924336243E2
1.449821927E2;9.924337006E2
1.459375957E2;9.924362183E2
1.468927747E2;9.924423981E2
1.478478567E2;9.924440002E2
1.488030967E2;9.924443817E2
1.497582907E2;9.924443817E2
1.507134557E2;9.924443817E2
1.516687117E2;9.924427795E2
1.526239367E2;9.924370575E2
1.535792777E2;9.924359894E2
1.545347027E2;9.924243927E2
1.554901187E2;9.924097443E2
1.564455097E2;9.923923492E2
1.574008727E2;9.923804474E2
1.583562507E2;9.923711395E2
1.593116157E2;9.923617554E2
1.602670777E2;9.923593903E2
1.612225637E2;9.923561859E2
1.621780537E2;9.923520660E2
1.631335287E2;9.923409271E2
1.640890097E2;9.923316956E2
1.650446407E2;9.923165131E2
1.660003807E2;9.923139954E2
1.669559737E2;9.923046875E2
1.679115497E2;9.923029327E2
1.688671477E2;9.923029327E2
1.698226277E2;9.922976685E2
1.707782037E2;9.922969055E2
1.717338057E2;9.922946930E2
1.726895027E2;9.922845459E2
1.736452337E2;9.922785187E2
1.746010207E2;9.922673035E2
1.755568467E2;9.922582245E2
1.765126427E2;9.922487640E2
