"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
0.000000000E0;5.112155589E1;7.410867931E0;2.725278017E2;2.326819813E-3;2.684257514E2;6.000906205E0;6.000906205E0
1.000021338E0;5.112155554E1;7.410868114E0;2.725268643E2;4.002470151E-2;2.683595532E2;6.000906205E0;6.000906205E0
1.999870181E0;5.112155494E1;7.410867757E0;2.725260289E2;2.924622037E-2;2.681745370E2;6.000906205E0;6.000906205E0
2.999655008E0;5.112155506E1;7.410866715E0;2.725237756E2;3.705416992E-2;2.680845424E2;6.000906205E0;6.000906205E0
3.999454975E0;5.112155467E1;7.410866962E0;2.725225340E2;2.940948494E-2;2.679963510E2;6.000906205E0;6.000906205E0
4.999271870E0;5.112155454E1;7.410867186E0;2.725216134E2;5.310519482E-4;2.692389264E2;6.000906205E0;6.000906205E0
5.999096632E0;5.112155252E1;7.410869356E0;2.725214389E2;3.183317780E-1;2.709583855E2;6.000906205E0;6.000906205E0
6.998936772E0;5.112155230E1;7.410868751E0;2.725185925E2;1.487222612E-1;2.793701733E2;6.000906205E0;6.000906205E0
7.998788953E0;5.112155196E1;7.410869325E0;2.725168796E2;1.225116625E-1;2.887751798E2;6.000906205E0;6.000906205E0
8.998646498E0;5.112155221E1;7.410870785E0;2.725165161E2;1.218478456E-1;3.012268059E2;6.000906205E0;6.000906205E0
9.998518944E0;5.112155249E1;7.410875072E0;2.725191164E2;2.554075792E-2;3.021517228E2;8.001208274E0;8.001208274E0
1.099839926E1;5.112155393E1;7.410875667E0;2.725258859E2;4.632002413E-1;7.353834502E1;8.001208274E0;8.001208274E0
1.199828875E1;5.112155497E1;7.410887033E0;2.725313144E2;4.632002413E-1;7.556158366E1;8.001208274E0;8.001208274E0
1.299818778E1;5.112154373E1;7.410895304E0;2.725495178E2;3.439426050E-2;9.239086924E1;8.001208274E0;8.001208274E0
1.399809182E1;5.112153848E1;7.410896975E0;2.725338149E2;1.808189750E-1;9.375028862E1;8.001208274E0;8.001208274E0
1.499800432E1;5.112153778E1;7.410899438E0;2.725215330E2;4.157882929E-2;8.008110617E1;8.001208274E0;8.001208274E0
1.599792397E1;5.112153851E1;7.410883315E0;2.725222274E2;9.686977863E-1;3.012443459E2;8.001208274E0;8.001208274E0
1.699784958E1;5.112154115E1;7.410858136E0;2.725000220E2;9.686977863E-1;2.733428319E2;8.001208274E0;8.001208274E0
1.799778187E1;5.112154021E1;7.410845203E0;2.724679462E2;8.096568584E-1;2.625216812E2;6.000906205E0;6.000906205E0
1.899771953E1;5.112153719E1;7.410830253E0;2.724428758E2;7.199329734E-1;2.763777854E2;6.000906205E0;6.000906205E0
1.999766207E1;5.112153644E1;7.410813655E0;2.724130952E2;7.199329734E-1;2.954189868E2;6.000906205E0;6.000906205E0
2.099760985E1;5.112154142E1;7.410797926E0;2.724077001E2;8.561193943E-1;2.967349730E2;6.000906205E0;6.000906205E0
2.199756169E1;5.112154399E1;7.410777735E0;2.724232831E2;8.712396026E-1;3.075568340E2;8.001208274E0;8.001208274E0
2.299751890E1;5.112154832E1;7.410752505E0;2.724331910E2;8.712396026E-1;3.060667326E2;8.001208274E0;8.001208274E0
2.399747980E1;5.112154880E1;7.410730109E0;2.724481619E2;8.874205351E-1;2.941794441E2;8.001208274E0;8.001208274E0
2.499744368E1;5.112154836E1;7.410709944E0;2.724512245E2;9.347089529E-1;2.971094040E2;8.001208274E0;8.001208274E0
2.599741209E1;5.112154801E1;7.410687895E0;2.724501300E2;6.583147049E-1;3.036798274E2;8.001208274E0;8.001208274E0
2.699738300E1;5.112154333E1;7.410666972E0;2.724488670E2;7.862746716E-1;3.010843009E2;8.001208274E0;8.001208274E0
2.799735749E1;5.112154542E1;7.410644173E0;2.724335796E2;7.862746716E-1;2.991319869E2;8.001208274E0;8.001208274E0
2.899733484E1;5.112154988E1;7.410612596E0;2.724388349E2;1.031049728E0;2.839356356E2;8.001208274E0;8.001208274E0
2.999731529E1;5.112155819E1;7.410593791E0;2.724538074E2;1.031049728E0;2.797328290E2;8.001208274E0;8.001208274E0
3.099729812E1;5.112154495E1;7.410583942E0;2.724822486E2;6.426963210E-1;2.815372830E2;8.001208274E0;8.001208274E0
3.199728382E1;5.112153897E1;7.410573693E0;2.724421912E2;7.137551904E-1;2.807346812E2;8.001208274E0;8.001208274E0
3.299727046E1;5.112153692E1;7.410561329E0;2.724187945E2;7.137551904E-1;2.847034855E2;8.001208274E0;8.001208274E0
3.399726033E1;5.112153571E1;7.410537850E0;2.724098081E2;1.063762426E0;2.688746314E2;6.000906205E0;6.000906205E0
3.499725223E1;5.112153392E1;7.410511465E0;2.724050094E2;1.091263533E0;2.815676637E2;6.000906205E0;6.000906205E0
3.599724555E1;5.112153852E1;7.410483703E0;2.723987067E2;1.407792330E0;2.769748533E2;6.000906205E0;6.000906205E0
3.699724126E1;5.112153480E1;7.410455554E0;2.724129629E2;1.407792330E0;2.755436554E2;6.000906205E0;6.000906205E0
3.799723804E1;5.112152055E1;7.410434979E0;2.724023311E2;1.110703826E0;2.596476196E2;6.000906205E0;6.000906205E0
