"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.501399999E-2;5.663715303E-2;-4.876490682E-2;-1.413959265E-2
2.502400000E-2;-1.989916712E-2;-5.012631416E-2;-3.479932994E-2
3.500300000E-2;-4.434325546E-2;-6.207991019E-2;-2.893798053E-2
4.501300000E-2;-3.305518255E-2;-8.292820305E-2;-1.194834337E-2
5.502299999E-2;-1.385024376E-2;-1.278537363E-1;-3.420306370E-3
6.503200000E-2;-8.351881057E-3;-1.947776526E-1;-7.503997535E-3
7.501200000E-2;-1.892421022E-2;-2.690519989E-1;-1.758913510E-2
8.502099999E-2;-3.864704818E-2;-3.306727409E-1;-2.808784880E-2
9.503099999E-2;-3.618628904E-2;-3.598061204E-1;-4.754517227E-2
1.050410000E-1;4.349952564E-3;-3.130167723E-1;-7.882852852E-2
1.150510000E-1;7.056008279E-2;-2.221319526E-1;-7.801792026E-2
1.250300000E-1;1.217359155E-1;-1.047086492E-1;-8.248856664E-2
1.350400000E-1;1.239559352E-1;-2.015958726E-2;-8.819721639E-2
1.450500000E-1;7.992722839E-2;-1.032107137E-2;-9.340982139E-2
1.550590000E-1;2.516441792E-2;-6.960183382E-2;-9.254370630E-2
1.650390000E-1;-1.565038972E-2;-1.553289890E-1;-7.592292130E-2
1.750480000E-1;-3.710922971E-2;-2.262777686E-1;-5.311589688E-2
1.850580000E-1;-4.121369123E-2;-2.681682408E-1;-3.565887734E-2
1.950680000E-1;-3.478093818E-2;-2.621400058E-1;-2.185818367E-2
2.050470000E-1;-2.600342594E-2;-2.230147123E-1;-3.703946248E-3
2.150570000E-1;-1.815235056E-2;-1.633755863E-1;7.351856213E-3
2.250670000E-1;-2.202218957E-2;-9.803625941E-2;1.568941399E-2
2.350760000E-1;-3.182236105E-2;-4.717839137E-2;2.399507165E-2
2.450560000E-1;-3.150651231E-2;-1.481325924E-2;2.648459375E-2
2.550650000E-1;-1.510991342E-2;-1.901439391E-2;1.443598885E-2
2.650750000E-1;-3.352856729E-3;-4.464092851E-2;-5.834128708E-3
2.750850000E-1;-4.966893699E-3;-6.410034746E-2;-2.383846790E-2
2.850640000E-1;-1.707122661E-2;-7.501743734E-2;-6.100687385E-2
2.950740000E-1;-3.892259300E-2;-8.889432251E-2;-1.274752915E-1
3.050840000E-1;-4.506197572E-2;-1.200916544E-1;-1.911088675E-1
3.150940000E-1;-6.967622787E-3;-2.063226700E-1;-2.472735643E-1
3.251030000E-1;3.618996590E-2;-2.930759192E-1;-2.677553892E-1
3.350830000E-1;7.157534361E-2;-3.422789872E-1;-2.663077712E-1
3.450920000E-1;1.009974107E-1;-3.413814902E-1;-2.821533084E-1
3.551020000E-1;1.000740230E-1;-2.908607721E-1;-3.338721693E-1
3.651120000E-1;5.408628657E-2;-2.022898942E-1;-4.109368622E-1
3.750910000E-1;2.520713955E-2;-1.401294470E-1;-4.885159135E-1
3.851010000E-1;3.184080869E-2;-1.185370833E-1;-5.330203176E-1
3.951110000E-1;2.795450389E-2;-1.334216893E-1;-5.566858649E-1
4.051200000E-1;2.715459093E-3;-1.738551259E-1;-5.679422617E-1
4.151000000E-1;-6.459031254E-2;-1.776528209E-1;-5.731695890E-1
4.251090000E-1;-1.497358382E-1;-1.394508481E-1;-5.521990657E-1
4.351190000E-1;-1.376808882E-1;-1.895043701E-1;-4.680460393E-1
4.451290000E-1;-6.431345642E-2;-2.606184781E-1;-3.440042436E-1
4.551080000E-1;-1.669713669E-2;-2.598521411E-1;-2.263434976E-1
4.651180000E-1;-1.866468042E-2;-2.121562660E-1;-1.459818035E-1
4.751280000E-1;-2.656088769E-2;-1.474809796E-1;-1.065788344E-1
4.851402917E-1;-1.437932346E-2;-8.952792734E-2;-1.285848022E-1
4.951202917E-1;1.338833664E-2;-4.061115533E-2;-1.816272140E-1
5.051292917E-1;2.625247091E-2;1.455648988E-2;-2.066036612E-1
5.151392917E-1;8.714655414E-3;1.002483666E-1;-1.997317076E-1
5.251492917E-1;-1.658164710E-2;1.433367133E-1;-2.205344588E-1
5.351592917E-1;-3.704136983E-2;1.609794497E-1;-2.740210295E-1
5.451382917E-1;-3.144420311E-2;1.360498667E-1;-3.040135503E-1
5.551482917E-1;5.485838279E-3;5.474612862E-2;-2.683238387E-1
5.651582917E-1;2.413808741E-2;-5.002289638E-2;-1.682475507E-1
5.751672917E-1;2.066450939E-2;-2.065846473E-1;-5.730289221E-2
5.851472917E-1;2.484498546E-4;-4.176305830E-1;-4.822107032E-3
5.951562917E-1;-6.375411153E-2;-5.647986531E-1;-7.057283074E-4
6.051662917E-1;-1.606452316E-1;-6.167936921E-1;-2.182166465E-2
6.151762917E-1;-2.563192546E-1;-6.065275073E-1;-3.435860574E-2
6.251552917E-1;-3.071715236E-1;-5.359764099E-1;-4.976099730E-2
6.351652917E-1;-2.787324190E-1;-3.296394050E-1;-4.200501740E-2
6.451752917E-1;-1.701319218E-1;-3.350841999E-2;-2.103289030E-2
