"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.501399999E-2;-7.502767056E-2;1.300286275E-1;4.580884159E-2
2.502400000E-2;-1.236507770E-1;1.314693815E-1;-1.976429057E-1
3.500300000E-2;-2.179827377E-2;4.612283707E-3;-2.616669935E-1
4.501300000E-2;6.423970386E-2;-1.622076094E-2;-3.108777452E-1
5.502299999E-2;1.039044374E-1;-9.395306110E-3;-3.599499178E-1
6.503200000E-2;1.267309441E-1;-9.369461417E-2;-2.976004726E-1
7.501200000E-2;1.064875911E-1;-1.494799751E-1;-1.743078375E-1
8.502099999E-2;5.976146758E-2;-1.427527535E-1;-2.322572529E-2
9.503099999E-2;1.394180864E-2;-1.114496845E-1;7.939349413E-2
1.050410000E-1;-4.717679769E-3;-8.780939162E-2;1.063877499E-1
1.150510000E-1;-5.624875277E-3;-7.478296459E-2;7.206050098E-2
1.250300000E-1;1.251407938E-1;-1.424674094E-2;-2.534124792E-2
1.350400000E-1;2.191761544E-1;1.144300103E-3;-1.295801461E-1
1.450500000E-1;2.572282259E-1;-1.143715382E-2;-1.694564027E-1
1.550590000E-1;2.197532746E-1;-3.517217159E-2;-1.126278985E-1
1.650390000E-1;1.492354153E-1;-1.871401370E-2;-7.119335890E-2
1.750480000E-1;1.100108309E-1;4.420787394E-2;-1.094943756E-1
1.850580000E-1;8.361489147E-2;8.990971148E-2;-1.780781221E-1
1.950680000E-1;5.474587217E-2;7.896547794E-2;-2.158102047E-1
2.050470000E-1;8.174612135E-2;1.048282975E-1;-2.795612276E-1
2.150570000E-1;8.924225181E-2;8.209373832E-2;-3.290894830E-1
2.250670000E-1;9.913574070E-2;4.022767425E-2;-3.211723530E-1
2.350760000E-1;1.523886725E-1;-1.657100916E-3;-2.631001461E-1
2.450560000E-1;2.228919138E-1;-2.845196664E-2;-1.478246284E-1
2.550650000E-1;2.152392241E-1;-7.834742725E-2;-4.747003555E-2
2.650750000E-1;1.400244427E-1;-1.413254482E-1;1.486537635E-2
2.750850000E-1;8.492115945E-2;-1.835920465E-1;3.737598717E-2
2.850640000E-1;4.008354038E-2;-1.967681623E-1;-5.314651251E-2
2.950740000E-1;-1.809040815E-2;-2.705506682E-1;-2.262328666E-1
3.050840000E-1;-1.075685951E-1;-3.582513016E-1;-3.692212629E-1
3.150940000E-1;-1.165864635E-1;-3.381971061E-1;-3.724489260E-1
3.251030000E-1;-1.297489844E-1;-3.671723986E-1;-1.709737551E-1
3.350830000E-1;-2.579063568E-1;-2.729924655E-1;1.342696130E-1
3.450920000E-1;-2.867689441E-1;-7.926193178E-2;3.434204239E-1
3.551020000E-1;-1.305455214E-1;-1.381954336E-1;4.160726631E-1
3.651120000E-1;8.958022088E-2;-3.983883440E-1;2.631825918E-1
3.750910000E-1;2.947430845E-1;-5.446505964E-1;7.396143079E-3
3.851010000E-1;5.025857270E-1;-5.713308567E-1;-1.777582794E-1
3.951110000E-1;5.948948434E-1;-4.732180864E-1;-2.893623304E-1
4.051200000E-1;6.113758054E-1;-3.816904503E-1;-2.962877727E-1
4.151000000E-1;6.064001173E-1;-3.479093313E-1;-1.847883868E-1
4.251090000E-1;5.626728845E-1;-2.910229397E-1;-1.421680319E-1
4.351190000E-1;3.681114614E-1;-1.976820821E-1;-1.766157335E-1
4.451290000E-1;1.094144149E-1;1.288393039E-1;-4.385411739E-2
4.551080000E-1;-1.082284534E-1;4.462863958E-1;6.845276892E-2
4.651180000E-1;-2.120070295E-1;5.232141191E-1;4.623276472E-2
4.751280000E-1;-7.990600258E-2;4.249697864E-1;-7.722476184E-2
4.851402917E-1;8.631191969E-2;2.082251966E-1;-2.141390705E-1
4.951202917E-1;2.150019734E-1;-4.118486345E-2;-2.231221479E-1
5.051292917E-1;3.449401152E-1;-1.193504423E-1;-1.218021798E-1
5.151392917E-1;4.361265662E-1;-2.696735859E-3;-7.862107694E-2
5.251492917E-1;3.447145589E-1;2.985179007E-2;-1.964869112E-1
5.351592917E-1;2.092980145E-1;-1.047774267E-1;-1.949888545E-1
5.451382917E-1;1.279848795E-1;-1.951590085E-1;-1.565422422E-1
5.551482917E-1;-6.687694430E-2;-2.918052971E-1;-9.323443830E-2
5.651582917E-1;-2.505353567E-1;1.656223834E-2;8.602072835E-2
5.751672917E-1;-3.093184389E-1;4.648811263E-1;2.588012731E-1
5.851472917E-1;-2.826972355E-1;6.000699216E-1;4.520254380E-1
5.951562917E-1;-1.806707776E-1;4.478370774E-1;6.189675379E-1
6.051662917E-1;-4.770143911E-2;1.605850071E-1;5.742082715E-1
6.151762917E-1;7.275602728E-2;-3.111069560E-2;3.316184038E-1
6.251552917E-1;1.578258522E-1;-4.628305078E-2;4.562465429E-2
6.351652917E-1;1.594943552E-1;-7.953967452E-2;-3.069887620E-1
6.451752917E-1;2.801601286E-1;-7.682656646E-3;-7.862879527E-1
6.551842917E-1;5.367789285E-1;1.240714842E-1;-1.213056343E0
6.651642917E-1;5.614752285E-1;3.989379823E-2;-1.367024640E0
6.751732917E-1;3.206257845E-1;-1.861174589E-1;-1.081491067E0
6.851832917E-1;7.709056824E-2;-2.005688524E-1;-4.843780822E-1
6.951932917E-1;-7.310861439E-2;1.857952774E-2;5.606310368E-3
7.051722917E-1;-1.336780210E-1;1.277745259E-1;1.869483483E-1
7.151822917E-1;-1.849062082E-1;6.747511446E-2;8.838300347E-2
7.251922917E-1;-1.117666036E-1;-5.174785852E-3;-9.675797045E-2
7.352022917E-1;2.621292159E-2;7.404621542E-2;-1.701726866E-1
7.452112917E-1;1.776050824E-1;2.257446241E-1;-8.335790634E-3
7.551912917E-1;2.047167210E-1;-4.391434371E-2;2.815042573E-1
7.652002917E-1;2.229305054E-1;-4.239576334E-1;2.696338248E-1
7.752102917E-1;3.658662768E-1;-5.769704962E-1;-1.242252660E-1
7.852202917E-1;3.220147906E-1;-6.088612103E-1;-2.637269676E-1
7.951992917E-1;4.587754637E-2;-3.304670870E-1;-1.486005539E-1
8.052092917E-1;-2.779206450E-1;1.483292431E-1;-1.251350927E-1
8.152192917E-1;-3.625821881E-1;4.340832567E-1;-1.187867707E-1
8.252282917E-1;-1.598665304E-1;3.510305750E-1;-4.102991223E-2
8.352082917E-1;-1.853260383E-1;-3.641879797E-2;-1.342403769E-2
8.452172917E-1;-1.692681223E-2;-3.045984203E-1;-2.078574067E-1
8.552272917E-1;3.318995087E-1;-3.368007910E-1;-3.785177511E-1
8.652372917E-1;2.418826470E-1;9.297423720E-2;-3.813688534E-1
8.752162917E-1;3.584967385E-1;-5.347278714E-3;-1.971985173E-1
8.852262917E-1;4.644384921E-1;-4.925226688E-2;-3.489325941E-2
8.952362917E-1;4.823583077E-1;-5.643381715E-2;-4.047793508E-2
9.052452917E-1;3.981165947E-1;-1.692435640E-1;8.895953894E-3
9.152252917E-1;3.788564511E-1;-1.805444777E-1;4.128835917E-2
9.252342917E-1;3.265355654E-1;2.421741307E-2;-3.554873228E-2
9.352442917E-1;1.312742306E-1;3.309325254E-1;1.568626696E-1
9.452542917E-1;4.461951792E-2;3.394864172E-1;6.593296981E-1
9.552642917E-1;1.192620032E-1;2.411754262E-1;6.453946137E-1
9.652432917E-1;1.200942081E-1;3.564462662E-3;2.230209911E-1
