"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
0.000000000E0	-1.355581055E0	5.822142792E0	7.414681091E0
1.501400000E-2	-1.301543427E0	5.854625244E0	7.530839539E0
2.502400000E-2	-1.254840546E0	5.970035248E0	7.608228607E0
3.503400000E-2	-1.246008911E0	6.042035522E0	7.726931763E0
4.501300000E-2	-1.195114746E0	6.033054199E0	7.836204529E0
5.502299999E-2	-1.053209839E0	5.931415558E0	7.904612274E0
6.503299999E-2	-8.991801453E-1	5.819747772E0	7.958200836E0
7.501199999E-2	-8.226892090E-1	5.744454346E0	7.992329865E0
8.502199998E-2	-8.809181213E-1	5.728737030E0	8.006250916E0
9.503199998E-2	-1.051862640E0	5.803431702E0	8.083340607E0
1.050110000E-1	-1.147813110E0	5.848637695E0	8.016878815E0
1.150210000E-1	-1.060394897E0	5.746999054E0	7.766898651E0
1.250300000E-1	-8.894503784E-1	5.627547455E0	7.546407166E0
1.350400000E-1	-7.692503357E-1	5.618715820E0	7.404352570E0
1.459960000E-1	-6.918612671E-1	5.691165161E0	7.318730621E0
1.560060000E-1	-6.478527832E-1	5.751639404E0	7.319479065E0
1.660150000E-1	-6.511459351E-1	5.752986603E0	7.383246460E0
1.759950000E-1	-7.231462097E-1	5.738017731E0	7.542066193E0
1.860040000E-1	-7.996371460E-1	5.764812012E0	7.718549194E0
1.960140000E-1	-8.268804932E-1	5.758824463E0	7.881709900E0
2.059930000E-1	-8.616082764E-1	5.716911621E0	8.038883057E0
2.160030000E-1	-9.392967224E-1	5.659580841E0	8.152796173E0
2.260130000E-1	-1.009949799E0	5.611081696E0	8.200546875E0
2.359920000E-1	-1.024619293E0	5.629044342E0	8.231682129E0
2.460020000E-1	-1.013841705E0	5.660029907E0	8.208480377E0
2.560120000E-1	-9.479786682E-1	5.636079712E0	8.121511230E0
2.660220000E-1	-8.678952026E-1	5.561684418E0	7.975415039E0
2.760010000E-1	-7.584727478E-1	5.495971069E0	7.837701416E0
2.860110000E-1	-5.740562439E-1	5.432203674E0	7.729326782E0
2.960200000E-1	-4.559518433E-1	5.374573517E0	7.676636353E0
3.060000000E-1	-4.349954224E-1	5.357658691E0	7.755971375E0
3.160090000E-1	-4.822970581E-1	5.361400909E0	7.916886749E0
3.260190000E-1	-5.322930908E-1	5.342091064E0	7.991132355E0
3.359980000E-1	-5.643264771E-1	5.310506744E0	7.944878540E0
3.460080000E-1	-7.497908020E-1	5.408702545E0	7.827073517E0
3.560180000E-1	-9.250762939E-1	5.433700562E0	7.808811493E0
3.659970000E-1	-8.887019348E-1	5.495072937E0	7.839198303E0
3.760070000E-1	-8.325686646E-1	5.477559357E0	7.828420715E0
3.860170000E-1	-8.042774963E-1	5.382507019E0	7.818690948E0
3.960260000E-1	-7.795788574E-1	5.307962036E0	7.862250366E0
4.060060000E-1	-7.990383911E-1	5.299579468E0	7.973319397E0
4.160150000E-1	-8.875044250E-1	5.345533905E0	8.141868896E0
4.260250000E-1	-8.818162537E-1	5.364095306E0	8.395591278E0
4.360040000E-1	-8.475375366E-1	5.298681335E0	8.576115875E0
4.460140000E-1	-8.363108826E-1	5.218298492E0	8.634344788E0
4.560240000E-1	-8.161029053E-1	5.171296234E0	8.588689728E0
4.660030000E-1	-7.783813477E-1	5.160818024E0	8.500223694E0
4.760130000E-1	-7.357200623E-1	5.176086273E0	8.389004974E0
4.860230000E-1	-7.156617737E-1	5.209167480E0	8.281827850E0
4.960020000E-1	-6.792874146E-1	5.269492035E0	8.193062439E0
5.060120000E-1	-6.135740662E-1	5.328619080E0	8.106392670E0
5.160220000E-1	-5.336402893E-1	5.371579742E0	8.017627258E0
5.260310000E-1	-4.526586914E-1	5.387895813E0	7.892786865E0
5.360110000E-1	-3.773652649E-1	5.404810638E0	7.811954956E0
5.460200000E-1	-3.192860413E-1	5.417085114E0	7.763455811E0
5.560300000E-1	-2.492317200E-1	5.417833557E0	7.716154175E0
5.660090000E-1	-2.227368164E-1	5.440436554E0	7.745044098E0
5.760190000E-1	-2.755769348E-1	5.445525970E0	7.844437408E0
5.860290000E-1	-3.531156921E-1	5.413791962E0	7.918832703E0
5.960080000E-1	-4.203259277E-1	5.352269897E0	7.961194611E0
6.060180000E-1	-4.646337891E-1	5.280569000E0	7.993078308E0
6.160280000E-1	-5.185217285E-1	5.251978455E0	8.020920410E0
6.260370000E-1	-5.695655823E-1	5.234913940E0	8.065527649E0
6.360170000E-1	-5.996530151E-1	5.207520905E0	8.117020569E0
6.460260000E-1	-5.987548828E-1	5.155878296E0	8.136480103E0
6.560360000E-1	-6.021977234E-1	5.096002808E0	8.115224304E0
6.660150000E-1	-5.977070618E-1	5.045258331E0	8.082891541E0
6.760250000E-1	-5.792953491E-1	5.002746735E0	8.049960022E0
6.860350000E-1	-5.611830139E-1	4.984933777E0	7.974965973E0
6.960140000E-1	-4.887336731E-1	4.980592804E0	7.930209045E0
7.060550000E-1	-4.339476013E-1	4.962181091E0	7.923173676E0
7.160650000E-1	-4.652325439E-1	4.940326538E0	7.943980408E0
7.260440000E-1	-4.752616882E-1	4.938829651E0	7.924371185E0
7.360540000E-1	-4.291575623E-1	4.984035645E0	7.892337799E0
7.460640000E-1	-3.835025024E-1	5.050497437E0	7.831863556E0
7.560730000E-1	-3.326083374E-1	5.121300201E0	7.766599274E0
7.660530000E-1	-2.993774414E-1	5.159770203E0	7.704478455E0
7.760620000E-1	-2.779719543E-1	5.133424988E0	7.664661255E0
7.860720000E-1	-2.338137817E-1	5.092110901E0	7.659422150E0
7.960510000E-1	-1.998344421E-1	5.076842651E0	7.725883942E0
8.060610000E-1	-1.646575928E-1	5.080584869E0	7.850874023E0
8.160710000E-1	-1.555265808E-1	5.075196075E0	7.995623016E0
8.260500000E-1	-1.733395386E-1	5.051245880E0	8.119565277E0
8.360600000E-1	-2.177970886E-1	5.042713623E0	8.224347382E0
8.460700000E-1	-2.435435486E-1	5.016817474E0	8.283624115E0
8.560490000E-1	-2.906954956E-1	4.972509613E0	8.309669952E0
8.660590000E-1	-3.008743286E-1	4.952002258E0	8.307574310E0
8.760680000E-1	-2.577639771E-1	4.965025177E0	8.277337189E0
8.860780000E-1	-1.724414062E-1	4.984484711E0	8.221802673E0
8.960570000E-1	-1.264869690E-1	4.970114594E0	8.144413605E0
9.060670000E-1	-1.335223389E-1	4.981640625E0	8.113877106E0
9.160770000E-1	-1.618135071E-1	5.031486969E0	8.151299286E0
9.260560000E-1	-1.893562317E-1	5.050497437E0	8.162675629E0
9.360660000E-1	-2.423460388E-1	4.986280975E0	8.258476410E0
9.460760000E-1	-6.691085815E-2	4.962929535E0	8.144862671E0
9.560550000E-1	2.930905151E-1	5.056934052E0	7.746241608E0
9.660650000E-1	3.731739807E-1	4.966072998E0	7.417076111E0
9.760740000E-1	2.308200073E-1	4.660708008E0	7.250322876E0
9.860540000E-1	1.228944397E-1	4.417463837E0	7.306905212E0
9.960640000E-1	-1.291813660E-1	4.372257843E0	7.628286896E0
1.006073000E0	-8.427474976E-2	4.545447693E0	8.132139130E0
1.016083000E0	-1.621128845E-1	4.871170349E0	8.708141327E0
1.026062000E0	-9.553134155E-1	4.866529999E0	9.197024689E0
1.036072000E0	-1.034947815E0	4.996010742E0	9.638606415E0
1.046082000E0	-8.485853577E-1	5.212760010E0	9.435179443E0
1.056061000E0	-1.130449219E0	4.825814667E0	8.319998474E0
1.066071000E0	-6.285429382E-1	4.393363953E0	7.056925049E0
1.076081000E0	2.859054565E-2	4.111200714E0	6.303541718E0
1.086060000E0	2.594105530E-1	3.728446655E0	6.080206146E0
1.096070000E0	4.565505981E-2	3.281027069E0	6.613247681E0
1.106079000E0	-5.652246094E-1	3.198099518E0	7.323221283E0
1.116059000E0	-1.134041748E0	3.455264740E0	7.936645660E0
1.126068000E0	-1.070723419E0	3.617826691E0	9.293424225E0
1.136078000E0	-1.075812836E0	3.388054504E0	9.207053833E0
1.146088000E0	-1.584305420E0	2.982697449E0	7.320077820E0
1.156067000E0	-1.263971558E0	2.419119415E0	7.110812988E0
1.166077000E0	3.887416077E-1	2.086660767E0	7.469467163E0
1.176087000E0	9.626481628E-1	2.057920532E0	8.243956604E0
1.186066000E0	-2.995271301E-1	2.327360229E0	8.410709839E0
1.196076000E0	-1.239123230E0	2.310894470E0	8.704848175E0
1.206085000E0	-2.099683685E0	1.932032318E0	8.556656342E0
1.216065000E0	-3.176843719E0	1.496438141E0	7.882009277E0
1.226074000E0	-3.055296478E0	1.441951447E0	7.695946198E0
1.236084000E0	-2.376907196E0	1.571581879E0	7.689659271E0
1.246064000E0	-2.223027191E0	1.744322662E0	7.846982117E0
1.256073000E0	-2.265688477E0	2.031425629E0	8.237220612E0
1.266083000E0	-2.555336151E0	2.380499725E0	8.563691711E0
