"Time (s)"	"X (hPa)"
-5.120207917E-1	9.706768036E2
5.081772083E-1	9.706741333E2
1.528399208E0	9.706761932E2
2.548685208E0	9.706761932E2
3.568996208E0	9.706833649E2
4.589368208E0	9.706922913E2
4.745143208E0	9.706983185E2
5.690052208E0	9.706991577E2
6.634897208E0	9.707028961E2
7.579409208E0	9.707054901E2
8.524099208E0	9.707061005E2
9.468787208E0	9.707070923E2
1.041356621E1	9.707085419E2
1.135834421E1	9.707122040E2
1.230312121E1	9.707146454E2
1.324794521E1	9.707221985E2
1.419274021E1	9.707290649E2
1.513758221E1	9.707337952E2
1.608251721E1	9.707357788E2
1.702746121E1	9.707364655E2
1.797209621E1	9.707364655E2
1.891681721E1	9.707325745E2
1.986151421E1	9.707292938E2
2.080632521E1	9.707266998E2
2.175113321E1	9.707258606E2
2.269590021E1	9.707257843E2
2.364065421E1	9.707257843E2
2.458543821E1	9.707257843E2
2.553040521E1	9.707256317E2
2.647536321E1	9.707250214E2
2.742031721E1	9.707236481E2
2.836540221E1	9.707195282E2
2.931044021E1	9.707130432E2
3.025560121E1	9.707062531E2
3.120078021E1	9.706995392E2
3.214595821E1	9.706947327E2
3.309114021E1	9.706927490E2
3.403635421E1	9.706927490E2
3.498153921E1	9.706948853E2
3.592686821E1	9.706977844E2
3.687218421E1	9.707002258E2
3.781752521E1	9.707043457E2
3.876289821E1	9.707109833E2
3.970817621E1	9.707164001E2
4.065354321E1	9.707216644E2
4.159892021E1	9.707280731E2
4.254438021E1	9.707349396E2
4.348990021E1	9.707349396E2
4.443540921E1	9.707333374E2
4.538095321E1	9.707330322E2
4.632654021E1	9.707302094E2
4.727214721E1	9.707243347E2
4.821774721E1	9.707205963E2
4.916348221E1	9.707148743E2
5.010914621E1	9.707073212E2
5.105476121E1	9.706999969E2
5.200053921E1	9.706929779E2
5.294627621E1	9.706887817E2
5.389206221E1	9.706887817E2
5.483790321E1	9.706903839E2
5.578384321E1	9.706932068E2
5.672979321E1	9.706977081E2
5.767571521E1	9.707014465E2
5.862172721E1	9.707027435E2
5.956777121E1	9.707028198E2
6.051378221E1	9.707042694E2
6.145977721E1	9.707044220E2
6.240577721E1	9.707042694E2
6.335184921E1	9.707038879E2
6.429795521E1	9.707015991E2
6.524432521E1	9.706971741E2
6.619069421E1	9.706932831E2
6.713714221E1	9.706909180E2
6.808360221E1	9.706909180E2
6.903004021E1	9.706931305E2
6.997652421E1	9.706981659E2
7.092310121E1	9.706996155E2
7.186967121E1	9.707008362E2
7.281620021E1	9.707008362E2
7.376273221E1	9.707008362E2
7.470931421E1	9.707032776E2
7.565596421E1	9.707089233E2
7.660255021E1	9.707138062E2
7.754912421E1	9.707183075E2
7.849577821E1	9.707239532E2
7.944247021E1	9.707251740E2
8.038912221E1	9.707264709E2
8.133586921E1	9.707264709E2
8.228268621E1	9.707263184E2
8.322947621E1	9.707247925E2
8.417629021E1	9.707237244E2
8.512310021E1	9.707220459E2
8.606994421E1	9.707220459E2
8.701668721E1	9.707233429E2
8.796357621E1	9.707241058E2
8.891041921E1	9.707241058E2
8.985733221E1	9.707228851E2
9.080421621E1	9.707207489E2
9.175117521E1	9.707160950E2
9.269814921E1	9.707106018E2
9.364517921E1	9.707080841E2
9.459228221E1	9.707064819E2
9.553931021E1	9.707038116E2
9.648641021E1	9.707038116E2
9.743345821E1	9.707044220E2
9.838062521E1	9.707060242E2
9.932773821E1	9.707060242E2
1.002749342E2	9.707052612E2
1.012221322E2	9.707022858E2
1.021693922E2	9.707009888E2
1.031167062E2	9.706992340E2
1.040639172E2	9.706992340E2
1.050112612E2	9.707003021E2
1.059585562E2	9.707019043E2
1.069058802E2	9.707035065E2
1.078532592E2	9.707045746E2
1.088006472E2	9.707063293E2
1.097481092E2	9.707082367E2
1.106955842E2	9.707131958E2
1.116430932E2	9.707180786E2
1.125905042E2	9.707226562E2
1.135379362E2	9.707252502E2
1.144855472E2	9.707252502E2
1.154330842E2	9.707234955E2
1.163806862E2	9.707202148E2
1.173285502E2	9.707187653E2
1.182763912E2	9.707172394E2
1.192243392E2	9.707165527E2
1.201722702E2	9.707154083E2
1.211201712E2	9.707136536E2
1.220682532E2	9.707105255E2
1.230163372E2	9.707089996E2
1.239643502E2	9.707079315E2
1.249123992E2	9.707071686E2
1.258603262E2	9.707071686E2
1.268082492E2	9.707079315E2
1.277560292E2	9.707085419E2
1.287039202E2	9.707107544E2
1.296517812E2	9.707130432E2
1.305996522E2	9.707160950E2
1.315475882E2	9.707175446E2
1.324954602E2	9.707180023E2
