Time (s);Latitude (°);Longitude (°);Height (m);Velocity (m/s);Direction (°);Horizontal Accuracy (m);Vertical Accuracy (m)
0.000000000E0;5,11E+10;7,40E+09;2,80E+11;-1,00E+09;-1,00E+09;5,63E+11;5,63E+11
4,11E+08;5,11E+10;7,40E+09;2,81E+11;-1,00E+09;-1,00E+09;6,50E+10;6,50E+10
2,22E+09;5,11E+10;7,40E+09;2,81E+11;-1,00E+09;-1,00E+09;6,50E+10;6,50E+10
8,74E+09;5,11E+10;7,40E+09;2,80E+11;-1,00E+09;-1,00E+09;6,50E+10;6,50E+10
1,06E+10;5,11E+10;7,40E+09;2,80E+11;-1,00E+09;-1,00E+09;6,50E+10;6,50E+10
2,68E+10;5,11E+10;7,40E+09;2,81E+11;-1,00E+09;-1,00E+09;1,12E+11;1,12E+11
2,86E+10;5,11E+10;7,40E+09;2,82E+11;-1,00E+09;-1,00E+09;1,12E+11;1,12E+11
4,06E+10;5,11E+10;7,40E+09;2,82E+11;8,61E+02;-1,00E+09;2,00E+11;2,00E+11
4,16E+10;5,11E+10;7,40E+09;2,51E+11;8,93E+02;-1,00E+09;2,00E+11;2,00E+11
4,37E+10;5,11E+10;7,40E+09;2,52E+11;-1,00E+09;-1,00E+09;1,12E+11;1,12E+11
4,56E+10;5,11E+10;7,40E+09;2,69E+11;0.000000000E0;1,79E+11;6,40E+10;6,40E+10
4,66E+10;5,11E+10;7,40E+09;2,63E+11;0.000000000E0;1,79E+11;1,28E+11;1,28E+11
4,76E+10;5,11E+10;7,40E+09;2,63E+11;0.000000000E0;1,79E+11;6,40E+10;6,40E+10
4,86E+10;5,11E+10;7,40E+09;2,58E+11;0.000000000E0;1,79E+11;1,28E+11;1,28E+11
4,96E+10;5,11E+10;7,40E+09;2,59E+11;3,95E+08;-1,00E+09;1,28E+11;1,28E+11
5,06E+10;5,11E+10;7,40E+09;2,59E+11;3,95E+08;-1,00E+09;6,40E+10;6,40E+10
5,16E+10;5,11E+10;7,40E+09;2,59E+11;2,47E+08;-1,00E+09;2,00E+11;2,00E+11
5,26E+10;5,11E+10;7,40E+09;2,62E+11;1,92E+08;-1,00E+09;2,00E+11;2,00E+11
5,36E+10;5,11E+10;7,40E+09;2,63E+11;7,96E+08;-1,00E+09;9,60E+10;9,60E+10
5,46E+10;5,11E+10;7,40E+09;2,61E+11;7,96E+08;-1,00E+09;1,28E+11;1,28E+11
5,56E+10;5,11E+10;7,40E+09;2,61E+11;7,96E+08;-1,00E+09;6,40E+10;6,40E+10
5,66E+10;5,11E+10;7,40E+09;2,58E+11;9,12E+08;-1,00E+09;6,40E+10;6,40E+10
5,76E+10;5,11E+10;7,40E+09;2,56E+11;8,12E+08;-1,00E+09;6,40E+10;6,40E+10
5,86E+10;5,11E+10;7,40E+09;2,56E+11;4,93E+03;-1,00E+09;2,00E+11;2,00E+11
5,96E+10;5,11E+10;7,40E+09;2,53E+11;3,15E+08;-1,00E+09;6,40E+10;6,40E+10
6,06E+10;5,11E+10;7,40E+09;2,54E+11;3,15E+08;-1,00E+09;6,40E+10;6,40E+10
6,16E+10;5,11E+10;7,40E+09;2,54E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
6,26E+10;5,11E+10;7,40E+09;2,54E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
6,36E+10;5,11E+10;7,40E+09;2,54E+11;-1,00E+09;-1,00E+09;4,80E+10;4,80E+10
6,47E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;4,80E+10;4,80E+10
6,57E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;9,60E+10;9,60E+10
6,68E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
6,78E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
6,88E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
6,98E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
7,08E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
7,18E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
7,28E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
7,38E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;2,00E+11;2,00E+11
7,48E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
7,58E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
7,68E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
7,78E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
7,88E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;2,00E+11;2,00E+11
7,98E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;2,00E+11;2,00E+11
8,08E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
8,18E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;2,00E+11;2,00E+11
8,28E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;2,00E+11;2,00E+11
8,38E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
8,48E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
8,58E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
8,68E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
8,78E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;2,00E+11;2,00E+11
8,88E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
8,98E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
9,08E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;9,60E+10;9,60E+10
9,18E+10;5,11E+10;7,40E+09;2,56E+11;4,98E+07;-1,00E+09;9,60E+10;9,60E+10
9,28E+10;5,11E+10;7,40E+09;2,55E+11;2,86E+08;-1,00E+09;1,28E+11;1,28E+11
9,38E+10;5,11E+10;7,40E+09;2,55E+11;2,37E+08;-1,00E+09;6,40E+10;6,40E+10
9,48E+10;5,11E+10;7,40E+09;2,55E+11;2,19E+08;-1,00E+09;6,40E+10;6,40E+10
9,58E+10;5,11E+10;7,40E+09;2,55E+11;2,37E+08;-1,00E+09;6,40E+10;6,40E+10
9,68E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
9,78E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;2,00E+11;2,00E+11
9,88E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
9,98E+10;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
1,01E+11;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
1,02E+11;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
1,03E+11;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;1,28E+11;1,28E+11
1,04E+11;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
1,05E+11;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
1,06E+11;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
1,07E+11;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
1,08E+11;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
1,09E+11;5,11E+10;7,40E+09;2,55E+11;0.000000000E0;-1,00E+09;6,40E+10;6,40E+10
