"Time (s)"	"X (rad/s)"	"Y (rad/s)"	"Z (rad/s)"
3.998000000E-3	-2.693479359E-1	7.388104498E-2	1.332907472E-2
1.400699999E-2	-3.198831975E-1	1.057775989E-1	3.534005955E-3
2.398699999E-2	-3.179646432E-1	8.986920118E-2	2.575062960E-2
3.399599998E-2	-2.721405625E-1	1.380905788E-2	4.462633654E-2
4.400600001E-2	-2.059562057E-1	-1.043434143E-1	4.287424311E-2
5.398500001E-2	-1.392198205E-1	-2.310043424E-1	2.662888542E-2
6.399500000E-2	-9.974086285E-2	-3.333893120E-1	1.222757436E-2
7.400500000E-2	-1.034567356E-1	-3.895922601E-1	1.570928097E-2
8.401500000E-2	-1.243311241E-1	-4.256549180E-1	5.473311245E-2
9.399400000E-2	-1.441543549E-1	-4.545193315E-1	8.366090059E-2
1.040040000E-1	-1.732406020E-1	-4.362686872E-1	6.129141524E-2
1.140130000E-1	-2.060305178E-1	-3.550941944E-1	1.529169735E-2
1.239930000E-1	-2.240718305E-1	-2.664700747E-1	-1.059449371E-2
1.340020000E-1	-2.069988400E-1	-1.844100803E-1	-5.070566200E-3
1.440120000E-1	-2.002754211E-1	-9.970265627E-2	-1.088340767E-3
1.539910000E-1	-2.105842531E-1	-2.635653503E-2	-1.065494772E-2
1.640010000E-1	-2.139293402E-1	2.275807969E-2	-1.030990295E-2
1.740110000E-1	-2.015854567E-1	2.418327145E-2	1.173086651E-2
1.839900000E-1	-1.999343038E-1	1.675598137E-2	3.783250973E-2
1.940000000E-1	-2.100607008E-1	1.264033001E-2	5.518236756E-2
2.040100000E-1	-2.230265737E-1	-1.593459025E-2	6.294867396E-2
2.140200000E-1	-2.142091542E-1	-8.006790280E-2	7.324824482E-2
2.239990000E-1	-1.961465329E-1	-1.846068203E-1	8.297543973E-2
2.340090000E-1	-2.081032544E-1	-2.766017914E-1	9.135637432E-2
2.440180000E-1	-2.382302582E-1	-3.743035793E-1	9.302111715E-2
2.539980000E-1	-2.726926506E-1	-4.622817039E-1	9.843806177E-2
2.640070000E-1	-3.067286313E-1	-5.174936056E-1	9.566198289E-2
2.740170000E-1	-3.247145712E-1	-5.139628649E-1	7.304533571E-2
2.839960000E-1	-3.389227986E-1	-4.524086416E-1	3.613445535E-2
2.940060000E-1	-3.600987196E-1	-3.667686284E-1	4.349076189E-3
3.040160000E-1	-3.749916255E-1	-2.812257707E-1	-2.222048119E-2
3.139950000E-1	-3.711859286E-1	-1.954614818E-1	-4.744653776E-2
3.240050000E-1	-3.586403131E-1	-1.254477650E-1	-6.409369409E-2
3.340150000E-1	-3.545030951E-1	-5.137993023E-2	-3.243296593E-2
3.440240000E-1	-3.587266207E-1	2.820277773E-2	6.052653491E-2
3.540040000E-1	-3.206686676E-1	-1.104628853E-2	9.776074439E-2
3.640130000E-1	-2.624367774E-1	-7.895263284E-2	9.648402035E-2
3.740230000E-1	-2.043389082E-1	-9.140144289E-2	1.077002510E-1
3.840020000E-1	-1.643307805E-1	-2.193981782E-2	1.369896978E-1
3.940120000E-1	-1.295982003E-1	1.062109619E-1	1.658647805E-1
4.040220000E-1	-9.110621363E-2	2.348307073E-1	1.779992133E-1
4.140010000E-1	-3.844767809E-2	3.310422301E-1	1.842570752E-1
4.240110000E-1	2.732787281E-2	3.507027328E-1	1.949848235E-1
4.340210000E-1	9.688827395E-2	3.191753626E-1	2.065272033E-1
4.440000000E-1	1.611831039E-1	2.640809715E-1	2.147790045E-1
4.540100000E-1	1.980252117E-1	2.007792741E-1	2.137386501E-1
4.640200000E-1	1.982276142E-1	1.320755780E-1	2.080078125E-1
4.740290000E-1	1.601499915E-1	6.868549436E-2	2.000455111E-1
4.840090000E-1	9.320026636E-2	1.839862205E-2	1.919526905E-1
4.940180000E-1	1.965324208E-2	-1.610476524E-2	1.968941092E-1
5.040280000E-1	-4.080184549E-2	-3.777091205E-2	2.076700628E-1
5.140070000E-1	-7.154700160E-2	-5.548592657E-2	2.183625251E-1
5.240170000E-1	-6.354260445E-2	-5.207708105E-2	2.294159681E-1
5.340270000E-1	-2.513655089E-2	-4.140951857E-2	2.387197018E-1
5.440060000E-1	2.174520493E-2	-4.726927355E-2	2.497017831E-1
5.540160000E-1	4.835703224E-2	-6.744724512E-2	2.582177818E-1
5.640260000E-1	3.061451949E-2	-7.892600447E-2	2.633965909E-1
5.740350000E-1	-3.730011731E-2	-8.681648970E-2	2.615003884E-1
5.840150000E-1	-1.321834773E-1	-8.081532270E-2	2.551554143E-1
5.940240000E-1	-2.185294479E-1	-5.390959978E-2	2.432395220E-1
6.040340000E-1	-2.523768842E-1	5.516707897E-3	2.291322201E-1
6.140130000E-1	-2.306615859E-1	6.087790057E-2	2.186450660E-1
6.240230000E-1	-1.562909484E-1	1.021880507E-1	2.173616886E-1
6.340330000E-1	-5.899874866E-2	1.422880739E-1	2.269699425E-1
6.440120000E-1	4.199284315E-2	1.776170284E-1	2.381688058E-1
6.540220000E-1	1.319195330E-1	2.000837326E-1	2.430482507E-1
6.640320000E-1	1.848418713E-1	1.990323067E-1	2.427499741E-1
6.740110000E-1	2.012142241E-1	1.936921477E-1	2.422564626E-1
6.840210000E-1	1.864773631E-1	1.648056358E-1	2.383022010E-1
6.940310000E-1	1.429841667E-1	1.145794168E-1	2.342256904E-1
7.040400000E-1	6.607846171E-2	6.488882005E-2	2.266934812E-1
7.140510000E-1	-2.240591496E-2	2.585979924E-2	2.162233293E-1
7.240600000E-1	-9.958751500E-2	9.352994151E-3	2.094061673E-1
7.340700000E-1	-1.420498192E-1	1.182500552E-2	2.108419240E-1
7.440490000E-1	-1.417408884E-1	4.049640615E-3	2.159261554E-1
7.540590000E-1	-1.178947091E-1	3.381921444E-3	2.266214937E-1
7.640690000E-1	-8.804574609E-2	2.894853428E-2	2.399945557E-1
7.740480000E-1	-6.987446547E-2	8.472551405E-2	2.474769801E-1
7.840580000E-1	-4.976360127E-2	1.505798995E-1	2.461083829E-1
7.940680000E-1	-3.127543628E-2	1.900179833E-1	2.454594225E-1
8.040470000E-1	-2.435867302E-2	1.875447035E-1	2.511039674E-1
8.140570000E-1	-2.550205216E-2	1.593199819E-1	2.655612528E-1
8.240660000E-1	-3.804261237E-2	1.041510105E-1	2.739542127E-1
8.340760000E-1	-6.284041703E-2	3.283182532E-2	2.839925587E-1
8.440550000E-1	-9.693554044E-2	-3.076738864E-2	2.896621525E-1
8.540650000E-1	-1.385148466E-1	-9.976290166E-2	2.901861668E-1
8.640750000E-1	-1.876983643E-1	-1.646092832E-1	2.811910808E-1
8.740540000E-1	-2.352590561E-1	-2.109564692E-1	2.750805020E-1
8.840640000E-1	-2.594328523E-1	-2.162598968E-1	2.675940990E-1
8.940740000E-1	-2.383816242E-1	-2.057698369E-1	2.630598545E-1
9.040530000E-1	-1.766535342E-1	-2.108692527E-1	2.734528482E-1
9.140630000E-1	-1.143412292E-1	-2.412256896E-1	3.155976832E-1
9.240730000E-1	-9.821152687E-2	-2.500500679E-1	3.871555030E-1
9.340520000E-1	-1.316823661E-1	-2.392331809E-1	4.554580748E-1
9.440620000E-1	-2.133351564E-1	-1.670338213E-1	5.684295893E-1
9.540710000E-1	-2.960985899E-1	-8.030439168E-2	6.618297100E-1
9.640810000E-1	-3.623489738E-1	-2.440916374E-2	6.524929404E-1
9.740600000E-1	-4.550233185E-1	1.069322824E-1	5.751841068E-1
9.840700000E-1	-6.393215060E-1	5.769618750E-1	4.616477191E-1
9.940800000E-1	-8.335760236E-1	9.360276461E-1	3.762942553E-1
1.004059000E0	-9.344224334E-1	9.629626274E-1	3.651667833E-1
1.014069000E0	-9.283684492E-1	8.313200474E-1	4.509837627E-1
1.024079000E0	-8.739062548E-1	6.306732297E-1	5.449962616E-1
1.034058000E0	-7.748396993E-1	2.138499469E-1	6.747764945E-1
1.044068000E0	-5.773953199E-1	-2.719191611E-1	6.711916327E-1
1.054077000E0	-3.217003047E-1	-4.794025719E-1	5.990225077E-1
1.064057000E0	-1.471964121E-1	-3.324107230E-1	6.336244345E-1
1.074066000E0	-1.433106065E-1	2.346195653E-2	7.465084195E-1
1.084076000E0	-3.698763847E-1	3.607915342E-1	8.132624030E-1
1.094086000E0	-8.007556796E-1	6.495143771E-1	7.481741905E-1
1.104065000E0	-1.365385771E0	9.588754773E-1	5.541924834E-1
1.114075000E0	-1.915765047E0	1.332841873E0	2.952265739E-1
1.124085000E0	-2.333243370E0	1.173577905E0	5.628376827E-2
1.134064000E0	-2.340071201E0	1.441043377E0	-1.137805581E-1
1.144074000E0	-2.051786423E0	1.589196324E0	-2.540497780E-1
1.154084000E0	-1.567002177E0	1.546451330E0	-1.918329895E-1
1.164063000E0	-1.071824074E0	1.200728297E0	1.499909163E-1
1.174073000E0	-6.391969323E-1	7.973808646E-1	4.972136617E-1
1.184082000E0	-3.226333261E-1	6.950781941E-1	5.382815003E-1
1.194062000E0	-1.843237579E-1	9.133669734E-1	3.432647288E-1
1.204071000E0	-1.098862737E-1	1.431022048E0	-3.260584921E-2
1.214081000E0	-2.122831345E-2	2.001756907E0	-4.996126890E-1
1.224091000E0	1.046736911E-1	2.370898724E0	-9.345723987E-1
1.234070000E0	2.036548555E-1	2.532378435E0	-1.234883308E0
1.244080000E0	1.993898153E-1	2.514759779E0	-1.377897382E0
1.254090000E0	8.140134066E-2	2.465914488E0	-1.482709765E0
1.264069000E0	-8.676423132E-2	2.497308493E0	-1.633434534E0
1.274079000E0	-2.524334490E-1	2.508589029E0	-1.698340535E0
1.284088000E0	-4.109019339E-1	2.476413727E0	-1.530826688E0
1.294068000E0	-5.581908822E-1	2.397124767E0	-1.191133261E0
1.304077000E0	-6.901332140E-1	2.296225309E0	-8.195259571E-1
1.314087000E0	-7.814617753E-1	2.154728889E0	-5.362284184E-1
1.324066000E0	-7.735058665E-1	1.997062683E0	-4.985599220E-1
1.334076000E0	-6.716078520E-1	1.928539991E0	-7.269298434E-1
1.344086000E0	-5.398921967E-1	1.965371490E0	-1.064874291E0
1.354096000E0	-4.061833024E-1	2.020133257E0	-1.331586838E0
1.364075000E0	-2.619536519E-1	2.150696039E0	-1.472528458E0
1.374085000E0	1.686740667E-3	2.606245995E0	-1.530023932E0
1.384095000E0	2.974595428E-1	2.905945778E0	-1.560818553E0
1.394074000E0	5.928887725E-1	3.071576595E0	-1.538809896E0
1.404084000E0	8.311517239E-1	3.076068163E0	-1.535927653E0
1.414093000E0	9.127855301E-1	2.644749880E0	-1.546090603E0
1.424073000E0	8.214268684E-1	1.969351411E0	-1.451237321E0
1.434082000E0	5.466260314E-1	1.384783983E0	-1.238016248E0
1.444092000E0	1.897387803E-1	1.311309576E0	-9.674448967E-1
1.454071000E0	-2.393006086E-1	1.384589672E0	-7.027292252E-1
1.464081000E0	-6.273974776E-1	1.342000961E0	-6.130781770E-1
1.474091000E0	-8.674416542E-1	1.163380265E0	-8.569623232E-1
1.484101000E0	-9.479540586E-1	8.401636481E-1	-1.308260441E0
1.494080000E0	-9.148519635E-1	4.037869871E-1	-1.731299520E0
1.504090000E0	-8.608635664E-1	-9.795794263E-3	-2.000556707E0
1.514099000E0	-7.773249745E-1	-3.121786416E-1	-2.029555082E0
1.524079000E0	-6.686573029E-1	-3.466817439E-1	-1.893117428E0
1.534088000E0	-5.844513178E-1	-2.439332604E-1	-1.626192570E0
1.544098000E0	-5.543450713E-1	-1.341676116E-1	-1.250600576E0
1.554077000E0	-5.972216129E-1	-5.287149549E-2	-8.771677017E-1
1.564087000E0	-6.863554716E-1	-2.326406911E-2	-6.340277791E-1
1.574097000E0	-7.914884686E-1	2.819046564E-2	-5.629249215E-1
1.584107000E0	-9.520371556E-1	-1.263162941E-1	-6.750322580E-1
1.594086000E0	-1.151715159E0	-4.605272710E-1	-8.461529613E-1
1.604096000E0	-1.392103076E0	-8.639168143E-1	-9.388999343E-1
1.614105000E0	-1.534173489E0	-1.016903758E0	-9.440592527E-1
1.624085000E0	-1.516006231E0	-9.873715043E-1	-8.687706590E-1
1.634095000E0	-1.340016842E0	-9.136409760E-1	-7.416881323E-1
1.644104000E0	-1.063248873E0	-7.922506332E-1	-5.713592768E-1
1.654084000E0	-7.923806906E-1	-5.882662535E-1	-3.477334678E-1
1.664093000E0	-5.666250587E-1	-3.923684061E-1	-1.384146065E-1
1.674103000E0	-3.898910284E-1	-2.479387820E-1	-1.408384740E-2
1.684082000E0	-2.600523233E-1	-1.387419999E-1	5.990808457E-2
1.694092000E0	-1.664836407E-1	-1.091524065E-1	8.768258244E-2
1.704102000E0	-1.601959169E-1	-1.568267196E-1	8.904799074E-2
1.714106958E0	-2.916468680E-1	-3.169263601E-1	9.708276391E-2
1.724085958E0	-5.245778561E-1	-5.599198341E-1	8.690682799E-2
1.734095958E0	-8.291088343E-1	-8.816074729E-1	4.390107840E-2
1.744104958E0	-1.034836411E0	-1.070563316E0	1.784577779E-2
1.754084958E0	-1.066617250E0	-1.112155914E0	3.760249168E-2
1.764093958E0	-9.373943210E-1	-1.092172623E0	4.621994868E-2
1.774103958E0	-7.298523784E-1	-9.870967865E-1	-8.342342079E-2
1.784082958E0	-5.411378741E-1	-8.523919582E-1	-8.523783088E-2
1.794092958E0	-3.685890436E-1	-7.945981622E-1	3.751961514E-3
1.804102958E0	-2.291222215E-1	-7.498278022E-1	5.910736322E-2
1.814081958E0	-1.530798972E-1	-7.093517184E-1	8.358592540E-2
1.824091958E0	-1.275050193E-1	-6.732741594E-1	1.480045915E-1
1.834101958E0	-1.337317526E-1	-6.295201182E-1	2.347404212E-1
1.844110958E0	-1.570628881E-1	-5.538293719E-1	2.975718677E-1
1.854090958E0	-1.849061996E-1	-4.684471786E-1	3.427530825E-1
1.864099958E0	-2.168918252E-1	-3.868428767E-1	3.407727480E-1
1.874109958E0	-2.574325204E-1	-3.021630049E-1	2.790097594E-1
1.884089958E0	-3.091859818E-1	-2.182611823E-1	2.105489224E-1
1.894098958E0	-3.474533558E-1	-2.430861145E-1	1.543353200E-1
1.904108958E0	-3.199008107E-1	-2.968246937E-1	1.131058559E-1
1.914087958E0	-2.242373526E-1	-3.310891390E-1	8.951253444E-2
1.924097958E0	-1.489476562E-1	-4.912481904E-1	1.960828342E-2
1.934107958E0	-1.445975602E-1	-6.396197081E-1	-4.833487794E-2
1.944086958E0	-1.233141124E-1	-7.730677724E-1	-1.428130362E-2
1.954096958E0	-4.891295731E-2	-8.549250960E-1	1.196465418E-1
1.964106958E0	8.494044095E-2	-8.750716448E-1	2.719183564E-1
1.974115958E0	2.171206027E-1	-8.278639317E-1	3.280841410E-1
1.984095958E0	2.604094744E-1	-7.292529345E-1	3.164573014E-1
1.994104958E0	2.094625235E-1	-6.008640528E-1	2.880412340E-1
2.004114958E0	1.223699600E-1	-4.719852209E-1	2.882787883E-1
2.014093958E0	8.282370120E-2	-3.465930521E-1	3.018307388E-1
2.024103958E0	1.487659812E-1	-1.946125925E-1	3.221184313E-1
2.034113958E0	2.919816971E-1	2.758410061E-3	3.641780913E-1
2.044092958E0	4.526406229E-1	1.724454463E-1	4.104832709E-1
2.054102958E0	5.540671945E-1	2.701267302E-1	4.332952201E-1
2.064112958E0	5.356833935E-1	2.631708384E-1	4.086980224E-1
2.074091958E0	4.003941119E-1	1.129307970E-1	3.468151093E-1
2.084101958E0	2.210208923E-1	-5.045041069E-2	2.737677991E-1
2.094110958E0	6.477639079E-2	-1.083532572E-1	2.131316960E-1
2.104120958E0	-1.754697412E-2	-4.670640826E-2	1.904617995E-1
2.114099958E0	2.981681377E-3	4.698686302E-2	2.054759264E-1
2.124109958E0	8.846861869E-2	1.434143335E-1	2.114443332E-1
2.134119958E0	1.869198233E-1	2.446581274E-1	1.803758889E-1
2.144098958E0	2.419588268E-1	2.946704328E-1	1.392124742E-1
2.154108958E0	2.475084364E-1	2.343986332E-1	1.319848299E-1
2.164118958E0	2.333587855E-1	1.452578455E-1	1.286809146E-1
2.174097958E0	2.030383497E-1	8.491207659E-2	1.229104400E-1
2.184107958E0	1.536146104E-1	4.325544089E-2	1.281078607E-1
2.194117958E0	8.313572407E-2	4.348328337E-3	1.443864554E-1
2.204096958E0	1.861611940E-2	-2.835981548E-2	1.363330483E-1
2.214106958E0	-2.756835520E-2	-3.529043496E-2	7.337528467E-2
2.224115958E0	-7.821075618E-2	7.404564880E-3	-3.772494383E-3
2.234125958E0	-1.320423782E-1	1.181136370E-1	-6.796260178E-2
2.244104958E0	-1.773898900E-1	3.156813085E-1	-1.133463234E-1
2.254114958E0	-1.658874303E-1	5.366845727E-1	-1.248684525E-1
2.264124958E0	-6.134505570E-2	6.156185269E-1	-1.016789824E-1
2.274103958E0	1.140345857E-1	5.878394246E-1	-8.225425333E-2
2.284113958E0	2.781423032E-1	5.674260259E-1	-9.507657588E-2
2.294123958E0	3.631072342E-1	6.372656226E-1	-1.346234679E-1
2.304102958E0	3.662183285E-1	7.456341386E-1	-1.897903085E-1
2.314112958E0	3.561245501E-1	8.434088826E-1	-2.516820431E-1
2.324121958E0	3.604788184E-1	9.667832851E-1	-3.485934138E-1
2.334101958E0	4.187041819E-1	1.139653087E0	-5.335815549E-1
2.344110958E0	4.948577881E-1	1.293200374E0	-7.642528415E-1
2.354120958E0	4.507157207E-1	1.429699779E0	-8.706675768E-1
2.364130958E0	2.903910279E-1	1.657554865E0	-8.331249952E-1
2.374109958E0	1.254393458E-1	1.954393625E0	-7.764493227E-1
2.384119958E0	3.397121280E-2	2.292878628E0	-7.692878246E-1
2.394129958E0	4.099725187E-2	2.692252874E0	-8.441174030E-1
2.404108958E0	1.301470995E-1	3.049355984E0	-9.969695210E-1
2.414118958E0	2.109916061E-1	3.327000856E0	-1.253663301E0
2.424128958E0	1.799902767E-1	3.500265837E0	-1.636899948E0
2.434107958E0	1.917998195E-1	3.237011194E0	-1.864735842E0
2.444117958E0	2.297597229E-1	2.898191690E0	-1.947127104E0
2.454126958E0	2.251966298E-1	2.716561317E0	-1.926031590E0
2.464136958E0	1.703927666E-1	2.759853363E0	-1.826277256E0
2.474115958E0	9.236244857E-2	2.888884544E0	-1.648460507E0
2.484125958E0	1.815745980E-2	2.961967945E0	-1.463763118E0
2.494135958E0	5.198783241E-3	2.968950272E0	-1.457118869E0
2.504114958E0	7.797498256E-2	2.917992830E0	-1.634905934E0
2.514124958E0	1.520967782E-1	2.821711540E0	-1.807083011E0
2.524134958E0	1.872635633E-1	2.859945774E0	-1.849868298E0
2.534113958E0	2.519584894E-1	3.082547665E0	-1.864693403E0
2.544123958E0	3.449954689E-1	3.249858618E0	-1.898399949E0
2.554132958E0	4.534108341E-1	3.210023403E0	-1.918852568E0
2.564112958E0	5.700450540E-1	2.953573465E0	-1.899968624E0
2.574121958E0	7.005622983E-1	2.461668015E0	-1.839413881E0
