"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
3.998000000E-3	-3.471354523E-1	-1.908086801E-1	-2.679919267E-1
1.400699999E-2	-3.050192736E-1	-1.524082607E-1	-2.024025393E-1
2.398699999E-2	-2.395705117E-1	-2.223813057E-2	-1.585367274E-1
3.399599998E-2	-2.241970123E-1	9.343792140E-2	-6.378493667E-2
4.400600001E-2	-1.996907468E-1	1.299754179E-1	3.532244503E-2
5.398500001E-2	-9.596172586E-2	6.403168917E-2	1.116081440E-1
6.399500000E-2	4.062133804E-2	-4.380967855E-2	1.508950013E-1
7.400500000E-2	1.229422407E-1	-1.283955002E-1	1.894322455E-1
8.401500000E-2	7.350344762E-2	-1.550851160E-1	1.886300075E-1
9.399400000E-2	-1.168166976E-1	-9.583527982E-2	2.392212868E-1
1.040040000E-1	-2.955923925E-1	-7.293232083E-3	2.301154178E-1
1.140130000E-1	-2.947644268E-1	-5.446915269E-2	1.950631142E-3
1.239930000E-1	-1.561801533E-1	-1.709573829E-1	-2.620511556E-1
1.340020000E-1	-3.099945232E-2	-1.996028924E-1	-4.344165480E-1
1.440120000E-1	3.637830600E-2	-1.325324053E-1	-5.558462602E-1
1.539910000E-1	8.864992887E-2	-4.446339726E-2	-5.868312407E-1
1.640010000E-1	1.092302276E-1	-6.712603569E-4	-5.699286944E-1
1.740110000E-1	6.736723334E-2	-5.226241350E-3	-4.561103028E-1
1.839900000E-1	-2.271862552E-2	2.454895020E-2	-2.867182195E-1
1.940000000E-1	-6.623462766E-2	5.501528263E-2	-1.307355559E-1
2.040100000E-1	-9.314073667E-2	4.055336416E-2	1.522322595E-2
2.140200000E-1	-1.626981908E-1	7.947535515E-3	1.423416942E-1
2.239990000E-1	-2.626832396E-1	-3.839223325E-2	1.956677163E-1
2.340090000E-1	-3.189805242E-1	-2.910685480E-2	2.237676805E-1
2.440180000E-1	-3.518007995E-1	2.338944733E-2	2.076603556E-1
2.539980000E-1	-3.477501409E-1	4.492532730E-2	1.339585412E-1
2.640070000E-1	-3.113136551E-1	5.649579763E-3	-1.866197348E-2
2.740170000E-1	-2.736752741E-1	-3.622233152E-2	-1.784529287E-1
2.839960000E-1	-1.508732204E-1	-7.712068141E-2	-3.268634480E-1
2.940060000E-1	-2.762867868E-2	-1.098077863E-1	-4.250802988E-1
3.040160000E-1	2.860604078E-3	-1.178161329E-1	-4.322647727E-1
3.139950000E-1	-3.754877239E-2	-8.166104436E-2	-3.007106066E-1
3.240050000E-1	-1.069180924E-1	-5.820201516E-2	-1.997403020E-1
3.340150000E-1	-1.454807720E-1	-7.268206000E-2	-2.262755513E-1
3.440240000E-1	-2.412586029E-1	1.652130783E-2	-3.464182913E-1
3.540040000E-1	-4.858593281E-1	9.648899853E-2	-4.306065023E-1
3.640130000E-1	-5.237767674E-1	1.686518258E-1	-4.236646879E-1
3.740230000E-1	-4.710350284E-1	2.155692995E-1	-4.255521691E-1
3.840020000E-1	-4.447922860E-1	1.536624885E-1	-4.577247190E-1
3.940120000E-1	-4.262766391E-1	7.394155025E-2	-4.427570164E-1
4.040220000E-1	-4.120364763E-1	4.592169285E-2	-3.679114866E-1
4.140010000E-1	-4.708816852E-1	8.108743250E-2	-2.213907874E-1
4.240110000E-1	-4.989034429E-1	1.226576275E-1	9.121656418E-4
4.340210000E-1	-4.357437198E-1	8.342105627E-2	2.386260402E-1
4.440000000E-1	-4.083531690E-1	-1.422978401E-2	3.475947511E-1
4.540100000E-1	-3.839116614E-1	-9.249476552E-2	3.508317697E-1
4.640200000E-1	-3.564103058E-1	-1.351443565E-1	2.867772764E-1
4.740290000E-1	-3.106672454E-1	-1.460447359E-1	1.937369657E-1
4.840090000E-1	-2.900351988E-1	-1.291404355E-1	8.687793016E-2
