"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
0.000000000E0;7.229965210E-2;9.654922485E0;2.009122009E0
9.980000003E-3;6.436614990E-2;9.647587738E0;2.012115784E0
1.998899999E-2;7.559280396E-2;9.653874664E0;1.988764343E0
2.999899999E-2;6.002517700E-2;9.651329956E0;1.969155121E0
4.000899999E-2;5.882766724E-2;9.654473419E0;1.959425354E0
5.001899999E-2;7.050338745E-2;9.653126221E0;1.966311035E0
5.999799998E-2;6.900650024E-2;9.658365326E0;1.950593719E0
7.000799998E-2;5.598358154E-2;9.651329956E0;1.936073914E0
8.001700000E-2;5.718109131E-2;9.653874664E0;1.943558350E0
9.002700000E-2;6.706054688E-2;9.647438049E0;1.938768311E0
1.000370000E-1;6.496490479E-2;9.648635559E0;1.931732941E0
1.100470000E-1;6.556365967E-2;9.656419373E0;1.932331696E0
1.200260000E-1;6.227050781E-2;9.648785248E0;1.943857727E0
1.300360000E-1;6.212081909E-2;9.642947388E0;1.947599945E0
1.400460000E-1;5.852828979E-2;9.647138672E0;1.931732941E0
1.500550000E-1;6.526428223E-2;9.642348633E0;1.932780762E0
1.600650000E-1;6.421646118E-2;9.638756104E0;1.937421112E0
1.700440000E-1;7.140151978E-2;9.649234314E0;1.946851501E0
1.800540000E-1;7.933502197E-2;9.646090851E0;1.934577026E0
1.900640000E-1;7.125183105E-2;9.646240540E0;1.933080139E0
2.000740000E-1;5.897735596E-2;9.646090851E0;1.941313019E0
2.100830000E-1;5.688171387E-2;9.651629333E0;1.936672668E0
2.200930000E-1;6.436614990E-2;9.645342407E0;1.930984497E0
2.300720000E-1;6.346801758E-2;9.645941162E0;1.947450256E0
2.400820000E-1;6.062393188E-2;9.650581512E0;1.943558350E0
2.500920000E-1;6.750961304E-2;9.641300812E0;1.946402435E0
2.601020000E-1;5.882766724E-2;9.643845520E0;1.952839050E0
2.701110000E-1;6.316864014E-2;9.649533691E0;1.949396210E0
2.800910000E-1;5.508544922E-2;9.647438049E0;1.950294342E0
2.901010000E-1;5.718109131E-2;9.646689606E0;1.952689362E0
3.001100000E-1;6.466552734E-2;9.653126221E0;1.949396210E0
3.101200000E-1;6.227050781E-2;9.654922485E0;1.947899323E0
3.201300000E-1;6.361770630E-2;9.648785248E0;1.944157104E0
3.301400000E-1;6.721023560E-2;9.646090851E0;1.951791229E0
3.401692500E-1;6.541397095E-2;9.639055481E0;1.952689362E0
3.501792500E-1;6.571334839E-2;9.643845520E0;1.935325470E0
3.601882500E-1;5.822891235E-2;9.649384003E0;1.942510529E0
3.701982500E-1;5.763015747E-2;9.639803925E0;1.951342163E0
3.802082500E-1;5.733078003E-2;9.640552368E0;1.957629089E0
3.901872500E-1;5.852828979E-2;9.657167816E0;1.956880646E0
4.001972500E-1;6.182144165E-2;9.644444275E0;1.958976288E0
4.102072500E-1;6.780899048E-2;9.645342407E0;1.956730957E0
4.202162500E-1;6.271957397E-2;9.648785248E0;1.946103058E0
4.302262500E-1;6.556365967E-2;9.648785248E0;1.952839050E0
4.402362500E-1;5.598358154E-2;9.644743652E0;1.958377533E0
4.502152500E-1;5.628295898E-2;9.643097076E0;1.956730957E0
