"Time (s)"	"X (hPa)"
-5.370917500E-1	9.705900574E2
4.949752500E-1	9.705895996E2
1.527115250E0	9.705900574E2
2.559174250E0	9.705902100E2
3.591263250E0	9.705926514E2
4.623290250E0	9.705940247E2
4.762279250E0	9.705944824E2
5.717828250E0	9.705950165E2
6.673327250E0	9.705957031E2
7.628881250E0	9.705960083E2
8.584436250E0	9.705960083E2
9.540023250E0	9.705962372E2
1.049557625E1	9.705963135E2
1.145109825E1	9.705966949E2
1.240660825E1	9.705981445E2
1.336207625E1	9.705984497E2
1.431731525E1	9.705998993E2
1.527285125E1	9.706010437E2
1.622845125E1	9.706013489E2
1.718401025E1	9.706017303E2
1.813963425E1	9.706027222E2
1.909518525E1	9.706028748E2
2.005071725E1	9.706033325E2
2.100622325E1	9.706051636E2
2.196174925E1	9.706060028E2
2.291726325E1	9.706079102E2
2.387287325E1	9.706097412E2
2.482836925E1	9.706109619E2
2.578393125E1	9.706121826E2
2.673958825E1	9.706124878E2
2.769515425E1	9.706133270E2
2.865071725E1	9.706146240E2
2.960627925E1	9.706158447E2
3.056191725E1	9.706162262E2
3.151761525E1	9.706163788E2
3.247330525E1	9.706165314E2
3.342894425E1	9.706166077E2
3.438461725E1	9.706171417E2
3.534044125E1	9.706179047E2
3.629619025E1	9.706202698E2
3.725198925E1	9.706224823E2
3.820761925E1	9.706242371E2
3.916324925E1	9.706273651E2
4.011904025E1	9.706301117E2
4.107484625E1	9.706317139E2
4.203061625E1	9.706320953E2
4.298640625E1	9.706320953E2
4.394224925E1	9.706295013E2
4.489801225E1	9.706262207E2
4.585379025E1	9.706225586E2
4.680961025E1	9.706188202E2
4.776546825E1	9.706149292E2
4.872129225E1	9.706114960E2
4.967717425E1	9.706093597E2
5.063309325E1	9.706061554E2
5.158887125E1	9.706042480E2
5.254474525E1	9.706016541E2
5.350065525E1	9.705997467E2
5.445657125E1	9.705971527E2
5.541244325E1	9.705948639E2
5.636840725E1	9.705924988E2
5.732430925E1	9.705921936E2
5.828022025E1	9.705915833E2
5.923623125E1	9.705915833E2
6.019217125E1	9.705915833E2
6.114822925E1	9.705920410E2
6.210423825E1	9.705921936E2
6.306017625E1	9.705920410E2
6.401618025E1	9.705913544E2
6.497210725E1	9.705902100E2
6.592808225E1	9.705881500E2
6.688402625E1	9.705854797E2
6.784003225E1	9.705829620E2
6.879592225E1	9.705811310E2
6.975188925E1	9.705794525E2
7.070798725E1	9.705780792E2
7.166396425E1	9.705772400E2
7.262000525E1	9.705769348E2
7.357603925E1	9.705769348E2
7.453214925E1	9.705780792E2
7.548823825E1	9.705796051E2
7.644433925E1	9.705819702E2
7.740048525E1	9.705847168E2
7.835657725E1	9.705870056E2
7.931266225E1	9.705883026E2
8.026874825E1	9.705895996E2
8.122489225E1	9.705910492E2
8.218110725E1	9.705924988E2
8.313720425E1	9.705933380E2
8.409333125E1	9.705933380E2
8.504947225E1	9.705928802E2
8.600559125E1	9.705928040E2
8.696174125E1	9.705916595E2
8.791792325E1	9.705897522E2
8.887407725E1	9.705892181E2
8.983035425E1	9.705892181E2
9.078659925E1	9.705902863E2
9.174279525E1	9.705911255E2
9.269904825E1	9.705926514E2
9.365525825E1	9.705944824E2
9.461155725E1	9.705968475E2
9.556785725E1	9.706005096E2
9.652423425E1	9.706064606E2
9.748059225E1	9.706113434E2
9.843698925E1	9.706154633E2
9.939339025E1	9.706169891E2
1.003497892E2	9.706169891E2
1.013061802E2	9.706145477E2
1.022626732E2	9.706145477E2
1.032191332E2	9.706179047E2
1.041755692E2	9.706220245E2
1.051319662E2	9.706268311E2
1.060884372E2	9.706309509E2
1.070448752E2	9.706345367E2
1.080013382E2	9.706361389E2
1.089578262E2	9.706369781E2
1.099141442E2	9.706374359E2
1.108705552E2	9.706385040E2
1.118268932E2	9.706393433E2
1.127832992E2	9.706409454E2
1.137396062E2	9.706420898E2
1.146961322E2	9.706439209E2
1.156527502E2	9.706440735E2
1.166092372E2	9.706440735E2
1.175658522E2	9.706427002E2
1.185224182E2	9.706403351E2
1.194789642E2	9.706375885E2
1.204356302E2	9.706330872E2
1.213923952E2	9.706302643E2
1.223490602E2	9.706275940E2
1.233057692E2	9.706256866E2
1.242624892E2	9.706246948E2
1.252192262E2	9.706246948E2
1.261759562E2	9.706248474E2
1.271326952E2	9.706250763E2
1.280895212E2	9.706255341E2
1.290462872E2	9.706270599E2
1.300030812E2	9.706283569E2
1.309598642E2	9.706294250E2
1.319167192E2	9.706303406E2
1.328736362E2	9.706307220E2
1.338304572E2	9.706311035E2
1.347872292E2	9.706319427E2
1.357439062E2	9.706346130E2
1.367007632E2	9.706378174E2
1.376575862E2	9.706413269E2
1.386144202E2	9.706452179E2
1.395712442E2	9.706483459E2
1.405280682E2	9.706501007E2
1.414848102E2	9.706515503E2
1.424416002E2	9.706538391E2
1.433983782E2	9.706552124E2
1.443552572E2	9.706560516E2
1.453121742E2	9.706560516E2
1.462691162E2	9.706507874E2
1.472260742E2	9.706456757E2
