Time (s);Latitude (°);Longitude (°);Height (m);Velocity (m/s);Direction (°);Horizontal Accuracy (m);Vertical Accuracy (m)
0.000000000E0;5,11E+10;7,40E+09;2,83E+11;-1,00E+09;-1,00E+09;1,65E+11;1,65E+11
1,90E+08;5,11E+10;7,40E+09;2,83E+11;-1,00E+09;-1,00E+09;1,65E+11;1,65E+11
8,54E+09;5,11E+10;7,40E+09;2,94E+11;0.000000000E0;3,82E+09;6,40E+10;6,40E+10
9,54E+09;5,11E+10;7,40E+09;2,94E+11;0.000000000E0;3,82E+09;6,40E+10;6,40E+10
1,05E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;6,40E+10;6,40E+10
1,15E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;6,40E+10;6,40E+10
1,25E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;6,40E+10;6,40E+10
1,35E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;6,40E+10;6,40E+10
1,45E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;6,40E+10;6,40E+10
1,55E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;4,80E+10;4,80E+10
1,65E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;6,40E+10;6,40E+10
1,75E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;6,40E+10;6,40E+10
1,85E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;4,80E+10;4,80E+10
1,95E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;4,80E+10;4,80E+10
2,10E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;3,20E+10;3,20E+10
2,20E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;3,20E+10;3,20E+10
2,30E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;3,20E+10;3,20E+10
2,40E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;3,20E+10;3,20E+10
2,50E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;2,40E+10;2,40E+10
2,60E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;2,40E+10;2,40E+10
2,70E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;2,40E+10;2,40E+10
2,80E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;2,40E+10;2,40E+10
2,90E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
3,00E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
3,10E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
3,20E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
3,30E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
3,40E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
3,50E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
3,60E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
3,70E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,20E+10;1,20E+10
3,80E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,20E+10;1,20E+10
3,90E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,20E+10;1,20E+10
4,00E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,20E+10;1,20E+10
4,10E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,20E+10;1,20E+10
4,20E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,20E+10;1,20E+10
4,30E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,20E+10;1,20E+10
4,40E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,20E+10;1,20E+10
4,50E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
4,60E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
4,70E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
4,80E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
4,90E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
5,00E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
5,10E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
5,20E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
5,30E+10;5,11E+10;7,40E+09;2,56E+11;0.000000000E0;3,82E+09;1,60E+10;1,60E+10
