"Time (s)"	"X (rad/s)"	"Y (rad/s)"	"Z (rad/s)"
4.974000010E-3	-7.150615752E-2	-5.032891408E-2	-2.261686325E-2
1.498400001E-2	-9.825292975E-2	-3.467089683E-2	-3.486236185E-2
2.499400001E-2	-1.033065468E-1	-1.518188417E-2	-4.646549001E-2
3.497300000E-2	-9.487288445E-2	6.689188071E-3	-5.169105530E-2
4.498300000E-2	-7.169885933E-2	1.854424924E-2	-5.058877915E-2
5.499300000E-2	-3.213352337E-2	1.522797346E-2	-4.267350212E-2
6.500199999E-2	-6.088875234E-4	-5.201934371E-3	-3.335430101E-2
7.501200002E-2	1.238125097E-2	-1.797670685E-2	-2.310866863E-2
8.499199999E-2	-7.324809209E-3	-4.698492214E-2	-1.976080611E-2
9.500100001E-2	-2.942423522E-2	-7.769163698E-2	-1.208615210E-2
1.050110000E-1	-5.252023041E-2	-1.137148812E-1	1.711419784E-3
1.150210000E-1	-7.194449008E-2	-1.512325555E-1	1.353124622E-2
1.250000000E-1	-8.420115709E-2	-1.761711836E-1	1.800296083E-2
1.350100000E-1	-9.157455713E-2	-1.963615268E-1	2.194293588E-2
1.450200000E-1	-8.938517421E-2	-1.958318204E-1	2.378317900E-2
1.550290000E-1	-7.436624914E-2	-1.648485363E-1	1.585597545E-2
1.650090000E-1	-4.655805975E-2	-1.054683030E-1	1.076374575E-2
1.750180000E-1	-3.945545293E-3	-4.133376852E-2	-5.665682256E-4
1.850280000E-1	3.292938322E-2	2.283083647E-2	-1.362244878E-2
1.950380000E-1	4.049636424E-2	5.587450415E-2	-2.428629249E-2
2.050170000E-1	2.295172401E-2	5.669263005E-2	-3.125871345E-2
2.150270000E-1	-3.715388011E-3	2.531951107E-2	-2.939221263E-2
2.250370000E-1	-2.973154187E-2	-7.954023778E-3	-2.134200931E-2
2.350460000E-1	-4.966360331E-2	-3.052742407E-2	-1.194311492E-2
2.450560000E-1	-6.348300725E-2	-4.277290404E-2	-1.199637912E-2
2.550350000E-1	-6.200144812E-2	-5.598323792E-2	-1.351660211E-2
2.650450000E-1	-4.023303464E-2	-6.564038992E-2	-1.044517849E-2
2.750550000E-1	-1.623458043E-2	-6.164073944E-2	-7.541893981E-3
2.850650000E-1	1.361013390E-2	-2.963780053E-2	-9.951788001E-3
2.950440000E-1	3.669747338E-2	-6.661612075E-3	-1.542989630E-2
3.050540000E-1	4.970328510E-2	4.051219206E-3	-1.431722660E-2
3.150640000E-1	4.085255414E-2	-5.044735968E-3	-7.876147516E-3
3.250730000E-1	1.987642981E-2	-3.415868059E-2	-4.608447663E-3
3.350530000E-1	-6.040554028E-3	-6.710828096E-2	-1.128695905E-3
3.450620000E-1	-2.935280092E-2	-1.057342365E-1	5.484998226E-3
3.550720000E-1	-4.966614023E-2	-1.249633506E-1	1.397878025E-2
3.650820000E-1	-5.540365726E-2	-1.275956035E-1	2.495206892E-2
3.750920000E-1	-3.813737258E-2	-9.733965248E-2	2.337107062E-2
3.850710000E-1	3.669727594E-3	-3.323710710E-2	1.452804357E-2
3.950810000E-1	5.084560812E-2	3.957494721E-2	2.066870220E-3
4.050900000E-1	7.951506972E-2	8.572726697E-2	-5.990523845E-3
4.151000000E-1	7.790862769E-2	8.366239816E-2	-4.094517790E-3
4.250790000E-1	5.077181756E-2	4.193066806E-2	2.111180685E-3
4.350890000E-1	1.206789725E-2	-1.960993372E-2	1.214818750E-2
4.450990000E-1	-2.082267404E-2	-7.078629732E-2	1.704973541E-2
4.551090000E-1	-4.104055837E-2	-9.644459933E-2	1.256971341E-2
4.650880000E-1	-3.961656615E-2	-1.003362760E-1	5.937909242E-3
4.750980000E-1	-2.043619752E-2	-7.479462773E-2	2.967379056E-3
4.851070000E-1	-7.528122049E-3	-4.362072423E-2	6.012171507E-3
4.951170000E-1	-4.839942791E-3	-1.527997106E-2	4.960529506E-3
5.051270000E-1	-7.836798206E-3	8.694338612E-3	6.796246395E-3
5.151060000E-1	-3.736613784E-3	2.086863667E-2	8.814694360E-3
5.251160000E-1	6.508301012E-3	1.665152051E-2	1.086958963E-2
5.351260000E-1	2.307197824E-2	-2.238490619E-3	9.677775204E-3
5.451360000E-1	3.139648587E-2	-3.120915592E-2	5.678239744E-3
5.551150000E-1	3.803199902E-2	-6.365665048E-2	6.430391222E-4
5.651250000E-1	4.121207818E-2	-8.496806771E-2	-3.602572717E-3
5.751340000E-1	4.624383897E-2	-1.003806442E-1	-6.737603806E-3
5.851440000E-1	3.719894588E-2	-1.021055803E-1	-8.394089527E-3
5.951230000E-1	2.187207714E-2	-8.794710785E-2	-1.951523870E-2
6.051330000E-1	6.596984342E-3	-6.283988804E-2	-3.199747577E-2
6.151430000E-1	1.207308657E-2	-4.299325496E-2	-4.005561396E-2
6.251530000E-1	1.553040184E-2	-1.238075085E-2	-3.800364956E-2
6.351620000E-1	1.547635533E-2	2.155918628E-3	-3.872167692E-2
6.451420000E-1	9.301284328E-3	2.479012311E-2	-2.997239307E-2
6.551510000E-1	6.776524708E-3	2.458729595E-2	-2.261684276E-2
6.651610000E-1	9.164847434E-3	1.235859282E-2	-2.391566522E-2
6.751710000E-1	1.767129824E-2	-1.456941105E-2	-2.794165350E-2
6.851500000E-1	1.935947314E-2	-3.134972230E-2	-3.423789889E-2
6.951600000E-1	2.502422966E-2	-6.528767198E-2	-3.884611279E-2
7.051700000E-1	2.526577748E-2	-8.987397701E-2	-5.108387396E-2
7.151790000E-1	3.716066480E-3	-8.777411282E-2	-7.141536474E-2
7.251590000E-1	-1.872186363E-2	-5.909826234E-2	-1.084082648E-1
7.351690000E-1	-2.630903386E-2	-2.085489407E-2	-1.569804251E-1
7.451780000E-1	-2.357343398E-2	-1.680129394E-2	-1.995286793E-1
7.552031250E-1	-2.353288606E-2	-5.250088871E-2	-2.296265215E-1
7.652131250E-1	-2.466925606E-2	-1.193331853E-1	-2.553992569E-1
7.751921250E-1	-2.256421559E-2	-1.785410792E-1	-2.925691605E-1
7.852021250E-1	-8.256116882E-3	-2.364038527E-1	-3.270091712E-1
7.952121250E-1	2.995550632E-2	-2.635130286E-1	-3.511614799E-1
8.052211250E-1	8.017233759E-2	-2.459936887E-1	-3.677332699E-1
8.152011250E-1	1.159590185E-1	-1.715956330E-1	-3.760432601E-1
8.252101250E-1	4.216575623E-2	1.473722421E-2	-4.347577095E-1
8.352201250E-1	-5.006862432E-2	8.492181450E-2	-5.250975490E-1
8.452301250E-1	-9.693306684E-2	9.440559149E-2	-6.061684489E-1
8.552091250E-1	-6.866157055E-2	1.051746085E-1	-6.064783335E-1
8.652191250E-1	5.867443979E-4	1.169409901E-1	-5.513612628E-1
8.752291250E-1	8.533532917E-2	9.700280428E-2	-4.777352512E-1
8.852381250E-1	1.722278893E-1	2.849298343E-2	-3.981922269E-1
8.952481250E-1	2.776300609E-1	-1.271780133E-1	-2.946226001E-1
9.052271250E-1	3.246747851E-1	-2.544632554E-1	-2.450108677E-1
9.152371250E-1	2.607502937E-1	-2.825628221E-1	-1.983436048E-1
9.252471250E-1	1.572455019E-1	-3.040721118E-1	-1.991217732E-1
9.352571250E-1	1.116090193E-1	-3.735523224E-1	-2.595131695E-1
9.452361250E-1	1.136031970E-1	-3.654675186E-1	-3.081374466E-1
9.552461250E-1	1.241034195E-1	-2.782902718E-1	-3.316154480E-1
9.652561250E-1	1.367518306E-1	-2.387332767E-1	-3.759959638E-1
9.752651250E-1	1.872214228E-1	-2.479505390E-1	-4.374513626E-1
9.852451250E-1	2.213082910E-1	-1.503744572E-1	-4.827501178E-1
9.952541250E-1	2.466718554E-1	-3.624486923E-2	-5.133267045E-1
1.005264125E0	2.906808555E-1	5.843077600E-2	-4.907106161E-1
1.015274125E0	3.416424692E-1	1.135157347E-1	-4.300247133E-1
1.025253125E0	3.478468359E-1	1.615999043E-1	-4.071905017E-1
1.035263125E0	3.227707148E-1	1.519168913E-1	-4.311811924E-1
1.045273125E0	3.152339756E-1	7.859900594E-2	-4.305318892E-1
1.055282125E0	3.195537329E-1	-2.654722147E-2	-3.974655569E-1
1.065292125E0	3.090531528E-1	-8.916080743E-2	-3.861069083E-1
1.075271125E0	2.404482961E-1	-7.997354865E-2	-3.795915246E-1
1.085281125E0	1.364901960E-1	-3.579889983E-2	-3.594979942E-1
1.095291125E0	4.326109961E-2	-4.157272354E-2	-4.173680246E-1
1.105301125E0	-3.530907631E-2	-3.793032095E-2	-4.288973808E-1
1.115280125E0	-8.574898541E-2	-3.814088553E-2	-4.220420718E-1
1.125290125E0	-1.303428262E-1	-3.980775923E-2	-4.036175013E-1
1.135299125E0	-1.700851768E-1	-3.846339509E-2	-3.780623376E-1
1.145309125E0	-1.457169950E-1	-6.364677101E-2	-3.209806979E-1
1.155288125E0	-2.677397802E-2	-9.957566857E-2	-2.530074418E-1
1.165298125E0	6.881885976E-2	-1.888454705E-2	-2.139889300E-1
1.175308125E0	8.729295433E-2	1.175360158E-1	-1.964829266E-1
1.185318125E0	8.245904744E-2	1.833645701E-1	-1.925153434E-1
1.195328125E0	9.667312354E-2	1.893445551E-1	-1.843785644E-1
1.205307125E0	1.178899929E-1	1.856582165E-1	-1.811865121E-1
