"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.540530000E-1;9.270760417E-4;2.483078599E-2;-1.872219980E-2
1.640630000E-1;-4.838570952E-4;2.761990786E-2;-8.570848703E-3
1.740730000E-1;1.167893618E-2;3.554171562E-2;-8.655048609E-3
1.840520000E-1;1.216367036E-2;3.328936815E-2;-1.968991399E-2
1.940620000E-1;1.027648151E-3;3.058444619E-2;-1.603540421E-2
2.040710000E-1;-1.054311454E-2;3.354079843E-2;-7.311943173E-3
2.140810000E-1;-5.991349518E-3;3.591593742E-2;-2.083245993E-2
2.240910000E-1;3.704211116E-4;3.006404400E-2;-1.163011193E-2
2.341010000E-1;-5.162799060E-3;3.468100548E-2;-2.824789882E-3
2.440800000E-1;-2.413145900E-3;3.010555923E-2;2.552894354E-3
2.540900000E-1;-5.231211483E-3;2.576458633E-2;9.433313012E-3
2.641000000E-1;-1.200141013E-2;2.782689929E-2;1.938059628E-2
2.741090000E-1;-1.098896474E-2;3.220412493E-2;1.391578853E-2
2.841190000E-1;-1.379621297E-2;2.993248165E-2;1.978580832E-2
2.940980000E-1;-5.583213866E-3;3.093469441E-2;1.667392015E-2
3.041080000E-1;-7.279783487E-4;3.646966875E-2;1.668561459E-2
3.141180000E-1;-4.898212552E-3;3.574987650E-2;1.502909839E-2
3.241280000E-1;4.400029778E-4;2.923958659E-2;9.099436998E-3
3.341370000E-1;2.026060224E-4;2.896184385E-2;2.113008320E-2
3.441972500E-1;2.476295829E-4;2.261644542E-2;9.143875837E-3
3.541762500E-1;-2.148267031E-3;3.033418536E-2;-1.761181355E-3
3.641862500E-1;-6.959356070E-3;3.123465657E-2;1.348017097E-2
3.741962500E-1;-8.374382257E-3;1.873272479E-2;1.581028640E-2
3.842062500E-1;-4.593280256E-3;3.135569394E-2;1.722063482E-2
3.942152500E-1;-5.156659484E-3;3.604457617E-2;2.252172053E-2
4.041952500E-1;-1.401869953E-3;2.616921365E-2;2.160780072E-2
4.142042500E-1;8.358594775E-4;3.108789146E-2;1.424089372E-2
4.242142500E-1;-3.005468845E-3;3.274616182E-2;8.651540279E-3
4.342242500E-1;-1.517352462E-4;2.978805542E-2;2.059915602E-2
4.442342500E-1;-1.467037171E-2;2.549619913E-2;1.885668576E-2
4.542442500E-1;-2.018751204E-3;2.664576173E-2;1.490162909E-2
4.642232500E-1;-6.209743023E-4;2.716850281E-2;1.797784925E-2
4.742332500E-1;-3.259530365E-3;2.669312418E-2;2.859405398E-2
4.842422500E-1;-5.839321911E-3;2.589673340E-2;2.105699301E-2
4.942522500E-1;-1.084833920E-2;3.118378580E-2;1.768431902E-2
5.042622500E-1;3.944824040E-3;3.566918492E-2;1.113719165E-2
5.142412500E-1;5.820610821E-3;2.615576506E-2;1.336088777E-2
5.242512500E-1;-3.689593077E-4;2.862855256E-2;1.611083329E-2
5.342612500E-1;8.209490776E-4;2.808768511E-2;1.523316622E-2
5.442702500E-1;-3.687838912E-3;3.341332912E-2;1.510160387E-2
5.542802500E-1;-2.248254418E-3;3.417580605E-2;1.847895563E-2
5.642902500E-1;-3.100193739E-3;2.723399162E-2;2.565290451E-2
5.742692500E-1;-1.254812479E-2;2.731409848E-2;1.642190516E-2
5.842792500E-1;-5.884345472E-3;2.673054636E-2;2.923140049E-2
5.942892500E-1;-5.942817628E-3;3.636441886E-2;3.197432935E-2
6.042982500E-1;-4.846172333E-3;2.550789356E-2;2.654168129E-2
6.143082500E-1;-7.295278609E-3;3.437519610E-2;2.023838282E-2
6.242872500E-1;-1.109479934E-2;2.873380244E-2;1.971388757E-2
6.342972500E-1;-7.675347626E-3;3.253800094E-2;2.000917196E-2
6.443072500E-1;-1.112637430E-2;3.279761732E-2;2.605460823E-2
6.543172500E-1;-5.224194825E-3;3.659830749E-2;1.438824356E-2
6.643272500E-1;-1.788370907E-3;2.667733669E-2;1.355969310E-2
6.743362500E-1;3.926405311E-4;2.691414893E-2;1.298432708E-2
6.843162500E-1;-6.727806330E-3;2.984184980E-2;1.333574474E-2
6.943252500E-1;-7.063436508E-3;2.989447474E-2;1.382398725E-2
7.043352500E-1;-1.212478638E-2;3.848871231E-2;8.880166411E-3
7.143452500E-1;1.011217475E-2;3.512130082E-2;1.734693468E-2
7.243552500E-1;8.286089301E-3;3.354138315E-2;2.121252894E-2
7.343342500E-1;6.419950426E-3;3.176090598E-2;2.054711580E-2
7.443442500E-1;9.803734124E-3;2.041262984E-2;1.622660816E-2
7.543532500E-1;3.172699213E-3;3.436759472E-2;1.426486731E-2
7.643632500E-1;2.667207420E-3;3.378638148E-2;2.540088952E-2
7.743732500E-1;-3.010848284E-2;3.469094574E-2;2.267842591E-2
7.843832500E-1;-3.065256625E-2;3.556744337E-2;2.427880883E-2
7.943622500E-1;-2.189226776E-2;2.313743234E-2;2.161715627E-2
8.043722500E-1;-3.423427820E-2;3.316072941E-2;1.491215408E-2
8.143812500E-1;-1.965746194E-2;2.537340760E-2;2.555525601E-2
8.243912500E-1;-1.494314432E-2;2.716499448E-2;2.527342021E-2
8.344012500E-1;-8.454196751E-3;3.211407781E-2;2.477582216E-2
8.443802500E-1;-4.639765620E-4;3.439215302E-2;2.460040569E-2
8.543902500E-1;-5.434109867E-3;3.860448718E-2;2.311989069E-2
8.644002500E-1;2.800816298E-3;3.387058139E-2;2.730181932E-2
8.744102500E-1;6.521107256E-3;3.392788410E-2;1.937767267E-2
8.844192500E-1;7.375677824E-3;2.960445285E-2;2.735152066E-2
8.944292500E-1;1.067409217E-3;3.357354283E-2;1.679378808E-2
9.044082500E-1;7.929701507E-3;3.454067230E-2;1.944550037E-2
9.144182500E-1;8.164467216E-3;3.546979487E-2;2.632708848E-2
9.244282500E-1;1.825500727E-3;3.195620298E-2;1.651195228E-2
9.344382500E-1;-7.093549669E-3;2.809119344E-2;2.387184262E-2
9.444472500E-1;-1.302905828E-2;2.933665037E-2;1.526064813E-2
9.544272500E-1;-1.838043004E-2;3.607790530E-2;2.242991924E-2
9.644362500E-1;-6.236055493E-3;2.739362061E-2;1.899935782E-2
9.744462500E-1;-6.915794313E-3;3.382029533E-2;1.995011508E-2
9.844562500E-1;-7.604011595E-3;3.066923082E-2;2.447878361E-2
9.944662500E-1;-1.089950234E-2;2.275619388E-2;2.857241929E-2
1.004475250E0;-1.263700247E-2;3.099375129E-2;3.243450522E-2
1.014455250E0;-9.075755775E-3;2.639433146E-2;3.851093173E-2
1.024464250E0;-1.916132569E-3;2.114528596E-2;3.270640075E-2
1.034474250E0;3.147848547E-3;3.434128225E-2;2.853792071E-2
1.044484250E0;6.851474941E-3;3.873137176E-2;2.305206299E-2
1.054494250E0;7.007595599E-3;3.592821658E-2;2.284741044E-2
1.064504250E0;3.831680417E-3;2.997633576E-2;2.565992117E-2
1.074483250E0;5.498136878E-3;2.734391928E-2;2.535762012E-2
1.084493250E0;4.019960761E-3;3.487922609E-2;2.031615078E-2
1.094502250E0;3.175038099E-3;4.528259218E-2;2.443902254E-2
1.104512250E0;-9.513419867E-4;3.592412353E-2;2.498632193E-2
1.114522250E0;8.369412124E-3;2.712698758E-2;3.035991311E-2
1.124501250E0;1.599213481E-3;3.533940196E-2;2.956936955E-2
1.134511250E0;-5.164553225E-3;3.251753569E-2;3.141650498E-2
1.144521250E0;-1.064397901E-2;2.522313416E-2;2.687789619E-2
1.154530250E0;-2.614874840E-3;2.762575507E-2;2.609495401E-2
1.164540250E0;-5.469485521E-3;3.243684411E-2;2.658904374E-2
1.174550250E0;-1.070011228E-2;2.736263037E-2;3.474883318E-2
1.184529250E0;-1.067409217E-3;3.248946905E-2;3.411324084E-2
1.194539250E0;-8.004838228E-4;3.029091597E-2;2.011383712E-2
1.204549250E0;-5.817394853E-3;3.319405854E-2;2.505356491E-2
1.214558250E0;-6.434860826E-3;3.862319827E-2;2.904662848E-2
1.224568250E0;-3.737247884E-3;3.252572179E-2;2.658962846E-2
1.234547250E0;-3.674390316E-3;3.224388599E-2;2.484949708E-2
1.244557250E0;4.332786798E-4;3.047627270E-2;2.126047611E-2
1.254567250E0;-1.322347820E-3;3.276370347E-2;1.985012770E-2
1.264577250E0;-2.435657680E-3;3.876119256E-2;2.189723790E-2
1.274587250E0;-1.251304150E-4;3.424187958E-2;2.862387478E-2
1.284596250E0;8.812631071E-3;3.649598122E-2;3.067566276E-2
1.294576250E0;1.001511097E-2;2.901856184E-2;2.524476886E-2
1.304585250E0;2.963076532E-3;2.709482789E-2;2.753453851E-2
1.314595250E0;7.982034087E-3;2.696560442E-2;2.563945591E-2
1.324605250E0;8.750358224E-4;4.018382013E-2;2.676972270E-2
1.334615250E0;2.268134952E-3;3.856589556E-2;2.603706658E-2
1.344613500E0;-4.671048224E-3;2.902616322E-2;3.242748857E-2
1.354623500E0;-7.039170563E-3;3.553996146E-2;3.699124038E-2
1.364632500E0;-6.896790862E-3;4.131934941E-2;2.682351708E-2
1.374642500E0;-1.340444952E-2;3.196672797E-2;2.644578695E-2
1.384652500E0;-1.168039799E-2;3.367060661E-2;2.555759490E-2
1.394662500E0;7.353750765E-3;3.328878343E-2;2.717727363E-2
1.404641500E0;2.866305113E-3;3.241520941E-2;2.989564419E-2
1.414651500E0;8.812046349E-3;3.452196121E-2;1.801059365E-2
1.424660500E0;5.888146162E-4;3.694329321E-2;1.548050344E-2
1.434670500E0;-2.185689211E-3;3.547915041E-2;2.459163487E-2
1.444680500E0;4.797932804E-3;3.444243908E-2;3.022718132E-2
1.454659500E0;-1.725805700E-3;3.266605496E-2;2.772398829E-2
1.464669500E0;5.097894967E-3;3.088148475E-2;3.065929055E-2
1.474679500E0;3.817062378E-3;3.329229176E-2;3.343379438E-2
1.484689500E0;6.464389265E-3;2.600607634E-2;2.886185646E-2
1.494698500E0;1.624356508E-3;2.769767582E-2;2.312222958E-2
1.504708500E0;-6.788617373E-4;3.279469371E-2;3.237427890E-2
1.514687500E0;-5.098772049E-3;3.569608212E-2;3.224447072E-2
1.524697500E0;-4.900551438E-3;2.708664179E-2;2.904955208E-2
1.534707500E0;-4.360561073E-3;2.293921173E-2;2.823561966E-2
1.544717500E0;-1.313869357E-2;3.153227985E-2;2.360345542E-2
1.554726500E0;-9.121948779E-3;3.118144691E-2;1.638623714E-2
1.564706500E0;-1.019608229E-2;3.153227985E-2;1.568515599E-2
1.574715500E0;-1.017620176E-2;3.559960306E-2;1.944257677E-2
1.584725500E0;-6.667872369E-3;3.849222064E-2;2.592947781E-2
1.594735500E0;1.848304868E-3;3.867816210E-2;2.934074342E-2
1.604745500E0;1.352460980E-3;2.929513514E-2;3.538384080E-2
1.614754500E0;-4.435113072E-3;2.543714225E-2;2.503134549E-2
1.624734500E0;1.364447773E-3;3.609720111E-2;2.861101091E-2
1.634743500E0;3.285550475E-3;3.971194983E-2;2.056290329E-2
1.644753500E0;5.386455059E-3;3.433718920E-2;1.674642563E-2
1.654763500E0;9.967748523E-3;2.955942929E-2;1.728320003E-2
1.664773500E0;9.897874296E-3;3.333790004E-2;3.267131746E-2
1.674752500E0;6.793879867E-3;3.802444339E-2;3.110777199E-2
1.684762500E0;5.000246465E-3;3.433894336E-2;1.991795540E-2
1.694772500E0;-5.005508959E-3;3.260582864E-2;1.601786256E-2
1.704781500E0;-5.787281692E-3;3.400974512E-2;2.188671291E-2
1.714791500E0;2.017289400E-4;2.729948044E-2;2.072077811E-2
1.724801500E0;1.858537495E-3;3.033360064E-2;2.576575577E-2
1.734780500E0;-6.793295145E-3;3.813787937E-2;2.357246518E-2
1.744790500E0;-2.740589976E-3;3.801742673E-2;2.402211607E-2
1.754800500E0;-4.669878781E-3;2.292108536E-2;2.197149754E-2
1.764809500E0;-6.543326676E-3;2.997575104E-2;2.277841330E-2
1.774819500E0;-7.633540034E-4;3.460557640E-2;2.132245660E-2
1.784798500E0;6.476668417E-3;2.459163487E-2;2.139203846E-2
1.794808500E0;-2.321636975E-3;3.167612135E-2;3.057801425E-2
1.804818500E0;1.693061292E-3;3.126740098E-2;1.855263054E-2
1.814828500E0;1.025309265E-2;3.132879674E-2;3.007398427E-2
1.824837500E0;9.304674268E-3;3.602001786E-2;3.207197785E-2
1.834847500E0;5.360434949E-3;3.381737173E-2;2.407591045E-2
1.844826500E0;9.027516246E-3;3.311629057E-2;2.249482334E-2
1.854836500E0;9.881794453E-3;3.451845288E-2;2.732930124E-2
1.864846500E0;-1.087289751E-3;2.990909278E-2;3.286953807E-2
1.874856500E0;-3.939269185E-3;2.878584266E-2;2.187969625E-2
1.884866500E0;-9.551426768E-3;4.051945031E-2;1.725981116E-2
1.894845500E0;-4.099190533E-3;3.396121323E-2;1.803222835E-2
1.904855500E0;2.210247517E-3;3.085868061E-2;2.276964247E-2
