"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
0.000000000E0;-2.747835846E0;4.882995758E0;8.093519440E0
9.979000024E-3;-2.615960083E0;4.755610657E0;7.935897217E0
1.995800002E-2;-2.536774750E0;4.719086609E0;7.759713593E0
2.996800002E-2;-2.543061676E0;4.776716766E0;7.664960632E0
3.997800002E-2;-2.614313507E0;4.897216187E0;7.700436859E0
4.995700001E-2;-2.651585999E0;5.045108643E0;7.724836121E0
5.996700001E-2;-2.743943939E0;5.174140320E0;7.743397522E0
6.997700001E-2;-2.805615692E0;5.211861877E0;7.802674255E0
7.995600000E-2;-2.785707092E0;5.165458374E0;7.841892700E0
8.996600000E-2;-2.728825378E0;5.078788605E0;7.830067291E0
9.997500002E-2;-2.596650238E0;4.951702881E0;7.780220947E0
1.099550000E-1;-2.552042999E0;4.845573578E0;7.736362152E0
1.199845000E-1;-2.600691833E0;4.881648560E0;7.758067017E0
1.299945000E-1;-2.534828796E0;4.950205994E0;7.765401764E0
1.400045000E-1;-2.490670624E0;5.087620239E0;7.699538727E0
1.499835000E-1;-2.502945099E0;5.179229736E0;7.621101837E0
1.599935000E-1;-2.451152802E0;5.179529114E0;7.568411407E0
1.700035000E-1;-2.389481049E0;5.132975922E0;7.555687866E0
1.799825000E-1;-2.362237701E0;5.078040161E0;7.585026855E0
1.899925000E-1;-2.355950775E0;5.056035919E0;7.653434601E0
2.000025000E-1;-2.423161011E0;5.010231171E0;7.790848846E0
2.100115000E-1;-2.467917938E0;4.961133270E0;7.918383636E0
2.199915000E-1;-2.418221283E0;4.938380585E0;8.005502472E0
2.300005000E-1;-2.297422485E0;4.918771362E0;8.017627258E0
2.400105000E-1;-2.183509369E0;4.908293152E0;7.970175934E0
2.499895000E-1;-2.122286682E0;4.910538483E0;7.913892975E0
2.599995000E-1;-2.160157928E0;4.920118561E0;7.880961456E0
2.700095000E-1;-2.190844116E0;4.955445099E0;7.869884491E0
2.799885000E-1;-2.151775360E0;5.041965179E0;7.866291962E0
2.899985000E-1;-2.081122284E0;5.081932068E0;7.825426941E0
3.000085000E-1;-2.042053528E0;5.081483002E0;7.801177368E0
3.100175000E-1;-2.029479675E0;5.091212769E0;7.861052856E0
3.199975000E-1;-2.054028625E0;5.090464325E0;7.966882782E0
3.300065000E-1;-2.051633606E0;5.085075531E0;8.063881073E0
3.400165000E-1;-2.003433838E0;5.054089966E0;8.120313721E0
3.499955000E-1;-1.953737183E0;5.028343506E0;8.133785706E0
3.600055000E-1;-1.948049011E0;5.053042145E0;8.139024811E0
3.700155000E-1;-1.975891113E0;5.038073273E0;8.234675903E0
3.799945000E-1;-1.985920258E0;4.994214478E0;8.320896606E0
3.900045000E-1;-1.931433563E0;4.957840118E0;8.308622131E0
4.000145000E-1;-1.851499786E0;5.010829926E0;8.191715240E0
4.100245000E-1;-1.841620331E0;5.119953003E0;8.080646210E0
4.200035000E-1;-1.842817841E0;5.126389618E0;8.000562744E0
4.300135000E-1;-1.810335388E0;5.076094208E0;8.004604340E0
4.400225000E-1;-1.747316437E0;4.961432648E0;8.003706207E0
4.500025000E-1;-1.682351532E0;4.853207703E0;7.967930603E0
4.600115000E-1;-1.650617523E0;4.776118011E0;7.911348267E0
4.700215000E-1;-1.580862579E0;4.763693848E0;7.867639160E0
4.800005000E-1;-1.489253082E0;4.726421356E0;7.758216705E0
4.900105000E-1;-1.434766388E0;4.686903534E0;7.683372345E0
5.000205000E-1;-1.436412964E0;4.665797424E0;7.707322540E0
5.100305000E-1;-1.508862305E0;4.617897034E0;7.851323090E0
5.200095000E-1;-1.625619507E0;4.598287811E0;8.059091034E0
5.300195000E-1;-1.694176941E0;4.605323181E0;8.178692322E0
5.400285000E-1;-1.672621765E0;4.581522675E0;8.203540649E0
5.500085000E-1;-1.637893982E0;4.575984192E0;8.186176758E0
5.600175000E-1;-1.605561218E0;4.590803375E0;8.186326447E0
5.700275000E-1;-1.558858337E0;4.612657928E0;8.190368042E0
5.800375000E-1;-1.460213470E0;4.651427307E0;8.220605164E0
5.900165000E-1;-1.367705841E0;4.624034271E0;8.279133453E0
6.000265000E-1;-1.207987976E0;4.607867889E0;8.277786255E0
6.100365000E-1;-1.093326416E0;4.557572479E0;8.265362091E0
6.200155000E-1;-1.001417542E0;4.469555511E0;8.293204193E0
6.300255000E-1;-9.276210022E-1;4.377197571E0;8.346194000E0
6.400355000E-1;-9.144483948E-1;4.327351227E0;8.417745209E0
6.500145000E-1;-9.331594849E-1;4.370910645E0;8.387807465E0
6.600245000E-1;-1.054407349E0;4.399650879E0;8.244854736E0
6.700335000E-1;-1.188378754E0;4.438420258E0;8.272098083E0
6.800435000E-1;-1.322200470E0;4.528083801E0;8.470585327E0
6.900225000E-1;-1.287921753E0;4.649331665E0;8.584797821E0
7.000325000E-1;-1.109941864E0;4.681065674E0;8.508007507E0
7.100425000E-1;-8.276289368E-1;4.638404388E0;8.368796997E0
7.200215000E-1;-5.101391602E-1;4.593198395E0;8.253836060E0
7.300315000E-1;-4.004173279E-1;4.517904968E0;8.103249207E0
7.400415000E-1;-2.357597351E-1;4.391417999E0;8.033194885E0
7.500205000E-1;-2.157014465E-1;4.255350952E0;7.967631226E0
7.600305000E-1;-2.384541321E-1;4.188739471E0;7.961943054E0
7.700395000E-1;-2.808160400E-1;4.204456787E0;7.884254608E0
7.800495000E-1;-4.138893127E-1;4.267026672E0;7.925568695E0
7.900285000E-1;-3.640429688E-1;4.371210022E0;8.275540924E0
8.000385000E-1;-1.469943237E-1;4.367617493E0;8.645421753E0
8.100485000E-1;1.725910950E-1;4.319866791E0;8.783584442E0
8.200275000E-1;5.188211060E-1;4.220024414E0;8.590635681E0
8.300375000E-1;7.976911926E-1;4.050277405E0;8.338260498E0
8.400475000E-1;1.009201355E0;3.896098022E0;8.128396912E0
8.500565000E-1;1.032702484E0;3.809278564E0;8.070916443E0
8.600365000E-1;8.068222046E-1;3.856729889E0;8.198451233E0
8.700455000E-1;5.249583435E-1;4.094136200E0;8.235873413E0
8.800555000E-1;3.556604004E-1;4.415068817E0;8.107440491E0
8.900355000E-1;3.311114502E-1;4.501439209E0;7.967481537E0
9.000445000E-1;7.039860535E-1;4.391717377E0;7.772137756E0
9.100545000E-1;1.184786224E0;4.272116089E0;7.602241058E0
9.200335000E-1;1.413211212E0;4.240681458E0;7.713160400E0
9.300435000E-1;1.584455109E0;4.174818420E0;7.925868073E0
9.400535000E-1;1.814826050E0;4.123325500E0;7.935448151E0
9.500635000E-1;2.110161896E0;4.201912079E0;7.830216980E0
9.600425000E-1;2.384990387E0;4.342170410E0;7.837252350E0
9.700525000E-1;2.338886261E0;4.387675781E0;8.034991150E0
9.800615000E-1;2.175575867E0;4.417463837E0;8.088430023E0
9.900415000E-1;2.065404968E0;4.461172943E0;8.089178467E0
1.000050500E0;2.011666718E0;4.489015045E0;8.099956055E0
1.010060500E0;2.071991272E0;4.410578156E0;8.065827026E0
1.020039500E0;2.413281555E0;4.306394806E0;8.046666870E0
1.030049500E0;2.701582031E0;4.317322083E0;8.166268158E0
1.040059500E0;2.824177094E0;4.477189636E0;8.415948944E0
1.050069500E0;2.963237915E0;4.393064575E0;8.521329803E0
1.060048500E0;3.153791656E0;4.194577332E0;8.504864044E0
1.070058500E0;3.582350464E0;4.281097412E0;8.441994781E0
1.080067500E0;3.834426270E0;4.424948273E0;8.055199127E0
1.090047500E0;3.737727356E0;4.362378387E0;7.482190704E0
1.100056500E0;3.562441864E0;4.182003479E0;7.219786377E0
1.110066500E0;3.616928558E0;3.885170746E0;7.334447937E0
1.120100750E0;3.892804871E0;3.679648132E0;7.654781799E0
1.130079750E0;4.119882660E0;3.645519104E0;7.964038696E0
1.140089750E0;4.180356903E0;3.532653809E0;8.188422089E0
1.150099750E0;3.867806854E0;3.303181000E0;8.321345673E0
1.160078750E0;3.880680084E0;3.225193176E0;8.367749176E0
1.170088750E0;4.151167603E0;3.587439880E0;8.190966797E0
1.180098750E0;4.146227875E0;3.766766968E0;7.792794800E0
1.190077750E0;4.393214264E0;3.666774902E0;7.509284363E0
1.200087750E0;4.902604980E0;3.437302094E0;7.760911102E0
1.210096750E0;5.173092499E0;3.174149323E0;8.331973572E0
1.220106750E0;4.862638092E0;3.207380219E0;8.564739532E0
1.230085750E0;4.274211731E0;3.309916992E0;8.464597778E0
1.240095750E0;4.045637054E0;3.266357574E0;8.046367493E0
1.250105750E0;4.168830872E0;3.250340881E0;7.239395599E0
1.260084750E0;4.514013062E0;3.085533600E0;6.759792938E0
1.270094750E0;5.070256348E0;2.934946747E0;7.145091705E0
1.280104750E0;5.187911682E0;2.740501099E0;7.331454163E0
1.290113750E0;5.573659515E0;2.281555481E0;7.151827698E0
1.300093750E0;5.348228302E0;1.839375000E0;7.025640106E0
1.310102750E0;4.650529175E0;1.972148895E0;6.783892822E0
1.320112750E0;4.182602234E0;2.263592834E0;6.672075348E0
1.330091750E0;4.259691925E0;2.385289764E0;6.676566010E0
1.340101750E0;4.669240265E0;2.284998322E0;6.622378693E0
1.350111750E0;5.189109192E0;2.185305634E0;6.640491028E0
1.360090750E0;6.346203003E0;2.457140350E0;7.324119415E0
1.370100750E0;7.123985596E0;2.701582031E0;8.352031860E0
1.380110750E0;6.453679504E0;2.584824829E0;8.681796112E0
1.390120750E0;6.321204987E0;2.514920197E0;9.280251617E0
1.400099750E0;5.566175079E0;2.559377747E0;9.381890259E0
1.410109750E0;4.799319763E0;2.633323975E0;9.004824371E0
1.420118750E0;4.248614960E0;2.588267670E0;8.670569458E0
1.430098750E0;4.023333435E0;2.427801361E0;8.505462799E0
1.440107750E0;4.111350403E0;2.352058868E0;8.624465332E0
1.450117750E0;4.565955048E0;2.435136108E0;9.118737488E0
1.460096750E0;5.170847168E0;2.557880859E0;9.616003418E0
1.470106750E0;5.662724304E0;2.674039307E0;9.965825958E0
1.480116750E0;6.135890350E0;2.770588531E0;1.010219238E1
1.490126750E0;6.317612457E0;2.838996277E0;1.002824615E1
1.500105750E0;6.129453735E0;2.889591064E0;9.808503113E0
1.510115750E0;5.722001038E0;2.950813751E0;9.361532593E0
1.520124750E0;5.372028809E0;2.972368927E0;8.809031525E0
1.530104750E0;5.170996857E0;3.059188385E0;8.346343689E0
1.540113750E0;5.042414246E0;3.158581696E0;8.228538666E0
1.550123750E0;5.122647400E0;3.194357300E0;8.482710114E0
1.560133750E0;5.280569000E0;3.111280060E0;8.953481140E0
1.570112750E0;5.295238495E0;3.000211029E0;9.098679199E0
1.580122750E0;5.357808380E0;2.871029663E0;9.014853516E0
1.590132750E0;5.399272156E0;2.839894409E0;8.919352112E0
1.600111750E0;5.327870636E0;2.952011261E0;8.590485992E0
1.610121750E0;5.176535339E0;3.014281769E0;8.152796173E0
1.620131750E0;5.158872070E0;3.091371460E0;7.645201721E0
1.630110750E0;5.095553741E0;3.182681580E0;7.143894196E0
1.640120750E0;4.806355133E0;3.347039795E0;6.899751892E0
1.650129750E0;4.470004578E0;3.356470184E0;6.958579559E0
1.660139750E0;4.338877258E0;3.333567810E0;7.111561432E0
1.670118750E0;4.317920837E0;3.330424347E0;7.392227783E0
1.680128750E0;4.282893677E0;3.281476135E0;7.491321716E0
1.690138750E0;4.236041107E0;3.283721466E0;7.494764557E0
1.700117750E0;4.122277679E0;3.268752594E0;7.591164093E0
1.710127750E0;4.046834564E0;3.258124695E0;7.602540436E0
1.720137750E0;4.118984528E0;3.320993958E0;7.483986969E0
1.730116750E0;4.269122314E0;3.351979523E0;7.330106964E0
1.740126750E0;4.398902435E0;3.363355865E0;7.229665833E0
1.750135750E0;4.464765472E0;3.390748901E0;7.060966644E0
1.760145750E0;4.491410065E0;3.373534698E0;6.871610413E0
1.770124750E0;4.582271118E0;3.298540649E0;6.718478851E0
1.780134750E0;4.510420532E0;3.128793640E0;6.632407837E0
1.790144750E0;4.198020172E0;2.972368927E0;6.578669586E0
1.800123750E0;3.821553040E0;2.897374878E0;6.415059814E0
1.810133750E0;3.682192841E0;2.778671722E0;6.371500397E0
1.820143750E0;3.720812531E0;2.579436035E0;6.301446075E0
1.830153750E0;3.738326111E0;2.377056885E0;5.981710968E0
1.840132750E0;3.745960236E0;2.170785828E0;5.588927765E0
1.850142750E0;3.735332336E0;2.103874969E0;5.557343445E0
1.860151750E0;3.668571167E0;2.139949951E0;5.145100708E0
1.870131750E0;3.647015991E0;2.151176605E0;4.766388245E0
1.880140750E0;3.659739532E0;2.058668976E0;4.569248199E0
1.890150750E0;3.665727081E0;1.813628540E0;4.227359161E0
1.900129750E0;3.364104309E0;1.474284210E0;4.013453979E0
1.910139750E0;2.875819702E0;1.175505524E0;4.030668182E0
1.920149750E0;2.558180237E0;8.279283142E-1;3.924538879E0
1.930159750E0;2.262844391E0;3.857478333E-1;3.790866852E0
1.940138750E0;1.911674652E0;-3.811074829E-1;3.609743500E0
1.950148750E0;1.516945496E0;-1.060694275E0;3.301684113E0
1.960157750E0;1.232686615E0;-1.260678406E0;3.208428040E0
1.970137750E0;1.171014862E0;-1.350791016E0;3.147953796E0
1.980146750E0;1.478176117E0;-1.675316162E0;3.075953522E0
1.990156750E0;2.224075012E0;-2.260000305E0;3.208727417E0
2.000166750E0;2.913391571E0;-2.854414215E0;3.238066406E0
2.010145750E0;3.504961395E0;-3.173101501E0;3.626209259E0
2.020155750E0;4.602479095E0;-3.153192902E0;4.659660187E0
2.030165750E0;5.945037231E0;-2.853366394E0;5.203329620E0
2.040144750E0;7.065606995E0;-2.639461212E0;5.441484375E0
2.050154750E0;8.004304962E0;-2.818937988E0;5.564827881E0
2.060163750E0;8.834478607E0;-3.216211853E0;5.377716980E0
2.070143750E0;9.724677429E0;-3.335214386E0;4.922812958E0
2.080153750E0;1.113324829E1;-3.198997650E0;4.813989258E0
2.090162750E0;1.225022552E1;-3.302133179E0;5.057083740E0
2.100172750E0;1.291963348E1;-3.157533875E0;4.707111511E0
2.110151750E0;1.365700012E1;-3.170257416E0;4.167333984E0
