"Time (s)";"X (hPa)"
-5.185615000E-1;9.896123505E2
5.037715000E-1;9.896075439E2
1.526125500E0;9.896123505E2
2.548525500E0;9.896134949E2
3.570872500E0;9.896211243E2
4.593111500E0;9.896301270E2
4.745771500E0;9.896356201E2
5.692426500E0;9.896356964E2
6.638965500E0;9.896392822E2
7.585479500E0;9.896411133E2
8.532077500E0;9.896411133E2
9.478707500E0;9.896411133E2
1.042537450E1;9.896403503E2
1.137197950E1;9.896329498E2
1.231862750E1;9.896183777E2
1.326527450E1;9.895986176E2
1.421194750E1;9.895709229E2
1.515865450E1;9.895362854E2
1.610546050E1;9.895149994E2
1.705228950E1;9.894815063E2
1.799913450E1;9.894432831E2
1.894598750E1;9.894161224E2
1.989292950E1;9.894011688E2
2.083987150E1;9.894011688E2
2.178675550E1;9.894255829E2
2.273367150E1;9.894573212E2
2.368063150E1;9.894874573E2
2.462766150E1;9.895198059E2
2.557476350E1;9.895552063E2
2.652191250E1;9.895797729E2
2.746909150E1;9.895969391E2
2.841621250E1;9.896000671E2
2.936339650E1;9.896000671E2
3.031048750E1;9.895663452E2
3.125769650E1;9.895274353E2
3.220498150E1;9.894811249E2
3.315224950E1;9.894396973E2
3.409965650E1;9.894132996E2
3.504704850E1;9.893842316E2
3.599439650E1;9.893630981E2
3.694183350E1;9.893630981E2
3.788932050E1;9.893701935E2
3.883676350E1;9.893878937E2
3.978431350E1;9.894284821E2
4.073187650E1;9.894695282E2
4.167944750E1;9.895037842E2
4.262700050E1;9.895432281E2
4.357467150E1;9.895642853E2
4.452234350E1;9.895718384E2
4.547004550E1;9.895718384E2
4.641792150E1;9.895545959E2
4.736584150E1;9.895300293E2
4.831378650E1;9.895095062E2
4.926175750E1;9.894774628E2
5.020976250E1;9.894423676E2
5.115773850E1;9.894103241E2
5.210574350E1;9.893714905E2
5.305381750E1;9.893637085E2
5.400180550E1;9.893637085E2
5.494978550E1;9.893706512E2
5.589776850E1;9.893950653E2
5.684584750E1;9.894230652E2
5.779392250E1;9.894570923E2
5.874207350E1;9.894865417E2
5.969017950E1;9.895189667E2
6.063830550E1;9.895484924E2
6.158648850E1;9.895609283E2
6.253467050E1;9.895609283E2
6.348289150E1;9.895440674E2
6.443108550E1;9.895221710E2
6.537931050E1;9.894825745E2
6.632762350E1;9.894564819E2
6.727581350E1;9.894426727E2
6.822403650E1;9.894032288E2
6.917235850E1;9.893772888E2
7.012066650E1;9.893616486E2
7.106899350E1;9.893616486E2
7.201742850E1;9.893657684E2
7.296591850E1;9.893977356E2
7.391438350E1;9.894322205E2
7.486292750E1;9.894657135E2
7.581140150E1;9.894956970E2
7.675994950E1;9.895255280E2
7.770840550E1;9.895479584E2
7.865692250E1;9.895645142E2
7.960550250E1;9.895645142E2
8.055411150E1;9.895479584E2
8.150278750E1;9.895196533E2
8.245142650E1;9.894884491E2
8.340005650E1;9.894590759E2
8.434869050E1;9.894380951E2
8.529742250E1;9.894170380E2
8.624615650E1;9.893910217E2
8.719484550E1;9.893816376E2
8.814364550E1;9.893816376E2
8.909238750E1;9.893855286E2
9.004121350E1;9.894162750E2
9.099017750E1;9.894551849E2
9.193906850E1;9.894913483E2
9.288794450E1;9.895270538E2
9.383670650E1;9.895582581E2
9.478557150E1;9.895761108E2
9.573445450E1;9.895812988E2
9.668343850E1;9.895812988E2
9.763233250E1;9.895672607E2
9.858137150E1;9.895355988E2
9.953041250E1;9.895088196E2
1.004794775E2;9.894709778E2
1.014286185E2;9.894374084E2
1.023776535E2;9.894170380E2
1.033267005E2;9.893928528E2
1.042757755E2;9.893742371E2
1.052248535E2;9.893742371E2
1.061738485E2;9.893753052E2
1.071227025E2;9.893978882E2
1.080716285E2;9.894314575E2
1.090205455E2;9.894738007E2
1.099694435E2;9.895101929E2
1.109183005E2;9.895401001E2
1.118672325E2;9.895706940E2
1.128160925E2;9.895877075E2
1.137649755E2;9.895877075E2
1.147138455E2;9.895825195E2
1.156627365E2;9.895558929E2
1.166117205E2;9.895226288E2
1.175607665E2;9.894789886E2
1.185098165E2;9.894466400E2
1.194587805E2;9.894296265E2
1.204078355E2;9.893952179E2
1.213567905E2;9.893711853E2
1.223058675E2;9.893599701E2
1.232550345E2;9.893599701E2
1.242041045E2;9.893682861E2
1.251532615E2;9.894026184E2
1.261023985E2;9.894348145E2
1.270515945E2;9.894732666E2
1.280008265E2;9.895080566E2
1.289500825E2;9.895397186E2
1.298993955E2;9.895603180E2
1.308486215E2;9.895713043E2
1.317979685E2;9.895713043E2
1.327474015E2;9.895611572E2
1.336967825E2;9.895333099E2
1.346461485E2;9.895095825E2
1.355956335E2;9.894718933E2
1.365450565E2;9.894451904E2
1.374945385E2;9.894253540E2
1.384440105E2;9.894004059E2
1.393935435E2;9.893859863E2
1.403431155E2;9.893859863E2
1.412926615E2;9.893944550E2
1.422422225E2;9.894225311E2
1.431917995E2;9.894559479E2
1.441414335E2;9.894927216E2
1.450909945E2;9.895265198E2
1.460405025E2;9.895532990E2
1.469900655E2;9.895731354E2
1.479395975E2;9.895861053E2
1.488891645E2;9.895861053E2
1.498388055E2;9.895748138E2
1.507885435E2;9.895447540E2
1.517382425E2;9.895130157E2
1.526879415E2;9.894762421E2
1.536375355E2;9.894445801E2
1.545872095E2;9.894250488E2
1.555369445E2;9.894059753E2
1.564866805E2;9.893936157E2
1.574363975E2;9.893936157E2
1.583860965E2;9.894002533E2
1.593359535E2;9.894244385E2
1.602857515E2;9.894535828E2
1.612355495E2;9.894883728E2
1.621854005E2;9.895244598E2
1.631352845E2;9.895588684E2
1.640851205E2;9.895806885E2
1.650350775E2;9.895928192E2
1.659850055E2;9.895935822E2
1.669349405E2;9.895935822E2
1.678848775E2;9.895706177E2
1.688348435E2;9.895367432E2
1.697848565E2;9.895017242E2
1.707348535E2;9.894605255E2
1.716848795E2;9.894274902E2
1.726349925E2;9.894020844E2
1.735851255E2;9.893830872E2
1.745352035E2;9.893719482E2
1.754853215E2;9.893719482E2
1.764354325E2;9.893865204E2
1.773856625E2;9.894213867E2
1.783358325E2;9.894589996E2
1.792860515E2;9.894910431E2
1.802362585E2;9.895301819E2
1.811864895E2;9.895655060E2
1.821367715E2;9.895791626E2
