"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
0.000000000E0;5.111890911E1;7.406143002E0;2.845052795E2;-1.000000000E0;-1.000000000E0;1.650000000E2;1.650000000E2
2.874779701E-1;5.111887673E1;7.406160556E0;2.845052795E2;-1.000000000E0;-1.000000000E0;1.850649389E2;1.850649389E2
2.669366479E0;5.111949668E1;7.405984687E0;3.076813556E2;6.779167652E-1;-1.000000000E0;3.200000000E1;3.200000000E1
3.669378996E0;5.111946995E1;7.405914970E0;2.673869530E2;9.783682823E-1;-1.000000000E0;3.200000000E1;3.200000000E1
4.669390559E0;5.111945423E1;7.405891426E0;2.677146751E2;6.779167652E-1;-1.000000000E0;1.600000000E1;1.600000000E1
5.669402719E0;5.111943737E1;7.405911573E0;2.680203148E2;6.226617098E-1;-1.000000000E0;2.400000000E1;2.400000000E1
6.669414997E0;5.111943659E1;7.405897542E0;2.685509270E2;1.875269413E-1;-1.000000000E0;2.400000000E1;2.400000000E1
7.669426918E0;5.111943676E1;7.405891595E0;2.994030873E2;7.677435130E-2;-1.000000000E0;2.400362482E1;2.400362482E1
8.678791881E0;5.111943311E1;7.405889390E0;2.999454884E2;3.741643205E-2;6.437728549E1;1.600241655E1;1.600241655E1
1.074754679E1;5.111943311E1;7.405889390E0;2.999454884E2;0.000000000E0;6.437728549E1;1.200181241E1;1.200181241E1
1.174755812E1;5.111942980E1;7.405871813E0;3.034481364E2;2.286465615E-1;1.806106786E2;1.200181241E1;1.200181241E1
1.277895975E1;5.111943193E1;7.405898361E0;3.034196912E2;5.938220769E-2;3.565289079E2;8.001208274E0;8.001208274E0
1.377897060E1;5.111944484E1;7.405907922E0;3.035543680E2;2.286465615E-1;4.320056059E1;8.001208274E0;8.001208274E0
1.480407488E1;5.111944891E1;7.405908912E0;3.034155927E2;1.381426454E-1;3.794806658E1;8.001208274E0;8.001208274E0
1.580408657E1;5.111944526E1;7.405913184E0;3.032894349E2;5.859095976E-2;2.099593184E2;8.001208274E0;8.001208274E0
1.689360166E1;5.111944262E1;7.405923949E0;3.034108248E2;9.930101782E-2;3.525905935E2;6.000906205E0;6.000906205E0
1.789361370E1;5.111944325E1;7.405919842E0;3.035460931E2;4.812905192E-2;3.504922228E2;6.000906205E0;6.000906205E0
1.889362478E1;5.111944358E1;7.405907739E0;3.035228706E2;5.431985855E-1;1.395497943E2;6.000906205E0;6.000906205E0
1.899749362E1;5.111944179E1;7.405913719E0;3.034367227E2;5.431985855E-1;1.162258393E0;6.000906205E0;6.000906205E0
1.999750578E1;5.111945103E1;7.405920438E0;3.034958936E2;5.431985855E-1;3.305344373E2;6.000906205E0;6.000906205E0
2.188526487E1;5.111946017E1;7.405928243E0;3.033102640E2;5.427578688E-1;3.156823822E2;6.000906205E0;6.000906205E0
2.288527632E1;5.111946418E1;7.405937943E0;3.030758472E2;1.708089560E-1;3.205718141E2;6.000906205E0;6.000906205E0
2.388536024E1;5.111946754E1;7.405939925E0;3.029983528E2;5.350310206E-1;3.450273338E2;6.000906205E0;6.000906205E0
2.488544238E1;5.111946919E1;7.405944323E0;3.029052945E2;5.350310206E-1;3.377096603E2;6.000906205E0;6.000906205E0
2.588552749E1;5.111947200E1;7.405944143E0;3.028763231E2;6.625080854E-2;3.299667393E2;6.000906205E0;6.000906205E0
2.688560486E1;5.111947485E1;7.405943189E0;3.027903968E2;1.224196032E-1;3.312687920E2;6.000906205E0;6.000906205E0
2.788568246E1;5.111947573E1;7.405944371E0;3.026926227E2;3.626576439E-2;3.376200209E2;6.000906205E0;6.000906205E0
2.888575339E1;5.111947899E1;7.405948054E0;3.026648551E2;7.544558495E-2;3.453040111E2;6.000906205E0;6.000906205E0
2.988581204E1;5.111948438E1;7.405944952E0;3.025908321E2;4.340728745E-2;1.335597218E1;6.000906205E0;6.000906205E0
3.088586605E1;5.111948014E1;7.405946608E0;3.024062203E2;1.601258814E-1;2.220120034E1;6.000906205E0;6.000906205E0
3.188592076E1;5.111947540E1;7.405945214E0;3.025219296E2;3.494782746E-1;8.853676425E1;6.000906205E0;6.000906205E0
3.288597095E1;5.111944942E1;7.405930657E0;3.026629195E2;3.505070210E-1;8.744017738E1;6.000906205E0;6.000906205E0
3.388601851E1;5.111943664E1;7.405925802E0;3.033402357E2;1.306294650E-1;1.046469197E2;6.000906205E0;6.000906205E0
3.488606489E1;5.111943105E1;7.405926837E0;3.036478812E2;4.767313972E-2;1.099403573E2;6.000906205E0;6.000906205E0
3.588610744E1;5.111942810E1;7.405934454E0;3.037759846E2;1.211464405E-1;2.856005899E2;6.000906205E0;6.000906205E0
3.688614905E1;5.111942336E1;7.405934558E0;3.038859965E2;9.138206393E-2;3.003239915E2;6.000906205E0;6.000906205E0
3.788618851E1;5.111942805E1;7.405937802E0;3.039743689E2;1.816870123E-1;1.276263194E2;6.000906205E0;6.000906205E0
3.888622451E1;5.111942719E1;7.405942772E0;3.039283020E2;2.046414465E-1;8.581168952E1;6.000906205E0;6.000906205E0
3.988626039E1;5.111942543E1;7.405951055E0;3.039697829E2;2.159780450E-2;9.178824165E1;6.000906205E0;6.000906205E0
4.088629591E1;5.111943596E1;7.405957484E0;3.040561088E2;7.563321292E-2;2.729716247E2;6.000906205E0;6.000906205E0
4.188632894E1;5.111943536E1;7.405951248E0;3.039359267E2;7.563321292E-2;2.812551416E2;6.000906205E0;6.000906205E0
4.288636065E1;5.111943670E1;7.405950648E0;3.038931193E2;1.672852971E-2;9.336850837E1;6.000906205E0;6.000906205E0
4.388639021E1;5.111944129E1;7.405958541E0;3.038632404E2;2.853723466E-1;5.782283106E1;6.000906205E0;6.000906205E0
4.488641906E1;5.111945124E1;7.405962687E0;3.038371537E2;5.617827177E-1;8.249944393E1;6.000906205E0;6.000906205E0
4.588644755E1;5.111945175E1;7.405972433E0;3.036121269E2;4.181965292E-1;1.160823844E2;6.000906205E0;6.000906205E0
4.688647509E1;5.111945450E1;7.405981169E0;3.036379915E2;4.317990243E-1;1.394966417E2;6.000906205E0;6.000906205E0
4.788650012E1;5.111945059E1;7.405987374E0;3.036167925E2;4.659128189E-1;1.450028807E2;6.000906205E0;6.000906205E0
4.888652515E1;5.111944088E1;7.405990588E0;3.037689756E2;6.660699844E-1;1.458186785E2;6.000906205E0;6.000906205E0
4.988654876E1;5.111943050E1;7.405981489E0;3.040419332E2;4.895822704E-1;1.619586204E2;6.000906205E0;6.000906205E0
5.088657248E1;5.111942316E1;7.405976741E0;3.041784880E2;5.123314261E-1;1.609719586E2;6.000906205E0;6.000906205E0
5.188659525E1;5.111942105E1;7.405985114E0;3.042802263E2;5.198924541E-1;1.490801894E2;6.000906205E0;6.000906205E0
5.288661683E1;5.111941683E1;7.405987965E0;3.043788676E2;5.198924541E-1;1.883754835E2;6.000906205E0;6.000906205E0
5.388663816E1;5.111941685E1;7.405995746E0;3.044754962E2;9.191954881E-2;2.380165197E2;6.000906205E0;6.000906205E0
5.488665867E1;5.111941896E1;7.405991867E0;3.045353117E2;1.443803962E-2;2.557812134E2;6.000906205E0;6.000906205E0
5.588667858E1;5.111941948E1;7.405987937E0;3.044820220E2;2.521917596E-2;2.465095048E2;6.000906205E0;6.000906205E0
5.688669789E1;5.111942285E1;7.405989723E0;3.044428277E2;9.572149068E-2;2.653663457E2;6.000906205E0;6.000906205E0
5.788671708E1;5.111942319E1;7.405988872E0;3.043957594E2;3.645174578E-2;3.023524211E2;6.000906205E0;6.000906205E0
5.888673472E1;5.111942419E1;7.405987348E0;3.043801487E2;4.488703981E-2;2.782363346E2;6.000906205E0;6.000906205E0
5.988675272E1;5.111942719E1;7.405979541E0;3.043523852E2;2.745085359E-1;2.770608317E2;6.000906205E0;6.000906205E0
6.088677001E1;5.111942849E1;7.405969105E0;3.042504847E2;8.975303173E-2;2.676603604E2;6.000906205E0;6.000906205E0
6.188678765E1;5.111943217E1;7.405962803E0;3.041516625E2;1.444544345E-1;8.543191735E1;6.000906205E0;6.000906205E0
6.288680410E1;5.111944146E1;7.405968756E0;3.040412279E2;1.444544345E-1;3.113175908E2;6.000906205E0;6.000906205E0
6.388682079E1;5.111944511E1;7.405963316E0;3.039182887E2;6.647211500E-3;2.923013879E2;6.000906205E0;6.000906205E0
6.488683593E1;5.111944585E1;7.405961906E0;3.038029979E2;7.717045490E-3;2.636167245E2;6.000906205E0;6.000906205E0
6.588685107E1;5.111944644E1;7.405951879E0;3.037606247E2;5.976307392E-2;2.066028815E2;6.000906205E0;6.000906205E0
6.688686705E1;5.111944243E1;7.405954183E0;3.036744019E2;1.222612038E-1;1.653714883E2;6.000906205E0;6.000906205E0
6.788688266E1;5.111944090E1;7.405945096E0;3.037715231E2;1.319358647E-1;1.709340354E2;6.000906205E0;6.000906205E0
6.888689721E1;5.111943523E1;7.405940613E0;3.037471226E2;4.707666039E-1;1.678864733E2;4.000604137E0;4.000604137E0
6.988691127E1;5.111943070E1;7.405940378E0;3.038074420E2;4.177952930E-2;2.178059217E2;4.000604137E0;4.000604137E0
7.088692629E1;5.111942941E1;7.405940717E0;3.038852696E2;1.240129992E-1;2.513065106E2;4.000604137E0;4.000604137E0
7.188693964E1;5.111942961E1;7.405936772E0;3.039162884E2;1.868484914E-2;3.136249926E2;4.000604137E0;4.000604137E0
7.288695395E1;5.111942710E1;7.405927825E0;3.038904688E2;2.320978940E-1;3.293643440E2;6.000906205E0;6.000906205E0
7.388696802E1;5.111942821E1;7.405926009E0;3.038706932E2;2.320978940E-1;3.221120491E2;6.000906205E0;6.000906205E0
7.488698173E1;5.111943362E1;7.405922574E0;3.038389702E2;4.373189211E-1;3.300518162E2;6.000906205E0;6.000906205E0
7.588699472E1;5.111943722E1;7.405926035E0;3.037259071E2;3.214496374E-1;3.156819724E2;6.000906205E0;6.000906205E0
7.688700914E1;5.111943939E1;7.405924318E0;3.036785931E2;3.214496374E-1;3.033704472E2;6.000906205E0;6.000906205E0
7.788702154E1;5.111944564E1;7.405915607E0;3.036276368E2;2.009773701E-1;3.266242906E2;6.000906205E0;6.000906205E0
7.888703501E1;5.111945680E1;7.405918270E0;3.034492043E2;4.989583790E-2;3.420542344E2;6.000906205E0;6.000906205E0
7.988704681E1;5.111945953E1;7.405920188E0;3.031234418E2;1.004541889E-1;3.361912820E2;6.000906205E0;6.000906205E0
8.088706005E1;5.111946132E1;7.405920135E0;3.030234644E2;9.737351537E-2;2.643004537E2;6.000906205E0;6.000906205E0
8.188707232E1;5.111946207E1;7.405921144E0;3.029611168E2;5.352607369E-2;2.456391748E2;6.000906205E0;6.000906205E0
8.288708556E1;5.111945998E1;7.405918642E0;3.029393639E2;8.664411306E-2;5.031685273E1;6.000906205E0;6.000906205E0
8.388709748E1;5.111945243E1;7.405915121E0;3.029819853E2;1.525934041E-1;9.744963519E1;6.000906205E0;6.000906205E0
8.488711071E1;5.111944714E1;7.405921533E0;3.031837816E2;9.518961608E-2;1.333222190E2;4.000604137E0;4.000604137E0
8.588712263E1;5.111944363E1;7.405924532E0;3.033997376E2;1.525934041E-1;1.458981819E2;4.000604137E0;4.000604137E0
8.688713491E1;5.111944101E1;7.405928119E0;3.035323776E2;4.096198361E-3;1.112794774E2;4.000604137E0;4.000604137E0
8.788714719E1;5.111944072E1;7.405929389E0;3.036113123E2;1.671962067E-2;9.751714478E1;4.000604137E0;4.000604137E0
8.888715887E1;5.111944064E1;7.405930628E0;3.036321971E2;2.875713166E-3;1.035011213E2;4.000604137E0;4.000604137E0
8.988717151E1;5.111944068E1;7.405931674E0;3.036436515E2;6.281104684E-2;1.204585003E2;4.000604137E0;4.000604137E0
9.088718331E1;5.111944049E1;7.405932258E0;3.036509218E2;1.883527637E-2;1.546290215E2;4.000604137E0;4.000604137E0
9.188719451E1;5.111943902E1;7.405934052E0;3.036585153E2;3.209345341E-1;2.875636682E2;4.000604137E0;4.000604137E0
9.288720644E1;5.111944180E1;7.405927097E0;3.036946780E2;3.338225782E-1;3.053719385E2;6.000906205E0;6.000906205E0
9.388721859E1;5.111944289E1;7.405925870E0;3.036082614E2;3.338225782E-1;3.148568856E2;6.000906205E0;6.000906205E0
9.488723075E1;5.111944794E1;7.405923470E0;3.035739117E2;1.714480221E-1;3.187721959E2;6.000906205E0;6.000906205E0
9.588724136E1;5.111944592E1;7.405924046E0;3.034277369E2;2.219468802E-1;2.973144736E2;6.000906205E0;6.000906205E0
9.688725352E1;5.111945533E1;7.405922327E0;3.034758238E2;1.215660665E-2;3.251703893E2;6.000906205E0;6.000906205E0
9.788726509E1;5.111945585E1;7.405919264E0;3.031951803E2;2.219468802E-1;1.457377954E2;6.000906205E0;6.000906205E0
9.888727736E1;5.111945675E1;7.405921736E0;3.031319871E2;2.864940166E-1;1.188873109E2;6.000906205E0;6.000906205E0
9.988728905E1;5.111945446E1;7.405926458E0;3.031156153E2;1.196850911E-1;1.719173504E2;6.000906205E0;6.000906205E0
1.008872999E2;5.111945356E1;7.405925082E0;3.032113994E2;6.209151074E-2;1.682296630E2;6.000906205E0;6.000906205E0
1.018873116E2;5.111945073E1;7.405922812E0;3.032381440E2;1.156967878E-2;3.499866795E2;6.000906205E0;6.000906205E0
1.028873230E2;5.111944915E1;7.405913752E0;3.033086865E2;2.021008283E-1;1.793816133E2;6.000906205E0;6.000906205E0
1.038873339E2;5.111944757E1;7.405913636E0;3.033030240E2;4.641601071E-2;2.074646601E2;6.000906205E0;6.000906205E0
1.048873461E2;5.111944701E1;7.405913597E0;3.033479412E2;1.705439389E-2;2.270489571E2;4.000604137E0;4.000604137E0
1.058873570E2;5.111944822E1;7.405916423E0;3.033685004E2;2.351809740E-1;3.611898973E1;4.000604137E0;4.000604137E0
1.068873681E2;5.111944993E1;7.405916420E0;3.033536099E2;1.182442755E-1;1.997800621E1;4.000604137E0;4.000604137E0
1.078873789E2;5.111945279E1;7.405919015E0;3.033022429E2;1.672081202E-1;1.561878994E1;4.000604137E0;4.000604137E0
1.088873903E2;5.111945426E1;7.405919652E0;3.032303368E2;4.657622427E-2;3.388371060E2;6.000906205E0;6.000906205E0
1.098874021E2;5.111945468E1;7.405918507E0;3.031846117E2;4.609367996E-2;3.174391069E2;6.000906205E0;6.000906205E0
1.108874141E2;5.111945485E1;7.405917542E0;3.031601814E2;3.938768804E-2;3.104744723E2;6.000906205E0;6.000906205E0
1.118874242E2;5.111945577E1;7.405917156E0;3.031466696E2;3.720932454E-2;3.179109090E2;6.000906205E0;6.000906205E0
1.128874359E2;5.111945761E1;7.405917958E0;3.031159300E2;4.561667331E-3;3.391741622E2;6.000906205E0;6.000906205E0
1.138874474E2;5.111945911E1;7.405918177E0;3.030642690E2;3.170001134E-2;3.290464943E2;6.000906205E0;6.000906205E0
1.148874588E2;5.111945995E1;7.405916094E0;3.030169703E2;1.782177761E-2;3.018836789E2;6.000906205E0;6.000906205E0
1.158874704E2;5.111946565E1;7.405904599E0;3.029742827E2;1.931243092E-1;1.044653323E2;6.000906205E0;6.000906205E0
1.168874811E2;5.111946919E1;7.405910240E0;3.027291936E2;2.395613939E-1;1.346275365E2;6.000906205E0;6.000906205E0
1.178874924E2;5.111946852E1;7.405921508E0;3.026381076E2;2.395613939E-1;1.646489363E2;6.000906205E0;6.000906205E0
1.188875036E2;5.111946404E1;7.405917737E0;3.027213116E2;3.478618562E-1;1.595498859E2;6.000906205E0;6.000906205E0
1.198875142E2;5.111945836E1;7.405913856E0;3.028358423E2;5.068998933E-1;1.596146361E2;6.000906205E0;6.000906205E0
1.208875259E2;5.111946237E1;7.405919760E0;3.029880303E2;5.201932192E-1;1.717158598E2;6.000906205E0;6.000906205E0
1.218875360E2;5.111945874E1;7.405919650E0;3.029245869E2;5.068998933E-1;1.998927944E2;6.000906205E0;6.000906205E0
1.228875477E2;5.111945709E1;7.405918012E0;3.030232444E2;1.843452305E-1;2.252928199E2;6.000906205E0;6.000906205E0
1.238875588E2;5.111945718E1;7.405924337E0;3.030706560E2;2.196245193E-1;2.305462872E2;6.000906205E0;6.000906205E0
1.248875704E2;5.111945728E1;7.405922233E0;3.031137119E2;4.035239220E-1;2.362154262E2;6.000906205E0;6.000906205E0
1.258875809E2;5.111945258E1;7.405918865E0;3.031013733E2;1.885893494E-1;2.239913410E2;6.000906205E0;6.000906205E0
1.268875921E2;5.111944817E1;7.405910440E0;3.032154958E2;7.186610252E-2;2.391378456E2;6.000906205E0;6.000906205E0
1.278876035E2;5.111944739E1;7.405908334E0;3.033007362E2;4.341668636E-2;2.827543681E2;6.000906205E0;6.000906205E0
1.288876144E2;5.111944682E1;7.405908219E0;3.033184064E2;4.056445882E-2;2.804426223E2;6.000906205E0;6.000906205E0
1.298876252E2;5.111944193E1;7.405897401E0;3.033362409E2;6.251697242E-2;1.118766818E2;6.000906205E0;6.000906205E0
