"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.499835000E-1;-1.116839573E-1;-2.093688846E-1;-2.464255318E-3
1.599935000E-1;-1.051906422E-1;-1.760873646E-1;5.414706655E-3
1.700035000E-1;-9.086894244E-2;-1.469326764E-1;1.275822800E-2
1.799825000E-1;-7.886287570E-2;-1.423560381E-1;1.981107704E-2
1.899925000E-1;-7.877325267E-2;-1.510871053E-1;2.433769591E-2
2.000025000E-1;-8.625034243E-2;-1.650143713E-1;2.804961056E-2
2.100115000E-1;-1.015401557E-1;-1.905376464E-1;2.008001506E-2
2.199915000E-1;-1.083069816E-1;-2.253614068E-1;1.451027952E-2
2.300005000E-1;-1.064621136E-1;-2.436047494E-1;9.808536619E-3
2.400105000E-1;-1.002385765E-1;-2.534816265E-1;3.112550825E-3
2.499895000E-1;-9.097895026E-2;-2.620278299E-1;-4.707967862E-3
2.599995000E-1;-8.215456456E-2;-2.698799074E-1;-1.016025804E-2
2.700095000E-1;-7.348884642E-2;-2.711464763E-1;-1.395143475E-2
2.799885000E-1;-6.894815713E-2;-2.624057233E-1;-1.191624720E-2
2.899985000E-1;-7.376457751E-2;-2.422943711E-1;1.529521309E-3
3.000085000E-1;-9.274013340E-2;-2.381696701E-1;1.656839252E-2
3.100175000E-1;-1.157091558E-1;-2.511766553E-1;2.294472046E-2
3.199975000E-1;-1.311118156E-1;-2.657098174E-1;2.317614853E-2
3.300065000E-1;-1.321674585E-1;-2.949645817E-1;1.381537132E-2
3.400165000E-1;-1.381531805E-1;-3.177415133E-1;-9.596743621E-3
3.499955000E-1;-1.402298659E-1;-3.090258539E-1;-3.129797056E-2
3.600055000E-1;-1.392013580E-1;-3.314467371E-1;-3.703521937E-2
3.700155000E-1;-1.527975947E-1;-3.540599346E-1;-4.101570696E-2
3.799945000E-1;-1.742056906E-1;-3.675882518E-1;-4.744777456E-2
3.900045000E-1;-1.919234246E-1;-3.663959205E-1;-5.132082105E-2
4.000145000E-1;-1.982913017E-1;-3.565169275E-1;-2.562397905E-2
4.100245000E-1;-1.840149313E-1;-3.299874961E-1;2.019948512E-2
4.200035000E-1;-1.437487304E-1;-3.093123138E-1;6.118233874E-2
4.300135000E-1;-8.704310656E-2;-3.006239235E-1;8.846767247E-2
4.400225000E-1;-4.416780919E-2;-3.038013577E-1;1.119128093E-1
4.500025000E-1;-3.261845931E-2;-3.026480675E-1;1.224240586E-1
4.600115000E-1;-5.742979795E-2;-3.021463156E-1;1.325222403E-1
4.700215000E-1;-1.130478308E-1;-2.952951193E-1;1.331425905E-1
4.800005000E-1;-1.711659878E-1;-2.622884512E-1;1.266588569E-1
4.900105000E-1;-2.096446753E-1;-2.146559358E-1;1.117198542E-1
5.000205000E-1;-2.143302411E-1;-1.885676086E-1;9.803093970E-2
5.100305000E-1;-1.888102144E-1;-1.875027269E-1;8.614394069E-2
5.200095000E-1;-1.499722600E-1;-2.044468224E-1;7.772808522E-2
5.300195000E-1;-1.328293085E-1;-2.350960225E-1;7.846841216E-2
5.400285000E-1;-1.639933586E-1;-2.512955070E-1;8.130414784E-2
5.500085000E-1;-2.110421360E-1;-2.801648378E-1;9.470743686E-2
5.600175000E-1;-2.510936856E-1;-3.346152902E-1;1.072802171E-1
5.700275000E-1;-2.772796452E-1;-3.748537898E-1;1.201239899E-1
5.800375000E-1;-2.905512452E-1;-4.046921134E-1;1.180541813E-1
5.900165000E-1;-2.906122208E-1;-4.297211170E-1;1.113816351E-1
6.000265000E-1;-2.844443321E-1;-4.331531227E-1;1.001689285E-1
6.100365000E-1;-2.665993869E-1;-4.182013273E-1;7.836374640E-2
6.200155000E-1;-2.323644608E-1;-3.896352053E-1;2.937489748E-2
6.300255000E-1;-1.902286112E-1;-3.614675403E-1;-4.366865754E-2
6.400355000E-1;-1.505762786E-1;-3.327522874E-1;-1.106042787E-1
6.500145000E-1;-1.467345655E-1;-2.879515886E-1;-1.375084966E-1
6.600245000E-1;-1.623318940E-1;-2.911492586E-1;-1.423037797E-1
6.700335000E-1;-1.612221003E-1;-3.701022565E-1;-1.326265186E-1
6.800435000E-1;-1.433299184E-1;-4.938300550E-1;-1.024568975E-1
6.900225000E-1;-1.195895821E-1;-5.986783504E-1;-8.579270542E-2
7.000325000E-1;-9.056378901E-2;-6.745283604E-1;-7.639547437E-2
7.100425000E-1;-5.524958670E-2;-7.379817367E-1;-6.015191972E-2
