"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.499835000E-1;1.825474414E-1;6.204831362E-2;-2.868223000E-1
1.599935000E-1;1.658334678E-1;1.429831338E-1;-3.756157780E-1
1.700035000E-1;2.117358649E-1;1.396350181E-1;-4.289523250E-1
1.799825000E-1;2.557218370E-1;9.144226670E-2;-4.393229467E-1
1.899925000E-1;2.615640825E-1;4.641227424E-2;-4.117644346E-1
2.000025000E-1;2.481970552E-1;3.674799621E-2;-3.388940942E-1
2.100115000E-1;1.534683609E-1;-1.355852365E-2;-2.059816200E-1
2.199915000E-1;1.127293476E-1;-4.661634207E-2;-9.549146354E-2
2.300005000E-1;1.595342624E-1;-6.052160561E-2;-3.034646451E-2
2.400105000E-1;2.633018750E-1;-7.047707498E-2;-4.796704888E-2
2.499895000E-1;3.649048483E-1;-3.078465486E-1;4.171228230E-2
2.599995000E-1;3.652992430E-1;-3.392963827E-1;1.783400774E-3
2.700095000E-1;2.916599938E-1;-3.256203300E-1;-3.781043530E-2
2.799885000E-1;2.456897691E-1;-2.699671161E-1;-5.750093400E-2
2.899985000E-1;2.903635199E-1;-1.487338704E-1;-9.253160298E-2
3.000085000E-1;3.429963546E-1;-9.425419271E-2;-1.552868450E-1
3.100175000E-1;3.623905456E-1;-5.620928407E-2;-2.010705435E-1
3.199975000E-1;3.299221265E-1;-2.241471648E-2;-1.487128204E-1
3.300065000E-1;2.671356019E-1;-2.088625431E-3;-6.928073466E-2
3.400165000E-1;2.398912315E-1;4.760218263E-3;2.545877695E-3
3.499955000E-1;2.643558356E-1;-2.070499063E-2;3.373141766E-2
3.600055000E-1;2.816236867E-1;-1.928996444E-2;2.220655560E-2
3.700155000E-1;2.526441550E-1;1.533549249E-2;2.881215513E-2
3.799945000E-1;1.945649314E-1;3.426468372E-3;1.172027600E-1
3.900045000E-1;1.715385962E-1;-2.226795137E-2;1.745043039E-1
4.000145000E-1;2.049931481E-1;-3.789112687E-2;1.129430634E-1
4.100245000E-1;2.544541606E-1;6.059937358E-2;-1.857835829E-2
4.200035000E-1;2.184377973E-1;1.627163172E-1;-1.494454765E-1
4.300135000E-1;1.992568834E-1;1.675940645E-1;-2.204920703E-1
4.400225000E-1;2.075483814E-1;1.022794962E-1;-2.182683742E-1
4.500025000E-1;2.420995787E-1;-1.187569499E-2;-2.360357237E-1
4.600115000E-1;2.700846452E-1;-1.181763214E-1;-2.862767547E-1
4.700215000E-1;2.709131956E-1;-1.761327535E-1;-3.476701802E-1
4.800005000E-1;3.254877444E-1;-1.769279748E-1;-4.126479489E-1
4.900105000E-1;3.809998941E-1;-2.086964822E-1;-5.424929738E-1
5.000205000E-1;4.068516040E-1;-2.235677058E-1;-6.129770654E-1
5.100305000E-1;3.724303611E-1;-2.341485348E-1;-5.815903813E-1
5.200095000E-1;2.640742922E-1;-2.702776033E-1;-4.245242286E-1
5.300195000E-1;1.290699765E-1;-2.690546581E-1;-2.372133529E-1
5.400285000E-1;5.518455952E-2;-2.579975733E-1;-1.507119834E-1
5.500085000E-1;5.953634977E-2;-2.673572114E-1;-1.513925993E-1
5.600175000E-1;6.280757457E-2;-2.495354828E-1;-1.870518440E-1
5.700275000E-1;6.024912536E-2;-2.162686265E-1;-2.011494809E-1
