"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
0.000000000E0;-2.118843842E0;5.394631805E0;7.841593323E0
9.980000003E-3;-2.191742249E0;5.334307251E0;7.858957214E0
2.999899999E-2;-2.115999756E0;5.301525421E0;7.957602081E0
4.000899999E-2;-2.032772827E0;5.282664642E0;7.979606323E0
5.001899999E-2;-1.972747650E0;5.253325653E0;8.016130371E0
5.999800001E-2;-1.951342163E0;5.239254913E0;8.057594147E0
7.000800001E-2;-1.942360840E0;5.208868103E0;8.026458893E0
8.001700000E-2;-1.905836792E0;5.176834717E0;7.988437958E0
9.002700000E-2;-1.858086090E0;5.156177673E0;7.967182159E0
1.000060000E-1;-1.811083832E0;5.141508179E0;7.961044922E0
1.100160000E-1;-1.819915466E0;5.110821991E0;7.965984650E0
1.200260000E-1;-1.829046478E0;5.081932068E0;7.949069824E0
1.300360000E-1;-1.817670135E0;5.058131561E0;7.936046906E0
1.400737500E-1;-1.778601379E0;5.066963196E0;7.905061340E0
1.500537500E-1;-1.738784180E0;5.058580627E0;7.855514374E0
1.600627500E-1;-1.726809082E0;5.062023468E0;7.814649353E0
1.700727500E-1;-1.747615814E0;5.055137787E0;7.827672272E0
1.800827500E-1;-1.750609589E0;5.075944519E0;7.908354492E0
1.900927500E-1;-1.793570251E0;5.107079773E0;7.977510681E0
2.000717500E-1;-1.819915466E0;5.091063080E0;8.019872589E0
2.100817500E-1;-1.817221069E0;5.091512146E0;8.008795624E0
2.200917500E-1;-1.792223053E0;5.090763702E0;7.995623016E0
2.301007500E-1;-1.751507721E0;5.064418488E0;7.983647919E0
2.400807500E-1;-1.720073090E0;5.021757202E0;7.969427490E0
2.500897500E-1;-1.689985657E0;4.992118835E0;7.982151031E0
2.600997500E-1;-1.679806824E0;5.004692688E0;8.058641968E0
2.701097500E-1;-1.683399353E0;5.025050354E0;8.131240997E0
2.801197500E-1;-1.673370209E0;5.003046112E0;8.124355316E0
2.900987500E-1;-1.633553009E0;4.995112610E0;8.086783447E0
3.001087500E-1;-1.608255615E0;4.972659302E0;8.057145081E0
3.101177500E-1;-1.584754486E0;4.954397278E0;8.030051422E0
3.201277500E-1;-1.554667053E0;4.931494904E0;8.068072357E0
3.301067500E-1;-1.558708649E0;4.934338989E0;8.085885315E0
3.401167500E-1;-1.610051880E0;4.946463776E0;8.145012360E0
3.501267500E-1;-1.639091492E0;4.927303619E0;8.225993958E0
3.601367500E-1;-1.653910675E0;4.875810699E0;8.218958588E0
3.701457500E-1;-1.637444916E0;4.875810699E0;8.168663177E0
3.801257500E-1;-1.654659119E0;4.880451050E0;8.130642242E0
3.901347500E-1;-1.655108185E0;4.871469727E0;8.124804382E0
4.001447500E-1;-1.673070831E0;4.853058014E0;8.164022827E0
4.101547500E-1;-1.662442932E0;4.849166107E0;8.142168274E0
4.201337500E-1;-1.681752777E0;4.841531982E0;8.090675354E0
4.301437500E-1;-1.706152039E0;4.774920502E0;8.067323914E0
4.401537500E-1;-1.788480835E0;4.726571045E0;8.126900024E0
4.501637500E-1;-1.817370758E0;4.759652252E0;8.263565826E0
4.601727500E-1;-1.858834534E0;4.697531433E0;8.280330963E0
4.701527500E-1;-1.888622589E0;4.633464661E0;8.197104034E0
4.801617500E-1;-1.811532898E0;4.659660187E0;8.149203644E0
4.901717500E-1;-1.662143555E0;4.741539917E0;8.073461151E0
5.001817500E-1;-1.588347015E0;4.810696106E0;8.021219788E0
5.101917500E-1;-1.625020752E0;4.781207428E0;8.062084808E0
5.201707500E-1;-1.650617523E0;4.676125946E0;8.176446991E0
5.301807500E-1;-1.633852386E0;4.619094543E0;8.161777496E0
5.401897500E-1;-1.674867096E0;4.407883759E0;8.142317963E0
5.501997500E-1;-1.781894531E0;4.096980286E0;8.175698547E0
5.601787500E-1;-1.713337097E0;4.321962433E0;8.138725433E0
5.701887500E-1;-1.633253632E0;4.395459595E0;8.048463135E0
5.801987500E-1;-1.586999817E0;4.387526093E0;8.152796173E0
5.902087500E-1;-1.619931335E0;4.395309906E0;8.335416412E0
6.002187500E-1;-1.707349548E0;4.402494965E0;8.493487701E0
6.101977500E-1;-1.730401611E0;4.431534576E0;8.465346222E0
6.202077500E-1;-1.717977448E0;4.712500305E0;8.192164307E0
6.302167500E-1;-1.751657410E0;5.065466309E0;8.008196869E0
6.402267500E-1;-1.839375000E0;5.275479584E0;8.158783722E0
6.502057500E-1;-1.890718231E0;5.335355072E0;8.317004700E0
6.602157500E-1;-1.843715973E0;5.324427795E0;8.266409912E0
6.702257500E-1;-1.776505737E0;5.156177673E0;8.162975006E0
6.802357500E-1;-1.731299744E0;4.822970581E0;8.052355042E0
6.902447500E-1;-1.746268616E0;4.473746796E0;7.980504456E0
7.002247500E-1;-1.784738617E0;4.342020721E0;7.951764221E0
7.102337500E-1;-1.743125153E0;4.397405548E0;7.929460602E0
7.202437500E-1;-1.671873322E0;4.549638977E0;7.929610291E0
7.302537500E-1;-1.634151764E0;4.700375519E0;7.952512665E0
