"Time (s)";"X (hPa)"
-4.962447500E-1;9.896122742E2
5.356882500E-1;9.896115875E2
1.567666250E0;9.896109009E2
2.599665250E0;9.896109009E2
3.631680250E0;9.896128082E2
4.663777250E0;9.896192169E2
4.803200250E0;9.896201324E2
5.759170250E0;9.896228027E2
6.715078250E0;9.896232605E2
7.670980250E0;9.896260834E2
8.626989250E0;9.896264648E2
9.582960250E0;9.896272278E2
1.053914725E1;9.896274567E2
1.149524925E1;9.896274567E2
1.245110425E1;9.896268463E2
1.340702825E1;9.896221924E2
1.436318725E1;9.896105194E2
1.531942525E1;9.895932770E2
1.627567425E1;9.895706177E2
1.723201625E1;9.895376587E2
1.818840625E1;9.895008850E2
1.914478825E1;9.894631195E2
2.010112725E1;9.894262695E2
2.105748725E1;9.893962097E2
2.201393825E1;9.893816376E2
2.297043325E1;9.893816376E2
2.392698425E1;9.893899536E2
2.488334225E1;9.894132233E2
2.583976925E1;9.894476318E2
2.679626325E1;9.894848633E2
2.775282025E1;9.895242310E2
2.870927125E1;9.895584869E2
2.966574725E1;9.895811462E2
3.062236025E1;9.895811462E2
3.157905325E1;9.895735168E2
3.253567525E1;9.895495605E2
3.349236225E1;9.895140076E2
3.444907025E1;9.894718170E2
3.540580525E1;9.894312286E2
3.636251125E1;9.893972015E2
3.731925425E1;9.893695068E2
3.827612325E1;9.893574524E2
3.923302525E1;9.893574524E2
4.018993225E1;9.893718719E2
4.114678325E1;9.893963623E2
4.210367425E1;9.894282532E2
4.306063425E1;9.894616699E2
4.401762525E1;9.894954681E2
4.497468725E1;9.895230103E2
4.593174525E1;9.895397949E2
4.688887225E1;9.895413971E2
4.784594625E1;9.895413971E2
4.880299825E1;9.895214081E2
4.976013325E1;9.894953156E2
5.071728725E1;9.894657898E2
5.167447525E1;9.894345093E2
5.263165225E1;9.894023132E2
5.358882125E1;9.893772125E2
5.454611425E1;9.893638611E2
5.550347425E1;9.893638611E2
5.646085325E1;9.893779755E2
5.741814325E1;9.894047546E2
5.837547325E1;9.894373322E2
5.933259125E1;9.894718170E2
6.028992525E1;9.895091248E2
6.124729225E1;9.895412445E2
6.220476925E1;9.895588684E2
6.316216025E1;9.895596313E2
6.411956625E1;9.895596313E2
6.507695525E1;9.895387268E2
6.603435725E1;9.895114899E2
6.699183625E1;9.894815826E2
6.794921425E1;9.894483948E2
6.890668925E1;9.894178009E2
6.986429425E1;9.893933868E2
7.082188125E1;9.893830872E2
7.177951325E1;9.893830872E2
7.273712425E1;9.893984222E2
7.369472925E1;9.894258118E2
7.465236025E1;9.894599915E2
7.561000625E1;9.894963837E2
7.656791525E1;9.895289612E2
7.752566225E1;9.895553589E2
7.848322325E1;9.895664978E2
7.944076425E1;9.895664978E2
8.039827425E1;9.895528412E2
8.135584725E1;9.895282745E2
8.231342025E1;9.894928741E2
8.327093525E1;9.894544983E2
8.422847725E1;9.894157410E2
8.518608225E1;9.893787384E2
8.614365125E1;9.893531036E2
8.710132425E1;9.893486023E2
8.805895625E1;9.893486023E2
8.901670825E1;9.893648529E2
8.997444925E1;9.893959808E2
9.093214425E1;9.894324493E2
9.188995925E1;9.894721985E2
9.284766525E1;9.895113373E2
9.380545625E1;9.895430756E2
9.476306825E1;9.895577240E2
9.572084125E1;9.895577240E2
9.667853825E1;9.895452118E2
9.763634225E1;9.895169067E2
9.859417625E1;9.894844055E2
9.955183025E1;9.894527435E2
1.005094812E2;9.894221497E2
1.014670702E2;9.893930817E2
1.024246642E2;9.893708038E2
1.033824172E2;9.893613434E2
1.043404042E2;9.893613434E2
1.052984122E2;9.893784332E2
1.062564742E2;9.894047546E2
1.072144022E2;9.894377899E2
1.081723272E2;9.894712830E2
1.091302362E2;9.895042419E2
1.100881462E2;9.895291901E2
1.110460842E2;9.895431519E2
1.120040522E2;9.895431519E2
1.129620432E2;9.895336151E2
1.139200762E2;9.895116425E2
1.148781212E2;9.894825745E2
1.158361482E2;9.894521332E2
1.167942032E2;9.894235992E2
1.177522712E2;9.893939972E2
1.187104852E2;9.893717957E2
1.196686212E2;9.893666077E2
1.206267572E2;9.893666077E2
1.215849832E2;9.893835449E2
1.225432392E2;9.894136047E2
1.235016222E2;9.894503021E2
1.244598832E2;9.894857788E2
1.254182062E2;9.895189667E2
1.263765622E2;9.895443726E2
1.273349262E2;9.895566559E2
1.282932522E2;9.895566559E2
1.292516802E2;9.895441437E2
1.302101152E2;9.895218658E2
1.311684572E2;9.894956207E2
1.321268132E2;9.894673157E2
1.330851982E2;9.894370270E2
1.340436062E2;9.894104004E2
1.350020742E2;9.893916321E2
1.359605432E2;9.893916321E2
1.369189202E2;9.893940735E2
1.378773022E2;9.894136810E2
1.388357162E2;9.894435120E2
1.397940902E2;9.894776154E2
1.407525842E2;9.895123291E2
1.417111232E2;9.895420074E2
1.426695982E2;9.895642090E2
1.436280832E2;9.895716858E2
1.445865852E2;9.895716858E2
1.455452242E2;9.895578003E2
1.465038592E2;9.895329285E2
1.474625012E2;9.895037079E2
1.484211432E2;9.894743347E2
1.493797112E2;9.894412231E2
1.503382712E2;9.894087219E2
1.512969092E2;9.893843079E2
1.522555362E2;9.893725586E2
1.532141952E2;9.893725586E2
1.541727322E2;9.893864441E2
1.551313793E2;9.894154358E2
1.560901202E2;9.894508362E2
1.570488622E2;9.894882202E2
1.580078722E2;9.895245361E2
1.589670542E2;9.895526886E2
1.599261082E2;9.895699310E2
1.608852352E2;9.895699310E2
1.618443622E2;9.895603943E2
1.628034992E2;9.895308685E2
1.637627742E2;9.894921112E2
1.647220143E2;9.894491577E2
1.656812692E2;9.894094849E2
1.666405492E2;9.893743896E2
1.675995832E2;9.893497467E2
1.685585912E2;9.893406677E2
1.695176542E2;9.893406677E2
1.704767742E2;9.893544006E2
1.714359483E2;9.893804169E2
1.723950412E2;9.894123077E2
1.733541282E2;9.894428253E2
1.743132752E2;9.894749451E2
1.752723612E2;9.895045471E2
1.762315002E2;9.895264435E2
1.771909792E2;9.895327759E2
1.781505472E2;9.895327759E2
1.791100762E2;9.895193481E2
1.800696682E2;9.894949341E2
1.810292342E2;9.894643402E2
1.819887852E2;9.894352722E2
1.829482812E2;9.894071198E2
1.839078192E2;9.893772888E2
1.848674522E2;9.893560028E2
1.858270162E2;9.893513489E2
1.867866302E2;9.893513489E2
1.877463282E2;9.893666840E2
1.887058712E2;9.893952179E2
1.896652282E2;9.894303131E2
1.906245972E2;9.894680786E2
1.915841472E2;9.895028687E2
1.925436272E2;9.895285034E2
1.935032413E2;9.895357513E2
1.944628442E2;9.895357513E2
1.954224572E2;9.895172882E2
1.963821532E2;9.894881439E2
1.973418992E2;9.894565582E2
1.983015383E2;9.894258118E2
1.992612512E2;9.893951416E2
2.002209482E2;9.893711853E2
2.011806762E2;9.893524170E2
2.021403552E2;9.893524170E2
2.031000982E2;9.893544006E2
2.040598672E2;9.893753052E2
2.050197542E2;9.894032288E2
2.059797192E2;9.894400787E2
2.069396232E2;9.894783783E2
2.078996192E2;9.895130920E2
2.088596852E2;9.895388031E2
2.098197072E2;9.895533752E2
2.107800772E2;9.895533752E2
2.117403532E2;9.895372772E2
2.127004552E2;9.895111084E2
2.136605212E2;9.894809723E2
2.146206082E2;9.894510651E2
2.155807322E2;9.894213104E2
2.165408532E2;9.893946838E2
2.175010042E2;9.893790436E2
2.184611872E2;9.893790436E2
2.194213762E2;9.893843079E2
2.203816512E2;9.894049072E2
2.213422302E2;9.894369507E2
2.223025642E2;9.894718170E2
2.232629252E2;9.895069122E2
2.242233542E2;9.895382690E2
2.251838162E2;9.895594788E2
2.261442702E2;9.895606232E2
2.271047232E2;9.895606232E2
2.280653002E2;9.895433807E2
2.290258432E2;9.895133972E2
2.299864042E2;9.894793701E2
2.309468902E2;9.894419098E2
2.319074362E2;9.894034576E2
2.328679762E2;9.893713379E2
2.338286292E2;9.893537140E2
2.347890582E2;9.893537140E2
2.357494602E2;9.893651581E2
2.367098912E2;9.893923187E2
2.376704172E2;9.894284058E2
2.386310252E2;9.894651794E2
2.395919102E2;9.894992065E2
2.405527982E2;9.895285797E2
2.415137103E2;9.895436096E2
2.424748052E2;9.895436096E2
2.434359932E2;9.895411682E2
2.443970602E2;9.895219421E2
2.453580312E2;9.894940186E2
2.463189772E2;9.894659424E2
2.472800362E2;9.894353485E2
2.482410412E2;9.894029236E2
2.492021032E2;9.893798065E2
2.501632822E2;9.893700409E2
2.511246132E2;9.893700409E2
2.520857702E2;9.893860626E2
2.530468662E2;9.894142151E2
2.540079912E2;9.894477844E2
2.549691452E2;9.894805908E2
2.559303762E2;9.895127106E2
2.568915572E2;9.895378113E2
2.578527802E2;9.895504761E2
2.588141162E2;9.895504761E2
2.597754872E2;9.895443726E2
2.607368292E2;9.895233917E2
2.616981442E2;9.894963074E2
2.626595302E2;9.894680786E2
2.636209942E2;9.894406128E2
2.645824852E2;9.894116211E2
2.655440062E2;9.893903351E2
2.665056303E2;9.893825531E2
2.674672182E2;9.893825531E2
2.684288072E2;9.893965912E2
2.693904502E2;9.894242859E2
2.703521703E2;9.894583893E2
2.713139442E2;9.894925690E2
2.722756832E2;9.895271301E2
2.732374942E2;9.895525360E2
2.741993572E2;9.895690155E2
2.751611972E2;9.895690155E2
2.761230302E2;9.895671082E2
2.770848502E2;9.895484161E2
2.780467092E2;9.895176697E2
2.790085872E2;9.894815826E2
2.799705162E2;9.894426727E2
2.809324862E2;9.894059753E2
2.818944612E2;9.893769073E2
2.828564392E2;9.893630219E2
2.838185422E2;9.893630219E2
2.847805853E2;9.893788910E2
2.857427412E2;9.894049072E2
2.867048632E2;9.894381714E2
2.876670102E2;9.894740295E2
2.886293342E2;9.895067596E2
2.895916522E2;9.895317078E2
2.905539032E2;9.895489502E2
2.915161603E2;9.895489502E2
2.924784262E2;9.895471954E2
2.934408422E2;9.895274353E2
2.944031672E2;9.894976807E2
2.953656392E2;9.894615936E2
2.963280762E2;9.894249725E2
2.972907862E2;9.893897247E2
2.982535022E2;9.893595886E2
2.992159472E2;9.893438721E2
3.001784852E2;9.893438721E2
3.011410763E2;9.893537140E2
3.021036372E2;9.893787384E2
3.030661062E2;9.894122314E2
