"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
0.000000000E0;5.111945386E1;7.406040665E0;3.004265495E2;1.111070216E-1;-1.000000000E0;1.200181241E1;1.200181241E1
1.845803380E0;5.111951599E1;7.405972691E0;3.204099440E2;1.249594912E-1;-1.000000000E0;3.200000000E1;3.200000000E1
2.845829606E0;5.111953629E1;7.405895350E0;2.740861193E2;7.401321530E-1;-1.000000000E0;4.800000000E1;4.800000000E1
3.845857143E0;5.111949008E1;7.405945951E0;2.977205378E2;4.665631950E-1;-1.000000000E0;4.800000000E1;4.800000000E1
4.845882773E0;5.111943921E1;7.406008518E0;3.017593947E2;7.243778110E-1;-1.000000000E0;3.200000000E1;3.200000000E1
5.845909953E0;5.111946034E1;7.406012011E0;3.039843192E2;2.651781738E-1;-1.000000000E0;2.400000000E1;2.400000000E1
6.845935941E0;5.111943440E1;7.406106138E0;3.067778073E2;7.326374054E-1;-1.000000000E0;3.200483309E1;3.200483309E1
7.672441840E0;5.111944533E1;7.406062104E0;3.049172700E2;1.461353600E-1;-1.000000000E0;3.200483309E1;3.200483309E1
9.676772714E0;5.111945706E1;7.405996840E0;3.084862520E2;9.710380435E-2;-1.000000000E0;2.400362482E1;2.400362482E1
1.067679965E1;5.111946203E1;7.405986099E0;3.037337746E2;2.204986364E-1;-1.000000000E0;2.400362482E1;2.400362482E1
1.176797533E1;5.111946705E1;7.405995283E0;3.034386969E2;1.732483506E-1;-1.000000000E0;1.600241655E1;1.600241655E1
1.276800203E1;5.111946705E1;7.405995283E0;3.034386969E2;0.000000000E0;-1.000000000E0;1.600241655E1;1.600241655E1
1.382848501E1;5.111947770E1;7.405953787E0;3.033107370E2;3.195602819E-2;-1.000000000E0;1.600241655E1;1.600241655E1
1.482851219E1;5.111948557E1;7.405942947E0;3.027301547E2;3.792041838E-1;-1.000000000E0;1.200181241E1;1.200181241E1
1.583946824E1;5.111948836E1;7.405928738E0;3.023723620E2;3.792041838E-1;-1.000000000E0;1.200181241E1;1.200181241E1
1.683949471E1;5.111949100E1;7.405921201E0;3.021630537E2;2.319113612E-1;-1.000000000E0;1.200181241E1;1.200181241E1
1.785347307E1;5.111949598E1;7.405929700E0;3.020165491E2;9.009721130E-2;-1.000000000E0;1.200181241E1;1.200181241E1
1.885350001E1;5.111949457E1;7.405927248E0;3.019117558E2;9.728129208E-2;-1.000000000E0;8.001208274E0;8.001208274E0
1.994245231E1;5.111948545E1;7.405926311E0;3.019263528E2;5.453101397E-1;1.663712641E2;8.001208274E0;8.001208274E0
2.094247973E1;5.111947418E1;7.405936354E0;3.021876941E2;5.295960903E-1;1.669853528E2;8.001208274E0;8.001208274E0
2.197315371E1;5.111947011E1;7.405941056E0;3.026074684E2;1.410321053E-2;2.015507545E2;8.001208274E0;8.001208274E0
2.297317994E1;5.111946957E1;7.405942725E0;3.027988049E2;1.706740707E-1;2.175684770E2;6.000906205E0;6.000906205E0
2.403582513E1;5.111946867E1;7.405938029E0;3.028443332E2;1.887192875E-1;2.414240738E2;6.000906205E0;6.000906205E0
2.503585124E1;5.111946502E1;7.405930489E0;3.028447662E2;1.689335406E-1;2.514280606E2;6.000906205E0;6.000906205E0
2.607797444E1;5.111946462E1;7.405925081E0;3.029022405E2;1.170558110E-1;2.634504503E2;6.000906205E0;6.000906205E0
2.707800055E1;5.111946430E1;7.405914068E0;3.028847793E2;2.193286568E-1;3.129190243E2;8.001208274E0;8.001208274E0
2.807802773E1;5.111946621E1;7.405906491E0;3.028209330E2;9.164877236E-2;3.293308487E2;8.001208274E0;8.001208274E0
2.907805419E1;5.111946667E1;7.405904434E0;3.027097388E2;7.276203483E-2;3.280933004E2;8.001208274E0;8.001208274E0
3.007808125E1;5.111946816E1;7.405907013E0;3.026718127E2;9.164877236E-2;4.529286269E1;8.001208274E0;8.001208274E0
3.107810736E1;5.111946889E1;7.405921140E0;3.026414332E2;3.801718056E-1;8.397287966E1;8.001208274E0;8.001208274E0
3.207813466E1;5.111946734E1;7.405926561E0;3.027086528E2;4.712706804E-1;1.542684421E2;8.001208274E0;8.001208274E0
3.307816195E1;5.111946456E1;7.405930554E0;3.027957672E2;3.873488307E-1;1.531222271E2;8.001208274E0;8.001208274E0
3.407818794E1;5.111947474E1;7.405960445E0;3.029112933E2;1.310977191E-1;1.497348767E2;8.001208274E0;8.001208274E0
3.507821417E1;5.111947973E1;7.405974107E0;3.028198490E2;3.107686043E-1;1.388341270E2;6.000906205E0;6.000906205E0
3.607824111E1;5.111949006E1;7.405988608E0;3.027534384E2;2.134935111E-1;1.477660610E2;6.000906205E0;6.000906205E0
3.707826722E1;5.111948351E1;7.405981617E0;3.025397325E2;1.371733695E-1;1.806510177E2;6.000906205E0;6.000906205E0
3.807829404E1;5.111947181E1;7.405974371E0;3.026639033E2;1.122304425E-1;2.152306398E2;6.000906205E0;6.000906205E0
3.907832038E1;5.111947371E1;7.405962723E0;3.029705342E2;1.270347983E-1;2.596078679E2;6.000906205E0;6.000906205E0
4.007834721E1;5.111947315E1;7.405965276E0;3.028703227E2;9.828241169E-2;9.949265405E1;6.000906205E0;6.000906205E0
4.107837331E1;5.111947034E1;7.405971162E0;3.028933429E2;2.203462869E-1;5.665067156E1;6.000906205E0;6.000906205E0
4.207840049E1;5.111947339E1;7.405974856E0;3.030156980E2;2.203462869E-1;2.406345586E2;6.000906205E0;6.000906205E0
4.307842684E1;5.111947190E1;7.405973608E0;3.029628121E2;2.784315944E-1;2.369976468E2;6.000906205E0;6.000906205E0
4.407845318E1;5.111947138E1;7.405969371E0;3.029928720E2;1.080189459E-2;2.513556333E2;6.000906205E0;6.000906205E0
4.507848001E1;5.111947130E1;7.405969334E0;3.029837106E2;1.643770933E-2;2.671687780E2;6.000906205E0;6.000906205E0
4.607850683E1;5.111947140E1;7.405968478E0;3.029847721E2;1.801921055E-2;2.737675877E2;6.000906205E0;6.000906205E0
4.707853305E1;5.111947143E1;7.405965919E0;3.029764187E2;2.858258970E-2;2.520140909E2;8.001208274E0;8.001208274E0
4.807855976E1;5.111947116E1;7.405964735E0;3.029581426E2;8.856358379E-2;2.148582579E2;8.001208274E0;8.001208274E0
4.907858598E1;5.111947019E1;7.405959127E0;3.029565622E2;1.506945938E-1;2.122516119E2;8.001208274E0;8.001208274E0
5.007861233E1;5.111946792E1;7.405962494E0;3.029483017E2;1.879770905E-1;1.634009924E2;8.001208274E0;8.001208274E0
5.107863939E1;5.111946850E1;7.405961331E0;3.030354487E2;1.925152838E-1;1.476493058E2;6.000906205E0;6.000906205E0
5.207866597E1;5.111946709E1;7.405961913E0;3.030198012E2;3.749692440E-2;1.569909555E2;6.000906205E0;6.000906205E0
5.307869184E1;5.111946448E1;7.405960697E0;3.030630881E2;7.612932473E-2;1.818557128E2;6.000906205E0;6.000906205E0
5.407871890E1;5.111945916E1;7.405950420E0;3.031356969E2;7.612932473E-2;2.408699542E2;6.000906205E0;6.000906205E0
5.507874560E1;5.111945794E1;7.405949449E0;3.032313702E2;4.342648387E-1;2.656670106E2;6.000906205E0;6.000906205E0
5.607877219E1;5.111946089E1;7.405940983E0;3.032704358E2;4.342648387E-1;3.129588306E2;6.000906205E0;6.000906205E0
5.707879889E1;5.111946712E1;7.405939057E0;3.031333329E2;2.427839637E-1;3.386895739E2;6.000906205E0;6.000906205E0
5.807882524E1;5.111947096E1;7.405940532E0;3.029256315E2;4.690060392E-2;3.541417294E2;6.000906205E0;6.000906205E0
5.907885218E1;5.111946945E1;7.405937575E0;3.028023589E2;4.670348465E-1;3.362563600E2;6.000906205E0;6.000906205E0
6.007887876E1;5.111947248E1;7.405939252E0;3.028148882E2;4.670348465E-1;3.266426229E2;6.000906205E0;6.000906205E0
6.107890475E1;5.111947083E1;7.405933609E0;3.027386601E2;3.342091739E-1;3.188365089E2;6.000906205E0;6.000906205E0
6.207893157E1;5.111947153E1;7.405931646E0;3.027424630E2;9.183254093E-2;3.361771845E2;6.000906205E0;6.000906205E0
6.307895803E1;5.111947455E1;7.405934682E0;3.027098020E2;4.226586223E-1;5.433772704E1;6.000906205E0;6.000906205E0
6.407898486E1;5.111947415E1;7.405941997E0;3.026382283E2;1.058515981E-1;8.850636308E1;6.000906205E0;6.000906205E0
6.507901073E1;5.111947071E1;7.405938889E0;3.026900401E2;4.642444476E-2;9.195571789E1;6.000906205E0;6.000906205E0
