"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.580797500E-1;-1.619887352E-1;-1.889159828E-1;-1.929365098E-2
1.680587500E-1;-1.513789594E-1;-1.610966027E-1;-1.335932966E-2
1.780687500E-1;-1.490001529E-1;-1.395439804E-1;2.133267000E-3
1.880787500E-1;-1.375698596E-1;-1.449467391E-1;6.512568798E-3
1.980877500E-1;-1.207494140E-1;-1.533252597E-1;4.969211295E-3
2.080977500E-1;-1.114310175E-1;-1.584731489E-1;2.720437944E-3
2.180767500E-1;-1.148458347E-1;-1.622909158E-1;-1.381651498E-3
2.280867500E-1;-1.207732335E-1;-1.631484628E-1;-5.534583703E-3
2.380967500E-1;-1.333769858E-1;-1.470093727E-1;-1.016507484E-2
2.481067500E-1;-1.431284100E-1;-1.312788725E-1;-1.289667934E-2
2.580857500E-1;-1.519397795E-1;-1.245449185E-1;-9.524483234E-3
2.680957500E-1;-1.485951096E-1;-1.280086339E-1;-3.766994923E-3
2.781047500E-1;-1.218310371E-1;-1.278880835E-1;4.368266091E-4
2.881147500E-1;-8.376434445E-2;-1.116872877E-1;-2.092643641E-3
2.981247500E-1;-4.319995269E-2;-9.262416512E-2;-9.529111907E-3
3.081037500E-1;-1.164948475E-2;-7.393649966E-2;-1.667197794E-2
3.181137500E-1;7.657863200E-3;-5.840837210E-2;-2.126389556E-2
3.281237500E-1;7.859196514E-3;-2.925234847E-2;-2.998228557E-2
3.381337500E-1;-7.382016629E-4;-1.647752337E-2;-3.922180086E-2
3.481127500E-1;-2.402195334E-2;-2.606863156E-2;-5.247981846E-2
3.581227500E-1;-4.786107317E-2;-3.022492491E-2;-6.259718537E-2
3.681317500E-1;-7.637793571E-2;-4.481931403E-2;-6.971501559E-2
3.781417500E-1;-1.040565670E-1;-6.925608218E-2;-7.982265949E-2
3.881517500E-1;-1.293187737E-1;-9.447275847E-2;-8.587789536E-2
3.981307500E-1;-1.523360312E-1;-1.133198589E-1;-8.467473090E-2
4.081407500E-1;-1.578170806E-1;-1.499495208E-1;-8.798184246E-2
4.181507500E-1;-1.562320888E-1;-1.796305925E-1;-8.862685412E-2
4.281597500E-1;-1.596137732E-1;-2.002985924E-1;-9.429911524E-2
4.381397500E-1;-1.455551535E-1;-2.159292847E-1;-1.050402522E-1
4.481487500E-1;-9.333561361E-2;-2.392527163E-1;-1.206730083E-1
4.581587500E-1;-3.905856609E-2;-2.412018478E-1;-1.521807015E-1
4.681687500E-1;1.813500188E-3;-2.245938331E-1;-1.868124455E-1
4.781787500E-1;2.873629704E-2;-2.120797485E-1;-2.096519470E-1
4.881577500E-1;5.532742292E-2;-2.027083486E-1;-2.184489071E-1
4.981677500E-1;7.161547989E-2;-1.608168483E-1;-2.375890017E-1
5.081767500E-1;7.012677193E-2;-1.194294542E-1;-2.695741057E-1
5.181867500E-1;6.135744601E-2;-1.197267473E-1;-3.123042583E-1
5.281967500E-1;7.732097059E-2;-1.344513595E-1;-3.490857184E-1
5.381757500E-1;5.509715527E-2;-5.237459764E-2;-3.816295266E-1
5.481857500E-1;8.203369379E-2;-9.402564168E-2;-4.624117315E-1
5.581957500E-1;1.087873206E-1;-5.566177145E-2;-5.522472262E-1
5.682057500E-1;1.808987856E-1;-1.984971389E-2;-6.133225560E-1
5.781847500E-1;2.854827344E-1;-2.163364738E-2;-6.424459219E-1
