"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.580797500E-1;2.311724482E-1;-1.854631555E-1;-2.337786984E-1
1.680587500E-1;1.977252053E-1;-1.765145767E-1;-2.474506581E-1
1.780687500E-1;1.829418361E-1;-1.543010044E-1;-1.833283371E-1
1.880787500E-1;1.349623619E-1;-1.058398658E-1;-1.233037448E-1
1.980877500E-1;9.156491205E-2;-1.048031545E-1;-8.063544273E-2
2.080977500E-1;7.416827604E-2;-1.007001632E-1;-9.190068841E-2
2.180767500E-1;8.190706596E-2;-8.797720671E-2;-1.191586536E-1
2.280867500E-1;1.108804581E-1;-1.012322599E-1;-1.356413698E-1
2.380967500E-1;1.290189596E-1;-1.294433212E-1;-1.626116520E-1
2.481067500E-1;1.285361257E-1;-2.041537803E-1;-1.432427502E-1
2.580857500E-1;1.232606216E-1;-1.966278291E-1;-8.168560266E-2
2.680957500E-1;1.184596190E-1;-1.599599397E-1;-9.841448665E-3
2.781047500E-1;1.219914834E-1;-1.642389321E-1;-6.047190428E-3
2.881147500E-1;1.559658529E-1;-1.656311542E-1;-5.327222764E-2
2.981247500E-1;1.860348670E-1;-1.814127892E-1;-8.172653317E-2
3.081037500E-1;1.999436389E-1;-2.012599933E-1;-1.185435265E-1
3.181137500E-1;2.242949532E-1;-2.221427393E-1;-9.222403944E-2
3.281237500E-1;2.259856756E-1;-2.248891765E-1;-7.466543555E-2
3.381337500E-1;1.707423516E-1;-2.041964650E-1;-3.226025820E-2
3.481127500E-1;1.317336756E-1;-2.066932261E-1;4.891429782E-2
3.581227500E-1;1.057498187E-1;-2.471021640E-1;5.447207630E-2
3.681317500E-1;1.123077634E-1;-2.484288973E-1;-4.474289417E-3
3.781417500E-1;9.375133216E-2;-2.296488100E-1;-5.278690875E-2
3.881517500E-1;7.772469878E-2;-2.208844185E-1;-8.156690419E-2
3.981307500E-1;4.990437761E-2;-2.278484523E-1;-5.250448823E-2
4.081407500E-1;4.219730884E-2;-2.134958768E-1;-7.802816927E-2
4.181507500E-1;1.330709338E-2;-2.068563634E-1;-1.361898386E-1
4.281597500E-1;-1.529704705E-2;-2.381834060E-1;-1.833745301E-1
4.381397500E-1;-1.068844709E-1;-2.881618971E-1;-1.600365382E-1
4.481487500E-1;-1.585361427E-1;-2.412812608E-1;-3.928334892E-2
4.581587500E-1;-2.057106015E-1;-2.729813558E-1;1.043143272E-2
4.681687500E-1;-2.523291363E-1;-3.443343437E-1;-8.007294059E-2
4.781787500E-1;-2.066762692E-1;-3.332480228E-1;-1.338041747E-1
4.881577500E-1;-6.614355728E-2;-2.573833233E-1;-2.048817587E-1
4.981677500E-1;3.619192600E-2;-1.760479689E-1;-2.681802070E-1
5.081767500E-1;1.215168357E-2;-1.843866831E-1;-2.501327759E-1
5.181867500E-1;-5.563918054E-3;-2.820860553E-1;-1.331755990E-1
5.281967500E-1;1.014155701E-2;-3.457517087E-1;-1.253210342E-1
5.381757500E-1;2.719086841E-2;-4.783612972E-1;-1.346438348E-1
5.481857500E-1;-1.111647789E-1;-8.712994516E-1;-1.344175476E-1
5.581957500E-1;-2.806605041E-2;-6.936434984E-1;-1.166963911E-1
5.682057500E-1;7.354320869E-2;-5.777253717E-1;-2.297938210E-1
5.781847500E-1;1.637484969E-1;-5.920165515E-1;-1.463137078E-1
5.881947500E-1;1.763447151E-1;-6.066018462E-1;4.618540227E-2
5.982037500E-1;1.229682608E-1;-6.202469087E-1;2.414391357E-1
6.082137500E-1;1.207678074E-1;-6.397684228E-1;2.914883780E-1
6.182237500E-1;1.738352363E-1;-4.392065871E-1;7.872925043E-2
6.282027500E-1;1.920003426E-1;-8.493782401E-2;-1.454377949E-1
6.382127500E-1;1.321517515E-1;1.414160800E-1;-3.077798903E-2
6.482227500E-1;7.455492318E-2;2.109558463E-1;1.679565918E-1
6.582317500E-1;1.133529532E-1;1.961658990E-1;1.628753614E-1
6.682117500E-1;1.928987673E-1;6.048301399E-2;7.328432322E-2
6.782207500E-1;2.648828159E-1;-2.620020390E-1;-2.963135004E-2
6.882307500E-1;2.914921787E-1;-6.327792460E-1;-1.022929448E-1
6.982407500E-1;2.823513727E-1;-8.078618395E-1;-1.264244038E-1
7.082507500E-1;3.475111359E-1;-7.729855371E-1;-1.507687014E-1
7.182297500E-1;4.704033829E-1;-6.082747346E-1;-1.531900334E-1
7.282397500E-1;5.608428521E-1;-4.320647979E-1;-1.408149862E-1
7.382497500E-1;6.635939263E-1;-2.265380913E-1;-9.125106275E-2
7.482587500E-1;6.969601853E-1;-7.588399529E-2;-1.065000165E-1
7.582687500E-1;5.637458485E-1;-8.408997774E-2;-1.479415727E-1
7.682477500E-1;4.223777157E-1;-6.612031460E-3;-1.145498782E-1
7.782577500E-1;4.279837337E-1;2.221310449E-1;-1.304548895E-1
7.882677500E-1;4.718018907E-1;3.549201429E-1;-1.745709622E-1
7.982777500E-1;5.045041984E-1;3.386777472E-1;-1.128489232E-1
