"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;-1.606509328E0;3.151966572E0;9.204508781E0
1.577262500E-2;-1.681926727E0;3.100491285E0;9.293093681E0
2.865993700E-2;-1.719036818E0;3.056198359E0;9.329007149E0
4.009209300E-2;-1.752555609E0;3.053804159E0;9.611522675E0
5.086717100E-2;-1.586158633E0;2.975992680E0;9.597157478E0
6.121121000E-2;-1.545457244E0;2.983175278E0;9.416395187E0
7.137073000E-2;-1.602918029E0;3.118447781E0;9.276334763E0
8.143949000E-2;-1.562216640E0;3.155557871E0;9.172186852E0
9.171687000E-2;-1.557428241E0;3.159149170E0;9.127894402E0
1.017940600E-1;-1.563413739E0;3.162740469E0;9.081207275E0
1.216142020E-1;-1.632845521E0;3.134010077E0;9.056067467E0
1.415804880E-1;-1.610100627E0;2.870647907E0;9.388861656E0
1.515953690E-1;-1.637633920E0;2.949656487E0;9.526528358E0
1.616528090E-1;-1.584961534E0;3.100491285E0;9.506177902E0
1.717495290E-1;-1.453280449E0;3.183091164E0;9.289502144E0
1.923130690E-1;-1.076193690E0;3.123236179E0;9.217676163E0
2.117747040E-1;-1.264138460E0;3.130418777E0;9.683348656E0
2.316506130E-1;-1.300051570E0;3.195062160E0;9.459490776E0
2.417214310E-1;-1.411381960E0;3.117250681E0;9.125499725E0
2.616785450E-1;-1.583764434E0;2.908955097E0;9.126696587E0
2.816038230E-1;-1.570596337E0;2.853888512E0;9.457097054E0
3.017041430E-1;-1.054645896E0;3.114856482E0;9.744400978E0
3.215772230E-1;-1.200692177E0;3.072957993E0;9.594763756E0
3.418152430E-1;-1.507149935E0;2.780865192E0;9.518148422E0
3.618217480E-1;-1.666364431E0;2.744952202E0;9.538499832E0
3.817073740E-1;-1.423352957E0;2.779668093E0;9.414001465E0
4.016652810E-1;-1.215057373E0;2.845508814E0;8.799888611E0
4.215772570E-1;-1.449689150E0;2.936488390E0;8.821435928E0
