"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.095038210E1;6.966870900E0;4.065990762E1;0.000000000E0;0.000000000E0;3.903900146E1;2.000000000E0
2.791247299E0;5.094582208E1;6.963990508E0;4.025225554E1;4.899999797E-1;0.000000000E0;2.350000000E1;1.000000000E2
3.833080875E0;5.094581588E1;6.963919513E0;3.425229114E1;8.999999762E-1;0.000000000E0;1.200000000E1;1.000000000E2
4.825961451E0;5.094589056E1;6.963918339E0;4.925244972E1;1.490000010E0;6.000000238E-1;1.100000000E1;1.000000000E2
5.617009451E0;5.094588180E1;6.964055132E0;4.925233737E1;1.179999948E0;2.329999924E1;1.050000000E1;1.000000000E2
6.636424642E0;5.094588218E1;6.964034094E0;4.925235260E1;9.300000072E-1;3.690000153E1;9.000000000E0;1.000000000E2
7.634448218E0;5.094588452E1;6.964017078E0;4.925236923E1;1.209999919E0;2.060000038E1;8.000000000E0;1.000000000E2
8.640816564E0;5.094588779E1;6.964005595E0;4.725238401E1;1.199999928E0;2.350000000E1;7.500000000E0;1.000000000E2
9.665838640E0;5.094589555E1;6.963997884E0;4.525240568E1;1.299999952E0;1.800000000E1;7.000000000E0;1.000000000E2
1.063461591E1;5.094589773E1;6.964007439E0;4.525240373E1;1.389999986E0;1.820000076E1;6.500000000E0;1.000000000E2
1.164629195E1;5.094590581E1;6.964017246E0;4.525241409E1;1.480000019E0;1.560000038E1;6.500000000E0;1.000000000E2
1.262717629E1;5.094591960E1;6.964025293E0;4.425243770E1;1.379999995E0;1.069999981E1;6.500000000E0;1.000000000E2
1.362362852E1;5.094592933E1;6.964034261E0;4.425245209E1;1.240000010E0;1.760000038E1;6.000000000E0;1.000000000E2
1.463281698E1;5.094594265E1;6.964033674E0;4.425248064E1;9.899999499E-1;2.070000076E1;5.500000000E0;1.000000000E2
1.562257075E1;5.094595661E1;6.964038620E0;4.325250673E1;1.469999909E0;1.469999981E1;5.500000000E0;1.000000000E2
1.663242875E1;5.094596897E1;6.964041721E0;4.325253072E1;1.179999948E0;8.000000000E0;5.500000000E0;1.000000000E2
1.761929779E1;5.094598004E1;6.964042308E0;4.225255369E1;1.209999919E0;2.799999952E0;5.500000000E0;1.000000000E2
1.861472967E1;5.094598909E1;6.964044236E0;4.025257149E1;1.100000024E0;2.500000000E0;5.000000000E0;1.000000000E2
1.963343979E1;5.094599864E1;6.964049684E0;4.025258794E1;1.240000010E0;1.160000038E1;5.000000000E0;1.000000000E2
2.063419059E1;5.094600740E1;6.964059994E0;4.125259937E1;1.360000014E0;1.310000038E1;5.000000000E0;1.000000000E2
2.162601652E1;5.094601725E1;6.964066112E0;4.125261598E1;1.279999971E0;1.620000076E1;5.000000000E0;1.000000000E2
2.262969128E1;5.094602538E1;6.964066615E0;4.025263281E1;1.269999981E0;1.500000000E1;5.000000000E0;1.000000000E2
2.363142344E1;5.094603724E1;6.964067956E0;4.025265695E1;1.370000005E0;1.419999981E1;5.000000000E0;1.000000000E2
2.464211748E1;5.094604797E1;6.964073824E0;4.125267559E1;1.370000005E0;1.679999924E1;4.500000000E0;1.000000000E2
2.562882063E1;5.094606113E1;6.964078182E0;4.125270039E1;1.399999976E0;8.899999619E0;4.500000000E0;1.000000000E2
2.661693374E1;5.094607245E1;6.964081451E0;4.225272206E1;1.490000010E0;3.500000000E0;4.500000000E0;1.000000000E2
2.763242994E1;5.094608443E1;6.964088492E0;4.225274255E1;1.519999981E0;1.789999962E1;4.500000000E0;1.000000000E2
2.861850716E1;5.094609328E1;6.964098131E0;4.225275461E1;1.250000000E0;2.360000038E1;4.500000000E0;1.000000000E2
2.961214947E1;5.094609969E1;6.964106094E0;4.225276269E1;1.319999933E0;2.320000076E1;4.500000000E0;1.000000000E2
3.064564705E1;5.094610740E1;6.964113051E0;4.225277421E1;1.309999943E0;1.839999962E1;4.500000000E0;1.000000000E2
3.163346562E1;5.094611876E1;6.964119254E0;4.225279395E1;1.279999971E0;1.580000019E1;4.500000000E0;1.000000000E2
3.263910305E1;5.094612886E1;6.964123528E0;4.225281235E1;1.319999933E0;1.380000019E1;4.500000000E0;1.000000000E2
3.362108732E1;5.094613921E1;6.964126462E0;4.225283221E1;1.240000010E0;1.100000000E1;4.500000000E0;1.000000000E2
3.464301262E1;5.094615052E1;6.964138448E0;4.225284789E1;1.259999990E0;1.650000000E1;4.500000000E0;1.000000000E2
3.563647097E1;5.094616322E1;6.964148842E0;4.225286758E1;1.319999933E0;1.739999962E1;4.500000000E0;1.000000000E2
3.661412801E1;5.094617387E1;6.964154793E0;4.225288598E1;1.370000005E0;2.450000000E1;4.500000000E0;1.000000000E2
3.762657824E1;5.094618489E1;6.964162337E0;4.225290409E1;1.409999967E0;2.339999962E1;4.500000000E0;1.000000000E2
3.862825346E1;5.094619864E1;6.964173149E0;4.225292571E1;1.439999938E0;2.220000076E1;4.500000000E0;1.000000000E2
3.961356397E1;5.094621100E1;6.964180861E0;4.225294653E1;1.329999924E0;1.770000076E1;4.500000000E0;1.000000000E2
4.063204566E1;5.094622236E1;6.964184213E0;4.225296823E1;1.319999933E0;1.920000076E1;4.500000000E0;1.000000000E2
4.161839023E1;5.094623451E1;6.964190835E0;4.125298936E1;1.329999924E0;1.929999924E1;4.500000000E0;1.000000000E2
4.262331069E1;5.094624780E1;6.964198463E0;4.125301219E1;1.370000005E0;1.739999962E1;4.500000000E0;1.000000000E2
