"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
3.536625000E-2;-6.088289618E-2;-1.900198162E-1;-5.438736826E-2
4.547425000E-2;-7.432193309E-2;-1.704721302E-1;-5.621996522E-2
6.585125000E-2;-5.721770599E-2;-1.087747365E-1;-3.850486875E-2
8.546825000E-2;-2.117665485E-2;-6.723590195E-2;-2.934189141E-2
1.057012500E-1;-2.178752050E-2;-8.311839402E-2;-4.461352155E-2
1.200332500E-1;-2.728530765E-2;-9.961175919E-2;-5.438736826E-2
1.353902500E-1;-4.683299735E-2;-1.582548320E-1;-6.355034560E-2
1.553822500E-1;-5.416338146E-2;-2.028479874E-1;-4.033746570E-2
1.654302500E-1;-4.683299735E-2;-1.942958832E-1;-1.345939655E-2
1.757162500E-1;-7.737619802E-3;-1.771916449E-1;4.255695269E-3
1.955142500E-1;-3.278309479E-2;-1.955176145E-1;-3.972660005E-2
2.154512500E-1;-8.287404478E-2;-1.637526155E-1;-6.904813647E-2
2.355452500E-1;-2.056579106E-2;-1.368745416E-1;-7.149159163E-2
2.559582500E-1;8.144937456E-4;-1.716938615E-1;-9.165014327E-2
2.755642500E-1;-4.011347890E-2;-1.967393458E-1;-8.248716593E-2
2.953622500E-1;-8.776097000E-2;-1.887980849E-1;-4.400265962E-2
3.053632500E-1;-8.776097000E-2;-1.735264659E-1;-2.628756687E-2
3.154082500E-1;-7.004587352E-2;-1.478701234E-1;-3.117448837E-2
3.352952500E-1;-3.278309479E-2;-7.151195407E-2;-8.676322550E-2
3.453592500E-1;-3.828088194E-2;-4.219042510E-2;-9.714793414E-2
3.556962500E-1;-4.316780344E-2;-2.752966061E-2;-8.859582245E-2
3.657312500E-1;-5.171991885E-2;-1.873320900E-3;-4.766784981E-2
3.859192500E-1;-3.522655740E-2;3.294599801E-2;1.097521372E-2
4.054932500E-1;-5.660684034E-2;2.805907466E-2;3.357722610E-2
4.253272500E-1;-1.488474905E-1;-5.440773070E-2;2.807943895E-2
4.353272500E-1;-1.683951765E-1;-1.093856022E-1;2.502511442E-2
4.458612500E-1;-1.647299826E-1;-1.545896381E-1;1.402953919E-2
4.652862500E-1;-8.837182820E-2;-1.332093477E-1;-8.676322550E-2
4.756082500E-1;-9.509135038E-2;-9.594656527E-2;-1.557909995E-1
4.953072500E-1;-2.978986204E-1;3.538946062E-2;-1.857233942E-1
5.053632500E-1;-4.139630198E-1;-1.897754893E-2;-1.686191708E-1
5.156662500E-1;-4.994841516E-1;-1.503135860E-1;-1.392976344E-1
5.357792500E-1;-5.672901869E-1;-3.470121920E-1;-8.248716593E-2
5.554332500E-1;-6.595308185E-1;-3.812206388E-1;-7.576765120E-2
5.657612500E-1;-9.655743241E-1;-1.338202208E-1;-3.606140986E-2
5.857212500E-1;-1.415781975E0;1.697798073E-1;3.479895741E-2
6.054232500E-1;-1.603317618E0;-3.341840208E-1;-3.685551696E-3
6.253572500E-1;-1.628363132E0;-1.020185709E0;-6.110688299E-2
6.355132500E-1;-1.622254491E0;-1.283468604E0;-3.911573440E-2
6.554982500E-1;-1.728544950E0;-1.639603019E0;9.222029150E-2
6.754302500E-1;-1.933184862E0;-1.195504069E0;2.797559202E-1
6.954092500E-1;-1.935017467E0;-4.600222707E-1;6.719313860E-1
7.153682500E-1;-1.454877377E0;1.123584807E-1;8.270911574E-1
7.254262500E-1;-1.099964619E0;3.841935098E-1;7.745567560E-1
7.455022500E-1;-4.231260121E-1;7.464365959E-1;6.291708350E-1
7.653692500E-1;-2.129883319E-1;7.128390074E-1;5.448714495E-1
7.859112500E-1;-5.960008502E-1;4.208454192E-1;6.713205576E-1
8.053642500E-1;-8.690575957E-1;1.850514412E-1;6.474967599E-1
8.153672500E-1;-8.556185365E-1;2.744821273E-2;5.491474867E-1
8.353892500E-1;-4.585561752E-1;-8.311839402E-2;3.591683805E-1
8.455142500E-1;-1.103629768E-1;5.676974356E-2;2.693712115E-1
8.655962500E-1;6.159558296E-1;5.228599310E-1;1.044375971E-1
8.853942500E-1;9.708684683E-1;7.971383929E-1;-4.155919701E-2
8.959012500E-1;9.219992757E-1;8.069122434E-1;-1.130304337E-1
9.154282500E-1;6.825401187E-1;4.489452243E-1;-2.852944434E-1
9.354712500E-1;6.000733376E-1;-3.913610056E-2;-9.898053110E-2
9.459122500E-1;6.483316422E-1;-2.382781804E-1;-9.794204496E-3
