"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.865993700E-2;-2.752196789E-2;4.894113541E-2;1.493797302E-1
4.009209300E-2;-7.353425026E-2;1.281037331E-1;4.032897949E-1
5.086717100E-2;-5.700385571E-2;1.069943905E-1;3.450803757E-1
6.121121000E-2;-2.954542637E-2;5.710697174E-2;1.800260544E-1
7.137073000E-2;-1.783430576E-2;3.469991684E-2;1.030912399E-1
8.143949000E-2;-2.897381783E-3;5.805969238E-3;1.697158813E-2
9.171687000E-2;3.644347191E-3;-7.403612137E-3;-2.122497559E-2
1.017940600E-1;1.045107841E-2;-2.099514008E-2;-5.975341797E-2
1.216142020E-1;1.430952549E-2;-2.760148048E-2;-7.965755463E-2
1.415804880E-1;-2.304625511E-2;4.107499123E-2;1.343936920E-1
1.515953690E-1;-4.857265949E-2;8.749032021E-2;2.824344635E-1
1.616528090E-1;-4.965817928E-2;9.716224670E-2;2.978534698E-1
1.717495290E-1;-1.756501198E-2;3.850102425E-2;1.123209000E-1
1.923130690E-1;1.641035080E-3;-4.754543304E-3;-1.402664185E-2
2.117747040E-1;-5.527043343E-2;1.368572712E-1;4.233474731E-1
2.316506130E-1;-3.380763531E-2;8.311581612E-2;2.463035583E-1
2.417214310E-1;8.816242218E-3;-1.941132545E-2;-5.680751801E-2
2.616785450E-1;1.592588425E-2;-2.920579910E-2;-9.168624878E-2
2.816038230E-1;-3.080582619E-2;5.587959290E-2;1.850643158E-1
3.017041430E-1;-4.899215698E-2;1.446824074E-1;4.526243210E-1
3.215772230E-1;-4.015552998E-2;1.028215885E-1;3.210468292E-1
3.418152430E-1;-3.354597092E-2;6.191825867E-2;2.119026184E-1
3.618217480E-1;-4.260528088E-2;7.033514977E-2;2.444038391E-1
3.817073740E-1;-1.607263088E-2;3.132271767E-2;1.061258316E-1
4.016652810E-1;6.234848499E-2;-1.460072994E-1;-4.515676498E-1
4.215772570E-1;6.116104126E-2;-1.238791943E-1;-3.721418381E-1
4.315977530E-1;-3.297019005E-2;6.914925575E-2;2.212610245E-1
4.516166250E-1;-6.040519476E-2;3.048799038E-1;8.628416061E-1
4.717198430E-1;1.677668095E-2;-5.998921394E-2;-2.034320831E-1
4.817300460E-1;8.886110783E-2;-2.440493107E-1;-9.216547012E-1
5.017989490E-1;1.313693523E-1;-2.506375313E-1;-8.205862045E-1
5.217424240E-1;2.870905399E-2;-6.578230858E-2;-1.944684982E-1
5.317528370E-1;-4.007804394E-2;9.032678604E-2;2.755155563E-1
5.516671460E-1;-7.122385502E-2;1.813962460E-1;6.149816513E-1
5.618366980E-1;1.098287106E-2;-3.232026100E-2;-1.356201172E-1
5.718649740E-1;3.788524866E-2;-1.450058222E-1;-7.050104141E-1
5.917431810E-1;1.059635878E-1;-3.515508175E-1;-1.452159882E0
6.115917320E-1;1.379101276E-1;-1.880764961E-1;-9.177274704E-1
6.217729910E-1;-5.311866999E-1;1.047448874E0;-5.139760971E-1
6.417869350E-1;-4.942286015E-2;2.515596151E-2;8.984956741E-1
6.616104210E-1;9.424649179E-3;-1.291006804E-1;1.668229103E0
6.815880420E-1;-7.858678699E-2;-4.466055334E-2;2.045825958E0
6.916106460E-1;-4.070420563E-2;-2.063810825E-2;1.973052979E0
7.016129480E-1;5.882583559E-3;-5.871806294E-3;2.396655083E0
7.217766740E-1;-1.560354978E-2;-8.952182531E-2;1.726609230E0
7.317954620E-1;-8.825972676E-3;-6.134849787E-2;6.063156128E-1
7.516903030E-1;-6.698153913E-3;1.309323311E-1;-8.807659149E-1
7.715867630E-1;1.138865352E-1;8.226004243E-2;-1.462198257E0
7.816275060E-1;5.983862281E-2;1.409981400E-3;-1.133171082E0
7.916283780E-1;1.523870230E-2;-2.901032567E-2;-9.845762253E-1
8.115740320E-1;1.073583961E-3;5.127906799E-3;7.825374603E-2
8.315584450E-1;-9.099267423E-3;5.063867569E-2;2.373759270E0
8.416538470E-1;-4.043291509E-2;6.785701960E-3;2.280864716E0
8.617576490E-1;-1.919215918E-2;-3.152105212E-2;6.433725357E-1
8.817018490E-1;7.292568684E-2;1.841118336E-1;-1.166498184E0
9.017621490E-1;1.517888308E-1;1.063286066E-1;-9.101133347E-1
9.216524740E-1;5.455696583E-2;1.065132022E-2;-2.786655426E-1
9.316648620E-1;2.699577808E-2;4.607319832E-3;-1.777486801E-1
9.418870560E-1;-1.011478901E-2;-3.608167171E-3;6.506061554E-2
9.617157010E-1;-2.656712383E-2;1.166310310E-1;2.794625282E0
9.817593620E-1;-1.227297783E-1;7.653161883E-2;1.941270828E0
1.001598528E0;4.930335283E-2;-2.892347574E-1;-1.802296638E0
1.021561819E0;-6.773387194E-1;-1.525388479E0;-3.407569408E0
1.031578534E0;-9.310703278E-1;-9.510989785E-1;-1.328925133E0
1.041592392E0;-1.450347006E-1;-5.280272961E-1;-1.749620438E-1
1.061796035E0;-2.545189261E-1;-1.473288536E-1;5.237674713E-1
1.081691196E0;6.642026305E-1;-3.873240948E-2;5.142822266E-1
1.101934486E0;-9.270681441E-2;-6.831029654E-1;-2.521429062E-1
1.121705809E0;-7.850930691E-1;-1.269734383E0;-1.388580322E0
1.141774889E0;-1.531915665E0;-1.049604416E0;9.697885513E-1
1.161619909E0;-5.808165073E-1;-1.327909708E0;1.034307480E0
1.181602664E0;3.099080324E-1;-8.566761017E-1;3.431730270E-1
1.191782957E0;2.231657505E-1;-3.945350647E-1;4.993906021E-1
1.201794603E0;-2.514696121E-1;-4.291265011E-1;1.807651520E-1
1.222668588E0;-1.225623131E0;-4.841815233E-1;-4.696035385E-1
1.232715919E0;-1.396095634E0;-7.514249086E-1;-1.553659439E-1
1.251976667E0;-3.203586340E-1;-1.439049125E0;8.390607834E-1
1.273238854E0;-3.294639587E-1;-4.212796688E-1;1.579274178E0
1.292028401E0;-3.489122391E-1;-4.764772654E-1;4.467840195E-1
1.311771037E0;-4.652512074E-2;-6.668913364E-2;-3.670969009E-1
1.321966643E0;-3.179302216E-1;-6.969702244E-2;-5.238666534E-1
1.341677848E0;-4.319631457E-1;-2.842427492E-1;-6.687803268E-1
1.361610399E0;3.166970015E-1;-4.132390022E-2;8.492078781E-1
1.381959037E0;2.349600792E-1;-6.620061398E-2;6.276760101E-1
1.392069643E0;-9.653890133E-2;-7.446951866E-1;-1.136178970E-1
1.411678598E0;-3.474564552E-1;-1.275784492E0;-5.021915436E-1
1.421783924E0;1.510739326E-2;-1.410694599E0;9.996566772E-1
1.441611668E0;-9.470058680E-1;-1.683558822E0;-1.293543816E0
1.461646604E0;8.440241814E-1;7.062572241E-1;1.716647148E0
1.481592088E0;5.011799335E-1;-7.487237453E-2;8.865613937E-1
1.491602169E0;-1.783416271E-1;2.009249926E-1;-9.336948395E-2
1.501603209E0;-2.046580315E-1;-1.321405172E-1;-9.936056137E-1
1.511606729E0;-7.601261139E-3;-4.823896885E-1;-1.393389702E0
1.521610989E0;-3.071942329E-1;-9.760071635E-1;-1.300246239E0
1.541595184E0;-2.238433361E-1;-7.949051857E-1;7.940635681E-1
1.551718717E0;-1.552922726E-1;-4.395951033E-1;1.175505638E0
1.571585366E0;-2.816705704E-1;-7.435532212E-1;9.712123871E-1
1.581683308E0;-3.192520142E-1;-5.126235485E-1;2.777156830E-1
1.601696764E0;-3.104953766E-1;-1.384230852E-1;-8.890104294E-1
1.621670628E0;2.615005970E-1;-1.549559832E-1;1.732495308E0
1.641668844E0;7.209587097E-2;1.601696014E-3;7.956533432E-1
1.661605398E0;-4.538631439E-1;-2.821279168E-1;8.262348175E-2
1.681671537E0;-1.432950497E-1;5.069804192E-2;3.170557022E-1
1.693733393E0;2.957558632E-2;2.058200836E-1;9.085607529E-1
1.711539250E0;2.213761806E-1;4.370099306E-1;1.823699951E0
1.721583250E0;4.094350338E-1;5.001744032E-1;1.770581245E0
1.731615250E0;4.062614441E-1;5.659787655E-1;1.289821625E0
1.751525250E0;-3.335187435E-1;1.690120101E-1;3.598852158E-1
1.762174250E0;-5.268502235E-1;-6.875693798E-3;2.930316925E-1
1.772532250E0;-7.244539261E-1;-1.523017883E-1;4.940452576E-1
1.791675250E0;-1.097548604E0;-4.884887636E-1;2.818479538E-1
1.811576250E0;-7.528886795E-1;3.604835272E-2;9.706134796E-1
1.831535250E0;-6.252455711E-2;5.140338540E-1;6.254053116E-1
1.841657250E0;-7.270979881E-2;4.450474977E-1;3.238677979E-1
1.861550250E0;-2.352240086E-1;3.983722925E-1;-4.676923752E-1
1.871612250E0;-3.101048470E-1;3.739655614E-1;-7.165355682E-1
1.891527250E0;-5.429983139E-1;3.412592411E-2;-5.169744492E-1
1.901585250E0;-4.589133263E-1;-5.257767439E-2;1.434545517E-1
1.921555250E0;-1.352572441E-1;1.089900136E-1;7.749023438E-1
1.931706250E0;-1.210582256E-1;1.438163519E-1;5.667228699E-1
1.951646250E0;-1.143081188E-1;2.447134256E-1;1.265468597E-1
1.971562250E0;-3.589017391E-1;8.963012695E-2;-5.922050476E-1
1.991629250E0;7.800102234E-3;3.992986679E-1;-4.140548706E-1
