"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;-3.160346150E-1;3.050212860E0;8.781931877E0
2.415230700E-2;-1.544260085E-1;3.003525972E0;8.866926193E0
4.116996000E-2;-5.027823523E-2;2.888604403E0;8.961497307E0
5.472628700E-2;2.035071515E-2;2.816778183E0;9.087192535E0
6.648195000E-2;6.344634295E-2;2.789244890E0;9.212887764E0
7.733828200E-2;6.823474914E-2;2.779668093E0;9.330204010E0
8.775744800E-2;7.182605099E-3;2.772485495E0;9.425971985E0
9.815703100E-2;-8.619125932E-2;2.795230389E0;9.469067574E0
1.081783220E-1;-1.855506301E-1;2.822763920E0;9.528923035E0
1.183474680E-1;-2.609679997E-1;2.859874010E0;9.557653427E0
1.382478270E-1;-3.627215624E-1;2.961627483E0;9.625887871E0
1.583711670E-1;-4.489128292E-1;3.051409960E0;9.557653427E0
1.685928900E-1;-4.094084799E-1;3.075352192E0;9.477447510E0
1.886276830E-1;-3.519476354E-1;3.118447781E0;9.402029991E0
2.085578810E-1;-2.250549644E-1;3.033453465E0;9.429563522E0
2.187897470E-1;-1.604115069E-1;2.998737574E0;9.460687637E0
2.290041800E-1;-1.041477770E-1;2.984372377E0;9.441534042E0
2.390858970E-1;-9.935937077E-2;2.962824583E0;9.406818390E0
2.588496840E-1;-1.939303428E-1;2.906560898E0;9.442731857E0
2.786658810E-1;-2.394201756E-1;2.863465309E0;9.477447510E0
2.890402470E-1;-2.597708702E-1;2.857479811E0;9.436745644E0
3.089085220E-1;-2.944868207E-1;2.880224705E0;9.366117477E0
3.192865680E-1;-3.016694188E-1;2.877830505E0;9.349357605E0
3.391118520E-1;-2.825157940E-1;2.938882589E0;9.220070839E0
3.588639230E-1;-2.442085743E-1;2.987963676E0;9.209297180E0
3.786786910E-1;-1.699883193E-1;3.014299870E0;9.496601105E0
3.987798830E-1;-1.939303428E-1;2.995146275E0;9.657012939E0
4.095332480E-1;-2.023100406E-1;2.978386879E0;9.672574997E0
4.287097720E-1;-2.250549644E-1;2.941276789E0;9.643844604E0
4.487674030E-1;-2.956839204E-1;2.943670988E0;9.485827446E0
4.587695080E-1;-3.627215624E-1;2.947262287E0;9.421183586E0
4.787830870E-1;-3.268085420E-1;2.949656487E0;9.346963882E0
4.890223500E-1;-3.016694188E-1;2.935291290E0;9.350554466E0
5.087090480E-1;-2.681505978E-1;2.960430384E0;9.364919662E0
5.286244720E-1;-4.345476031E-1;2.954444885E0;9.300276756E0
5.485528280E-1;-3.196259141E-1;3.011905670E0;9.352949142E0
5.585977210E-1;-3.459621370E-1;2.991554976E0;9.363722801E0
5.687701670E-1;-2.657563984E-1;2.993949175E0;9.441534042E0
5.885677520E-1;-1.556231081E-1;2.980781078E0;9.415198326E0
5.989341830E-1;-1.604115069E-1;2.967612982E0;9.447520256E0
6.186905060E-1;-1.280897856E-1;2.936488390E0;9.527725220E0
6.385825870E-1;-1.628057212E-1;2.890998602E0;9.466673851E0
6.487241000E-1;-1.412578970E-1;2.906560898E0;9.442731857E0
6.685959850E-1;-1.795651317E-1;2.907757998E0;9.466673851E0
6.786542990E-1;-1.915361285E-1;2.916137695E0;9.488221169E0
6.986210350E-1;-1.687912196E-1;2.946065187E0;9.488221169E0
7.186392190E-1;-1.903390288E-1;2.946065187E0;9.351752281E0
7.286579160E-1;-2.082955539E-1;2.935291290E0;9.289502144E0
7.387537650E-1;-2.442085743E-1;2.948459387E0;9.255983353E0
7.586504010E-1;-3.327940404E-1;2.958036184E0;9.260771751E0
7.686965070E-1;-3.447650373E-1;3.011905670E0;9.358934402E0
