"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.095562860E1;6.973567800E0;0.000000000E0;0.000000000E0;0.000000000E0;8.000000000E2;0.000000000E0
5.358297109E0;5.095346160E1;6.970705083E0;4.426376167E1;9.499999881E-1;3.829999924E1;8.500000000E0;1.000000000E2
6.048196454E0;5.095347681E1;6.970737772E0;4.326377120E1;1.019999981E0;4.670000076E1;6.000000000E0;1.000000000E2
7.054010684E0;5.095349852E1;6.970758727E0;3.926380253E1;1.100000024E0;4.200000000E1;5.500000000E0;1.000000000E2
8.053295068E0;5.095350833E1;6.970770797E0;3.926381489E1;1.199999928E0;3.820000076E1;5.500000000E0;1.000000000E2
9.055239837E0;5.095351654E1;6.970776832E0;3.926382805E1;1.259999990E0;4.090000153E1;5.000000000E0;1.000000000E2
1.007197518E1;5.095352517E1;6.970786639E0;3.826383949E1;1.429999948E0;4.229999924E1;5.000000000E0;1.000000000E2
1.105330014E1;5.095353100E1;6.970787896E0;3.926385091E1;1.039999962E0;4.029999924E1;5.500000000E0;1.000000000E2
1.210265791E1;5.095353674E1;6.970800133E0;3.926385457E1;1.049999952E0;4.150000000E1;5.000000000E0;1.000000000E2
1.304235618E1;5.095353947E1;6.970804995E0;3.926385696E1;7.400000095E-1;4.300000000E1;5.000000000E0;1.000000000E2
1.404873426E1;5.095354353E1;6.970814131E0;3.926385923E1;1.110000014E0;4.920000076E1;4.500000000E0;1.000000000E2
1.505365541E1;5.095355229E1;6.970824357E0;3.926387065E1;1.189999938E0;4.440000153E1;5.000000000E0;1.000000000E2
1.605421610E1;5.095356252E1;6.970835924E0;3.926388424E1;1.500000000E0;4.609999847E1;5.000000000E0;1.000000000E2
1.703224441E1;5.095357433E1;6.970855622E0;3.926389557E1;1.389999986E0;4.309999847E1;5.000000000E0;1.000000000E2
1.805259702E1;5.095358632E1;6.970870625E0;3.926391050E1;1.189999938E0;4.690000153E1;5.000000000E0;1.000000000E2
1.904574721E1;5.095359906E1;6.970887976E0;3.926392539E1;1.379999995E0;5.229999924E1;5.000000000E0;1.000000000E2
2.008507991E1;5.095361017E1;6.970912367E0;3.826393198E1;1.469999909E0;5.540000153E1;5.000000000E0;1.000000000E2
