"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
8.347749400E-2;8.144937456E-4;-1.470149122E-2;-1.242090948E-3
1.409055540E-1;-7.737619802E-3;-6.760242395E-3;1.769473031E-2
1.745210840E-1;-8.348485455E-3;1.791871153E-3;3.052290156E-2
1.964038490E-1;-7.126756012E-3;5.457062274E-3;3.907501325E-2
2.124912310E-1;-5.905024707E-3;5.457062274E-3;4.212934151E-2
2.256534220E-1;-2.239834517E-3;2.402735874E-3;3.663155437E-2
2.371915180E-1;2.036280930E-4;-4.927646834E-3;2.685770951E-2
2.476765660E-1;-3.461563960E-3;-7.981972769E-3;1.891646162E-2
2.581115900E-1;-9.570216760E-3;-9.203704074E-3;1.525127050E-2
2.681401020E-1;-8.959351107E-3;-9.203704074E-3;1.341867447E-2
2.786733580E-1;-3.461563960E-3;-7.981972769E-3;1.341867447E-2
2.887934860E-1;1.425359398E-3;-6.149377674E-3;1.219694410E-2
3.085448320E-1;2.036280930E-4;3.624466248E-3;9.142617695E-3
3.188887230E-1;-4.072375596E-4;4.235331900E-3;1.036434807E-2
3.385351410E-1;-2.850698307E-3;3.624466248E-3;1.219694410E-2
3.583962450E-1;-2.300925180E-2;-1.873320900E-3;1.647300087E-2
3.782682710E-1;-4.255694151E-2;-6.760242395E-3;2.258165181E-2
3.882769420E-1;-4.072434455E-2;5.701398477E-4;2.074905671E-2
4.087356960E-1;-1.690059900E-2;-4.316781648E-3;1.769473031E-2
4.282881340E-1;5.701415241E-3;1.217658073E-2;1.341867447E-2
4.481912440E-1;2.036217973E-2;2.378301881E-2;4.866560921E-3
4.582829290E-1;1.547525823E-2;2.256128937E-2;4.255695269E-3
4.683177710E-1;9.366605431E-3;1.034398377E-2;8.531752974E-3
4.783616920E-1;5.090549588E-3;-1.873320900E-3;1.341867447E-2
4.983281330E-1;2.036280930E-4;-4.927646834E-3;1.158607844E-2
5.182699930E-1;1.119920239E-2;1.095484942E-2;1.647300087E-2
5.382357080E-1;8.144874126E-3;1.034398377E-2;2.319251746E-2
5.582301370E-1;-4.683293402E-3;1.278744452E-2;2.869030461E-2
5.682938750E-1;-1.079194620E-2;7.900523022E-3;2.991203591E-2
5.882141790E-1;-5.294159055E-3;1.339831017E-2;3.846414760E-2
5.984928960E-1;-4.072429612E-3;1.889609732E-2;3.602068871E-2
6.182591840E-1;2.036225051E-3;3.050253727E-2;3.357722610E-2
6.382170060E-1;1.547525823E-2;2.928080596E-2;2.441424876E-2
6.482698100E-1;1.242093369E-2;2.133955806E-2;1.891646162E-2
6.682174130E-1;-2.850698307E-3;-2.484186087E-3;8.531752974E-3
6.782530130E-1;-5.294159055E-3;-1.714495197E-2;4.866560921E-3
6.882728130E-1;-4.683293402E-3;-2.264273912E-2;4.866560921E-3
7.082361630E-1;1.058833674E-2;-9.814568795E-3;3.033964895E-3
7.182608880E-1;1.852958649E-2;4.846196622E-3;-2.463822253E-3
7.282742510E-1;1.791872084E-2;1.462004147E-2;-6.129014306E-3
7.482515230E-1;8.144937456E-4;9.733118117E-3;-1.101593580E-2
7.683063410E-1;-1.873319596E-2;1.217658073E-2;4.866560921E-3
7.783654770E-1;-2.423098311E-2;2.011782862E-2;1.891646162E-2
7.982568290E-1;-1.628973335E-2;3.111340292E-2;2.685770951E-2
8.182804170E-1;-2.423098311E-2;3.416772932E-2;3.907501325E-2
8.381978140E-1;-9.570216760E-3;4.149810970E-2;4.823799431E-2
8.581796640E-1;1.119920239E-2;3.294599801E-2;4.151847586E-2
8.684561390E-1;2.219477668E-2;2.317215316E-2;3.907501325E-2
