"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
0.000000000E0;-1.542904824E-1;-9.560227394E-2;-5.050525665E-1
2.415230700E-2;7.318124175E-3;-1.422891617E-1;-4.200582504E-1
4.116996000E-2;2.081580460E-3;-1.199376583E-1;-3.721151352E-1
5.472628700E-2;-6.362907588E-4;-8.670258522E-2;-2.797574997E-1
6.648195000E-2;-1.138977706E-3;-5.239820480E-2;-1.728076935E-1
7.733828200E-2;-5.104318261E-4;-2.012419701E-2;-6.803131104E-2
8.775744800E-2;3.413157538E-5;5.261182785E-3;1.784801483E-2
9.815703100E-2;-6.160959601E-4;1.889944077E-2;6.401252747E-2
1.081783220E-1;-2.473145723E-3;3.785610199E-2;1.277971268E-1
1.183474680E-1;-4.461228848E-3;4.958605766E-2;1.658020020E-1
1.382478270E-1;-9.802609682E-3;7.970046997E-2;2.589073181E-1
1.583711670E-1;-1.058629155E-2;7.186770439E-2;2.248840332E-1
1.685928900E-1;-6.804913282E-3;5.109143257E-2;1.574611664E-1
1.886276830E-1;-3.696769476E-3;3.315162659E-2;9.987640381E-2
2.085578810E-1;-2.336993814E-3;3.106403351E-2;9.648036957E-2
2.187897470E-1;-1.926138997E-3;3.601551056E-2;1.136264801E-1
2.290041800E-1;-1.063637435E-3;2.889990807E-2;9.140396118E-2
2.390858970E-1;-6.328150630E-4;1.711630821E-2;5.356025696E-2
2.588496840E-1;-1.433014870E-3;2.213907242E-2;7.184886932E-2
2.786658810E-1;-6.307303905E-3;2.284455299E-2;9.411525726E-2
2.890402470E-1;-1.505732536E-3;1.641464233E-2;5.420684814E-2
3.089085220E-1;1.091063023E-4;-9.684562683E-4;-3.105163574E-3
3.192865680E-1;-6.971895695E-3;-3.354787827E-3;-1.986408234E-2
3.391118520E-1;3.654569387E-3;-3.808617592E-2;-1.194229126E-1
3.588639230E-1;2.958714962E-3;-3.761458397E-2;-1.156787872E-1
3.786786910E-1;-2.653449774E-3;4.781985283E-2;1.508865356E-1
3.987798830E-1;-5.803436041E-3;9.073400497E-2;2.922182083E-1
4.095332480E-1;-6.268516183E-3;9.310722351E-2;3.020296097E-1
4.287097720E-1;-6.338834763E-3;8.109688759E-2;2.661094666E-1
4.487674030E-1;-3.810167313E-3;3.844547272E-2;1.239442825E-1
4.587695080E-1;-2.608686686E-3;2.131009102E-2;6.813526154E-2
4.787830870E-1;-1.101493835E-4;1.978874207E-5;1.306533813E-4
4.890223500E-1;1.292228699E-4;-5.147457123E-4;-1.469612122E-3
5.087090480E-1;-3.991425037E-4;5.747795105E-3;1.780509949E-2
5.286244720E-1;1.722604036E-3;-1.170778275E-2;-3.685283661E-2
5.485528280E-1;-8.064210415E-4;7.519245148E-3;2.329730988E-2
5.585977210E-1;-1.050859690E-3;8.935928345E-3;2.801704407E-2
5.687701670E-1;-2.669274807E-3;3.073930740E-2;9.698677063E-2
5.885677520E-1;-1.000821590E-3;2.123093605E-2;6.706809998E-2
