"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;5.470750809E0;3.119644880E0;9.850942612E0
1.023275000E-2;5.421669960E0;2.871845007E0;9.294290543E0
3.025106200E-2;4.104858875E0;2.421735048E0;7.876923561E0
4.028778100E-2;4.134786129E0;2.613271236E0;7.241262913E0
6.034057000E-2;4.121618271E0;2.995146275E0;7.025784969E0
8.329176700E-2;2.950853586E0;2.480392933E0;7.887697697E0
9.978750000E-2;2.950853586E0;2.480392933E0;7.887697697E0
1.099175000E-1;2.552218914E0;2.311601639E0;7.741651058E0
1.298345000E-1;2.207453966E0;2.291250944E0;7.600393295E0
1.402935000E-1;2.195482969E0;2.200271368E0;8.068459511E0
1.601615000E-1;2.106897593E0;2.088941097E0;8.589199066E0
1.807865000E-1;2.105700493E0;2.110488892E0;8.452729225E0
1.932655000E-1;2.225410461E0;2.346317768E0;8.501810074E0
2.073195000E-1;2.257732153E0;2.413355350E0;9.135076523E0
2.197765000E-1;2.282871246E0;2.243366957E0;9.909601212E0
2.298745000E-1;2.128445387E0;1.960851192E0;1.037766743E1
2.499685000E-1;1.397016644E0;1.397016644E0;9.819818497E0
2.605105000E-1;1.185129881E0;1.280897856E0;9.361329079E0
2.799865000E-1;9.995791912E-1;1.331176162E0;8.801085472E0
2.902205000E-1;1.076193690E0;1.294066072E0;8.731653214E0
3.098205000E-1;1.886630893E0;1.473631144E0;9.252392769E0
3.206805000E-1;2.396595955E0;1.746570110E0;9.597157478E0
3.411625000E-1;2.893392801E0;1.928529501E0;1.058476543E1
3.597855000E-1;2.377442360E0;1.401805043E0;1.158554173E1
3.797985000E-1;1.398213744E0;1.325190663E0;9.834183693E0
3.898875000E-1;1.151610970E0;1.419761658E0;9.544485092E0
4.098365000E-1;1.509544134E0;1.341950059E0;9.473855972E0
4.200515000E-1;1.927332401E0;1.440112352E0;9.640253067E0
4.398015000E-1;1.990778685E0;1.306037068E0;9.883264542E0
4.498485000E-1;1.940500498E0;1.198297977E0;9.812635422E0
4.698255000E-1;2.425326347E0;1.648407817E0;9.734824181E0
4.906435000E-1;2.304419041E0;1.673547029E0;8.947132111E0
5.012195000E-1;1.893813491E0;1.398213744E0;8.832210541E0
5.199545000E-1;1.319205165E0;9.433154464E-1;9.338583946E0
5.398895000E-1;1.915361404E0;1.037886381E0;1.041238308E1
5.598885000E-1;2.675520420E0;1.436521053E0;1.170764637E1
5.698925000E-1;2.893392801E0;1.576581836E0;1.166335392E1
5.840535000E-1;3.063380957E0;1.722628117E0;1.130901146E1
5.998485000E-1;3.345896959E0;1.667561531E0;1.148498535E1
6.104825000E-1;3.416525841E0;1.614889026E0;1.182256794E1
6.300705000E-1;3.051409960E0;1.182735682E0;1.181179428E1
6.498035000E-1;2.717418909E0;1.064222693E0;1.121683502E1
6.598485000E-1;2.827552319E0;1.261744261E0;1.087566090E1
6.699055000E-1;2.970007181E0;1.477222443E0;1.044231033E1
6.809215000E-1;3.066972494E0;1.587355733E0;1.016099167E1
6.916775000E-1;3.056198359E0;1.590947032E0;1.012986755E1
7.111325000E-1;2.764105797E0;1.347935557E0;1.025436592E1
7.299455000E-1;2.579752445E0;1.440112352E0;9.645041466E0
7.500695000E-1;2.602497339E0;1.185129881E0;9.205705643E0
7.601845000E-1;2.682703018E0;1.107318282E0;9.337387085E0
7.798295000E-1;2.606088638E0;9.648633003E-1;9.890447617E0
7.899705000E-1;2.426523447E0;8.200140595E-1;9.769539833E0
8.098155000E-1;2.190694571E0;7.266402245E-1;9.794678688E0
8.202485000E-1;2.171540976E0;6.512228847E-1;9.728838921E0
8.409765000E-1;2.220622063E0;6.009446383E-1;9.622296333E0
8.598445000E-1;2.327163935E0;7.649474144E-1;9.573215485E0
8.699325000E-1;2.207453966E0;6.907271743E-1;9.405621529E0
8.899275000E-1;2.146401882E0;8.990227580E-1;9.060855865E0
