"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.094505940E1;6.960922400E0;4.475274797E1;0.000000000E0;0.000000000E0;1.998699951E1;2.000000000E0
7.584372859E0;5.094482924E1;6.960461559E0;2.252577298E0;1.509999990E0;2.601000061E2;2.050000000E1;1.000000000E2
8.286329858E0;5.094494035E1;6.960452842E0;-5.747181811E0;1.230000019E0;1.736000061E2;2.150000000E1;1.000000000E2
9.268977089E0;5.094500463E1;6.960501205E0;1.252920963E0;1.259999990E0;1.423999939E2;2.000000000E1;1.000000000E2
1.028475155E1;5.094510316E1;6.960542947E0;1.325310067E1;1.519999981E0;8.900000000E1;1.650000000E1;1.000000000E2
1.129537809E1;5.094516829E1;6.960578403E0;2.625321406E1;1.490000010E0;5.490000153E1;1.450000000E1;1.000000000E2
1.231852543E1;5.094518174E1;6.960616624E0;3.125321630E1;1.559999943E0;3.959999847E1;1.400000000E1;1.000000000E2
1.330841882E1;5.094521607E1;6.960669346E0;3.525325271E1;2.440000057E0;3.209999847E1;1.300000000E1;1.000000000E2
1.428956285E1;5.094524582E1;6.960724499E0;4.125327781E1;2.529999971E0;2.789999962E1;1.100000000E1;1.000000000E2
1.528419562E1;5.094527814E1;6.960776886E0;4.525331020E1;2.960000038E0;2.689999962E1;1.100000000E1;1.000000000E2
1.630493331E1;5.094531024E1;6.960838074E0;4.825333611E1;3.179999828E0;2.110000038E1;9.500000000E0;1.000000000E2
1.728843285E1;5.094535466E1;6.960916361E0;5.325337634E1;3.089999914E0;2.020000076E1;8.500000000E0;1.000000000E2
1.828680366E1;5.094541111E1;6.960994648E0;5.625344200E1;2.349999905E0;1.860000038E1;6.000000000E0;1.000000000E2
1.929088700E1;5.094544007E1;6.961043933E0;5.225346942E1;2.490000010E0;1.119999981E1;5.500000000E0;1.000000000E2
2.028776293E1;5.094546442E1;6.961081903E0;5.125349486E1;2.950000048E0;3.400000095E0;5.500000000E0;1.000000000E2
2.128721508E1;5.094548672E1;6.961097913E0;4.925353101E1;3.359999895E0;3.200000048E0;5.500000000E0;1.000000000E2
2.229625366E1;5.094550914E1;6.961112749E0;4.925356824E1;3.470000029E0;4.800000191E0;5.500000000E0;1.000000000E2
2.330871962E1;5.094553119E1;6.961121298E0;4.825360897E1;1.569999933E0;4.400000095E0;6.000000000E0;1.000000000E2
2.430862177E1;5.094554145E1;6.961136470E0;4.525362028E1;1.309999943E0;9.800000191E0;6.000000000E0;1.000000000E2
2.530683508E1;5.094554464E1;6.961147701E0;4.225361931E1;3.799999952E-1;1.089999962E1;6.000000000E0;1.000000000E2
2.628558804E1;5.094555093E1;6.961155413E0;4.125362731E1;7.400000095E-1;1.829999924E1;6.500000000E0;1.000000000E2
2.730002061E1;5.094555675E1;6.961169243E0;4.025363013E1;9.899999499E-1;3.129999924E1;7.000000000E0;1.000000000E2
2.830455934E1;5.094557465E1;6.961187599E0;4.025365538E1;1.360000014E0;2.720000076E1;7.000000000E0;1.000000000E2
2.929755665E1;5.094559057E1;6.961199418E0;4.025368094E1;8.999999762E-1;2.810000038E1;7.000000000E0;1.000000000E2
3.030359238E1;5.094560344E1;6.961204279E0;3.925370480E1;1.169999957E0;1.679999924E1;6.500000000E0;1.000000000E2
3.129652876E1;5.094562498E1;6.961216182E0;3.825374218E1;1.669999957E0;1.330000019E1;7.000000000E0;1.000000000E2
3.228509692E1;5.094565205E1;6.961228587E0;3.925379090E1;1.779999971E0;1.030000019E1;6.500000000E0;1.000000000E2
3.329235484E1;5.094567116E1;6.961237723E0;3.825382503E1;1.299999952E0;1.600000024E0;6.500000000E0;1.000000000E2
3.428971138E1;5.094569141E1;6.961252643E0;3.825385759E1;1.459999919E0;1.339999962E1;6.000000000E0;1.000000000E2
3.528698384E1;5.094571689E1;6.961271837E0;4.025389829E1;1.110000014E0;2.160000038E1;6.000000000E0;1.000000000E2
3.630050588E1;5.094574161E1;6.961285919E0;4.125394090E1;1.120000005E0;2.270000076E1;6.500000000E0;1.000000000E2
3.728551026E1;5.094576994E1;6.961292289E0;4.325399642E1;1.649999976E0;1.310000038E1;6.000000000E0;1.000000000E2
3.828967830E1;5.094580012E1;6.961300587E0;4.525405452E1;1.259999990E0;2.200000048E0;6.000000000E0;1.000000000E2
3.929077995E1;5.094581064E1;6.961355573E0;4.425403903E1;1.259999990E0;1.870000076E1;5.500000000E0;1.000000000E2
4.030573164E1;5.094582380E1;6.961409384E0;4.525402993E1;1.309999943E0;4.370000076E1;5.000000000E0;1.000000000E2
4.128706260E1;5.094583402E1;6.961453976E0;4.525402096E1;1.049999952E0;5.950000000E1;5.000000000E0;1.000000000E2
4.230618872E1;5.094584056E1;6.961492701E0;4.325400821E1;1.220000029E0;7.400000000E1;5.000000000E0;1.000000000E2
4.332234537E1;5.094584542E1;6.961532766E0;4.225399100E1;1.759999990E0;8.900000000E1;5.000000000E0;1.000000000E2
4.430080826E1;5.094584492E1;6.961563360E0;4.125396895E1;1.480000019E0;1.034000015E2;5.000000000E0;1.000000000E2
4.529933668E1;5.094584559E1;6.961602839E0;4.025394328E1;1.719999909E0;1.058000031E2;5.000000000E0;1.000000000E2
4.631753995E1;5.094584404E1;6.961641228E0;3.925391367E1;1.750000000E0;1.125999985E2;5.000000000E0;1.000000000E2
4.730456195E1;5.094583620E1;6.961682048E0;3.925386910E1;2.289999962E0;1.200000000E2;5.000000000E0;1.000000000E2
4.830295514E1;5.094582267E1;6.961731920E0;3.925380627E1;2.339999914E0;1.254000015E2;5.000000000E0;1.000000000E2
4.929287260E1;5.094581114E1;6.961768465E0;3.925375684E1;1.679999948E0;1.286999969E2;5.000000000E0;1.000000000E2
5.030161156E1;5.094580490E1;6.961805848E0;3.825371799E1;1.799999952E0;1.264000015E2;4.500000000E0;1.000000000E2
5.131495610E1;5.094579475E1;6.961849015E0;3.925366694E1;1.759999990E0;1.215000000E2;5.000000000E0;1.000000000E2
5.229133448E1;5.094578528E1;6.961884387E0;3.825362265E1;1.709999919E0;1.200999985E2;5.000000000E0;1.000000000E2
5.330887360E1;5.094577237E1;6.961921770E0;3.825356973E1;2.309999943E0;1.318999939E2;4.500000000E0;1.000000000E2
5.431252706E1;5.094575771E1;6.961961500E0;3.925351147E1;2.200000048E0;1.326999969E2;5.000000000E0;1.000000000E2
5.530153313E1;5.094573654E1;6.962003494E0;3.925343793E1;2.409999847E0;1.365000000E2;5.000000000E0;1.000000000E2
5.629602748E1;5.094572053E1;6.962042050E0;3.925337764E1;2.349999905E0;1.343000031E2;5.000000000E0;1.000000000E2
5.729740855E1;5.094570938E1;6.962081697E0;3.925332688E1;2.399999857E0;1.353999939E2;5.000000000E0;1.000000000E2
5.830233252E1;5.094569694E1;6.962119332E0;3.925327475E1;2.429999828E0;1.453000031E2;4.500000000E0;1.000000000E2
5.930081032E1;5.094568357E1;6.962154033E0;3.925322269E1;1.939999938E0;1.421999969E2;4.500000000E0;1.000000000E2
6.030320605E1;5.094567250E1;6.962186722E0;4.025317689E1;1.759999990E0;1.458999939E2;4.500000000E0;1.000000000E2
6.130689763E1;5.094566140E1;6.962220250E0;4.025313041E1;2.039999962E0;1.441999969E2;4.000000000E0;1.000000000E2
6.230849524E1;5.094564686E1;6.962256124E0;4.025307507E1;1.799999952E0;1.426999969E2;4.000000000E0;1.000000000E2
6.329432401E1;5.094563919E1;6.962287808E0;4.025303713E1;1.399999976E0;1.383000031E2;3.500000000E0;1.000000000E2
6.430616778E1;5.094563558E1;6.962322677E0;4.025300559E1;1.519999981E0;1.331999969E2;4.000000000E0;1.000000000E2
6.531637740E1;5.094562779E1;6.962357713E0;4.025296508E1;1.589999914E0;1.353000031E2;4.500000000E0;1.000000000E2
6.630061070E1;5.094561622E1;6.962387552E0;4.025292017E1;1.719999909E0;1.343999939E2;4.000000000E0;1.000000000E2
6.728997966E1;5.094561224E1;6.962427786E0;4.025288416E1;1.759999990E0;1.368000031E2;4.500000000E0;1.000000000E2
6.828807820E1;5.094560025E1;6.962460224E0;4.025283658E1;1.569999933E0;1.348999939E2;4.500000000E0;1.000000000E2
6.929542043E1;5.094559610E1;6.962492662E0;4.025280556E1;1.500000000E0;1.255000000E2;4.500000000E0;1.000000000E2
7.029616993E1;5.094559493E1;6.962523926E0;4.025278163E1;1.279999971E0;1.149000015E2;4.500000000E0;1.000000000E2
7.130070347E1;5.094559053E1;6.962562064E0;4.025274617E1;1.389999986E0;1.143000031E2;4.500000000E0;1.000000000E2
7.229450558E1;5.094558998E1;6.962599279E0;4.025271950E1;1.559999943E0;1.051999969E2;4.500000000E0;1.000000000E2
7.331590477E1;5.094558558E1;6.962637920E0;4.025268369E1;1.839999914E0;1.128000031E2;4.500000000E0;1.000000000E2
7.429968089E1;5.094558320E1;6.962689636E0;4.025264317E1;2.029999971E0;1.124000015E2;4.500000000E0;1.000000000E2
7.528650358E1;5.094557808E1;6.962731965E0;3.925260333E1;1.860000014E0;1.171999969E2;4.000000000E0;1.000000000E2
7.630352285E1;5.094555872E1;6.962778904E0;3.925253022E1;2.619999886E0;1.159000015E2;4.000000000E0;1.000000000E2
7.729663996E1;5.094553697E1;6.962828273E0;3.925245039E1;2.419999838E0;1.185999985E2;4.000000000E0;1.000000000E2
7.830652127E1;5.094551748E1;6.962871691E0;4.025237943E1;2.200000048E0;1.124000015E2;3.000000000E0;1.000000000E2
7.930133500E1;5.094552008E1;6.962917875E0;4.025235324E1;2.349999905E0;8.480000305E1;4.000000000E0;1.000000000E2
8.028867165E1;5.094552532E1;6.962960875E0;3.925233482E1;1.919999957E0;6.459999847E1;3.500000000E0;1.000000000E2
8.130286596E1;5.094551937E1;6.963003036E0;3.925229333E1;1.939999938E0;6.990000153E1;3.500000000E0;1.000000000E2
8.231378511E1;5.094549959E1;6.963050980E0;3.925221864E1;2.419999838E0;1.023000031E2;3.500000000E0;1.000000000E2
8.331591592E1;5.094547343E1;6.963091549E0;4.025213556E1;2.259999990E0;1.340000000E2;3.500000000E0;1.000000000E2
8.428836904E1;5.094544049E1;6.963123484E0;4.025204405E1;2.779999971E0;1.566999969E2;3.500000000E0;1.000000000E2
8.530829261E1;5.094541807E1;6.963151144E0;4.125197770E1;1.990000010E0;1.590000000E2;3.000000000E0;1.000000000E2
8.629887476E1;5.094539858E1;6.963183498E0;4.125191434E1;2.099999905E0;1.453999939E2;3.000000000E0;1.000000000E2
8.731189322E1;5.094538651E1;6.963211158E0;4.125186986E1;5.799999833E-1;1.461000061E2;3.000000000E0;1.000000000E2
8.829942026E1;5.094537993E1;6.963232532E0;4.225184130E1;9.300000072E-1;1.290000000E2;3.000000000E0;1.000000000E2
8.929652138E1;5.094538304E1;6.963270670E0;4.225182170E1;2.789999962E0;8.319999695E1;3.000000000E0;1.000000000E2
9.031170780E1;5.094538454E1;6.963322805E0;4.225178913E1;2.639999866E0;7.640000153E1;3.000000000E0;1.000000000E2
9.131501449E1;5.094537696E1;6.963364882E0;4.225174425E1;2.119999886E0;8.050000000E1;3.000000000E0;1.000000000E2
9.229481768E1;5.094536765E1;6.963407798E0;4.225169516E1;2.149999857E0;9.780000305E1;3.000000000E0;1.000000000E2
9.329743861E1;5.094536191E1;6.963448618E0;4.225165503E1;2.500000000E0;9.490000153E1;3.000000000E0;1.000000000E2
9.428650599E1;5.094535517E1;6.963494886E0;4.225160904E1;2.549999952E0;9.730000305E1;3.000000000E0;1.000000000E2
9.530888053E1;5.094534729E1;6.963543082E0;4.225155934E1;2.679999828E0;9.159999847E1;3.000000000E0;1.000000000E2
9.628917206E1;5.094534687E1;6.963590272E0;4.125152610E1;2.529999971E0;8.900000000E1;2.500000000E0;1.000000000E2
9.729750495E1;5.094534582E1;6.963632433E0;4.125149497E1;2.730000019E0;8.580000305E1;3.000000000E0;1.000000000E2
