"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
7.838850000E-2;-4.660901725E-1;-2.568077445E-1;-8.626394868E-1
9.819250000E-2;-6.224716902E-1;-3.924198449E-1;-9.603779316E-1
1.181565000E-1;-5.161811113E-1;-7.253413796E-1;-9.958080649E-1
1.283355000E-1;-4.795292020E-1;-9.409768581E-1;-9.958080649E-1
1.482045000E-1;-4.300491214E-1;-1.271454930E0;-9.860342741E-1
1.682665000E-1;-4.282165170E-1;-1.289780855E0;-9.420519471E-1
1.783815000E-1;-4.813618064E-1;-1.258626819E0;-9.096760750E-1
1.982515000E-1;-6.786713004E-1;-1.144394994E0;-8.455352783E-1
2.181505000E-1;-9.413433075E-1;-9.299812317E-1;-8.980696797E-1
2.283865000E-1;-9.040805697E-1;-8.829446435E-1;-9.310563803E-1
2.481595000E-1;-7.360926270E-1;-7.381695509E-1;-9.316672683E-1
2.585955000E-1;-6.872233748E-1;-7.265631557E-1;-8.791328669E-1
2.689485000E-1;-6.579018831E-1;-7.760432363E-1;-8.101050854E-1
2.884445000E-1;-6.560692787E-1;-9.458637834E-1;-6.897646189E-1
2.985325000E-1;-6.823364496E-1;-1.034439206E0;-6.237911582E-1
3.183225000E-1;-7.452555895E-1;-1.099190950E0;-5.425460935E-1
3.286775000E-1;-7.953465581E-1;-1.053986907E0;-5.517090559E-1
3.481465000E-1;-8.484917879E-1;-8.438492417E-1;-6.366193295E-1
3.582755000E-1;-7.843509912E-1;-6.495941281E-1;-6.683843136E-1
3.781645000E-1;-6.346889734E-1;-2.439795732E-1;-6.335650086E-1
3.981145000E-1;-7.275404930E-1;2.296853438E-2;-5.071159005E-1
4.081775000E-1;-8.277223706E-1;9.260717034E-2;-4.319794774E-1
4.182585000E-1;-8.918632269E-1;5.656612292E-2;-3.244671822E-1
4.381245000E-1;-7.061601877E-1;-1.633453667E-1;-3.232454658E-1
4.481545000E-1;-5.931501389E-1;-2.299296707E-1;-3.189693987E-1
4.581835000E-1;-5.180137157E-1;-2.427578419E-1;-3.067521155E-1
4.782635000E-1;-5.626068711E-1;1.060461998E-1;-3.195802867E-1
4.983215000E-1;-9.053022861E-1;5.312083960E-1;-3.104172945E-1
5.181475000E-1;-1.179580808E0;5.684711933E-1;-1.851899028E-1
5.281775000E-1;-1.170417786E0;3.986506462E-1;-1.271577030E-1
5.390325000E-1;-1.065348983E0;1.188743860E-1;-8.989492804E-2
5.584965000E-1;-6.554583907E-1;-4.125784039E-1;-1.222707778E-1
5.831995000E-1;-3.995058537E-1;-4.718323350E-1;-2.035158575E-1
5.982495000E-1;-5.552765131E-1;-1.126435548E-1;-2.322265357E-1
6.082655000E-1;-7.305948138E-1;2.941927016E-1;-2.829283476E-1
