"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
6.034057000E-2;-5.356311798E-1;-3.893001080E-1;-9.131026268E-1
8.329176700E-2;-3.453214169E-1;-2.902646065E-1;-9.230389595E-1
9.978750000E-2;-3.453972340E-1;-2.900359631E-1;-9.230828285E-1
1.099175000E-1;-4.017505646E-1;-3.638706207E-1;-1.218611240E0
1.298345000E-1;-4.198479652E-1;-4.358108044E-1;-1.445645332E0
1.402935000E-1;-2.945797443E-1;-2.952218056E-1;-1.082633018E0
1.601615000E-1;-1.668233871E-1;-1.653900146E-1;-6.800279617E-1
1.807865000E-1;-1.981568336E-1;-1.986558437E-1;-7.955398560E-1
1.932655000E-1;-1.738493443E-1;-1.833257675E-1;-6.641511917E-1
2.073195000E-1;-2.142095566E-2;-2.289628983E-2;-8.666515350E-2
2.197765000E-1;1.330685616E-1;1.307663918E-1;5.776309967E-1
2.298745000E-1;1.910308599E-1;1.759892702E-1;9.314470291E-1
2.499685000E-1;2.928555012E-2;2.928316593E-2;2.058181763E-1
2.605105000E-1;-3.536820412E-2;-3.820884228E-2;-2.792482376E-1
2.799865000E-1;-9.475982189E-2;-1.263071299E-1;-8.347101212E-1
2.902205000E-1;-1.105765104E-1;-1.328260899E-1;-8.977785110E-1
3.098205000E-1;-4.926908016E-2;-3.848302364E-2;-2.416152954E-1
3.206805000E-1;5.684328079E-2;4.142582417E-2;2.276096344E-1
3.411625000E-1;3.466196060E-1;2.310291529E-1;1.267961502E0
3.597855000E-1;4.198127985E-1;2.475336790E-1;2.045848846E0
3.797985000E-1;2.990603447E-2;2.837085724E-2;2.104434967E-1
3.898875000E-1;-1.050949097E-2;-1.295340061E-2;-8.708763123E-2
4.098365000E-1;-1.868093014E-2;-1.660776138E-2;-1.172456741E-1
4.200515000E-1;2.507209778E-2;1.873683929E-2;1.254491806E-1
4.398015000E-1;7.034671307E-2;4.614531994E-2;3.493776321E-1
4.498485000E-1;5.151307583E-2;3.180527687E-2;2.605981827E-1
4.698255000E-1;8.594727516E-2;5.841672421E-2;3.449554443E-1
4.906435000E-1;-1.023831367E-1;-7.435679436E-2;-3.975200653E-1
5.012195000E-1;-1.379970312E-1;-1.018868685E-1;-6.436443329E-1
