"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;-1.119289279E0;3.718195200E0;8.730456352E0
1.006087500E-2;-1.183932781E0;3.677493811E0;8.743624687E0
2.015981200E-2;-1.134851575E0;3.655946016E0;8.854954720E0
3.021328100E-2;-9.911994934E-1;3.582922935E0;9.039308548E0
5.005413200E-2;-7.613561153E-1;3.263296843E0;9.720458984E0
6.996009500E-2;-4.644751251E-1;3.263296843E0;9.882067680E0
9.008258600E-2;-6.021417379E-1;3.359065056E0;9.336189270E0
1.100859590E-1;-5.722141862E-1;3.354276657E0;8.710105896E0
1.298740520E-1;-5.949591398E-1;3.354276657E0;8.953117371E0
1.407194010E-1;-5.698199868E-1;3.302801132E0;8.998606682E0
1.600714120E-1;-3.974374831E-1;3.205836058E0;9.281123161E0
1.799684150E-1;-3.268085420E-1;3.083731890E0;9.829395294E0
1.998794160E-1;-3.699041605E-1;3.148375273E0;9.668983459E0
2.098865830E-1;-5.027823448E-1;3.193865061E0;9.348160744E0
2.199201660E-1;-5.231330991E-1;3.210624456E0;8.833407402E0
2.299314580E-1;-1.452083349E0;3.074155092E0;8.333019257E0
2.499609270E-1;-2.166752517E-1;3.555389643E0;8.825027466E0
2.699017940E-1;-3.220201433E-1;3.069366693E0;9.319430351E0
2.800357720E-1;-7.481880188E-1;2.941276789E0;9.138668060E0
2.901997610E-1;-1.064222693E0;3.141192675E0;9.716867447E0
3.100502520E-1;-6.308721304E-1;3.235763550E0;9.166201591E0
3.203900010E-1;-6.811503768E-1;3.081337690E0;9.176975250E0
3.403318120E-1;-7.984662652E-1;3.104082584E0;8.283937454E0
3.601440150E-1;-7.900865674E-1;3.215412855E0;8.014590263E0
3.800115660E-1;-1.000776291E0;3.228580952E0;8.908824921E0
3.902156580E-1;-1.505952835E0;3.179499865E0;9.485827446E0
4.099402270E-1;-1.499967337E0;3.027467966E0;1.037407589E1
4.299346190E-1;-8.918401599E-1;2.867056608E0;1.184650993E1
4.498682170E-1;-1.113303825E-1;2.764105797E0;1.301009178E1
4.599584830E-1;1.004367590E0;2.631227732E0;1.149695683E1
4.799089330E-1;9.552865028E-1;1.533486247E0;5.887341976E0
4.998660450E-1;-1.107318282E0;3.902548790E0;6.829460144E0
5.199553230E-1;-6.224924326E-1;1.900996208E0;6.058527470E0
5.300020360E-1;-1.327584863E0;1.933317900E0;7.329848289E0
5.499028210E-1;-1.960851192E0;3.038241863E0;1.236605167E1
5.699355170E-1;-1.418564558E0;3.223792553E0;1.308431244E1
5.898561910E-1;-1.047463298E0;3.165134668E0;1.141435623E1
6.000004700E-1;-8.750807047E-1;2.989160776E0;1.054047298E1
6.199136800E-1;-3.495534360E-1;2.904166698E0;9.566033363E0
6.300037150E-1;-7.805097699E-1;3.100491285E0;1.072722054E1
6.400767320E-1;-9.552865028E-1;3.751713991E0;8.192957878E0
6.501207410E-1;-9.002198577E-1;2.798821688E0;8.251616478E0
6.700214970E-1;-2.255337954E0;2.954444885E0;9.841365814E0
6.899594360E-1;-3.155557871E0;4.327519417E0;1.007360363E1
