"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.095785970E1;6.976160800E0;4.646925798E1;0.000000000E0;0.000000000E0;4.997399902E1;2.000000000E0
1.937425169E1;5.095711912E1;6.976975501E0;4.326713749E1;1.500000000E0;2.751000061E2;7.000000000E0;1.000000000E2
2.039369492E1;5.095704855E1;6.976918001E0;4.326702864E1;3.279999971E0;2.448999939E2;7.000000000E0;1.000000000E2
2.137542923E1;5.095706259E1;6.976865362E0;4.226709463E1;2.929999828E0;2.301000061E2;7.000000000E0;1.000000000E2
2.238870996E1;5.095707214E1;6.976880198E0;4.526710449E1;2.779999971E0;2.278000031E2;6.500000000E0;1.000000000E2
2.339738646E1;5.095704457E1;6.976832338E0;4.526707952E1;2.859999895E0;2.286999969E2;5.000000000E0;1.000000000E2
2.438532130E1;5.095702994E1;6.976788417E0;4.426707911E1;2.869999886E0;2.361999969E2;4.500000000E0;1.000000000E2
2.537955380E1;5.095701938E1;6.976751788E0;4.226708221E1;2.609999895E0;2.388999939E2;4.500000000E0;1.000000000E2
2.639681150E1;5.095700517E1;6.976717003E0;4.226707635E1;2.769999981E0;2.326000061E2;4.000000000E0;1.000000000E2
2.740084934E1;5.095698120E1;6.976688337E0;4.226704570E1;2.769999981E0;2.270000000E2;4.000000000E0;1.000000000E2
2.837536176E1;5.095695773E1;6.976652211E0;4.126702126E1;3.000000000E0;2.231000061E2;4.000000000E0;1.000000000E2
2.938071688E1;5.095694160E1;6.976619940E0;4.026700960E1;2.879999876E0;2.266000061E2;3.500000000E0;1.000000000E2
3.038153357E1;5.095692978E1;6.976580210E0;3.926701220E1;2.849999905E0;2.383999939E2;3.500000000E0;1.000000000E2
3.138101541E1;5.095692156E1;6.976541989E0;3.826702134E1;2.899999857E0;2.430000000E2;3.500000000E0;1.000000000E2
3.238157003E1;5.095691159E1;6.976503851E0;3.826702671E1;2.950000048E0;2.408999939E2;3.500000000E0;1.000000000E2
3.339286380E1;5.095689964E1;6.976461019E0;3.726703119E1;3.069999933E0;2.415000000E2;3.500000000E0;1.000000000E2
3.438971649E1;5.095688757E1;6.976417601E0;3.626703580E1;3.139999866E0;2.455000000E2;3.500000000E0;1.000000000E2
3.538368841E1;5.095687664E1;6.976377452E0;3.526704054E1;2.939999819E0;2.418000031E2;3.500000000E0;1.000000000E2
3.639156426E1;5.095686909E1;6.976337554E0;3.526705225E1;2.929999828E0;2.428999939E2;3.500000000E0;1.000000000E2
3.739819922E1;5.095685346E1;6.976300506E0;3.526704495E1;3.289999962E0;2.331000061E2;3.500000000E0;1.000000000E2
3.840219472E1;5.095683821E1;6.976266056E0;3.526703665E1;2.990000010E0;2.336000061E2;3.500000000E0;1.000000000E2
3.938271891E1;5.095682153E1;6.976228422E0;3.526702755E1;3.240000010E0;2.343000031E2;3.500000000E0;1.000000000E2
4.039091722E1;5.095680585E1;6.976191457E0;3.526702010E1;3.189999819E0;2.341000061E2;3.500000000E0;1.000000000E2
4.139561079E1;5.095679051E1;6.976154661E0;3.526701325E1;3.049999952E0;2.356000061E2;3.000000000E0;1.000000000E2
