"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
7.517875000E-2;-1.043235511E-1;6.010912359E-3;2.027706057E-1
9.603875000E-2;8.076861501E-2;1.385686696E-1;1.850555092E-1
1.149337500E-1;3.984064236E-2;1.324600130E-1;2.064357996E-1
1.249807500E-1;-4.079357162E-2;6.343224645E-2;2.204857022E-1
1.450107500E-1;-1.800708473E-1;-5.385388434E-2;1.997162849E-1
1.648677500E-1;-2.564289868E-1;-1.094426140E-1;1.648969650E-1
1.749987500E-1;-2.759766877E-1;-1.332663596E-1;1.722273380E-1
1.950197500E-1;-2.191662192E-1;-8.928406239E-2;1.618426293E-1
2.176947500E-1;-2.919927239E-3;3.227812052E-2;9.098227322E-2
2.352247500E-1;-7.011510432E-2;1.257404983E-1;1.551231146E-1
2.548287500E-1;-1.489167213E-1;1.721662581E-1;3.609847128E-1
2.648557500E-1;-1.421972066E-1;8.725599200E-2;3.444913626E-1
2.750067500E-1;-1.501384526E-1;-6.362772733E-2;3.060068488E-1
2.851527500E-1;-1.556362361E-1;-1.919094324E-1;2.663006186E-1
3.049557500E-1;-1.116539389E-1;-2.511633635E-1;1.838337779E-1
3.150427500E-1;-9.149538726E-2;-1.552575231E-1;1.826120466E-1
3.349377500E-1;-7.316942513E-2;-1.015013680E-1;3.414370418E-1
3.459017500E-1;-7.011510432E-2;-8.195368201E-2;4.135191441E-1
3.653637500E-1;-2.246640176E-1;2.167594135E-1;4.984293878E-1
3.761417500E-1;-3.779911995E-1;2.967827618E-1;5.369139314E-1
3.949907500E-1;-5.551421046E-1;-8.867319673E-2;4.080213308E-1
4.151417500E-1;-7.420668602E-1;-5.596503019E-1;3.762563467E-1
4.348507500E-1;-8.214793801E-1;-8.082724214E-1;6.743586063E-1
4.450527500E-1;-6.614326835E-1;-7.062579393E-1;7.598797083E-1
4.649067500E-1;6.549698114E-2;-4.350337982E-1;8.356270194E-1
4.750067500E-1;4.778310061E-1;-4.490837157E-1;7.598797083E-1
4.956507500E-1;5.535783172E-1;1.239079013E-1;4.843795002E-1
5.149427500E-1;5.407501459E-1;1.150869951E-2;3.133372366E-1
5.348937500E-1;-7.255856693E-2;-5.535416007E-1;4.110756814E-1
5.449327500E-1;-6.504371166E-1;-6.109629869E-1;5.430225730E-1
5.648997500E-1;-1.070101500E0;-6.653299928E-1;7.519384623E-1
5.749597500E-1;-8.123163581E-1;-6.714386344E-1;8.111923933E-1
5.850897500E-1;-4.164757133E-1;-6.769363880E-1;8.606724739E-1
6.049057500E-1;2.121046484E-1;-3.098064363E-1;8.759441376E-1
6.150077500E-1;3.361102939E-1;3.838676959E-2;8.857179880E-1
6.250477500E-1;4.143010378E-1;6.358129978E-1;8.001968265E-1
6.351517500E-1;4.069706500E-1;1.076246738E0;7.366668582E-1
6.551097500E-1;-4.519058764E-1;2.156256676E0;4.006909728E-1
6.757287500E-1;-2.100032419E-1;1.418942213E0;-5.501452088E-2
6.953337500E-1;4.588941932E-1;9.168109894E-1;6.043900549E-2
7.149577500E-1;6.042801142E-1;6.248174310E-1;7.140648365E-1
7.253807500E-1;2.634173036E-1;5.643417835E-1;1.050040603E0
7.449707500E-1;-9.509828091E-1;1.120839953E0;1.664571047E0
7.649137500E-1;-2.238686562E0;1.443376780E0;2.236951828E0
7.749947500E-1;-2.414005041E0;1.646794915E0;2.344464064E0
7.949837500E-1;-1.169061661E0;8.172399998E-1;-1.185445115E-1
8.151917500E-1;2.640281916E-1;-7.160317898E-1;7.372776866E-1
