"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
6.996009500E-2;-2.721402049E-2;1.912956238E-1;5.792722702E-1
9.008258600E-2;-8.087873459E-3;4.516625404E-2;1.255674362E-1
1.100859590E-1;2.785331011E-2;-1.633977890E-1;-4.242401123E-1
1.298740520E-1;1.413959265E-2;-7.957053185E-2;-2.124757767E-1
1.407194010E-1;1.211088896E-2;-7.020640373E-2;-1.913099289E-1
1.600714120E-1;-8.540749550E-4;6.727933884E-3;1.943778992E-2
1.799684150E-1;2.971261740E-2;4.941821098E-2;5.107994080E-1
1.998794160E-1;-1.338300109E-2;1.140615940E-1;3.503875732E-1
2.098865830E-1;-4.314392805E-3;2.739691734E-2;8.018398285E-2
2.199201660E-1;2.185070515E-2;-1.341218948E-1;-3.690948486E-1
2.299314580E-1;1.301617622E-1;-2.755672932E-1;-7.469730377E-1
2.499609270E-1;6.599366665E-3;-1.082978249E-1;-2.688131332E-1
2.699017940E-1;-3.458559513E-4;3.280639648E-3;9.970664978E-3
2.800357720E-1;1.376599073E-2;-5.412817001E-2;-1.681776047E-1
2.901997610E-1;-4.772424698E-2;1.409265995E-1;4.359455109E-1
3.100502520E-1;5.744946003E-2;1.219470501E-1;-1.074571609E-1
3.203900010E-1;7.171213627E-3;-3.247880936E-2;-9.668350220E-2
3.403318120E-1;8.309376240E-2;-3.230113983E-1;-8.620052338E-1
3.601440150E-1;1.034479737E-1;-4.208703041E-1;-1.049041748E0
3.800115660E-1;2.922034264E-2;-9.424209595E-2;-2.600536346E-1
3.902156580E-1;-4.622280598E-2;9.760236740E-2;2.911834717E-1
4.099402270E-1;-1.517554522E-1;3.062834740E-1;1.049491882E0
4.299346190E-1;-1.761988997E-1;5.664274693E-1;2.340440750E0
4.498682170E-1;-2.923376858E-2;7.261538506E-1;3.417886734E0
4.599584830E-1;1.722676158E-1;4.513044357E-1;1.971940994E0
4.799089330E-1;-5.659255981E-1;-9.084714651E-1;-3.487792492E0
4.998660450E-1;2.597422600E-1;-9.154067039E-1;-1.601959229E0
5.199553230E-1;3.343051076E-1;-1.020917892E0;-3.253687382E0
5.300020360E-1;3.641098738E-1;-5.302534103E-1;-2.010354042E0
5.499028210E-1;-4.683092833E-1;7.256429195E-1;2.953581810E0
5.699355170E-1;-3.919022083E-1;8.906228542E-1;3.614747047E0
5.898561910E-1;-1.836270094E-1;5.548694134E-1;2.001030922E0
6.000004700E-1;-9.426438808E-2;3.221349716E-1;1.135809898E0
6.199136800E-1;-6.857663393E-3;5.709314346E-2;1.880207062E-1
6.300037150E-1;-9.671103954E-2;3.841516972E-1;1.329118729E0
6.400767320E-1;7.854521275E-2;-3.084714413E-1;-6.736345291E-1
6.501207410E-1;1.075889468E-1;-3.344979286E-1;-9.861879349E-1
6.700214970E-1;-1.529088020E-1;2.003052235E-1;6.672229767E-1
6.899594360E-1;-4.431533813E-1;6.077394485E-1;1.414707184E0
7.099249210E-1;-3.797473907E-1;-2.720922232E-1;-1.393813133E0
7.298520420E-1;-5.600526333E-1;-1.398867846E0;-3.029831886E0
7.499528230E-1;1.594004631E-1;-5.058877468E-1;-1.294907093E0
7.601917860E-1;-4.056301117E-1;1.066191196E0;1.909102440E0
7.800842590E-1;-6.360573769E-1;1.897147894E-1;6.566629410E-1
7.902535040E-1;-1.502056122E-1;1.499089003E-1;8.564672470E-1
8.099631880E-1;-7.983118296E-3;-5.792093277E-2;-2.825908661E-1
8.299166090E-1;6.775784492E-2;-1.588554382E-1;-4.777336121E-1
8.498782140E-1;5.877900124E-2;-1.689500809E-1;-4.343662262E-1
8.599469820E-1;5.543917418E-2;-3.417236805E-1;-9.037952423E-1
8.799710580E-1;8.531354368E-3;-1.919178963E-1;-8.737773895E-1
8.900199040E-1;-1.601552963E-1;1.082346439E-1;7.185525894E-1
9.099890380E-1;-6.007671356E-2;-3.589344025E-2;-4.519157410E-1
9.200313940E-1;-4.890489578E-2;-3.345417976E-2;-2.047195435E-1
9.304590720E-1;1.408614874E0;3.600846529E-1;5.273947716E0
9.500485800E-1;8.184227943E-1;2.822757959E-1;1.442938805E0
9.698919570E-1;7.676500082E-2;6.356539726E-1;1.741808891E0
9.804033530E-1;-5.577702075E-3;4.196434021E-1;9.938793182E-1
1.000100900E0;-2.547189593E-3;2.389166355E-1;7.395267487E-1
1.020033787E0;1.939930916E-1;3.248744011E-1;8.731813431E-1
1.040013259E0;-1.479989290E-2;-4.557275772E-2;-1.584663391E-1
1.050195004E0;-4.473602772E-2;-2.248816490E-1;-7.606372833E-1
1.070032063E0;-7.564998865E-1;-7.894577980E-1;-3.465822220E0
1.080326406E0;5.938899517E-2;-7.403192520E-1;-4.874418736E0
