"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;8.259996027E-2;3.236960649E0;9.209297180E0
1.282288900E-2;3.411737382E-1;3.203441858E0;9.589975357E0
2.392183300E-2;4.333505034E-1;3.439270735E0;9.674968719E0
3.446780500E-2;4.213795066E-1;3.445256233E0;9.521739960E0
4.475779100E-2;3.651157618E-1;3.314772367E0;9.392453194E0
5.534128400E-2;3.507505357E-1;3.305195332E0;9.419986725E0
6.540803100E-2;3.782838583E-1;3.440467834E0;9.453505516E0
7.654790400E-2;3.770867586E-1;3.537432909E0;9.446322441E0
9.545930900E-2;4.776432514E-1;3.123236179E0;9.089587212E0
1.154619100E-1;1.340752989E-1;2.437297344E0;9.004592896E0
1.256398440E-1;2.406172752E-1;2.597708941E0;9.210494041E0
1.452405440E-1;1.210268974E0;3.165134668E0;9.903614998E0
1.651022190E-1;1.170764685E0;2.947262287E0;9.818621635E0
1.752094980E-1;9.888052940E-1;2.786850691E0;9.579200745E0
1.952142080E-1;1.261744261E0;3.040636063E0;9.295488358E0
2.052719930E-1;1.711854219E0;3.270479441E0;9.267954826E0
2.169733850E-1;1.735796213E0;3.150769472E0;9.798270226E0
2.271520810E-1;1.156399369E0;2.679111719E0;9.613917351E0
2.466248530E-1;-5.626374111E-2;2.007538080E0;9.554061890E0
2.675687960E-1;3.244143426E-1;2.515108824E0;9.398438454E0
2.775882870E-1;5.662286878E-1;2.870647907E0;9.384073257E0
2.949427780E-1;7.469909191E-1;3.181894064E0;9.624691010E0
3.050747780E-1;9.923965931E-1;3.397372246E0;9.852140427E0
3.156897780E-1;1.165976286E0;3.433285236E0;9.720458984E0
3.353587780E-1;9.014169574E-1;2.975992680E0;9.266757965E0
3.549957780E-1;5.183446407E-1;2.172738075E0;9.488221169E0
3.755327780E-1;7.769184709E-1;1.891419291E0;9.829395294E0
3.950627780E-1;1.158793569E0;2.404975653E0;9.696516991E0
4.052997780E-1;1.094150186E0;2.573766708E0;9.563638687E0
4.251427780E-1;8.403648138E-1;2.497152328E0;9.627084732E0
4.351457780E-1;7.649474144E-1;2.383427858E0;9.493009567E0
4.454257780E-1;3.758896589E-1;2.262520552E0;9.161413193E0
4.654237780E-1;-1.233013868E-1;2.272097349E0;9.006986618E0
4.759587780E-1;1.077390760E-1;2.473210335E0;9.351752281E0
4.950057780E-1;8.152256608E-1;2.309207439E0;9.379284859E0
5.057487780E-1;9.900023937E-1;2.048239470E0;8.732851028E0
5.254697780E-1;2.082955360E0;2.339135170E0;9.544485092E0
5.360167780E-1;1.922544003E0;2.410961151E0;9.838972092E0
5.551667780E-1;6.464344859E-1;1.229422569E0;9.402029991E0
5.652337780E-1;9.157821536E-1;1.443703651E0;9.671378136E0
5.852777780E-1;1.782483220E0;3.548206806E0;8.185775757E0
6.059827780E-1;1.188721180E0;2.159569979E0;9.434351921E0
6.168637780E-1;1.483207941E0;2.376245260E0;8.532935143E0
6.351737780E-1;1.480813742E0;2.929305792E0;8.561665535E0
6.454267780E-1;1.188721180E0;2.778470993E0;8.608352661E0
6.649947780E-1;3.184288144E-1;2.190694571E0;8.356961250E0
6.751117780E-1;6.703764945E-2;2.305616140E0;8.067262650E0
6.855017780E-1;7.422025502E-2;2.383427858E0;7.787140846E0
7.052337780E-1;1.080982089E0;2.553416014E0;7.498639584E0
7.155047780E-1;1.482010841E0;2.306813240E0;7.615955830E0
7.352507780E-1;3.453635931E0;1.709460020E0;1.003170490E1
7.550837780E-1;4.695029736E0;8.798691034E-1;9.151836395E0
7.750447780E-1;3.697844505E0;1.051054597E0;9.848548889E0
7.851797780E-1;3.657143116E0;9.732429981E-1;8.207323074E0
8.052367780E-1;4.055777550E0;1.370680451E0;7.876923561E0
8.253407780E-1;2.375048161E0;1.352723986E-1;8.450334549E0
