"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.095726730E1;6.972311600E0;4.187067519E1;0.000000000E0;0.000000000E0;1.163489990E2;2.000000000E0
7.702080571E0;5.095620881E1;6.973345717E0;5.126773012E1;1.049999952E0;5.400000095E0;9.500000000E0;1.000000000E2
8.211804263E0;5.095622536E1;6.973342784E0;5.626776704E1;1.559999943E0;2.020000076E1;9.500000000E0;1.000000000E2
9.219049531E0;5.095624514E1;6.973343538E0;5.826780821E1;1.519999981E0;2.150000000E1;8.000000000E0;1.000000000E2
1.021062415E1;5.095625688E1;6.973352591E0;5.926782668E1;8.499999642E-1;2.889999962E1;7.000000000E0;1.000000000E2
1.120940084E1;5.095622930E1;6.973357284E0;5.726776531E1;5.399999619E-1;4.679999924E1;5.500000000E0;1.000000000E2
1.221283111E1;5.095620298E1;6.973357787E0;5.526770949E1;5.099999905E-1;9.459999847E1;4.500000000E0;1.000000000E2
1.319952664E1;5.095618521E1;6.973352674E0;5.226767557E1;5.600000024E-1;1.331000061E2;5.000000000E0;1.000000000E2
1.420649630E1;5.095617272E1;6.973346472E0;5.026765354E1;1.899999976E-1;1.401999969E2;4.000000000E0;1.000000000E2
1.521034791E1;5.095615860E1;6.973327445E0;4.926763692E1;2.800000012E-1;1.591000061E2;4.500000000E0;1.000000000E2
1.621795787E1;5.095615671E1;6.973316716E0;4.926764037E1;0.000000000E0;0.000000000E0;4.000000000E0;1.000000000E2
1.721346264E1;5.095615827E1;6.973305484E0;4.826765140E1;5.500000119E-1;2.006000061E2;4.000000000E0;1.000000000E2
1.821995868E1;5.095616225E1;6.973297857E0;4.826766507E1;5.600000024E-1;2.478999939E2;4.000000000E0;1.000000000E2
1.922970099E1;5.095616971E1;6.973288469E0;4.926768728E1;6.499999762E-1;2.912999878E2;4.000000000E0;1.000000000E2
2.021127048E1;5.095618379E1;6.973290732E0;5.026771540E1;7.299999595E-1;3.467999878E2;4.000000000E0;1.000000000E2
2.122062560E1;5.095618433E1;6.973301042E0;5.126770942E1;7.500000000E-1;3.909999847E1;4.000000000E0;1.000000000E2
2.221713794E1;5.095618257E1;6.973316632E0;5.126769493E1;5.999999642E-1;9.509999847E1;4.000000000E0;1.000000000E2
2.324229652E1;5.095617507E1;6.973335240E0;4.926766625E1;1.019999981E0;1.443000031E2;3.500000000E0;1.000000000E2
2.421727102E1;5.095616677E1;6.973348148E0;5.026763983E1;6.800000072E-1;1.713999939E2;3.500000000E0;1.000000000E2
2.522405052E1;5.095615588E1;6.973357368E0;5.026761049E1;4.799999893E-1;2.058999939E2;3.000000000E0;1.000000000E2
2.620340825E1;5.095615076E1;6.973354099E0;5.126760198E1;2.899999917E-1;2.426999969E2;3.500000000E0;1.000000000E2
2.721598783E1;5.095615034E1;6.973343454E0;5.126760845E1;2.099999934E-1;2.786000061E2;3.500000000E0;1.000000000E2
2.820787671E1;5.095615625E1;6.973323170E0;5.026763493E1;8.100000024E-1;3.266000061E2;3.000000000E0;1.000000000E2
2.921688648E1;5.095616853E1;6.973318979E0;5.126766371E1;1.059999943E0;2.299999952E0;3.500000000E0;1.000000000E2
3.020993159E1;5.095617692E1;6.973318309E0;5.226768184E1;7.899999619E-1;3.400000000E1;3.000000000E0;1.000000000E2
3.122134175E1;5.095618119E1;6.973325266E0;5.426768604E1;4.099999964E-1;7.069999695E1;3.000000000E0;1.000000000E2
3.222647155E1;5.095618006E1;6.973331887E0;5.526767908E1;2.899999917E-1;1.070000000E2;3.000000000E0;1.000000000E2
3.321481501E1;5.095617880E1;6.973334989E0;5.526767429E1;5.000000000E-1;1.533000031E2;2.500000000E0;1.000000000E2
3.423269086E1;5.095616925E1;6.973332474E0;5.526765588E1;6.699999571E-1;1.915000000E2;2.500000000E0;1.000000000E2
3.521648205E1;5.095617176E1;6.973333815E0;5.726766026E1;3.400000036E-1;2.305000000E2;2.500000000E0;1.000000000E2
3.621646636E1;5.095617457E1;6.973335491E0;5.726766502E1;4.499999881E-1;2.758999939E2;2.500000000E0;1.000000000E2
3.721338001E1;5.095617704E1;6.973341275E0;5.726766623E1;6.699999571E-1;6.300000191E0;2.500000000E0;1.000000000E2
3.821617647E1;5.095618421E1;6.973340353E0;5.726768197E1;7.099999785E-1;1.160000038E1;2.500000000E0;1.000000000E2
3.922277897E1;5.095619192E1;6.973331552E0;5.726770431E1;1.120000005E0;3.548999939E2;2.000000000E0;1.000000000E2
4.022290236E1;5.095619665E1;6.973319734E0;5.726772246E1;9.899999499E-1;3.342000122E2;2.000000000E0;1.000000000E2
4.121266805E1;5.095619745E1;6.973305652E0;5.726773388E1;5.399999619E-1;3.343999939E2;2.000000000E0;1.000000000E2
4.221991562E1;5.095618961E1;6.973299952E0;5.726772130E1;6.499999762E-1;2.887999878E2;2.000000000E0;1.000000000E2
4.322309705E1;5.095618576E1;6.973301042E0;5.726771242E1;6.999999881E-1;2.121999969E2;2.000000000E0;1.000000000E2
4.421064781E1;5.095617888E1;6.973303473E0;5.726769625E1;9.699999690E-1;1.533000031E2;3.000000000E0;1.000000000E2
4.524247008E1;5.095617243E1;6.973314369E0;5.726767511E1;1.100000024E0;1.168000031E2;3.000000000E0;1.000000000E2
4.624313643E1;5.095616866E1;6.973327110E0;5.726765836E1;8.499999642E-1;8.740000153E1;3.000000000E0;1.000000000E2
4.720988524E1;5.095617226E1;6.973340185E0;5.726765691E1;8.299999833E-1;4.900000000E1;2.500000000E0;1.000000000E2
4.821030108E1;5.095617939E1;6.973350663E0;5.726766469E1;1.179999948E0;2.529999924E1;3.000000000E0;1.000000000E2
4.921808654E1;5.095618802E1;6.973353429E0;5.626768097E1;6.999999881E-1;3.592999878E2;2.500000000E0;1.000000000E2
5.021935212E1;5.095619406E1;6.973350244E0;5.626769589E1;8.100000024E-1;3.441000061E2;3.000000000E0;1.000000000E2
5.121121092E1;5.095619808E1;6.973337838E0;5.526771295E1;7.899999619E-1;3.116000061E2;2.500000000E0;1.000000000E2
5.221713942E1;5.095619728E1;6.973318309E0;5.526772477E1;6.299999952E-1;2.758999939E2;2.500000000E0;1.000000000E2
5.320927289E1;5.095619468E1;6.973305652E0;5.526772805E1;4.199999869E-1;2.473999939E2;2.500000000E0;1.000000000E2
5.421805954E1;5.095619435E1;6.973296935E0;5.526773337E1;3.499999940E-1;2.171000061E2;2.500000000E0;1.000000000E2
5.522803373E1;5.095618928E1;6.973292492E0;5.526772575E1;8.799999952E-1;1.656999969E2;3.000000000E0;1.000000000E2
5.621131819E1;5.095618106E1;6.973296516E0;5.526770566E1;9.599999785E-1;1.468999939E2;3.500000000E0;1.000000000E2
5.723606742E1;5.095616803E1;6.973306742E0;5.526767111E1;1.129999995E0;1.345000000E2;3.000000000E0;1.000000000E2
5.821235111E1;5.095616187E1;6.973317303E0;5.526765083E1;5.799999833E-1;1.083000031E2;3.000000000E0;1.000000000E2
5.920057326E1;5.095616426E1;6.973329540E0;5.426764740E1;8.899999857E-1;7.050000000E1;3.000000000E0;1.000000000E2
6.020759280E1;5.095617557E1;6.973340772E0;5.426766349E1;1.029999971E0;2.150000000E1;2.500000000E0;1.000000000E2
6.120838934E1;5.095618798E1;6.973341191E0;5.426768934E1;7.599999905E-1;3.392999878E2;2.500000000E0;1.000000000E2
6.221472492E1;5.095619225E1;6.973333228E0;5.426770386E1;8.599999547E-1;3.052000122E2;3.000000000E0;1.000000000E2
6.322570611E1;5.095619862E1;6.973324176E0;5.426772354E1;7.299999595E-1;2.863999939E2;3.000000000E0;1.000000000E2
6.421439461E1;5.095620097E1;6.973311184E0;5.326773747E1;5.199999809E-1;2.605000000E2;3.000000000E0;1.000000000E2
6.521025307E1;5.095620173E1;6.973297605E0;5.326774845E1;2.199999988E-1;2.315000000E2;3.500000000E0;1.000000000E2
6.621673634E1;5.095619707E1;6.973293163E0;5.326774172E1;3.100000024E-1;2.008999939E2;3.500000000E0;1.000000000E2
6.719807126E1;5.095618743E1;6.973286290E0;5.326772615E1;9.799999595E-1;1.708999939E2;3.500000000E0;1.000000000E2
6.821744507E1;5.095617138E1;6.973289307E0;5.326769023E1;9.099999666E-1;1.633999939E2;3.500000000E0;1.000000000E2
6.922223314E1;5.095615965E1;6.973287966E0;5.326766643E1;1.000000000E0;1.641000061E2;3.500000000E0;1.000000000E2
7.020444541E1;5.095615076E1;6.973290564E0;5.226764590E1;6.100000143E-1;1.585000000E2;3.500000000E0;1.000000000E2
7.121804652E1;5.095614406E1;6.973293498E0;5.126762974E1;6.299999952E-1;1.608999939E2;3.500000000E0;1.000000000E2
7.221390291E1;5.095614221E1;6.973295175E0;5.126762470E1;1.299999952E-1;1.576999969E2;3.500000000E0;1.000000000E2
7.321639879E1;5.095614657E1;6.973289475E0;5.226763782E1;7.199999690E-1;6.500000000E1;4.000000000E0;1.000000000E2
7.420286133E1;5.095615998E1;6.973295175E0;5.226766215E1;6.999999881E-1;1.100000000E1;4.000000000E0;1.000000000E2
7.520390695E1;5.095617080E1;6.973308083E0;5.226767602E1;6.200000048E-1;3.568999939E2;3.500000000E0;1.000000000E2
7.621188052E1;5.095617696E1;6.973314201E0;5.226768477E1;2.699999809E-1;3.302000122E2;3.500000000E0;1.000000000E2
7.722159475E1;5.095617901E1;6.973317554E0;5.226768678E1;2.500000000E-1;3.057000122E2;3.500000000E0;1.000000000E2
7.822693887E1;5.095618165E1;6.973326774E0;5.226768597E1;0.000000000E0;0.000000000E0;3.500000000E0;1.000000000E2
7.922760952E1;5.095618165E1;6.973326774E0;5.226768597E1;0.000000000E0;0.000000000E0;3.500000000E0;1.000000000E2
8.023332906E1;5.095618165E1;6.973326774E0;5.226768597E1;0.000000000E0;0.000000000E0;3.500000000E0;1.000000000E2
8.119999140E1;5.095618165E1;6.973326774E0;5.226768597E1;0.000000000E0;0.000000000E0;3.500000000E0;1.000000000E2
8.220684082E1;5.095618165E1;6.973326774E0;5.226768597E1;0.000000000E0;0.000000000E0;3.500000000E0;1.000000000E2
8.323296767E1;5.095618165E1;6.973326774E0;5.226768597E1;0.000000000E0;0.000000000E0;3.500000000E0;1.000000000E2
8.421739567E1;5.095618165E1;6.973326774E0;5.226768597E1;0.000000000E0;0.000000000E0;3.500000000E0;1.000000000E2
8.520449228E1;5.095619875E1;6.973309172E0;5.226773418E1;2.999999821E-1;3.207000122E2;3.000000000E0;1.000000000E2
8.620897671E1;5.095620131E1;6.973318560E0;5.326773308E1;3.599999845E-1;3.222000122E2;3.000000000E0;1.000000000E2
8.724966686E1;5.095620194E1;6.973324511E0;5.326773029E1;2.899999917E-1;3.298999939E2;3.500000000E0;1.000000000E2
8.820789921E1;5.095619670E1;6.973332809E0;5.326771351E1;4.799999893E-1;3.480000000E2;3.000000000E0;1.000000000E2
8.921164670E1;5.095618978E1;6.973343119E0;5.326769181E1;4.499999881E-1;1.500000000E1;3.000000000E0;1.000000000E2
