"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
7.500877800E-2;-9.224065393E-2;-1.999972761E-1;2.616946772E-2
9.472477800E-2;-1.209513247E-1;-3.258355260E-1;5.400048569E-3
1.146987780E-1;-2.651154995E-1;-2.519208193E-1;8.725599200E-2
1.247197780E-1;-3.878994286E-1;-1.535715163E-1;2.387505770E-1
1.347277780E-1;-5.186246037E-1;-1.199739277E-1;4.293405116E-1
1.447307780E-1;-5.858197808E-1;-1.816713214E-1;5.845003128E-1
1.547757780E-1;-5.583308339E-1;-2.610838115E-1;6.639127731E-1
1.647767780E-1;-4.825835228E-1;-2.733011246E-1;6.846821904E-1
1.847057780E-1;-3.616322279E-1;-1.169196069E-1;7.329405546E-1
2.049367780E-1;-3.701843321E-1;7.244861126E-2;8.050226569E-1
2.277587780E-1;-3.640756607E-1;2.453234941E-1;5.625091195E-1
2.448707780E-1;-3.451388478E-1;4.585154355E-1;3.975755274E-1
2.561507780E-1;-2.926044464E-1;4.915021658E-1;4.140688777E-1
2.775897780E-1;-6.108652800E-3;1.555262953E-1;4.440012872E-1
2.946427780E-1;2.993239760E-1;-4.364021420E-1;2.772350609E-1
3.046967780E-1;3.323107064E-1;-4.895474315E-1;1.544511765E-1
3.148307780E-1;2.492330223E-1;-3.459940851E-1;3.288898617E-2
3.346907780E-1;-2.052507252E-1;1.958433986E-1;-6.546031684E-2
3.448327780E-1;-4.569271803E-1;3.882659376E-1;-1.842369512E-2
3.646287780E-1;-6.798930168E-1;5.544213057E-1;1.636141539E-1
3.749117780E-1;-6.542366743E-1;5.635842681E-1;2.375288457E-1
3.850787780E-1;-5.736024380E-1;5.055520535E-1;2.595199943E-1
4.049977780E-1;-3.213151097E-1;3.284011483E-1;1.104688719E-1
4.247667780E-1;-1.154535264E-1;1.940108091E-1;-6.179512665E-2
4.347767780E-1;-9.590584040E-2;1.952325404E-1;-6.362771988E-2
4.449717780E-1;-1.093448848E-1;2.318844497E-1;-3.430619463E-2
4.651147780E-1;-6.108652800E-3;2.544864416E-1;-6.817256100E-3
4.846977780E-1;1.502728462E-1;2.907718718E-2;-9.783617407E-2
4.947017780E-1;1.814269722E-1;-2.030515969E-1;-1.436510682E-1
5.054637780E-1;1.777617782E-1;-3.319441974E-1;-1.741943359E-1
5.251227780E-1;4.489859641E-1;-9.605244994E-1;-2.786523104E-1
5.447367780E-1;1.025031924E0;-9.580810666E-1;-3.440148830E-1
5.647837780E-1;1.242499948E0;-1.969429553E-1;-8.928406239E-2
5.848857780E-1;8.423832059E-1;8.201476932E-1;-1.717508733E-1
6.052377780E-1;9.896016121E-2;3.986506462E-1;-5.565959811E-1
6.246907780E-1;-1.099557430E-1;4.572937191E-1;-3.770016134E-1
6.347837780E-1;-1.032362282E-1;3.320663273E-1;-4.307577610E-1
6.547847780E-1;5.253441259E-2;-1.841147840E-1;-5.498764515E-1
6.747327780E-1;-4.886921495E-3;-3.050661087E-1;-4.539706409E-1
6.850937780E-1;-1.948660165E-1;-1.425759494E-1;-3.721146882E-1
7.046657780E-1;-5.021312237E-1;1.014036313E-2;-1.344880909E-1
7.151557780E-1;-5.681046844E-1;-7.782423496E-2;-5.568647757E-2
7.348647780E-1;-6.688974500E-1;-1.896125674E-1;-1.109331194E-2
7.547077780E-1;-3.652974069E-1;3.962071836E-1;-4.240382314E-1
7.647107780E-1;-3.365867436E-1;-2.162462845E-2;-6.054652333E-1
7.847327780E-1;4.703662172E-2;-3.753156066E-1;-7.649010420E-1
7.948727780E-1;1.502728462E-1;-8.212472200E-1;-8.284310102E-1
8.148487780E-1;2.205223590E-1;-1.467542648E0;-1.042233825E0
8.348787780E-1;-9.346237779E-2;-1.386908412E0;-9.365541935E-1
8.547307780E-1;-9.773844481E-2;-1.516411901E0;-7.911682725E-1
8.650317780E-1;-3.237585723E-2;-1.799853325E0;-8.345396519E-1
8.864167780E-1;4.886921868E-2;-2.196304798E0;-8.211006522E-1
9.049027780E-1;-7.391469181E-2;-2.356962442E0;-4.643553495E-1
9.247407780E-1;-2.840523422E-1;-2.715540409E0;2.983465791E-2
9.348137780E-1;-2.987130880E-1;-3.044796705E0;2.020986676E-1
9.547117780E-1;-2.370157242E-1;-3.982474804E0;4.928705096E-1
9.649507780E-1;-2.730567753E-1;-4.210938454E0;6.046588421E-1
9.850907780E-1;-5.204572082E-1;-3.600684166E0;6.993429661E-1
1.004902778E0;-7.544185519E-1;-2.344745159E0;8.508375287E-1
1.024921778E0;-7.067710757E-1;-1.333763242E0;1.290660620E0
1.044939778E0;-1.037860036E0;-1.148671031E0;1.469033241E0
1.064658778E0;-1.524719596E0;-9.904569387E-1;1.316316962E0
1.074703778E0;-1.695151091E0;-8.224689960E-1;1.171541810E0
1.085084778E0;-1.789224267E0;-6.337116361E-1;1.078079462E0
1.104726778E0;-1.679268599E0;-2.054950595E-1;1.090296745E0
1.114813778E0;-1.521665335E0;-6.621779501E-2;1.128170371E0
1.125058778E0;-1.313971162E0;8.100073040E-2;1.161767960E0
1.144707778E0;-9.755517840E-1;2.113593742E-2;1.244845629E0
1.154717778E0;-8.442157507E-1;-1.767843962E-1;1.249732614E0
1.165003778E0;-7.000515461E-1;-4.290717542E-1;1.211858988E0
1.184991778E0;-4.758640230E-1;-9.147096276E-1;1.114731431E0
1.204730778E0;-4.111123085E-1;-1.100412607E0;1.099459767E0
1.215434778E0;-3.652974069E-1;-5.793446302E-1;9.791192412E-1
1.234701778E0;-3.457497060E-1;2.318844497E-1;8.056334853E-1
1.254766778E0;-3.323106766E-1;5.037194490E-1;7.708141804E-1
1.269524778E0;-3.390302062E-1;2.984687388E-1;7.995248437E-1
1.284968778E0;-3.316998184E-1;-6.502049565E-1;8.661091924E-1
1.304727778E0;-2.266310155E-1;-1.410732150E0;1.012105942E0
1.325161778E0;2.382374182E-2;-1.679512858E0;1.176428795E0
1.335516778E0;1.734857261E-1;-1.606819987E0;1.193532944E0
1.354748778E0;4.025602043E-1;-1.233581305E0;1.141609430E0
1.374675778E0;5.265658498E-1;-9.421985745E-1;1.056088328E0
1.385039778E0;5.925393105E-1;-9.342573285E-1;9.858387709E-1
1.404780778E0;6.615670919E-1;-1.057041287E0;7.940270901E-1
1.425119778E0;5.528330803E-1;-7.858170867E-1;7.329405546E-1
1.444848778E0;3.915646374E-1;-7.363370061E-1;7.390491962E-1
1.456174778E0;3.872885704E-1;-7.772649527E-1;7.732576728E-1
1.476055778E0;5.320636630E-1;-1.036271811E0;9.003176093E-1
1.494790778E0;7.061602473E-1;-1.415619135E0;9.247522354E-1
1.505474778E0;7.739662528E-1;-1.589104891E0;8.697743416E-1
1.524826778E0;8.020660877E-1;-1.686232448E0;7.873075604E-1
1.535783778E0;7.538077235E-1;-1.690508485E0;8.062443733E-1
1.554773778E0;5.937610269E-1;-1.768088341E0;9.559063315E-1
1.574977778E0;4.941899776E-1;-1.912252545E0;1.132446527E0
1.594735778E0;7.525860071E-1;-1.997773767E0;1.120840073E0
1.604749778E0;9.798278809E-1;-2.039312601E0;9.693453908E-1
1.615014778E0;1.023810148E0;-2.009990931E0;9.284174442E-1
1.635004778E0;1.066570759E0;-1.959289193E0;7.805880308E-1
1.654717778E0;1.017701507E0;-1.960510969E0;7.500447631E-1
1.674882778E0;8.643743396E-1;-1.863383412E0;9.174218774E-1
1.686102778E0;7.953465581E-1;-1.786414385E0;1.015771270E0
1.704723778E0;8.741481900E-1;-1.618426442E0;1.036540627E0
1.714754778E0;1.047633886E0;-1.623313308E0;9.607932568E-1
1.725257778E0;1.234558702E0;-1.683789015E0;8.734395504E-1
1.735906778E0;1.362840414E0;-1.738766789E0;8.496158123E-1
1.754789778E0;1.309084177E0;-1.721662641E0;9.626258612E-1
1.774742778E0;1.061683774E0;-1.691730261E0;1.125726938E0
1.784828778E0;9.737192392E-1;-1.550620317E0;1.171541810E0
1.804775778E0;8.674286604E-1;-1.536570430E0;1.134889960E0
1.814818778E0;9.010262489E-1;-1.518855333E0;9.913365245E-1
1.824822778E0;9.370672703E-1;-1.412564754E0;8.312898278E-1
1.844766778E0;8.582656980E-1;-1.115684271E0;5.899980664E-1
1.864694778E0;5.797111392E-1;-1.207314134E0;7.017863989E-1
1.874893778E0;5.192354918E-1;-1.449216723E0;9.100914598E-1
1.887194778E0;5.668829679E-1;-1.765034080E0;1.148939848E0
1.904740778E0;8.796459436E-1;-2.202413559E0;1.379846931E0
1.914744778E0;8.900306821E-1;-2.203635216E0;1.405503273E0
1.935141778E0;2.926044762E-1;-1.424782157E0;1.346860170E0
1.954767778E0;6.352998316E-2;-6.783047915E-1;9.693453908E-1
1.974709778E0;7.171558142E-1;-6.740286946E-1;6.504737139E-1
1.985220778E0;8.582656980E-1;-7.491651773E-1;6.077131629E-1
2.004687778E0;5.235115290E-1;-6.080552936E-1;1.008440852E0
2.014702778E0;5.455026627E-1;-5.365840197E-1;1.189256907E0
2.034840778E0;5.491678715E-1;-6.636440158E-1;1.423218369E0
2.045754778E0;6.273586154E-1;-1.041158676E0;1.273556352E0
2.064778778E0;1.062294722E0;-1.385075927E0;1.009051681E0
2.084746778E0;8.417723179E-1;-9.428094029E-1;1.026155949E0
2.104859778E0;7.012733221E-1;-7.198436260E-1;9.723997116E-1
2.115231778E0;7.605272532E-1;-7.057937384E-1;8.007465601E-1
2.134709778E0;3.995058835E-1;-7.400021553E-1;-2.798740268E-1
2.154705778E0;-2.907718420E-1;4.951673746E-1;-1.333616495E0
2.164735778E0;-1.307251602E-1;1.825631857E0;-1.345833778E0
2.185397778E0;2.785545588E-1;2.591046095E0;-1.537034631E0
2.204664778E0;5.002986193E-1;5.220454335E-1;-4.411424696E-1
2.214804778E0;2.290744632E-1;-2.152689099E-1;2.772350609E-1
2.224820778E0;7.330384105E-3;-9.128770232E-1;8.520592451E-1
2.235006778E0;1.832595840E-2;-1.458990574E0;1.238126159E0
2.245049778E0;1.050688177E-1;-1.820622802E0;1.523400187E0
2.264796778E0;-4.276055843E-3;-1.280007005E0;1.538061023E0
2.284654778E0;-6.676756740E-1;5.263214707E-1;1.629690766E0
2.294702778E0;-9.834930301E-1;1.137186766E0;1.651681900E0
2.304800778E0;-1.146594048E0;1.264246702E0;1.625414729E0
2.314810778E0;-1.102000833E0;9.020035863E-1;1.586319327E0
2.335121778E0;-6.524040699E-1;-2.311514020E-1;1.503852487E0
2.354718778E0;-4.660901725E-1;-3.557679355E-1;1.616862655E0
2.374812778E0;-5.277875662E-1;1.084896624E-1;1.455594182E0
2.394725778E0;-7.018841505E-1;1.241033792E0;9.003176093E-1
2.404778778E0;-6.224716902E-1;1.565403223E0;7.866966724E-1
2.424747778E0;-3.249802887E-1;1.229427338E0;5.069203973E-1
2.435676778E0;-1.386664063E-1;5.299866796E-1;4.470556080E-1
2.454761778E0;4.300491512E-1;-5.005429983E-1;6.016045213E-1
2.464770778E0;7.599163651E-1;-6.972416043E-1;7.176688910E-1
2.474892778E0;1.047023058E0;-9.831265211E-1;7.561534047E-1
2.494786778E0;1.461189628E0;-1.467542648E0;7.921944857E-1
2.505149778E0;1.455080986E0;-1.301387310E0;8.667200208E-1
2.524811778E0;4.001167417E-1;-8.414058089E-1;7.824206352E-1
2.534995778E0;-4.184426963E-1;-9.183748364E-1;8.245703578E-1
2.555011778E0;-1.069625020E0;-8.218581080E-1;1.070138216E0
