"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
7.654790400E-2;1.073348522E-2;1.006999016E-1;2.689027786E-1
9.545930900E-2;-9.113401175E-3;-5.957078934E-2;-1.734142303E-1
1.154619100E-1;-6.868273020E-3;-1.246418953E-1;-4.604473114E-1
1.256398440E-1;-5.856379867E-3;-6.341147423E-2;-2.249746323E-1
1.452405440E-1;7.638418674E-2;1.997683048E-1;6.250753403E-1
1.651022190E-1;5.800831318E-2;1.460716724E-1;4.866609573E-1
1.752094980E-1;2.154976130E-2;6.076121330E-2;2.088623047E-1
1.952142080E-1;6.992578506E-3;1.683497429E-2;5.142974854E-2
2.052719930E-1;2.907717228E-2;5.553865433E-2;1.573677063E-1
2.169733850E-1;1.049473286E-1;1.904897690E-1;5.924310684E-1
2.271520810E-1;2.766096592E-2;6.408953667E-2;2.299947739E-1
2.466248530E-1;2.485811710E-4;-9.006023407E-3;-4.285144806E-2
2.675687960E-1;-2.401471138E-3;-1.862502098E-2;-6.960105896E-2
2.775882870E-1;1.321673393E-3;6.711959839E-3;2.196121216E-2
2.949427780E-1;2.629888058E-2;1.120226383E-1;3.388481140E-1
3.050747780E-1;6.276959181E-2;2.148332596E-1;6.229677200E-1
3.156897780E-1;6.380593777E-2;1.879718304E-1;5.322303772E-1
3.353587780E-1;-2.951979637E-3;-9.760141373E-3;-3.043460846E-2
3.549957780E-1;-5.501568317E-2;3.401172161E-1;-1.285943985E-1
3.755327780E-1;1.803827286E-2;4.392492771E-2;2.282876968E-1
3.950627780E-1;2.888691425E-2;5.995225906E-2;2.416477203E-1
4.052997780E-1;1.729667187E-2;4.068493843E-2;1.511859894E-1
4.251427780E-1;1.469546556E-2;4.365515709E-2;1.682786942E-1
4.351457780E-1;8.336901665E-4;2.614736557E-3;1.048660278E-2
4.454257780E-1;-1.442623138E-2;-8.684611320E-2;-3.516578674E-1
4.654237780E-1;6.914928555E-3;-1.263749599E-1;-5.009450912E-1
4.759587780E-1;-1.502558589E-3;-3.395700455E-2;-1.283617020E-1
4.950057780E-1;-9.495139122E-3;-2.690839767E-2;-1.092758179E-1
5.057487780E-1;-8.582949638E-2;-1.775667667E-1;-7.570781708E-1
5.254697780E-1;4.946851730E-2;5.556488037E-2;2.267265320E-1
5.360167780E-1;9.402728081E-2;1.179046631E-1;4.811515808E-1
5.551667780E-1;-2.057951689E-2;-3.913938999E-2;-2.993211746E-1
5.652337780E-1;1.363158226E-3;2.156376839E-3;1.445484161E-2
5.852777780E-1;-1.388347149E-1;-2.763628960E-1;-6.375789642E-1
6.059827780E-1;-6.772875786E-3;-1.230597496E-2;-5.375289917E-2
6.168637780E-1;-1.363643408E-1;-2.184693813E-1;-7.845125198E-1
6.351737780E-1;-1.029279232E-1;-2.036213875E-1;-5.951309204E-1
6.454267780E-1;-8.900845051E-2;-2.080674171E-1;-6.446676254E-1
