"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
4.995900000E-2;-1.255758762E0;4.801571369E0;8.396465302E0
6.003300000E-2;-1.189918280E0;4.777629375E0;8.447940826E0
8.005400000E-2;-1.034295082E0;4.734533787E0;8.605957985E0
9.044200000E-2;-9.888052940E-1;4.732139587E0;8.674192429E0
1.099680000E-1;-1.108515382E0;4.654327869E0;8.756793022E0
1.199710000E-1;-1.163581967E0;4.610035419E0;8.854954720E0
1.300950000E-1;-1.151610970E0;4.599261284E0;8.801085472E0
1.406890000E-1;-1.104924083E0;4.590881824E0;8.723274231E0
1.608860000E-1;-1.048660398E0;4.611232281E0;8.432378769E0
1.801680000E-1;-1.107318282E0;4.659116745E0;8.190564156E0
2.005630000E-1;-1.021126986E0;4.636371613E0;8.346187592E0
2.199820000E-1;-9.157821536E-1;4.586093426E0;8.732851028E0
2.399680000E-1;-9.540894032E-1;4.576516628E0;8.895656586E0
2.503240000E-1;-1.004367590E0;4.578910828E0;8.902838707E0
2.700340000E-1;-1.034295082E0;4.651933670E0;8.725667953E0
2.899730000E-1;-1.027112484E0;4.693832397E0;8.597578049E0
3.002020000E-1;-1.003170490E0;4.704606533E0;8.604761124E0
3.200940000E-1;-9.983820915E-1;4.681861401E0;8.485051155E0
3.402930000E-1;-1.025915384E0;4.635174274E0;8.510190010E0
3.602080000E-1;-9.636662006E-1;4.566939831E0;8.911218643E0
3.802000000E-1;-9.121908545E-1;4.553771496E0;9.142259598E0
3.999700000E-1;-9.062053561E-1;4.498704910E0;8.908824921E0
4.199120000E-1;-9.085995555E-1;4.505887508E0;8.640673637E0
4.299510000E-1;-9.002198577E-1;4.532223701E0;8.435969353E0
4.400290000E-1;-9.337386489E-1;4.572925091E0;8.310274124E0
4.500640000E-1;-9.409212470E-1;4.608838081E0;8.279149055E0
4.606440000E-1;-8.978256583E-1;4.595670223E0;8.311470985E0
4.801000000E-1;-6.871358752E-1;4.490325451E0;8.677783966E0
4.902200000E-1;-5.829881430E-1;4.429273129E0;8.805873871E0
5.102510000E-1;-5.171475410E-1;4.428076267E0;8.854954720E0
5.302250000E-1;-7.457938194E-1;4.394556999E0;8.657433510E0
5.402250000E-1;-8.559271097E-1;4.401739597E0;8.572439194E0
5.506470000E-1;-8.930372596E-1;4.452018261E0;8.544905663E0
5.702250000E-1;-9.050082564E-1;4.503493309E0;8.518569946E0
5.803470000E-1;-8.774749041E-1;4.516661644E0;8.531737328E0
5.920670000E-1;-7.936778665E-1;4.498704910E0;8.621520042E0
6.101940000E-1;-6.703764796E-1;4.341884613E0;8.663418770E0
6.304870000E-1;-5.255272985E-1;4.349067211E0;8.157045364E0
6.502040000E-1;-8.403648138E-1;4.321534157E0;8.236053467E0
6.704950000E-1;-9.085995555E-1;4.250905037E0;8.467094421E0
6.902160000E-1;-7.003039718E-1;4.261679173E0;8.609549522E0
7.002230000E-1;-5.793967843E-1;4.260481834E0;8.726864815E0
7.201670000E-1;-5.997475386E-1;4.191050053E0;8.541314125E0
7.401860000E-1;-5.087678432E-1;4.162319660E0;8.518569946E0
