"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.095572670E1;6.972782800E0;4.186710149E1;0.000000000E0;0.000000000E0;2.826099968E1;2.000000000E0
1.734750533E0;5.095584365E1;6.972807515E0;6.526733247E1;8.100000024E-1;0.000000000E0;8.500000000E0;1.000000000E2
2.733154224E0;5.095577957E1;6.972576510E0;4.726735705E1;1.309999943E0;2.228000031E2;8.000000000E0;1.000000000E2
3.731868723E0;5.095575250E1;6.972681116E0;4.126722768E1;8.299999833E-1;2.088000031E2;8.000000000E0;1.000000000E2
4.750812838E0;5.095581687E1;6.972867949E0;5.426723424E1;1.509999990E0;1.621999969E2;8.500000000E0;1.000000000E2
5.239915299E0;5.095581427E1;6.972927377E0;5.826718769E1;5.799999833E-1;1.563000031E2;8.500000000E0;1.000000000E2
6.734783914E0;5.095581276E1;6.972876750E0;6.226721950E1;3.700000048E-1;1.541000061E2;8.000000000E0;1.000000000E2
7.749569105E0;5.095582152E1;6.972860657E0;6.126724909E1;0.000000000E0;0.000000000E0;7.500000000E0;1.000000000E2
8.726432220E0;5.095582152E1;6.972860657E0;6.126724909E1;0.000000000E0;0.000000000E0;7.000000000E0;1.000000000E2
9.770391796E0;5.095582152E1;6.972860657E0;6.126724909E1;0.000000000E0;0.000000000E0;6.000000000E0;1.000000000E2
1.074037433E1;5.095582182E1;6.972825704E0;5.926727387E1;4.799999893E-1;1.443000031E2;5.000000000E0;1.000000000E2
1.176470199E1;5.095584621E1;6.972815897E0;5.926733206E1;3.499999940E-1;1.219000015E2;5.000000000E0;1.000000000E2
1.273289072E1;5.095586423E1;6.972810365E0;5.626737387E1;5.699999928E-1;2.679999924E1;4.000000000E0;1.000000000E2
1.373743376E1;5.095586637E1;6.972811371E0;5.426737769E1;3.199999928E-1;1.720000076E1;4.000000000E0;1.000000000E2
1.475455414E1;5.095586062E1;6.972807348E0;5.326736836E1;4.199999869E-1;1.250000000E1;4.000000000E0;1.000000000E2
1.574544306E1;5.095585086E1;6.972820591E0;5.326733862E1;4.799999893E-1;5.350000000E1;4.000000000E0;1.000000000E2
1.675040218E1;5.095584692E1;6.972842719E0;5.426731502E1;8.899999857E-1;1.781999969E2;3.500000000E0;1.000000000E2
1.775874625E1;5.095584508E1;6.972844731E0;5.426730975E1;8.399999738E-1;2.013000031E2;3.500000000E0;1.000000000E2
1.874394902E1;5.095584285E1;6.972841211E0;5.426730750E1;2.800000012E-1;2.301999969E2;3.500000000E0;1.000000000E2
1.975168079E1;5.095584369E1;6.972840540E0;5.626730973E1;1.999999881E-1;2.590000000E2;3.000000000E0;1.000000000E2
2.074265052E1;5.095584709E1;6.972843222E0;5.526731503E1;1.299999952E-1;2.606000061E2;3.000000000E0;1.000000000E2
2.174839917E1;5.095585928E1;6.972833751E0;5.626734729E1;0.000000000E0;0.000000000E0;3.000000000E0;1.000000000E2
2.275080933E1;5.095587102E1;6.972828722E0;5.626737550E1;4.499999881E-1;2.827000122E2;3.000000000E0;1.000000000E2
2.374032582E1;5.095587257E1;6.972829979E0;5.626737790E1;7.599999905E-1;1.883999939E2;3.000000000E0;1.000000000E2
2.476529402E1;5.095587160E1;6.972842133E0;5.526736747E1;7.500000000E-1;1.493000031E2;3.000000000E0;1.000000000E2
2.573782429E1;5.095586456E1;6.972853700E0;5.526734463E1;8.700000048E-1;1.421999969E2;3.000000000E0;1.000000000E2
2.672767248E1;5.095586150E1;6.972868033E0;5.626732827E1;4.799999893E-1;1.325000000E2;2.500000000E0;1.000000000E2
2.774297998E1;5.095585995E1;6.972863842E0;5.726732790E1;7.400000095E-1;1.616999969E2;2.500000000E0;1.000000000E2
2.874576074E1;5.095585694E1;6.972857136E0;5.826732617E1;1.999999881E-1;1.633999939E2;2.500000000E0;1.000000000E2
2.974817547E1;5.095585627E1;6.972850431E0;5.926732939E1;6.499999762E-1;2.140000000E2;2.500000000E0;1.000000000E2
3.075906363E1;5.095585388E1;6.972842216E0;5.926733004E1;6.899999976E-1;2.528000031E2;2.500000000E0;1.000000000E2
3.174215643E1;5.095585702E1;6.972834254E0;5.926734217E1;8.399999738E-1;3.116000061E2;2.500000000E0;1.000000000E2
3.275481624E1;5.095586662E1;6.972831991E0;5.926736396E1;6.999999881E-1;3.528999939E2;2.000000000E0;1.000000000E2
3.375142816E1;5.095587789E1;6.972836433E0;5.926738466E1;6.299999952E-1;2.410000038E1;2.500000000E0;1.000000000E2
3.473795947E1;5.095587701E1;6.972834757E0;6.026738396E1;9.699999690E-1;1.333000031E2;2.500000000E0;1.000000000E2
3.575169820E1;5.095587089E1;6.972828889E0;6.026737512E1;1.009999990E0;2.051999969E2;2.500000000E0;1.000000000E2
3.677422782E1;5.095586989E1;6.972830985E0;6.026737155E1;2.999999821E-1;2.660000000E2;2.500000000E0;1.000000000E2
3.773963489E1;5.095586825E1;6.972835008E0;6.026736532E1;6.200000048E-1;5.440000153E1;2.000000000E0;1.000000000E2
3.873750985E1;5.095586611E1;6.972840708E0;6.126735688E1;5.500000119E-1;1.423000031E2;2.000000000E0;1.000000000E2
3.975189689E1;5.095586645E1;6.972845905E0;6.126735399E1;4.699999988E-1;2.268000031E2;2.000000000E0;1.000000000E2
4.073484120E1;5.095586884E1;6.972853700E0;6.126735364E1;3.999999762E-1;3.383999939E2;2.000000000E0;1.000000000E2
4.174316193E1;5.095587332E1;6.972858477E0;6.126735979E1;5.099999905E-1;7.530000305E1;2.000000000E0;1.000000000E2
4.273755331E1;5.095587915E1;6.972861495E0;6.126736998E1;2.999999933E-2;1.248000031E2;2.000000000E0;1.000000000E2
4.374009931E1;5.095587764E1;6.972865602E0;6.126736396E1;3.999999911E-2;1.541000061E2;2.000000000E0;1.000000000E2
4.473532719E1;5.095587743E1;6.972870547E0;6.126736010E1;8.999999613E-2;1.726000061E2;2.500000000E0;1.000000000E2
4.575004819E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.000000000E0;1.000000000E2
4.675472008E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
4.774138188E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
4.875078331E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
4.976605142E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
5.075465169E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
5.174084000E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
5.274564280E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
5.373747438E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.000000000E0;1.000000000E2
5.475718730E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
5.576562830E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.000000000E0;1.000000000E2
5.674559172E1;5.095588221E1;6.972864931E0;6.026737406E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
5.774160338E1;5.095588497E1;6.972863339E0;5.926738099E1;4.299999774E-1;1.640000000E2;2.500000000E0;1.000000000E2
5.877366565E1;5.095588799E1;6.972851856E0;5.926739529E1;3.100000024E-1;1.671999969E2;2.500000000E0;1.000000000E2
5.974141791E1;5.095588904E1;6.972841965E0;5.926740433E1;2.399999946E-1;1.730000000E2;3.000000000E0;1.000000000E2
6.074019514E1;5.095588879E1;6.972831739E0;5.826741087E1;0.000000000E0;0.000000000E0;3.000000000E0;1.000000000E2
6.173178872E1;5.095588879E1;6.972831739E0;5.826741087E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
6.273737110E1;5.095588879E1;6.972831739E0;5.826741087E1;0.000000000E0;0.000000000E0;2.500000000E0;1.000000000E2
6.373626580E1;5.095587257E1;6.972822184E0;5.726738329E1;2.899999917E-1;1.741999969E2;3.000000000E0;1.000000000E2
