"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
3.345314800E-2;-4.703662544E-2;-1.307251677E-2;5.365840346E-2
5.333353700E-2;-7.269296050E-2;-4.789183661E-2;6.831917167E-2
6.339826800E-2;-7.696902007E-2;-6.621779501E-2;6.526484340E-2
8.332306700E-2;-7.574729621E-2;-6.866125762E-2;4.449542239E-2
1.040682660E-1;-7.147122920E-2;-5.216789246E-2;3.349985182E-2
1.235343160E-1;-4.276056588E-2;-3.872885555E-2;4.144109786E-2
1.337821580E-1;-2.871066704E-2;-3.933972120E-2;3.899763897E-2
1.535812890E-1;-2.871066704E-2;-6.316346675E-2;1.822821796E-2
1.638206440E-1;-5.131268129E-2;-7.660250366E-2;9.065240622E-3
1.834994110E-1;-1.276708394E-1;-1.328020990E-1;9.065240622E-3
2.033743520E-1;-1.863138974E-1;-1.822821796E-1;7.232644595E-3
2.233318380E-1;-1.643227488E-1;-1.554041207E-1;-9.260716848E-3
2.333794190E-1;-1.337794960E-1;-1.175304800E-1;-1.414763834E-2
2.433927090E-1;-7.574729621E-2;-5.155702680E-2;-1.903456077E-2
2.534228540E-1;-5.742133409E-2;-3.445279971E-2;-2.147802338E-2
2.734554630E-1;-6.841690838E-2;-6.743952632E-2;-2.086715773E-2
2.834582310E-1;-8.185593784E-2;-8.332201838E-2;-1.781282946E-2
3.033948070E-1;-9.346237779E-2;-1.089783609E-1;-8.649851196E-3
3.135349030E-1;-1.062905490E-1;-1.156978756E-1;-8.038987406E-3
3.335364750E-1;-1.618792862E-1;-1.621236354E-1;-1.109331194E-2
3.536863680E-1;-1.954768896E-1;-1.828930527E-1;-1.536936965E-2
3.734458420E-1;-1.386664063E-1;-1.334129721E-1;-1.231504325E-2
3.935017100E-1;-5.864306539E-2;-6.255260110E-2;-2.086715773E-2
4.134066770E-1;-3.909537569E-2;-7.476990670E-2;-3.858225048E-2
4.334751690E-1;-1.374446750E-1;-1.376890242E-1;-4.652349651E-2
