"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
0.000000000E0;9.106326103E-2;2.833461761E-2;2.572689056E-1
2.004375000E-2;-7.099032402E-3;2.474308014E-2;4.418563843E-2
3.291087500E-2;6.850719452E-3;-2.609920502E-2;-4.567909241E-2
4.995900000E-2;2.170562744E-3;-2.192354202E-2;-4.876422882E-2
6.003300000E-2;3.539681435E-3;-1.402187347E-2;-2.472877502E-2
8.005400000E-2;-7.338285446E-3;3.355550766E-2;6.098651886E-2
9.044200000E-2;-1.243138313E-2;5.902051926E-2;1.080360413E-1
1.099680000E-1;-1.912522316E-2;8.020353317E-2;1.509227753E-1
1.199710000E-1;-2.824831009E-2;1.119475365E-1;2.150115967E-1
1.300950000E-1;-2.191984653E-2;8.750915527E-2;1.675300598E-1
1.406890000E-1;-1.258075237E-2;5.210733414E-2;9.908103943E-2
1.608860000E-1;1.506376266E-2;-6.625127792E-2;-1.209850311E-1
1.801680000E-1;3.719007969E-2;-1.565408707E-1;-2.752456665E-1
2.005630000E-1;2.178454399E-2;-9.885215759E-2;-1.779184341E-1
2.199820000E-1;-9.220898151E-3;4.615449905E-2;8.776664734E-2
2.399680000E-1;2.490526438E-2;1.136336327E-1;2.184085846E-1
2.503240000E-1;-2.537292242E-2;1.160278320E-1;2.255907059E-1
2.700340000E-1;-1.408815384E-2;6.338596344E-2;1.189966202E-1
2.899730000E-1;-4.436969757E-3;2.023744583E-2;3.708457947E-2
3.002020000E-1;-5.353331566E-3;2.445125580E-2;4.491901398E-2
3.200940000E-1;6.587386131E-3;-3.089714050E-2;-5.604553223E-2
3.402930000E-1;6.479144096E-3;-2.950906754E-2;-5.399608612E-2
3.602080000E-1;-2.422159910E-2;1.148052216E-1;2.240829468E-1
3.802000000E-1;-3.991204500E-2;1.988029480E-1;3.990468979E-1
3.999700000E-1;-1.951056719E-2;9.639072418E-2;1.908102036E-1
4.199120000E-1;1.801550388E-3;-8.945941925E-3;-1.714611053E-2
4.299510000E-1;1.760619879E-2;-8.865642548E-2;-1.649293900E-1
4.400290000E-1;2.696251869E-2;-1.321101189E-1;-2.401704788E-1
4.500640000E-1;2.812957764E-2;-1.377558708E-1;-2.473497391E-1
4.606440000E-1;2.498954535E-2;-1.285500526E-1;-2.325649261E-1
4.801000000E-1;8.661150932E-4;-5.437374115E-3;-1.043510437E-2
4.902200000E-1;-3.961086273E-3;3.031539917E-2;6.034469604E-2
5.102510000E-1;-5.581021309E-3;4.794836044E-2;9.577846527E-2
5.302250000E-1;5.280017853E-3;-3.119182587E-2;-6.145572662E-2
5.402250000E-1;1.168495417E-2;-6.015348434E-2;-1.171607971E-1
5.506470000E-1;1.200312376E-2;-5.988883972E-2;-1.150007248E-1
5.702250000E-1;1.201379299E-2;-5.966615677E-2;-1.131753922E-1
5.803470000E-1;1.015776396E-2;-5.289173126E-2;-9.969806671E-2
5.920670000E-1;4.063606262E-3;-2.290439606E-2;-4.387378693E-2
6.101940000E-1;6.379902363E-3;-4.150438309E-2;-8.291149139E-2
6.304870000E-1;3.109437227E-2;-2.572507858E-1;-4.825382233E-1
6.502040000E-1;4.209637642E-2;-2.164654732E-1;-4.125423431E-1
6.704950000E-1;2.757936716E-2;-1.290287971E-1;-2.570180893E-1
6.902160000E-1;1.272946596E-2;-7.724046707E-2;-1.560497284E-1
7.002230000E-1;4.636287689E-3;-3.418159485E-2;-7.001876831E-2
7.201670000E-1;1.723504066E-2;-1.204142570E-1;-2.450962067E-1
7.401860000E-1;1.677262783E-2;-1.367311478E-1;-2.798585892E-1
7.503480000E-1;1.299765706E-2;-1.250009537E-1;-2.610921860E-1
7.701690000E-1;1.119497418E-2;-1.392273903E-1;-3.008384705E-1
7.904900000E-1;1.502758265E-2;-1.142058372E-1;-2.504749298E-1
8.005020000E-1;8.970797062E-3;-7.327413559E-2;-1.620197296E-1
8.207110000E-1;-6.404608488E-3;7.564425468E-2;1.787986755E-1
8.307280000E-1;-8.596986532E-3;8.546948433E-2;2.121753693E-1
8.502390000E-1;-6.897687912E-3;9.742927551E-2;2.426204681E-1
8.602490000E-1;-4.298686981E-3;1.041135788E-1;2.611846924E-1
8.702990000E-1;-3.975983709E-4;9.044814110E-2;2.329378128E-1
8.806110000E-1;1.649305224E-3;3.847289085E-2;9.674072266E-2
9.002090000E-1;-5.951511860E-2;-2.316641808E-1;-4.698553085E-1
9.202660000E-1;2.683994174E-2;-4.913043976E-1;-7.104048729E-1
9.417700000E-1;1.763668060E-1;-7.607622147E-1;-1.221914768E0
9.602570000E-1;4.589658976E-2;-2.114653587E-1;-4.040307999E-1
9.806960000E-1;5.175745487E-2;-1.975417137E-1;-4.205884933E-1
1.000203000E0;4.580907822E-1;-2.444288731E-1;-6.278219223E-1
1.010211000E0;7.737627625E-1;-2.149240971E-1;-9.499936104E-1
1.029993000E0;1.375259757E0;9.404983521E-1;-9.508528709E-1
1.040324000E0;1.334402084E0;1.070395708E0;-1.056766987E0
1.060164000E0;2.689473629E-1;4.736177921E-1;-1.174398422E0
