"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;-2.407446623E0;6.223190784E0;9.972012520E0
1.191875000E-2;-2.136010885E0;6.506597519E0;1.037069511E1
2.382187500E-2;-2.675147057E0;5.975726604E0;9.142374039E0
3.573437500E-2;-3.597747803E0;5.506960869E0;7.229090691E0
4.764843700E-2;-4.209169388E0;5.459373474E0;6.035897255E0
5.955625000E-2;-3.938212872E0;5.426640034E0;5.752002239E0
7.146875000E-2;-3.714565754E0;5.372454643E0;5.850787163E0
8.337968700E-2;-3.940357924E0;5.206699371E0;6.384100437E0
9.529218700E-2;-3.973828793E0;5.067749500E0;6.843250751E0
1.072046870E-1;-3.339499474E0;5.453876495E0;7.730848789E0
1.191156250E-1;-2.488811016E0;6.168076515E0;8.394750595E0
1.310281250E-1;-1.933365703E0;6.895022869E0;8.259641647E0
1.429390620E-1;-2.350119591E0;6.874049664E0;7.702941895E0
1.548593750E-1;-2.883394480E0;6.340315342E0;6.970957756E0
1.667609370E-1;-3.214541435E0;5.695154667E0;6.566394806E0
1.786734370E-1;-3.463509560E0;5.113248348E0;7.055492401E0
1.905875000E-1;-3.593735218E0;4.854291916E0;7.720869541E0
2.024968750E-1;-3.230544090E0;5.145647049E0;8.195103645E0
2.144078120E-1;-2.718166113E0;5.712182045E0;8.591199875E0
2.263203120E-1;-2.314800262E0;6.072537899E0;8.830418587E0
2.382312500E-1;-2.251296520E0;6.048318386E0;8.595748901E0
2.501437500E-1;-2.377739191E0;5.749886036E0;7.754177570E0
2.620546870E-1;-2.867774963E0;5.378306389E0;6.693096161E0
2.739656250E-1;-3.207377911E0;5.142543793E0;6.414727211E0
2.858765620E-1;-3.520893812E0;4.644674778E0;6.898930550E0
2.977890620E-1;-3.460569620E0;4.726393700E0;7.923342228E0
3.097031250E-1;-2.642537832E0;5.349192619E0;9.021859169E0
3.216328120E-1;-1.919278264E0;6.060164928E0;9.141838074E0
3.335234370E-1;-1.816940546E0;6.635529995E0;8.637934685E0
3.454359370E-1;-2.006781578E0;6.618473530E0;8.015997887E0
3.573468750E-1;-2.085158110E0;5.815745831E0;7.659396172E0
3.692593750E-1;-2.815973759E0;5.005222321E0;6.917911530E0
3.811703120E-1;-3.749789000E0;4.438342094E0;6.461997986E0
3.930890620E-1;-3.786995173E0;4.403204918E0;6.373039722E0
4.049937500E-1;-3.221580267E0;4.984038353E0;6.666501522E0
4.169046870E-1;-2.312367916E0;6.038885117E0;6.976875782E0
4.288171870E-1;-1.540869832E0;6.958354473E0;7.467256546E0
4.407312500E-1;-9.205514193E-1;6.724000454E0;7.805988312E0
4.526390620E-1;-6.635290384E-1;5.715649128E0;7.844870090E0
4.645515620E-1;-9.602760077E-1;4.658330917E0;8.394157410E0
