"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.093421480E1;7.408653800E0;2.725552195E2;0.000000000E0;0.000000000E0;1.968499947E1;2.000000000E0
1.678095055E0;5.093421480E1;7.408653800E0;0.000000000E0;0.000000000E0;0.000000000E0;1.968499947E1;0.000000000E0
5.631722658E0;5.093397123E1;7.406687968E0;2.512195339E2;4.865820706E-1;0.000000000E0;1.900000000E1;0.000000000E0
6.653100783E0;5.093416459E1;7.408204175E0;2.104412337E2;0.000000000E0;0.000000000E0;1.900000000E1;0.000000000E0
7.637676825E0;5.093416459E1;7.408204175E0;1.901650039E2;0.000000000E0;3.229917297E2;1.900000000E1;0.000000000E0
8.653808595E0;5.093416459E1;7.408204175E0;1.843336745E2;0.000000000E0;2.355486755E2;1.900000000E1;0.000000000E0
9.635979429E0;5.093416459E1;7.408204175E0;2.830795089E2;0.000000000E0;9.427568054E1;1.900000000E1;0.000000000E0
1.063162266E1;5.093421518E1;7.408076763E0;2.764569376E2;8.340272307E-1;9.421704102E1;1.900000000E1;0.000000000E0
1.163213099E1;5.093421866E1;7.408079764E0;2.802118250E2;1.049338579E0;9.131288910E1;1.900000000E1;0.000000000E0
1.266793516E1;5.093421979E1;7.408087331E0;2.786452331E2;1.185797453E0;8.303897095E1;1.900000000E1;0.000000000E0
1.366516641E1;5.093423327E1;7.408194629E0;2.821013390E2;1.294919252E0;7.592832184E1;1.900000000E1;0.000000000E0
1.464767734E1;5.093424799E1;7.408309241E0;2.810901881E2;1.416251779E0;7.600888062E1;1.900000000E1;0.000000000E0
1.563978412E1;5.093425022E1;7.408343811E0;2.788591532E2;1.492134094E0;8.410964203E1;1.900000000E1;0.000000000E0
1.663409193E1;5.093425764E1;7.408358864E0;2.861300012E2;1.514215946E0;8.730417633E1;1.900000000E1;0.000000000E0
1.764566380E1;5.093426708E1;7.408363786E0;2.882977707E2;1.524055362E0;8.250212097E1;1.900000000E1;0.000000000E0
1.866756068E1;5.093428091E1;7.408369667E0;3.000291158E2;1.539429665E0;6.612058258E1;1.900000000E1;0.000000000E0
1.964076693E1;5.093428267E1;7.408371100E0;2.888465925E2;1.541283607E0;6.893186188E1;1.900000000E1;0.000000000E0
2.063738672E1;5.093428654E1;7.408367315E0;2.931405167E2;1.539796233E0;6.683925629E1;1.900000000E1;0.000000000E0
2.163700755E1;5.093429111E1;7.408364152E0;2.941260922E2;1.543275595E0;6.226298141E1;1.900000000E1;0.000000000E0
2.265944922E1;5.093429149E1;7.408360671E0;2.918689234E2;1.535349250E0;6.145854568E1;1.900000000E1;0.000000000E0
2.363586953E1;5.093429164E1;7.408355990E0;2.914228816E2;1.523590446E0;6.559838867E1;1.900000000E1;0.000000000E0
2.463484297E1;5.093428926E1;7.408350471E0;2.894172349E2;1.510956407E0;6.953095245E1;1.900000000E1;0.000000000E0
