"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
6.150062000E-3;-3.673045337E-1;-5.781053901E-1;1.320167035E-1
1.804381200E-2;1.384046078E-1;-4.886747301E-1;-1.096590385E-1
2.995475000E-2;4.844161272E-1;-3.928561509E-1;-3.332357109E-1
4.186568700E-2;4.833514690E-1;-3.758217394E-1;-3.343003690E-1
5.377818700E-2;2.906496823E-1;-4.737696350E-1;-1.809906363E-1
6.570006200E-2;1.128529906E-1;-5.727821589E-1;-6.387905031E-2
7.760162500E-2;-4.258603230E-2;-6.941523552E-1;1.064650808E-2
8.951256200E-2;-1.160469428E-1;-7.527081370E-1;1.000771821E-1
1.014235000E-1;-1.756673902E-1;-7.303504944E-1;2.097362131E-1
1.133344370E-1;-1.298874021E-1;-7.101221085E-1;2.416757345E-1
1.252469370E-1;5.323254038E-3;-6.611481905E-1;1.575683206E-1
1.371610000E-1;1.341460049E-1;-5.962044597E-1;-8.517206460E-2
1.490703750E-1;1.650208831E-1;-5.812993646E-1;-2.810678184E-1
1.609813120E-1;1.181762442E-1;-6.686007380E-1;-3.768863976E-1
1.728953750E-1;4.045673087E-2;-8.165872097E-1;-3.609166443E-1
1.848047500E-1;-6.387905218E-3;-9.092118144E-1;-2.480636388E-1
1.967156870E-1;1.809906401E-2;-9.262462258E-1;-8.197811246E-2
2.086313120E-1;7.346090674E-2;-8.943067193E-1;5.536184460E-2
2.205406870E-1;1.458571702E-1;-8.272337317E-1;4.152138159E-2
2.324516250E-1;1.799259931E-1;-6.643421054E-1;-9.155996889E-2
2.443641250E-1;1.128529906E-1;-3.779510558E-1;-2.661627233E-1
2.562750620E-1;-3.193952516E-2;-1.927018017E-1;-3.343003690E-1
2.681860000E-1;-2.076069117E-1;-2.235766798E-1;-2.885203660E-1
2.800969370E-1;-3.523994386E-1;-3.598519862E-1;-1.990897059E-1
2.920094370E-1;-3.598519862E-1;-5.120970607E-1;-5.962044746E-2
3.039266250E-1;-2.161241174E-1;-6.941523552E-1;1.415985674E-1
3.158344370E-1;4.152138159E-2;-6.664714217E-1;1.969604045E-1
3.277500620E-1;2.214473784E-1;-6.419844627E-1;9.581857920E-2
3.396547500E-1;2.480636388E-1;-5.610709786E-1;-1.266934574E-1
3.515672500E-1;1.352106631E-1;-4.247956872E-1;-3.438822329E-1
3.634781870E-1;1.596976258E-2;-3.023608327E-1;-4.386361539E-1
3.753938120E-1;-1.234994978E-1;-3.492054641E-1;-3.896622062E-1
3.873016250E-1;-2.395464331E-1;-5.195496082E-1;-2.193180770E-1
3.992125620E-1;-3.811450005E-1;-7.952941656E-1;-9.581857361E-3
4.111250620E-1;-4.748342633E-1;-1.041228533E0;6.813765317E-2
4.230360000E-1;-5.429719090E-1;-1.355300546E0;5.323254038E-3
4.349485000E-1;-6.153681874E-1;-1.538420439E0;-2.352878302E-1
4.468594370E-1;-7.186393142E-1;-1.485187888E0;-5.067738295E-1
4.587735000E-1;-9.155997038E-1;-1.375528932E0;-7.122514248E-1
4.706828750E-1;-1.046551824E0;-1.201990843E0;-7.122514248E-1
4.825953750E-1;-1.134917736E0;-9.784141183E-1;-5.749114752E-1
4.945063120E-1;-1.228607059E0;-6.015277505E-1;-2.981022298E-1
5.064172500E-1;-1.402145147E0;-1.735380888E-1;4.258603230E-2
5.183297500E-1;-1.708764553E0;6.270793676E-1;3.609166443E-1
5.302406870E-1;-2.001543522E0;1.076362014E0;4.588645101E-1
5.421531870E-1;-2.327326775E0;1.392563343E0;2.981022298E-1
5.540656870E-1;-2.602006674E0;1.596976280E0;1.373399645E-1
