"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.985156200E-2;-7.930999994E-1;1.130100012E0;1.510399938E0
3.970468700E-2;-2.254799843E0;2.823999822E-1;-1.444899917E0
5.955625000E-2;-2.262599945E0;1.488000005E-1;-2.366600037E0
7.940937500E-2;-1.620599985E0;-2.078999877E-1;-1.666700006E0
9.926250000E-2;-8.787999749E-1;-5.001999736E-1;-4.342999756E-1
1.191156250E-1;6.308000088E-1;7.211999893E-1;8.359999657E-1
1.389671870E-1;8.484999537E-1;1.500100017E0;3.088999987E-1
1.588203120E-1;-1.308999956E-1;6.194999814E-1;-8.342999816E-1
1.786734370E-1;-7.253999710E-1;-5.266000032E-1;-5.141000152E-1
1.985265620E-1;-7.475000024E-1;-7.123000026E-1;4.654999971E-1
2.183796870E-1;-3.329999745E-2;2.122000009E-1;1.067700028E0
2.382312500E-1;1.570999920E-1;3.633999825E-1;9.542999864E-1
2.580843750E-1;-3.291999996E-1;-1.891999990E-1;-6.665999889E-1
2.779359370E-1;-9.556999803E-1;-6.448999643E-1;-1.170300007E0
2.977890620E-1;-1.020099998E0;-8.236999512E-1;1.965999901E-1
3.176421870E-1;2.246999890E-1;2.830999792E-1;1.439499974E0
3.374937500E-1;3.493999839E-1;1.201799989E0;6.385999918E-1
3.573468750E-1;1.042999998E-1;2.662999928E-1;-1.457999945E-1
3.772000000E-1;-1.259599924E0;-9.029999971E-1;-1.204900026E0
3.970515620E-1;-1.480199933E0;-9.383999705E-1;-1.384999990E0
4.169046870E-1;-1.722999960E-1;6.219999790E-1;-9.344999790E-1
4.367578120E-1;8.740999699E-1;1.569599986E0;-2.382999957E-1
4.566125000E-1;1.036199927E0;4.479999840E-2;-1.711999923E-1
4.764625000E-1;6.059999764E-2;-1.249799967E0;6.358000040E-1
4.963156250E-1;-7.051999569E-1;-1.771099925E0;9.922999740E-1
5.161687500E-1;-1.930999905E-1;-6.688999534E-1;1.941199899E0
5.360203120E-1;7.960999608E-1;1.231999993E0;1.317799926E0
5.558734370E-1;1.780499935E0;2.789999843E-1;3.048000038E-1
5.757265620E-1;1.884899974E0;5.845000148E-1;-5.171999931E-1
5.955796870E-1;7.815999985E-1;1.584699988E0;9.389999509E-2
6.154312500E-1;-7.768999934E-1;2.265799999E0;4.062999785E-1
6.352843750E-1;1.077000022E0;3.294999897E-1;5.626999736E-1
6.551375000E-1;2.052899837E0;-5.809000134E-1;-2.567999959E-1
6.749890620E-1;3.479499817E0;-9.498999715E-1;-1.364199996E0
6.948421870E-1;3.377099991E0;-1.002399921E0;-7.565999627E-1
7.146953120E-1;-1.272599936E0;-3.561800003E0;1.381699920E0
7.345468750E-1;-3.572799921E0;-4.754099846E0;-2.079799891E0
7.544000000E-1;-1.907999963E-1;-3.328500032E0;-7.601899624E0
7.742531250E-1;-1.421100020E0;-2.724099874E0;-5.298500061E0
7.941062500E-1;-5.828299999E0;-1.645099998E0;1.260200024E0
8.139578120E-1;-5.088500023E0;1.193000004E-1;-4.509999976E-2
8.338109370E-1;2.239500046E0;2.638999939E0;3.739999980E-2
8.536640620E-1;3.399899960E0;3.631899834E0;1.671999931E0
8.735156250E-1;3.402099848E0;3.221699953E0;1.106899977E0
8.933687500E-1;4.941199780E0;3.947099924E0;-1.628700018E0
9.132218750E-1;3.916399956E0;1.411099911E0;-8.952999711E-1
9.330734370E-1;2.590800047E0;9.062999487E-1;-1.262799978E0
9.529265620E-1;1.929600000E0;1.375999928E0;1.561699986E0
