"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;-4.927305222E0;5.981482029E0;6.494492054E0
1.191093800E-2;-5.152695179E0;5.964847088E0;6.139010906E0
2.382343800E-2;-5.666471958E0;5.592673302E0;5.772947311E0
3.573437500E-2;-5.850873470E0;5.189269543E0;5.731632710E0
4.764687500E-2;-6.031654835E0;5.025142193E0;5.545258522E0
5.955781300E-2;-6.538143635E0;4.632780075E0;5.443533897E0
7.146875000E-2;-6.406998634E0;4.434770107E0;4.688057423E0
8.338750000E-2;-5.905135632E0;4.728624821E0;4.309409618E0
9.529375000E-2;-5.264964581E0;5.378593445E0;4.318967342E0
1.072046880E-1;-4.828760147E0;5.344164371E0;5.408760071E0
1.191156250E-1;-4.393685341E0;5.794925690E0;6.492241859E0
1.310281250E-1;-3.986719131E0;5.707058430E0;8.188830376E0
1.429421880E-1;-4.001429081E0;4.959454536E0;8.398983955E0
1.548515630E-1;-4.467159271E0;4.127278328E0;7.967414856E0
1.667625000E-1;-4.836545944E0;3.739628077E0;7.759722710E0
1.786734380E-1;-4.752020836E0;3.735826254E0;7.464412212E0
1.905859380E-1;-4.339375496E0;4.172001839E0;6.540336609E0
2.025031250E-1;-4.193865776E0;4.520971298E0;5.952387810E0
2.144093750E-1;-4.224109173E0;4.671010971E0;5.681680202E0
2.263203130E-1;-4.267405987E0;4.460713863E0;6.035523891E0
2.382328130E-1;-4.189508438E0;3.609019518E0;8.565132141E0
2.501515630E-1;-3.778462172E0;2.916003704E0;1.023367023E1
2.620609380E-1;-3.908208847E0;3.410712719E0;1.055412006E1
2.739671880E-1;-3.439644337E0;3.430076838E0;1.055117035E1
2.858781250E-1;-2.689454556E0;3.258594751E0;1.127999401E1
2.977906250E-1;-1.366485834E0;2.159684896E0;1.170933247E1
3.097015630E-1;-2.412263632E0;4.322779179E0;1.153451633E1
3.216125000E-1;-3.346145868E0;4.936930180E0;1.065209103E1
3.335250000E-1;-3.453616619E0;5.591706276E0;9.246646881E0
3.454375000E-1;-3.439385653E0;4.925936222E0;7.158739567E0
3.573484380E-1;-3.160825253E0;4.608417034E0;4.943107128E0
3.692671880E-1;-4.077775478E0;4.626430511E0;5.322252750E0
3.811703130E-1;-5.407553673E0;4.568989277E0;5.647155762E0
3.930828130E-1;-3.882313013E0;4.373201370E0;5.456653595E0
4.049937500E-1;-2.834485769E0;4.474092960E0;6.491868019E0
4.169171880E-1;-2.736400127E0;4.334118366E0;7.027671337E0
4.288203130E-1;-2.659412146E0;3.901705980E0;6.484886646E0
4.407281250E-1;-2.700544596E0;3.170143366E0;6.278391838E0
4.526468750E-1;-2.927936316E0;2.135263920E0;6.682513714E0
4.645515630E-1;-3.187640190E0;8.945407867E-1;8.574976921E0
4.764640630E-1;-3.778529167E0;-7.234320045E-2;1.008463573E1
4.883828130E-1;-3.755784273E0;5.690538883E-2;1.076373768E1
5.002859380E-1;-2.997262716E0;6.212953329E-1;1.082567978E1
5.121984380E-1;-2.646588802E0;6.548429132E-1;9.975632668E0
5.241093750E-1;-2.664957285E0;5.833712220E-1;9.340690613E0
5.360406250E-1;-3.356201410E0;2.179489732E-1;9.062331200E0
5.479328130E-1;-4.212185860E0;-4.690336883E-1;7.999909401E0
5.598500000E-1;-3.795968533E0;-3.735433221E-1;6.971666336E0
5.717562500E-1;-2.661069155E0;5.697050691E-1;7.277386665E0
5.836671880E-1;-1.797614455E0;1.357129216E0;8.951987267E0
5.955796880E-1;-1.701501727E0;1.150471449E0;1.057380962E1
6.074953130E-1;-3.227987289E0;-1.039868951E0;1.492598915E1
6.194015630E-1;-3.065488100E0;-2.016971350E0;1.014311218E1
6.313140630E-1;-4.607746601E0;-3.254390478E0;1.083092785E1
6.432265630E-1;-5.082124233E0;-3.827610254E0;9.260676384E0
6.551390630E-1;-4.586993694E0;-3.534703732E0;9.665784836E0
6.670500000E-1;-3.408040762E0;-2.584521532E0;1.005336857E1
6.789609380E-1;-2.228896379E0;-1.520078659E0;1.050324821E1
6.908812500E-1;-8.453543186E-1;-4.365108535E-2;1.227565670E1
7.027843750E-1;-2.836075425E-1;1.026394248E0;1.368377209E1
7.146953130E-1;-3.121176958E-1;1.167834163E0;1.308891869E1
7.266062500E-1;-9.672766328E-1;1.127822280E0;1.186468697E1
7.385187500E-1;-1.303700328E0;1.018005013E0;1.083419323E1
7.504296880E-1;-1.038374901E0;1.543168306E0;1.008643627E1
7.623421880E-1;-7.013670206E-1;2.240417242E0;1.034847736E1
7.742734380E-1;-5.604443550E-1;2.036460161E0;1.075271416E1
7.861656250E-1;-1.028070211E0;1.273504615E0;1.041892338E1
7.980765630E-1;-1.601117611E0;1.171454072E0;9.674231529E0
8.099875000E-1;-9.017042518E-1;1.694884181E0;5.557105064E0
8.219000000E-1;-4.883309603E-1;2.332967520E0;6.064455509E0
8.338156250E-1;-1.293970227E0;1.962124825E0;8.797886848E0
8.457328130E-1;-1.969862938E0;1.377049088E0;9.549321175E0
8.576343750E-1;-2.136432409E0;1.239372969E0;9.614645004E0
8.695453130E-1;-1.995643735E0;1.690143585E0;9.738243103E0
8.814578130E-1;-1.440754056E0;1.489672184E0;8.996452332E0
8.933687500E-1;-1.548933625E0;2.260011435E0;1.046479702E1
9.052843750E-1;-1.292677402E0;3.051572800E0;1.059915924E1
9.172031250E-1;-5.512218475E-1;3.407245874E0;9.681644440E0
9.291046880E-1;-3.567360714E-2;3.202484131E0;8.214219093E0
9.410156250E-1;-5.859664679E-1;2.879410744E0;7.626920700E0
9.529265630E-1;-2.045127153E-1;2.868780375E0;7.677007675E0
9.648390630E-1;-1.993986964E-1;2.915993929E0;8.463426590E0
9.767515630E-1;-5.071398020E-1;2.318631172E0;9.691192627E0
9.886625000E-1;1.825530827E-1;2.187438488E0;1.057412624E1
1.000573438E0;6.724450588E-1;2.822869062E0;9.764664650E0
1.012484375E0;6.826635003E-1;2.937522650E0;8.889565468E0
1.024406250E0;1.230792165E0;3.173533440E0;9.476480484E0
1.036307813E0;1.654268980E0;3.630174875E0;8.847360611E0
1.048225000E0;1.562886953E0;3.697451830E0;7.846440315E0
1.060131250E0;5.773282647E-1;3.146431208E0;7.530587673E0
1.072042188E0;4.755171835E-1;2.989007473E0;7.669835091E0
1.083953125E0;1.181959987E0;3.627761364E0;6.982038021E0
1.095865625E0;2.066435575E0;4.294527531E0;7.421910286E0
1.107776563E0;2.961436033E0;4.639225483E0;8.217408180E0
1.119689063E0;3.518241167E0;4.574716091E0;8.536918640E0
1.131601563E0;3.041363955E0;3.919308186E0;9.348055840E0
1.143512500E0;2.291749001E0;3.389442682E0;9.642177582E0
1.155423438E0;2.284863234E0;3.729716063E0;8.635712624E0
1.167335938E0;2.047799110E0;3.787177086E0;7.599885941E0
1.179246875E0;2.747432709E0;4.089804173E0;7.273967743E0
1.191162500E0;3.650276661E0;5.021723270E0;6.772794247E0
1.203070313E0;3.711903334E0;5.271821499E0;6.591716290E0
1.214982813E0;3.539760351E0;4.994783878E0;6.988214970E0
1.226893750E0;3.595123768E0;4.985024929E0;7.374217987E0
1.238806250E0;3.244574308E0;4.818541527E0;7.586976051E0
1.250717188E0;2.549039602E0;4.299602985E0;7.931894302E0
1.262628125E0;3.284346581E0;4.302274704E0;7.396809578E0
