"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.093999190E1;7.402496900E0;0.000000000E0;0.000000000E0;0.000000000E0;9.840000153E1;0.000000000E0
3.821100000E1;5.093996600E1;7.402369800E0;2.843696203E2;0.000000000E0;0.000000000E0;2.163800049E1;2.000000000E0
3.832824338E1;5.093999190E1;7.402496900E0;0.000000000E0;0.000000000E0;0.000000000E0;9.840000153E1;0.000000000E0
4.049119443E1;5.093992800E1;7.402723253E0;2.765534631E2;8.665869236E-1;0.000000000E0;2.195494461E1;0.000000000E0
4.169961838E1;5.093979438E1;7.403035858E0;2.731014805E2;3.557666838E-1;0.000000000E0;4.841238403E1;0.000000000E0
4.268826318E1;5.093965604E1;7.403138596E0;2.813998653E2;1.129872680E0;0.000000000E0;1.900000000E1;0.000000000E0
4.391502359E1;5.093967978E1;7.403177956E0;2.840950095E2;0.000000000E0;0.000000000E0;1.900000000E1;0.000000000E0
4.491011891E1;5.093967978E1;7.403177956E0;2.830614402E2;0.000000000E0;1.253125305E2;1.867906952E1;0.000000000E0
4.591010224E1;5.093967978E1;7.403177956E0;2.852846457E2;0.000000000E0;1.218203888E2;1.911602020E1;0.000000000E0
4.690902620E1;5.093967978E1;7.403177956E0;2.852151572E2;0.000000000E0;2.109273224E2;1.657797432E1;0.000000000E0
4.793024963E1;5.093967978E1;7.403177956E0;2.859393088E2;0.000000000E0;2.016294556E2;1.318533230E1;0.000000000E0
4.897579547E1;5.093960999E1;7.403297599E0;2.851838277E2;1.157918096E0;1.991645203E2;1.095128727E1;0.000000000E0
4.990669286E1;5.093959481E1;7.403301750E0;2.848069051E2;1.296343565E0;1.943527832E2;6.389901161E0;0.000000000E0
5.091070588E1;5.093958209E1;7.403303609E0;2.843827472E2;1.379452109E0;1.864072571E2;5.049096107E0;0.000000000E0
5.191617880E1;5.093957008E1;7.403303084E0;2.835516402E2;1.457915545E0;1.852839355E2;4.699999809E0;0.000000000E0
5.291890536E1;5.093956144E1;7.403301265E0;2.821039325E2;1.520214915E0;1.437046051E2;4.699999809E0;0.000000000E0
5.390548870E1;5.093955319E1;7.403300992E0;2.810598806E2;1.577180624E0;1.488059845E2;4.699999809E0;0.000000000E0
5.491894651E1;5.093954572E1;7.403302997E0;2.801320702E2;1.635358334E0;1.505370483E2;4.699999809E0;0.000000000E0
5.591129703E1;5.093953815E1;7.403307451E0;2.792042276E2;1.703860283E0;1.494920349E2;4.699999809E0;0.000000000E0
5.690470432E1;5.093952800E1;7.403314984E0;2.786379507E2;1.830638409E0;1.590283203E2;4.699999809E0;0.000000000E0
5.792902099E1;5.093951887E1;7.403322305E0;2.780461325E2;1.909612656E0;1.657872620E2;4.699999809E0;0.000000000E0
5.892117463E1;5.093950931E1;7.403329229E0;2.774748521E2;1.977397084E0;1.605391541E2;4.699999809E0;0.000000000E0
5.990743192E1;5.093949909E1;7.403336495E0;2.767619382E2;2.042236328E0;1.704590454E2;4.699999809E0;0.000000000E0
6.090542463E1;5.093948901E1;7.403343298E0;2.765667861E2;2.081092358E0;1.697124939E2;4.699999809E0;0.000000000E0
6.190428921E1;5.093948086E1;7.403351292E0;2.766894469E2;2.056989193E0;1.615064697E2;4.699999809E0;0.000000000E0
6.290358661E1;5.093947673E1;7.403358545E0;2.772509888E2;1.966802478E0;1.601311188E2;4.699999809E0;0.000000000E0
6.391041005E1;5.093947344E1;7.403367035E0;2.774768077E2;1.908875823E0;1.576714478E2;4.699999809E0;0.000000000E0
6.490826942E1;5.093946861E1;7.403374249E0;2.773203918E2;1.879646897E0;1.523566284E2;4.699999809E0;0.000000000E0
6.591365171E1;5.093946150E1;7.403380229E0;2.774022842E2;1.883547068E0;1.534429169E2;4.699999809E0;0.000000000E0
6.690668244E1;5.093944831E1;7.403387860E0;2.774559051E2;1.968995214E0;1.543954620E2;4.699999809E0;0.000000000E0
6.794675432E1;5.093943458E1;7.403394447E0;2.775167889E2;2.002528191E0;1.551135254E2;4.699999809E0;0.000000000E0
6.891147359E1;5.093942128E1;7.403399929E0;2.774593575E2;2.013450623E0;1.479692993E2;4.699999809E0;0.000000000E0
6.991663713E1;5.093940853E1;7.403405042E0;2.775279954E2;2.007126808E0;1.562242279E2;4.699999809E0;0.000000000E0
7.091484703E1;5.093939612E1;7.403409544E0;2.775204015E2;1.999878407E0;1.545805664E2;4.699999809E0;0.000000000E0
7.191156578E1;5.093937209E1;7.403419286E0;2.772899436E2;1.948264599E0;1.646840668E2;4.699999809E0;0.000000000E0
7.294103973E1;5.093935101E1;7.403426584E0;2.769566483E2;1.873490214E0;1.684058685E2;4.699999809E0;0.000000000E0
7.391230484E1;5.093933302E1;7.403434101E0;2.766058415E2;1.797815323E0;1.686040955E2;4.699999809E0;0.000000000E0
7.491028869E1;5.093931828E1;7.403441144E0;2.760377864E2;1.711493731E0;1.650404510E2;4.699999809E0;0.000000000E0
7.592206005E1;5.093930489E1;7.403445177E0;2.757328581E2;1.638684154E0;1.683524933E2;4.699999809E0;0.000000000E0
7.690217828E1;5.093929210E1;7.403451291E0;2.754744996E2;1.590785146E0;1.612570801E2;4.699999809E0;0.000000000E0
7.791120380E1;5.093927901E1;7.403457678E0;2.752517237E2;1.561674356E0;1.603610840E2;4.699999809E0;0.000000000E0
7.890931525E1;5.093926508E1;7.403463595E0;2.751219642E2;1.550721526E0;1.601733398E2;4.699999809E0;0.000000000E0
7.991221942E1;5.093924949E1;7.403468327E0;2.753762051E2;1.554145575E0;1.615189209E2;4.699999809E0;0.000000000E0
8.090525275E1;5.093923337E1;7.403472207E0;2.753726940E2;1.555738330E0;1.659316406E2;4.699999809E0;0.000000000E0
8.190329077E1;5.093921797E1;7.403477091E0;2.750862247E2;1.552132249E0;1.643015747E2;4.699999809E0;0.000000000E0
8.290955327E1;5.093920425E1;7.403483410E0;2.748048235E2;1.538021922E0;1.614479370E2;4.699999809E0;0.000000000E0
8.390866056E1;5.093919177E1;7.403490856E0;2.747759874E2;1.520659089E0;1.592766418E2;4.699999809E0;0.000000000E0
8.491378921E1;5.093917991E1;7.403499152E0;2.749443565E2;1.505630374E0;1.553204498E2;4.699999809E0;0.000000000E0
8.592349338E1;5.093916819E1;7.403507456E0;2.749823852E2;1.496152282E0;1.542268219E2;4.699999809E0;0.000000000E0
8.690259442E1;5.093915622E1;7.403515248E0;2.749085364E2;1.494058609E0;1.533577881E2;4.699999809E0;0.000000000E0
8.791185432E1;5.093914402E1;7.403521828E0;2.749351518E2;1.495411634E0;1.527896271E2;4.699999809E0;0.000000000E0
8.892967306E1;5.093913073E1;7.403525665E0;2.751501518E2;1.503465772E0;1.589066925E2;4.699999809E0;0.000000000E0
8.990161577E1;5.093911870E1;7.403529597E0;2.753239859E2;1.288336039E0;1.592785034E2;4.699999809E0;0.000000000E0
9.091073400E1;5.093910710E1;7.403531529E0;2.752064706E2;1.138262630E0;1.689373779E2;4.699999809E0;0.000000000E0
9.190997150E1;5.093909437E1;7.403534276E0;2.750656069E2;1.264829040E0;1.687964935E2;4.699999809E0;0.000000000E0
9.291377984E1;5.093908095E1;7.403537024E0;2.750357343E2;1.356696129E0;1.698833618E2;4.699999809E0;0.000000000E0
9.390566004E1;5.093906713E1;7.403540005E0;2.752107558E2;1.414572597E0;1.701339569E2;4.699999809E0;0.000000000E0
9.490337879E1;5.093905285E1;7.403543573E0;2.753847386E2;1.451202154E0;1.714871826E2;4.699999809E0;0.000000000E0
9.590958036E1;5.093903835E1;7.403548210E0;2.750435836E2;1.481310606E0;1.692325592E2;4.699999809E0;0.000000000E0
9.690240796E1;5.093902412E1;7.403555127E0;2.749670151E2;1.501525402E0;1.616046295E2;4.699999809E0;0.000000000E0
9.790697410E1;5.093900996E1;7.403561025E0;2.750392510E2;1.512117505E0;1.629599609E2;4.699999809E0;0.000000000E0
9.892339390E1;5.093899586E1;7.403566158E0;2.750909187E2;1.519543052E0;1.642758179E2;4.699999809E0;0.000000000E0
9.991143035E1;5.093898206E1;7.403571970E0;2.749568870E2;1.524951816E0;1.608455811E2;4.699999809E0;0.000000000E0
