"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.010318800E-2;-2.427403927E-1;-8.474620581E-1;-3.726277873E-2
2.201412500E-2;-1.117883399E-1;-9.209229946E-1;-1.277581006E-1
3.392506300E-2;-3.193952516E-2;-9.709615707E-1;-1.426632106E-1
4.585787500E-2;-4.045673087E-2;-9.400866628E-1;-1.117883399E-1
5.774850000E-2;-1.096590385E-1;-9.251815677E-1;-4.897394031E-2
6.966100000E-2;-9.581857920E-2;-1.047616482E0;4.365068302E-2
8.157193800E-2;-1.107236892E-1;-1.517127395E0;1.437278688E-1
9.348287500E-2;-2.257059813E-1;-1.859945059E0;1.596976221E-1
1.054016250E-1;-4.120198786E-1;-2.048388243E0;7.239625603E-2
1.173063130E-1;-5.951398015E-1;-2.103749990E0;-3.193952609E-3
1.292188130E-1;-7.463202477E-1;-2.023901224E0;-2.044129670E-1
1.411297500E-1;-7.793244123E-1;-1.665113926E0;-3.683691919E-1
1.530406880E-1;-8.091346622E-1;-1.470282793E0;-4.077612758E-1
1.649531880E-1;-8.549146056E-1;-1.346783280E0;-2.970375717E-1
1.768641250E-1;-8.879188299E-1;-1.249900103E0;-1.213701963E-1
1.887766250E-1;-8.900480866E-1;-1.285033584E0;6.920230389E-2
2.006875630E-1;-8.879188299E-1;-1.468153477E0;1.575683206E-1
2.126078750E-1;-9.273108840E-1;-1.764126420E0;1.990897059E-1
2.245110000E-1;-1.063586235E0;-2.005802155E0;2.044129670E-1
2.364219380E-1;-1.455377698E0;-1.875914812E0;2.959729433E-1
2.483344380E-1;-1.856751084E0;-8.059406877E-1;6.100449562E-1
2.602485000E-1;-2.015383959E0;-2.693566680E-1;8.666257858E-1
2.721578750E-1;-1.911048293E0;-2.193180770E-1;9.997071624E-1
2.840688130E-1;-1.568230629E0;-1.000771821E-1;9.752201438E-1
2.959797500E-1;-1.057198286E0;2.182534188E-1;9.549918175E-1
3.078922500E-1;-5.600063205E-1;6.909583807E-1;7.420616150E-1
3.198156880E-1;-1.809906401E-2;1.040163875E0;5.163556337E-1
3.317188130E-1;6.302732825E-1;1.024194121E0;4.471533597E-1
3.436266250E-1;1.043357849E0;6.771179438E-1;3.534640670E-1
3.555391250E-1;1.048681021E0;-1.075297371E-1;2.533869147E-1
3.674500630E-1;5.525537729E-1;-7.548374534E-1;1.352106631E-1
3.793610000E-1;-1.863138974E-1;-5.195496082E-1;2.022836655E-1
3.912735000E-1;-9.656383395E-1;-1.224348471E-1;4.258603454E-1
4.031844380E-1;-1.639562249E0;-6.494370103E-2;4.237310290E-1
4.150969380E-1;-1.973862648E0;-1.596976258E-2;3.832743168E-1
4.270078750E-1;-1.909983635E0;-3.044901490E-1;3.438822329E-1
4.389281880E-1;-1.705570698E0;-9.645736814E-1;2.086715698E-1
4.508328750E-1;-1.622527838E0;-1.453248382E0;9.688322991E-2
4.627438130E-1;-1.806712508E0;-1.577812552E0;5.323254317E-2
4.746547500E-1;-2.084586382E0;-1.422373533E0;1.458571702E-1
4.865656880E-1;-2.307098389E0;-1.047616482E0;4.279896319E-1
4.984766250E-1;-2.386947155E0;-4.971919358E-1;6.387904882E-1
5.103891250E-1;-2.458278894E0;-5.536184460E-2;7.335444093E-1
5.223000630E-1;-2.551968098E0;1.309520602E-1;8.378801942E-1
5.342360000E-1;-2.724441528E0;2.981022373E-2;1.007159710E0
5.461250630E-1;-3.045966148E0;-9.901253134E-2;1.417050242E0
5.580422500E-1;-3.298288345E0;-3.449468613E-1;1.784354806E0
5.699485000E-1;-3.440951586E0;-7.505788207E-1;1.969604015E0
5.818594380E-1;-3.390913010E0;-1.126400590E0;1.889755249E0
5.937703750E-1;-3.163077593E0;-8.378801942E-1;1.718346477E0
6.056813130E-1;-2.764898300E0;3.012961745E-1;1.668307900E0
6.175938130E-1;-2.168693781E0;1.500092983E0;1.718346477E0
6.295047500E-1;-1.446860433E0;1.577812552E0;1.775837660E0
6.414219380E-1;-8.272337317E-1;1.457507014E0;1.918500781E0
6.533281880E-1;-2.278352827E-1;7.346090674E-1;2.021771908E0
6.652406880E-1;2.991668880E-1;9.049531817E-2;1.983444571E0
6.771516250E-1;6.984109282E-1;-2.768092155E-1;1.843975306E0
6.890625630E-1;1.115754128E0;-5.482951999E-1;1.611881375E0
7.009735000E-1;1.495834470E0;-5.951398015E-1;1.348912597E0
7.128860000E-1;1.867397547E0;-2.608394623E-1;1.075297356E0
7.247969380E-1;2.132495642E0;1.916371584E-1;8.996299505E-1
7.367297500E-1;2.278352737E0;4.886747301E-1;8.506560326E-1
7.486203750E-1;2.377365351E0;4.237310290E-1;8.314923048E-1
7.605391250E-1;2.471054554E0;-8.304276317E-2;7.111867666E-1
7.724438130E-1;2.525351763E0;-3.225892186E-1;5.184849501E-1
7.843547500E-1;2.534933567E0;-3.343003690E-1;3.779510558E-1
7.962656880E-1;2.480636358E0;-4.205370843E-1;3.704984784E-1
8.081781880E-1;2.171887636E0;-9.017592669E-1;3.225892186E-1
8.200906880E-1;1.005030394E0;-1.813100338E0;9.581857361E-3
8.320016250E-1;2.565808594E-1;-1.575683236E0;-9.581857920E-2
8.439125630E-1;-1.277581006E-1;-1.052939653E0;1.341460049E-1
8.558313130E-1;-1.682148278E-1;-1.011418343E0;4.865454435E-1
8.677360000E-1;-1.916371472E-2;-1.221154571E0;8.176518679E-1
8.796485000E-1;2.810678184E-1;-1.392563343E0;1.044422507E0
8.915656880E-1;5.993984342E-1;-1.510739565E0;1.186021090E0
9.034719380E-1;1.011418343E0;-1.231801033E0;1.166857362E0
9.153875630E-1;1.224348426E0;-9.816080928E-1;1.014612198E0
9.272938130E-1;1.195602894E0;-9.571211338E-1;7.676132321E-1
9.392063130E-1;8.943067193E-1;-9.560564756E-1;7.186393142E-1
9.511172500E-1;5.834286809E-1;-7.857123017E-1;8.751429915E-1
9.630297500E-1;3.907268643E-1;-7.527081370E-1;9.038885832E-1
9.749547500E-1;3.332357109E-1;-7.665486336E-1;9.368927479E-1
9.868531880E-1;4.109552205E-1;-6.302732825E-1;1.062521577E0
9.987641250E-1;4.790928662E-1;-3.811450005E-1;1.183891773E0
1.010679750E0;6.473076940E-1;-6.728593111E-1;1.240318179E0
1.022587563E0;8.825955391E-1;-1.078491330E0;1.240318179E0
1.034498500E0;1.008224368E0;-9.379574060E-1;1.310585141E0
1.046411000E0;9.443452954E-1;-7.250272036E-1;1.377658129E0
1.058321938E0;7.399323583E-1;-6.366612315E-1;1.523515344E0
1.070232875E0;5.557477474E-1;-5.589416623E-1;1.855686426E0
1.082145375E0;4.705756605E-1;-5.248728395E-1;2.108008623E0
1.094056313E0;4.737696350E-1;-8.432034850E-1;2.168693781E0
1.105968813E0;5.504244566E-1;-1.087008476E0;2.125043154E0
1.117879750E0;5.855579376E-1;-1.130659223E0;1.932341218E0
1.129790688E0;6.015277505E-1;-1.122141957E0;1.618269324E0
1.141703188E0;7.047988772E-1;-8.836601973E-1;1.504351616E0
1.153614125E0;7.867769599E-1;-7.154453397E-1;1.524580002E0
1.165525063E0;8.410741687E-1;-7.271565199E-1;1.508610249E0
1.177437563E0;8.634318113E-1;-8.527853489E-1;1.538420439E0
1.189348500E0;8.314923048E-1;-9.326341152E-1;1.520321369E0
1.201261000E0;7.771950960E-1;-1.108301520E0;1.311649799E0
1.213171938E0;7.197039723E-1;-1.151952267E0;1.216895938E0
1.225086000E0;6.174975038E-1;-9.922545552E-1;1.190279603E0
1.236995375E0;4.769635797E-1;-6.835058331E-1;1.147693634E0
1.248906313E0;4.077612758E-1;-4.599291682E-1;1.154081464E0
1.260818813E0;4.162784815E-1;-2.991668880E-1;1.204120159E0
1.272729750E0;4.716403186E-1;-3.854036033E-1;1.176439166E0
1.284640688E0;4.524766207E-1;-4.790928960E-2;9.603150487E-1
1.296553188E0;4.450240433E-1;-1.224348471E-1;8.240397573E-1
1.308465688E0;3.300417662E-1;-7.026695460E-2;7.952941656E-1
1.320376625E0;2.288999259E-1;-5.003859103E-2;8.581085801E-1
1.332287563E0;1.809906363E-1;-1.809906401E-2;9.933192134E-1
1.344200063E0;2.555162013E-1;-1.139176413E-1;1.182827115E0
1.356111000E0;4.716403186E-1;-2.640334070E-1;1.346783280E0
1.368023500E0;6.920230389E-1;-2.640334070E-1;1.292486072E0
1.379934438E0;7.633546591E-1;-2.076069117E-1;1.117883325E0
1.391846938E0;7.207686305E-1;-1.128529906E-1;1.085943818E0
1.403757875E0;5.962044597E-1;1.916371472E-2;1.146628976E0
1.415668813E0;5.429719090E-1;4.684463516E-2;1.219025254E0
1.427581313E0;6.047216654E-1;-1.213701963E-1;1.372334957E0
1.439493813E0;7.005402446E-1;-2.672273517E-1;1.566101432E0
1.451404750E0;7.271565199E-1;-2.757445574E-1;1.659790635E0
1.463315688E0;7.239625454E-1;-2.469989955E-1;1.598040938E0
1.475228188E0;7.335444093E-1;-2.480636388E-1;1.598040938E0
1.487139125E0;7.580313683E-1;-2.374171317E-1;1.611881375E0
1.499050063E0;7.654839754E-1;-2.267706245E-1;1.590588331E0
1.510964125E0;7.644193172E-1;-1.384046078E-1;1.527773976E0
1.522873500E0;7.612253428E-1;-4.045673087E-2;1.511804223E0
1.534786000E0;6.994755864E-1;1.522450745E-1;1.578877211E0
1.546696938E0;5.504244566E-1;2.608394623E-1;1.632109761E0
1.558607875E0;3.300417662E-1;3.577226698E-1;1.719411135E0
1.570520375E0;1.405339092E-1;4.279896319E-1;1.691730142E0
1.582431313E0;1.330813617E-1;4.567352235E-1;1.563972116E0
1.594343813E0;2.395464331E-1;4.450240433E-1;1.421308875E0
1.606254750E0;3.343003690E-1;3.651752472E-1;1.327619553E0
1.618167250E0;3.502701223E-1;1.490511149E-1;1.295680046E0
1.630078188E0;3.460115194E-1;-4.471533373E-2;1.312714458E0
1.641990688E0;3.417529166E-1;-1.362753063E-1;1.334007502E0
1.653901625E0;3.279124498E-1;-8.410741389E-2;1.347847939E0
1.665812563E0;2.981022298E-1;2.981022373E-2;1.314843774E0
1.677725063E0;3.225892186E-1;1.852492392E-1;1.253094077E0
1.689642250E0;4.482180178E-1;2.682920098E-1;1.302067995E0
1.701546938E0;6.547602415E-1;2.044129670E-1;1.398951173E0
1.713457875E0;9.624443650E-1;4.045673087E-2;1.479864717E0
1.725370375E0;1.249900103E0;-7.452555746E-2;1.534161806E0
1.737281313E0;1.326554894E0;-1.054004356E-1;1.507545590E0
1.749212563E0;1.212637305E0;-6.068509817E-2;1.421308875E0
1.761104750E0;1.039099216E0;1.064650808E-2;1.389369369E0
1.773017250E0;9.092118144E-1;-4.258603323E-3;1.410662413E0
1.784928188E0;9.028239250E-1;-1.149822921E-1;1.478800058E0
1.796840688E0;9.219876528E-1;-2.416757345E-1;1.538420439E0
1.808757875E0;9.219876528E-1;-3.598519862E-1;1.634239078E0
1.820664125E0;9.454099536E-1;-4.801575243E-1;1.761997104E0
1.832576625E0;9.784141183E-1;-6.206914186E-1;1.833328724E0
1.844487563E0;1.014612198E0;-7.718718648E-1;1.788613439E0
1.856398500E0;1.056133628E0;-8.698197603E-1;1.642756224E0
1.868329750E0;1.043357849E0;-7.612253428E-1;1.409597754E0
1.880221938E0;9.677675962E-1;-4.663170576E-1;1.162598729E0
1.892132875E0;7.995527983E-1;-9.262461960E-2;9.954485297E-1
1.904045375E0;6.111095548E-1;1.724734306E-1;9.358280897E-1
1.915956313E0;4.290542901E-1;2.406110913E-1;9.251815677E-1
1.927870375E0;3.289771080E-1;4.897394031E-2;9.603150487E-1
1.939779750E0;3.343003690E-1;-2.288999259E-1;1.062521577E0
1.951692250E0;4.365068376E-1;-5.546830893E-1;1.190279603E0
1.963604750E0;6.292086244E-1;-7.729365230E-1;1.244576812E0
1.975514125E0;9.017592669E-1;-8.804662228E-1;1.236059666E0
1.987426625E0;1.131723881E0;-8.389448524E-1;1.155146122E0
1.999337563E0;1.170051217E0;-7.399323583E-1;1.006095052E0
2.011250063E0;1.033775926E0;-6.270793676E-1;8.581085801E-1
2.023161000E0;8.570439219E-1;-4.897393882E-1;7.484495640E-1
2.035073500E0;7.122514248E-1;-2.523222566E-1;6.100449562E-1
2.046984438E0;5.812993646E-1;7.346090674E-2;6.281439662E-1
2.058895375E0;6.132388711E-1;5.962044746E-2;5.568124056E-1
2.070807875E0;7.921002507E-1;-9.262461960E-2;5.429719090E-1
2.082723500E0;9.390220642E-1;-3.385589719E-1;5.706528425E-1
2.094631313E0;9.911899567E-1;-5.685235262E-1;6.206914186E-1
2.106542250E0;9.390220642E-1;-6.717946529E-1;6.696653962E-1
2.118453188E0;7.963588238E-1;-7.431262732E-1;6.707300544E-1
2.130365688E0;5.951398015E-1;-7.122514248E-1;6.217560768E-1
2.142276625E0;4.375714958E-1;-6.132388711E-1;5.344547033E-1
2.154187563E0;3.513347805E-1;-5.312607884E-1;4.471533597E-1
2.166100063E0;3.630459309E-1;-4.812221825E-1;3.619812727E-1
2.178012563E0;4.748342633E-1;-3.971147537E-1;2.970375717E-1
2.189923500E0;5.962044597E-1;-3.523994386E-1;2.768092155E-1
2.201839125E0;6.803118587E-1;-4.162784815E-1;2.565808594E-1
2.213746938E0;6.866998076E-1;-6.451784372E-1;2.288999259E-1
2.225657875E0;5.514891148E-1;-8.453327417E-1;2.235766798E-1
2.237568813E0;3.353650272E-1;-9.411513209E-1;2.171887755E-1
2.249481313E0;7.133160532E-2;-8.133932352E-1;2.108008713E-1
2.261392250E0;-1.831199378E-1;-4.024380147E-1;1.618269235E-1
2.273304750E0;-2.640334070E-1;-4.471533373E-2;7.239625603E-2
2.285217250E0;-1.660855263E-1;1.607622802E-1;7.452555932E-3
2.297137563E0;0.000000000E0;2.672273517E-1;2.661627159E-2
2.309039125E0;2.150594741E-1;2.629687488E-1;5.962044746E-2
2.320950063E0;3.577226698E-1;1.916371584E-1;1.064650863E-1
2.332862563E0;4.343775511E-1;1.107236892E-1;1.863138974E-1
2.344773500E0;4.535412490E-1;4.365068302E-2;2.640334070E-1
2.356687563E0;4.375714958E-1;-1.916371472E-2;3.130073547E-1
2.368596938E0;3.992440701E-1;-3.193952516E-2;3.641105890E-1
2.380509438E0;3.492054641E-1;2.235766686E-2;4.609938264E-1
2.392420375E0;2.800031602E-1;2.448697016E-2;6.313379407E-1
2.404331313E0;2.565808594E-1;-4.258603230E-2;7.942295074E-1
2.416243813E0;2.789385319E-1;-1.511804163E-1;9.038885832E-1
2.428154750E0;3.151366413E-1;-2.395464331E-1;9.635090232E-1
2.440067250E0;3.609166443E-1;-2.278352827E-1;9.581857324E-1
2.451978188E0;3.949854672E-1;-1.746027321E-1;9.752201438E-1
2.463890688E0;4.088259339E-1;-1.788613349E-1;1.007159710E0
2.475801625E0;4.439594150E-1;-2.576455176E-1;9.358280897E-1
2.487715688E0;5.291314721E-1;-3.800803423E-1;7.846476436E-1
2.499625063E0;6.217560768E-1;-4.460887015E-1;6.686007380E-1
2.511536000E0;6.696653962E-1;-3.555933833E-1;6.206914186E-1
2.523448500E0;6.888290644E-1;-1.895078421E-1;6.590188742E-1
2.535359438E0;6.590188742E-1;-3.832742944E-2;8.581085801E-1
2.547270375E0;6.473076940E-1;2.342231758E-2;1.122141957E0
2.559181313E0;6.643421054E-1;-7.026695460E-2;1.414920926E0
2.571093813E0;6.717946529E-1;-2.949082851E-1;1.629980445E0
2.583004750E0;6.473076940E-1;-5.110324025E-1;1.741768718E0
2.594917250E0;6.025923491E-1;-6.505016685E-1;1.822682261E0
2.606828188E0;5.674588680E-1;-7.399323583E-1;1.843975306E0
2.618740688E0;5.972691178E-1;-7.984881401E-1;1.772643685E0
2.630651625E0;6.877644658E-1;-9.379574060E-1;1.571424603E0
2.642564125E0;7.527081370E-1;-1.035905242E0;1.262675881E0
2.654475063E0;7.750658393E-1;-9.784141183E-1;9.198583364E-1
2.666386000E0;7.612253428E-1;-8.027467132E-1;5.089030862E-1
2.678298500E0;7.282211781E-1;-5.472305417E-1;2.150594741E-1
2.690209438E0;6.973463297E-1;-3.289771080E-1;9.688322991E-2
2.702137563E0;6.015277505E-1;-2.629687488E-1;2.682920098E-1
2.714031313E0;4.098905623E-1;-3.960501254E-1;6.813765168E-1
2.725943813E0;2.225120217E-1;-7.324797511E-1;1.267999172E0
2.737856313E0;2.171887755E-1;-1.233930349E0;1.527773976E0
2.749767250E0;3.076840937E-1;-1.876979470E0;1.467088819E0
2.761684438E0;3.300417662E-1;-2.003672838E0;1.233930349E0
2.773590688E0;3.002315462E-1;-1.690665483E0;8.634318113E-1
2.785501625E0;1.969604045E-1;-1.162598729E0;4.609938264E-1
2.797414125E0;4.897394031E-2;-6.079156399E-1;1.554390192E-1
2.809326625E0;-1.203055456E-1;-5.248728395E-1;4.365068302E-2
2.821237563E0;-2.139948159E-1;-7.207686305E-1;1.043357849E-1
2.833159438E0;-3.002315462E-1;-6.973463297E-1;3.140719831E-1
2.845061000E0;-2.565808594E-1;-4.705756605E-1;5.855579376E-1
2.856971938E0;-2.555162013E-1;-3.832743168E-1;5.727821589E-1
2.868882875E0;-2.991668880E-1;-1.841845959E-1;6.238853931E-1
2.880795375E0;-2.810678184E-1;-1.234994978E-1;7.995527983E-1
2.892718813E0;-4.184077680E-1;-2.672273517E-1;1.164728045E0
2.904617250E0;-6.547602415E-1;-2.991668880E-1;1.573553920E0
2.916529750E0;-9.720262289E-1;-1.181762442E-1;1.884431958E0
2.928442250E0;-1.232865691E0;-9.049531817E-2;2.023901224E0
2.940353188E0;-1.246706128E0;-3.300417662E-1;1.870591521E0
2.952267250E0;-1.051874995E0;-6.643421054E-1;1.770514369E0
2.964176625E0;-7.729365230E-1;-9.124057889E-1;1.669372559E0
2.976087563E0;-4.482180178E-1;-1.116818786E0;1.292486072E0
2.988000063E0;-2.555162013E-1;-1.320167065E0;1.165792704E0
2.999918813E0;-2.374171317E-1;-1.958957553E0;1.273322463E0
3.011831313E0;-3.098133802E-1;-2.613717794E0;1.325490236E0
3.023734438E0;-4.045673311E-1;-3.382395744E0;9.347634315E-1
3.035645375E0;-5.419072509E-1;-3.351520777E0;1.969604045E-1
3.047561000E0;-6.835058331E-1;-1.883367300E0;-2.959729433E-1
3.059468813E0;-7.867769599E-1;-5.482951999E-1;-5.312607884E-1
3.071379750E0;-6.877644658E-1;2.331585288E-1;-8.762076497E-1
3.083292250E0;-2.342231870E-1;2.363524884E-1;-1.184956431E0
3.095203188E0;2.927789688E-1;2.129301727E-1;-1.405339122E0
3.107115688E0;3.449468613E-1;4.354421794E-1;-1.648079515E0
3.119032875E0;-1.277581044E-2;6.984109282E-1;-1.740704179E0
