"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.779375000E-2;-8.567999601E-1;-3.691999912E-1;-4.921999872E-1
4.764687500E-2;-9.068999887E-1;-6.577000022E-1;-6.136999726E-1
6.750000000E-2;-1.322999954E0;-1.128600001E0;-1.286499977E0
8.735312500E-2;-5.449000001E-1;-5.963999629E-1;-2.026599884E0
1.072046880E-1;1.316999942E-1;-1.630999893E-1;-1.038599968E0
1.270578130E-1;6.927999854E-1;3.533000052E-1;1.203099966E0
1.469109380E-1;4.623000026E-1;-6.480000019E-1;1.346400023E0
1.667625000E-1;-3.568999767E-1;-1.344599962E0;6.574999690E-1
1.866156250E-1;-1.014999971E-1;-8.904999495E-1;-5.040999651E-1
2.064687500E-1;1.970000006E-2;-1.220999956E-1;-1.758599997E0
2.263203130E-1;-3.626999855E-1;-1.076999977E-1;-1.728899956E0
2.461734380E-1;-2.743999958E-1;-1.432799935E0;1.692099929E0
2.660250000E-1;-3.041999936E-1;-5.996999741E-1;2.199800014E0
2.858781250E-1;7.105000019E-1;-4.136999846E-1;2.828199863E0
3.057312500E-1;1.350099921E0;3.660999835E-1;3.072999954E0
3.255828130E-1;1.589999907E-2;1.929899931E0;1.563699961E0
3.454375000E-1;3.130000085E-2;1.382499933E0;-1.319000006E0
3.652890630E-1;-3.107999861E-1;7.996999621E-1;-3.247900009E0
3.851421880E-1;-1.696499944E0;4.386000037E-1;-2.793299913E0
4.049937500E-1;5.054000020E-1;6.424999833E-1;-1.909399986E0
4.248468750E-1;6.466999650E-1;4.678999782E-1;-1.849699974E0
4.446984380E-1;4.578000009E-1;-4.883999825E-1;-2.361700058E0
4.645515630E-1;-2.345999926E-1;-2.139899969E0;-2.818999887E-1
4.844046880E-1;-1.162899971E0;-2.741999865E0;1.551800013E0
5.042578130E-1;-2.586999834E-1;-1.567199945E0;1.372799993E0
5.241093750E-1;-1.585000008E-1;-1.234499931E0;2.599999867E-2
5.439640630E-1;-1.508199930E0;-1.570099950E0;-9.588999748E-1
5.638156250E-1;-1.010599971E0;-9.282999635E-1;-2.584800005E0
5.836671880E-1;4.699999988E-1;1.117100000E0;-5.974999666E-1
6.035203130E-1;-7.306999564E-1;-1.103999987E-1;5.144499779E0
6.233734380E-1;-1.269599915E0;-1.746699929E0;1.109899998E0
6.432265630E-1;-2.435600042E0;-2.884799957E0;-1.525999904E-1
6.630796880E-1;-1.016299963E0;-2.085199833E0;6.751999855E-1
6.829312500E-1;1.274899960E0;-2.122999877E-1;1.720799923E0
7.027843750E-1;2.540099859E0;1.454100013E0;4.286499977E0
7.226359380E-1;2.040999889E0;1.240399957E0;2.847199917E0
7.424890630E-1;1.565199971E0;6.966999769E-1;1.136299968E0
7.623421880E-1;2.158999920E0;1.325399995E0;9.976999760E-1
7.821937500E-1;2.003200054E0;7.140000165E-2;1.241899967E0
8.020468750E-1;1.142099977E0;-6.288999915E-1;-5.834000111E-1
8.219000000E-1;1.989999890E0;5.810000002E-2;-3.157899857E0
8.417515630E-1;3.947999775E-1;-6.994999647E-1;1.042999998E-1
8.616046880E-1;-2.063999921E-1;-9.215999842E-1;3.877999783E-1
8.814578130E-1;2.074999958E-1;-8.549000025E-1;-3.993999958E-1
9.013109380E-1;-2.139999904E-2;3.781999946E-1;1.337799907E0
9.211625000E-1;7.888999581E-1;7.064999938E-1;-1.339000016E-1
9.410156250E-1;2.205999941E-1;-5.579999834E-2;-1.707999945E0
9.608687500E-1;5.058999658E-1;-9.809999913E-2;-1.211399913E0
9.807203130E-1;-7.479999959E-2;-9.957999587E-1;7.635999918E-1
1.000573438E0;8.555999994E-1;-3.885000050E-1;4.906999767E-1
1.020426563E0;1.017699957E0;-2.933999896E-1;1.354999989E-1
1.040278125E0;1.447699904E0;2.671000063E-1;-8.086000085E-1
1.060131250E0;2.850000001E-2;-4.923999906E-1;-1.571999907E0
1.079984375E0;9.679999948E-2;-3.464999795E-1;-1.816100001E0
1.099837500E0;1.287999988E0;7.077999711E-1;-1.199199915E0
1.119689063E0;2.069700003E0;7.595999837E-1;-3.928999901E-1
1.139542188E0;7.267999649E-1;-3.905999959E-1;9.075999856E-1
1.159395313E0;1.588999927E-1;-1.074000001E-1;-4.725999832E-1
1.179246875E0;4.169999957E-1;7.829999924E-2;-1.380899906E0
1.199100000E0;1.163100004E0;1.224399924E0;-2.028699875E0
1.218953125E0;6.563000083E-1;8.303999901E-1;-1.221199989E0
1.238806250E0;4.399999976E-2;6.523999572E-1;-7.050999999E-1
1.258657813E0;-2.052999884E-1;4.679999948E-1;-2.084999979E-1
1.278510938E0;5.213999748E-1;2.208899975E0;3.003000021E-1
1.298364063E0;-6.477000117E-1;1.281799912E0;-1.441999912E0
1.318215625E0;-1.460600019E0;6.660000086E-1;-1.231400013E0
1.338068750E0;-2.025799990E0;-7.329999655E-2;1.092000008E-1
1.357921875E0;-1.454999894E-1;7.303000093E-1;1.618499994E0
1.377773438E0;6.071999669E-1;1.489899993E0;5.690000057E-1
1.397626563E0;-1.463000029E-1;8.671000004E-1;9.929999709E-2
1.417479688E0;-7.770000100E-1;3.641999960E-1;1.994999945E-1
1.437332813E0;-1.212000012E0;-2.452999949E-1;1.796000004E-1
1.457184375E0;4.402000010E-1;7.052999735E-1;6.571999788E-1
1.477035938E0;9.996999502E-1;2.101999968E-1;1.545099974E0
1.496889063E0;1.500199914E0;2.599000037E-1;1.924999952E0
1.516742188E0;8.856999874E-1;-4.138999879E-1;1.976499915E0
1.536593750E0;2.239999920E-1;-7.299999595E-1;7.324999571E-1
1.556446875E0;4.849999845E-1;-5.842999816E-1;-2.775000036E-1
1.576300000E0;1.447799921E0;7.310000062E-2;6.676999927E-1
1.596153125E0;1.011600018E0;-7.199999876E-3;9.958999753E-1
1.616006250E0;-2.162999958E-1;-4.276999831E-1;9.179999679E-2
1.635857813E0;-3.359999955E-1;-8.421999812E-1;7.842999697E-1
1.655710938E0;1.749999970E-1;-7.378999591E-1;1.299000025E0
1.675564063E0;-2.491999865E-1;-1.362200022E0;1.744699955E0
1.695417188E0;-1.067299962E0;-2.487999916E0;1.569700003E0
1.715268750E0;-1.065500021E0;-2.378700018E0;1.105499983E0
1.735120313E0;-1.982999891E-1;-1.331599951E0;-1.336300015E0
1.754973438E0;-5.313999653E-1;-1.105099916E0;-2.569799900E0
1.774828125E0;-1.493899941E0;-1.483799934E0;-1.848799944E0
1.794679688E0;-1.865799904E0;-1.463400006E0;-1.327799916E0
1.814532813E0;-1.730299950E0;-1.750599980E0;-7.720999718E-1
1.834385938E0;-5.309999585E-1;-6.082999706E-1;-4.550999999E-1
1.854237500E0;7.951999903E-1;6.162999868E-1;-3.060999811E-1
1.874089063E0;1.479799986E0;1.293799996E0;-2.836999893E-1
1.893942188E0;1.623999923E-1;3.631999791E-1;-9.846999645E-1
1.913795313E0;-5.945999622E-1;4.439999759E-1;-1.656399965E0
1.933648438E0;-1.353699923E0;2.621999979E-1;-1.014099956E0
1.953501563E0;-8.499999642E-1;1.948999912E-1;8.353999853E-1
1.973353125E0;5.460999608E-1;5.239999890E-1;2.355900049E0
1.993206250E0;1.617200017E0;1.603500009E0;1.159999967E0
2.013057813E0;1.599499941E0;2.071300030E0;5.900000036E-2
2.032912500E0;1.362900019E0;1.658100009E0;1.623099923E0
2.052764063E0;1.151099920E0;1.016700029E0;1.968199968E0
2.072617188E0;7.623999715E-1;5.389999971E-2;2.212300062E0
2.092470313E0;8.454999924E-1;-7.595999837E-1;9.192999601E-1
2.112321875E0;1.624499917E0;-3.674999774E-1;-2.018999904E-1
2.132175000E0;2.047100067E0;-2.681999803E-1;-2.220999897E-1
2.152026563E0;1.706599951E0;-3.789999783E-1;4.510999918E-1
2.171879688E0;1.113600016E0;-5.540999770E-1;1.895699978E0
2.191732813E0;1.008000001E-1;-3.091999888E-1;1.202899933E0
2.211585938E0;-4.405999780E-1;4.720999897E-1;-8.725000024E-1
2.231437500E0;-7.470999956E-1;8.977999687E-1;-1.903599977E0
2.251290625E0;-3.823999763E-1;8.448999524E-1;-5.318999887E-1
2.271143750E0;-9.149999917E-2;6.129999757E-1;1.152400017E0
2.290995313E0;-1.314000010E0;-3.132999837E-1;1.743999958E0
2.310848438E0;-1.927799940E0;-5.184999704E-1;5.044000149E-1
2.330701563E0;-2.487599850E0;-7.303000093E-1;-1.170099974E0
2.350553125E0;-2.417500019E0;-6.430999637E-1;-2.037299871E0
2.370406250E0;-2.483099937E0;-9.968999624E-1;-1.919299960E0
2.390259375E0;-3.157199860E0;-1.297799945E0;-1.901799917E0
2.410110938E0;-2.172999859E0;-7.878999710E-1;-1.310199976E0
2.429964063E0;-7.479999661E-1;-3.109000027E-1;-4.657000005E-1
2.449817188E0;-3.458999991E-1;-3.297999799E-1;-6.189999729E-2
2.469670313E0;9.169999957E-1;5.735999942E-1;-6.909999996E-2
2.489521875E0;1.616499901E0;1.011999965E0;3.474999964E-1
2.509375000E0;6.265999675E-1;3.337999880E-1;5.060999990E-1
2.529228125E0;-1.507499933E0;-5.483999848E-1;-6.229999661E-2
2.549079688E0;-1.795699954E0;-5.776000023E-1;-7.880000025E-2
2.568932813E0;1.850000024E-2;6.707999706E-1;-1.644999981E-1
2.588785938E0;1.590399981E0;1.177699924E0;4.565999806E-1
2.608637500E0;3.316099882E0;1.582700014E0;1.681800008E0
2.628490625E0;5.789099693E0;2.308300018E0;2.396899939E0
2.648343750E0;6.736700058E0;2.692600012E0;2.116999865E0
2.668196875E0;5.503099918E0;2.067899942E0;1.323499918E0
2.688048438E0;1.724699974E0;3.480999768E-1;1.127999946E-1
2.707901563E0;-2.984299898E0;-1.045499921E0;-1.799600005E0
2.727754688E0;-2.142600060E0;-6.775999665E-1;-1.252200007E0
2.747606250E0;2.263799906E0;1.663499951E0;7.429999709E-1
2.767459375E0;3.699899912E0;2.573999882E0;2.366799831E0
2.787312500E0;1.993699908E0;2.184599876E0;1.769799948E0
2.807165625E0;-1.528399944E0;1.260100007E0;-2.490999997E-1
2.827017188E0;-3.859200001E0;-5.449000001E-1;1.456900001E0
2.846870313E0;-1.958999991E0;-3.972999752E-1;3.479499817E0
2.866721875E0;-1.527899981E0;-4.679999948E-1;1.863099933E0
2.886575000E0;-1.467700005E0;-9.031999707E-1;-5.519999862E-1
2.906428125E0;-1.308699965E0;-1.305400014E0;-5.669000149E-1
2.926281250E0;-5.807999969E-1;-1.559999943E0;-9.629999995E-1
2.946132813E0;-7.064999938E-1;-2.197099924E0;1.179999951E-2
2.965985938E0;1.310299993E0;-3.509999812E-1;-4.878000021E-1
2.985839063E0;-3.624999821E-1;-1.069700003E0;-2.267199993E0
3.005690625E0;2.154999971E-1;5.407999754E-1;-3.999699831E0
3.025543750E0;6.098799706E0;5.627699852E0;-4.009999752E0
3.045400000E0;1.638499975E0;1.794199944E0;3.592700005E0
3.065250000E0;2.168999910E-1;1.744899988E0;5.977299690E0
3.085101563E0;-1.234099984E0;2.982100010E0;4.618899822E0
3.104954688E0;-1.499799967E0;4.093699932E0;-1.489000022E-1
3.124806250E0;-2.833600044E0;2.824399948E0;-3.137300014E0
3.144659375E0;-3.744999886E0;-6.897999644E-1;-3.909600019E0
3.164510938E0;-1.649399996E0;8.489999920E-2;-6.548999548E-1
3.184364063E0;2.837800026E0;2.176199913E0;-1.379799962E0
3.204217188E0;2.695400000E0;5.992999673E-1;-2.115900040E0
3.224068750E0;3.908099890E0;-5.124999881E-1;-7.731999755E-1
3.243921875E0;1.278199911E0;4.307999909E-1;-1.345499992E0
3.263775000E0;4.138999879E-1;8.190000057E-2;-1.989899993E0
3.283626563E0;-4.395999908E-1;-2.120199919E0;-2.151200056E0
3.303479688E0;-1.481299996E0;4.229999781E-1;2.153399944E0
3.323334375E0;1.599999890E-2;-1.042899966E0;6.250599861E0
3.343185938E0;-3.368099928E0;-6.289999962E0;4.681099892E0
3.363039063E0;1.455500007E0;-2.115700006E0;8.108999729E-1
3.382892188E0;-6.340000033E-2;-2.263799906E0;-1.958399892E0
3.402743750E0;-2.673199892E0;-5.286799908E0;-3.282299995E0
3.422595313E0;-6.213999987E-1;-3.609999895E0;-3.696899891E0
3.442448438E0;1.060699940E0;-2.205399990E0;-5.417799950E0
3.462301563E0;-1.199000001E0;-1.224099994E0;-7.203999758E-1
3.482154688E0;-3.295300007E0;-1.458699942E0;5.169000030E-1
3.502006250E0;1.287459946E1;1.161579990E1;-1.673499942E0
3.521859375E0;-3.968999982E-1;-2.325999886E-1;4.447799683E0
3.541712500E0;4.381000042E0;1.357100010E0;3.813799858E0
3.561564063E0;3.400099993E0;1.056200027E0;-4.327999949E-1
3.581417188E0;-1.505199909E0;2.360999882E-1;-3.349999905E0
3.601270313E0;-1.989199996E0;1.020699978E0;-2.951999903E0
3.621123438E0;1.341499925E0;2.798399925E0;2.522699833E0
3.640975000E0;-4.113000035E-1;-1.335999966E-1;7.056999803E-1
3.660828125E0;-2.346199989E0;-1.391399980E0;-2.468299866E0
3.680681250E0;-2.970599890E0;-1.980499983E0;-3.124300003E0
3.700532813E0;-1.349799991E0;-3.812599897E0;-1.318499923E0
3.720385938E0;1.230999947E0;-3.305799961E0;5.636999607E-1
3.740239063E0;1.198599935E0;-8.506999612E-1;2.190899849E0
3.760090625E0;2.522000074E-1;-3.589099884E0;2.729199886E0
3.779943750E0;3.012799978E0;-7.556999922E-1;-6.490699768E0
3.799796875E0;5.965799809E0;-5.108999610E-1;-5.266599655E0
3.819650000E0;6.711499691E0;1.471000016E-1;-2.307000011E-1
3.839501563E0;4.338900089E0;7.206000090E-1;2.848799944E0
3.859354688E0;2.796999812E-1;3.741999865E-1;4.453299999E0
3.879207813E0;-3.816499949E0;-2.744400024E0;2.507099867E0
3.899059375E0;3.992999792E-1;-2.566400051E0;3.467899799E0
3.918912500E0;2.102699995E0;-7.833999991E-1;3.326900005E0
3.938771875E0;9.136999846E-1;1.579699993E0;2.705999851E0
3.958618750E0;8.459999561E-1;3.874000013E-1;1.610099912E0
