"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;3.196929693E0;4.697117329E0;8.686594963E0
1.191093800E-2;2.954578876E0;4.814452171E0;8.100130081E0
2.382343800E-2;3.067604542E0;4.766098976E0;7.876933098E0
3.573437500E-2;3.158383131E0;4.643745422E0;8.034720421E0
4.764687500E-2;2.929564476E0;4.627953529E0;8.127941132E0
5.955781300E-2;2.757344723E0;4.478249073E0;7.979404926E0
7.147031300E-2;3.011187553E0;4.644617081E0;7.970393181E0
8.338125000E-2;3.070190191E0;4.803515434E0;8.072587013E0
9.529218800E-2;2.971941710E0;4.565426826E0;8.278143883E0
1.072046880E-1;3.090378284E0;4.530710220E0;8.390048981E0
1.191156250E-1;3.155337572E0;4.689656734E0;8.129339218E0
1.310265630E-1;3.253231764E0;4.776748657E0;8.263845444E0
1.429390630E-1;3.288685083E0;4.709883213E0;8.346349716E0
1.548500000E-1;3.311746120E0;4.778807640E0;8.322169304E0
1.667625000E-1;3.440755129E0;5.041231155E0;8.282041550E0
1.786734380E-1;3.220593929E0;4.655457973E0;8.355648994E0
1.905859380E-1;2.725817919E0;4.132123947E0;8.600317001E0
2.024968750E-1;2.832101107E0;4.325403214E0;8.801640511E0
2.144078130E-1;3.084335089E0;4.569094658E0;8.491955757E0
2.263203130E-1;3.054560900E0;4.632875919E0;8.237768173E0
2.382312500E-1;2.913455963E0;4.597997665E0;8.077787399E0
2.501437500E-1;2.835692406E0;4.546646595E0;7.995762348E0
2.620546880E-1;2.931039095E0;4.727188587E0;8.271123886E0
2.739656250E-1;2.830588102E0;4.692118168E0;8.518598557E0
2.858781250E-1;2.692365885E0;4.575424671E0;8.506349564E0
2.977906250E-1;2.729150534E0;4.726527691E0;8.523472786E0
3.097000000E-1;2.934841156E0;4.920707226E0;8.600863457E0
3.216125000E-1;2.933979273E0;4.797510624E0;8.676165581E0
3.335234380E-1;2.687299728E0;4.460685253E0;8.406147003E0
3.454421880E-1;2.995165586E0;4.313556671E0;8.585750580E0
3.573468750E-1;3.145741701E0;3.852174759E0;9.320616722E0
3.692640630E-1;3.120727062E0;4.081692696E0;8.906727791E0
3.811703130E-1;2.835376501E0;4.391856670E0;8.828388214E0
3.930812500E-1;2.714794874E0;4.493581772E0;9.074532509E0
4.049937500E-1;2.464294434E0;4.320145607E0;9.158961296E0
4.169046880E-1;2.342304945E0;4.031538963E0;8.896335602E0
4.288171880E-1;2.220832825E0;3.943997145E0;8.615640640E0
4.407281250E-1;2.210164309E0;3.930771828E0;8.320779800E0
4.526390630E-1;2.068982840E0;3.786104441E0;7.953805923E0
4.645625000E-1;1.787185431E0;3.475921154E0;7.797589302E0
4.764640630E-1;1.837291241E0;3.460071564E0;7.699340820E0
4.883750000E-1;2.195080757E0;3.818809032E0;7.549846649E0
5.002890630E-1;2.521276474E0;4.432136536E0;7.629736900E0
5.121984380E-1;2.432001352E0;4.563970566E0;8.077270508E0
5.241093750E-1;2.219865561E0;4.358548164E0;8.223162651E0
5.360218750E-1;1.837932825E0;3.929220200E0;8.461424828E0
5.479359380E-1;1.060861230E0;3.192763567E0;8.321393013E0
5.598453130E-1;2.372175008E-1;2.560387850E0;8.004793167E0
5.717562500E-1;2.458462119E-1;3.054541826E0;7.571145535E0
5.836671880E-1;1.415145636E0;4.134700298E0;7.459470749E0
5.955843750E-1;2.027457952E0;4.869547844E0;8.231035233E0
6.074906250E-1;2.409227848E0;4.556692600E0;8.101068497E0
6.194031250E-1;1.937512517E0;4.041699886E0;7.348082542E0
6.313140630E-1;1.506776452E0;3.721997261E0;7.199718952E0
6.432250000E-1;1.067890644E0;3.637328625E0;8.045370102E0
6.551375000E-1;6.992984414E-1;2.938164234E0;9.066842079E0
6.670484380E-1;8.576987982E-1;2.401518345E0;9.037259102E0
6.789609380E-1;1.817448139E0;2.649873734E0;8.083954811E0
