"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.093422180E1;7.408686000E0;2.725552128E2;0.000000000E0;0.000000000E0;1.961300087E1;2.000000000E0
1.465125783E0;5.093422180E1;7.408686000E0;0.000000000E0;0.000000000E0;0.000000000E0;1.961300087E1;0.000000000E0
2.883531511E0;5.093405967E1;7.408516564E0;2.818899249E2;1.039749861E0;0.000000000E0;1.900000000E1;0.000000000E0
5.066472657E0;5.093430473E1;7.408653397E0;2.595072589E2;0.000000000E0;0.000000000E0;8.046693420E1;0.000000000E0
6.197669532E0;5.093430473E1;7.408653397E0;2.547232318E2;0.000000000E0;2.229522400E2;1.900000000E1;0.000000000E0
7.193346094E0;5.093426079E1;7.408586128E0;2.684901596E2;2.490961552E0;2.256074524E2;3.944602203E1;0.000000000E0
8.194795052E0;5.093424280E1;7.408540122E0;2.678610650E2;2.287797689E0;2.318736725E2;3.286148071E1;0.000000000E0
9.191470052E0;5.093422979E1;7.408489127E0;2.668124576E2;2.444265366E0;2.353596802E2;1.699845123E1;0.000000000E0
1.019578203E1;5.093422529E1;7.408439007E0;2.643550212E2;2.570784330E0;2.414920502E2;1.117117310E1;0.000000000E0
1.120055339E1;5.093421502E1;7.408354911E0;2.638754391E2;2.398604393E0;2.468366699E2;1.037709713E1;0.000000000E0
1.218873359E1;5.093420414E1;7.408295558E0;2.636366551E2;2.547590971E0;2.561664429E2;1.015000057E1;0.000000000E0
1.319827057E1;5.093419562E1;7.408258665E0;2.631983073E2;2.675379515E0;2.560434570E2;1.013768482E1;0.000000000E0
1.419276432E1;5.093418721E1;7.408219509E0;2.626534853E2;2.555980444E0;2.548419495E2;9.333940506E0;0.000000000E0
1.522246068E1;5.093418312E1;7.408186765E0;2.620749759E2;2.761547089E0;2.618056946E2;9.321930885E0;0.000000000E0
1.619765651E1;5.093418343E1;7.408156012E0;2.611155835E2;2.940660000E0;2.678738098E2;7.609996796E0;0.000000000E0
1.719429349E1;5.093418476E1;7.408123959E0;2.607052355E2;2.861269236E0;2.754036865E2;7.035387993E0;0.000000000E0
1.819305286E1;5.093418822E1;7.408090452E0;2.600692759E2;2.860517979E0;2.801264648E2;7.210986614E0;0.000000000E0
1.923066484E1;5.093419494E1;7.408056853E0;2.596363253E2;3.127112627E0;2.828246460E2;7.442582607E0;0.000000000E0
2.018880026E1;5.093420404E1;7.408024672E0;2.596011137E2;3.303107023E0;2.874285889E2;7.317077637E0;0.000000000E0
